time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529669649593,1.153541,0.6589681,-0.9116076,1.1341,0.6496311,-0.8807666,1.131064,0.6392444,-0.8569955,1.139143,0.7027646,-0.8478855,1.130335,0.7090448,-0.8188296,1.123275,0.7068049,-0.801015,1.155439,0.6973679,-0.8372636,1.143147,0.6996395,-0.8042307,1.132922,0.694127,-0.7854891,1.172934,0.6867155,-0.8360698,1.158264,0.6833791,-0.8063244,1.146537,0.6752434,-0.7899425,1.188849,0.6698828,-0.8405271,1.175026,0.6571803,-0.8272992,1.165165,0.6442506,-0.8314375,1.174823,0.675815,-0.8896042,0.08808462,
1529669649647,1.131096,0.673279,-0.926237,1.106639,0.6677272,-0.8979781,1.098604,0.659813,-0.8743587,1.111865,0.7216159,-0.86747,1.099309,0.7291846,-0.8401715,1.089657,0.7273163,-0.8236409,1.127031,0.7158061,-0.8544403,1.111279,0.7195437,-0.8230031,1.098855,0.7151099,-0.8053457,1.143192,0.7036299,-0.8508134,1.124307,0.6992503,-0.8242004,1.10995,0.689043,-0.8115507,1.158673,0.6882207,-0.8520499,1.142224,0.6782821,-0.8385521,1.131402,0.6656643,-0.840915,1.150903,0.6904623,-0.9028195,0.08490597,
1529669649673,1.123251,0.6786989,-0.9307535,1.097366,0.6748773,-0.9035079,1.087572,0.6676124,-0.8802589,1.104731,0.7274382,-0.8723598,1.090894,0.7348706,-0.8457344,1.080065,0.7325647,-0.830054,1.119471,0.7206793,-0.8587351,1.102713,0.7246834,-0.8279428,1.089195,0.7201296,-0.811202,1.134334,0.7066025,-0.8548524,1.113719,0.7006178,-0.8306602,1.098444,0.6880773,-0.8223883,1.149492,0.6915621,-0.8551425,1.132136,0.6832434,-0.841208,1.120027,0.6716769,-0.8425965,1.143358,0.6943601,-0.9065224,0.08243603,
1529669649700,1.103185,0.6846218,-0.9334505,1.075506,0.6821417,-0.9078895,1.063923,0.675737,-0.8851533,1.081826,0.7348777,-0.8774681,1.065813,0.743338,-0.8523808,1.05364,0.7418392,-0.8375992,1.096113,0.7283716,-0.8626307,1.077599,0.7338488,-0.8331013,1.062927,0.7300764,-0.8171879,1.110261,0.7130198,-0.8575648,1.08805,0.7061073,-0.8357692,1.07282,0.6921315,-0.8310747,1.125762,0.698805,-0.8560439,1.107861,0.6917392,-0.8419048,1.095235,0.6806929,-0.8427327,1.122249,0.7002256,-0.9082351,0.08207705,
1529669649727,1.090482,0.6879266,-0.9349603,1.06164,0.6864479,-0.9106756,1.048867,0.6807505,-0.8883419,1.067336,0.7389315,-0.8805572,1.049888,0.7477351,-0.8565635,1.036901,0.7463976,-0.8424888,1.081213,0.7327188,-0.8650945,1.061218,0.7386032,-0.8367044,1.045674,0.7347372,-0.821699,1.095288,0.71688,-0.8591805,1.072366,0.7093038,-0.8389252,1.05771,0.6944909,-0.8364804,1.111032,0.7032613,-0.8565408,1.092905,0.6967809,-0.8424532,1.080177,0.6858855,-0.8432939,1.108978,0.7036173,-0.9091185,0.08096427,
1529669649768,1.074458,0.6932297,-0.9373764,1.044207,0.6938178,-0.9149026,1.029764,0.689641,-0.8931462,1.049918,0.7457002,-0.8854162,1.030759,0.7545349,-0.8628857,1.016798,0.7526718,-0.8498936,1.062817,0.739886,-0.8694947,1.040455,0.7460176,-0.8431209,1.023667,0.7415282,-0.8298515,1.077272,0.7242652,-0.8620694,1.053503,0.7173338,-0.8427511,1.038839,0.7025319,-0.8409821,1.092889,0.7108841,-0.8581352,1.074302,0.7054234,-0.8442401,1.061342,0.6947911,-0.8449577,1.092552,0.7090492,-0.9108407,0.07753557,
1529669649794,1.065505,0.6958009,-0.9381851,1.034899,0.6977318,-0.9163233,1.019921,0.6945707,-0.8947067,1.041413,0.7493625,-0.8873124,1.021956,0.7583273,-0.8651699,1.007825,0.7561277,-0.8524776,1.054008,0.7437966,-0.8713808,1.031028,0.7501401,-0.845696,1.013936,0.7453383,-0.8330137,1.068585,0.7283063,-0.8633978,1.044656,0.7217671,-0.8442771,1.030027,0.7069473,-0.8426219,1.084072,0.7150055,-0.8590416,1.065366,0.7100067,-0.8452517,1.052408,0.6993988,-0.8460498,1.083886,0.7118797,-0.911682,0.0756233,
1529669649830,1.047423,0.6985787,-0.9385407,1.016547,0.7016357,-0.9172289,1.001142,0.6994039,-0.8957564,1.023585,0.7531826,-0.8888143,1.00398,0.7622519,-0.8669249,0.9897965,0.7596827,-0.8544354,1.035897,0.7478837,-0.8728727,1.012458,0.7543463,-0.8477044,0.9952084,0.7492385,-0.8354422,1.05055,0.7326243,-0.8644379,1.026461,0.7263849,-0.8454485,1.011866,0.7115482,-0.8437115,1.065961,0.7194945,-0.8596827,1.047143,0.7147573,-0.8461416,1.034341,0.7040133,-0.8472033,1.066012,0.7150882,-0.9121487,0.07395731,
1529669649860,1.040042,0.700475,-0.9371575,1.00928,0.7037541,-0.9157554,0.9941888,0.7017692,-0.8940698,1.016268,0.755488,-0.8879288,0.9966338,0.7643882,-0.8660322,0.9825899,0.7614345,-0.8535219,1.028638,0.7504105,-0.8721525,1.004994,0.7564559,-0.8471006,0.9878374,0.7509944,-0.8348321,1.04365,0.7353863,-0.8637047,1.019715,0.7285751,-0.8448412,1.005569,0.7132927,-0.8432533,1.059415,0.7227926,-0.8587839,1.040794,0.7179092,-0.8451808,1.028281,0.706867,-0.8463252,1.058894,0.7175342,-0.9111053,0.07306585,
1529669649887,1.029186,0.7024134,-0.9355882,0.9982456,0.7059525,-0.9145017,0.983067,0.7041733,-0.8928854,1.004992,0.7575525,-0.8868828,0.9850034,0.7661084,-0.8652065,0.9708775,0.7627522,-0.8529229,1.017171,0.7524713,-0.8710743,0.9930241,0.7579788,-0.8463949,0.9757643,0.7521545,-0.8344268,1.032272,0.7376798,-0.8625179,1.008093,0.730627,-0.8439888,0.9940261,0.7152406,-0.8424881,1.048192,0.7253692,-0.8572617,1.029506,0.7204678,-0.8437881,1.017058,0.7093557,-0.8450058,1.047931,0.7196661,-0.9094985,0.07195182,
