time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529062293140,1.11134,0.5420977,-0.5704417,1.121144,0.5394927,-0.5336748,1.130413,0.5310808,-0.5104885,1.173687,0.5634695,-0.5298061,1.193253,0.5617522,-0.5060418,1.201405,0.5575586,-0.4894161,1.185607,0.5502294,-0.5339258,1.205743,0.5515856,-0.5050791,1.213695,0.5497946,-0.4848959,1.18863,0.5313005,-0.543159,1.20309,0.5299269,-0.5133809,1.20604,0.5263852,-0.4926581,1.182412,0.5100876,-0.5524011,1.180225,0.5046132,-0.5294302,1.168005,0.5008512,-0.519004,1.144758,0.5365583,-0.5756786,0.07864452,
1529062293170,1.106047,0.5480863,-0.582528,1.115256,0.5466919,-0.5455418,1.124364,0.538934,-0.5221169,1.167517,0.5712818,-0.5416632,1.186073,0.5701123,-0.5170866,1.193462,0.5661818,-0.5000519,1.180002,0.5580854,-0.545658,1.199134,0.5597706,-0.5162782,1.205893,0.5578759,-0.4956835,1.18343,0.5389869,-0.5544852,1.196815,0.5378699,-0.5243494,1.198267,0.5341651,-0.5035393,1.177604,0.5178759,-0.5633068,1.17508,0.5130557,-0.5402009,1.162796,0.5093087,-0.5298308,1.139849,0.5429663,-0.5874905,0.07748437,
1529062293194,1.102635,0.5513887,-0.5910968,1.111999,0.5502843,-0.5541024,1.121526,0.542793,-0.5308388,1.163885,0.5759527,-0.5507678,1.181788,0.5747646,-0.5257459,1.188592,0.5704837,-0.5085728,1.176935,0.5632094,-0.5554166,1.195241,0.5644505,-0.5256695,1.200745,0.5616127,-0.5048384,1.18114,0.5444129,-0.5649008,1.194204,0.54275,-0.5348511,1.194542,0.5380625,-0.5142632,1.176256,0.523491,-0.5740557,1.174732,0.5183276,-0.5509056,1.162959,0.5139868,-0.5402368,1.136886,0.5474241,-0.5969678,0.07589717,
1529062293233,1.093082,0.5594532,-0.6088505,1.100713,0.5599489,-0.5714071,1.109417,0.5538759,-0.5474117,1.152624,0.5872235,-0.56757,1.168073,0.5870243,-0.5412401,1.172126,0.5821534,-0.5234396,1.166304,0.5744956,-0.5718974,1.181968,0.5762315,-0.5410137,1.184245,0.5725328,-0.5198545,1.171819,0.5557193,-0.581417,1.183375,0.554582,-0.5509203,1.181835,0.549509,-0.5306151,1.168834,0.5351202,-0.5906042,1.168379,0.5308642,-0.5670543,1.157568,0.5261849,-0.5555547,1.128329,0.5565136,-0.6143621,0.07284696,
1529062293260,1.087555,0.5638281,-0.620961,1.094084,0.5656085,-0.5833118,1.101905,0.5608467,-0.5586721,1.146089,0.5933186,-0.5792974,1.160074,0.593799,-0.5523815,1.162426,0.5887661,-0.5343806,1.159864,0.5801986,-0.5829357,1.174017,0.5824214,-0.5515076,1.174564,0.5786396,-0.5303451,1.165967,0.5609738,-0.5920273,1.176856,0.5601881,-0.5613108,1.17469,0.5553516,-0.5410283,1.163843,0.5403873,-0.6008348,1.164596,0.5368643,-0.5768173,1.155006,0.5326378,-0.5642068,1.123021,0.5610104,-0.6257512,0.07093934,
1529062293287,1.082597,0.5684714,-0.6366001,1.089476,0.5708596,-0.5989919,1.097037,0.5670979,-0.574027,1.141865,0.5966272,-0.5954478,1.15462,0.5964355,-0.568292,1.154735,0.5902665,-0.5506153,1.155273,0.5828928,-0.5991681,1.16864,0.5844504,-0.5675536,1.167768,0.5800802,-0.5465965,1.161126,0.5632559,-0.6084673,1.172011,0.5617874,-0.5778539,1.169529,0.5567828,-0.557632,1.159387,0.5432177,-0.6174484,1.162692,0.5402393,-0.59323,1.154996,0.536561,-0.5794086,1.11781,0.5646222,-0.6417202,0.06643769,
1529062293314,1.075358,0.5737298,-0.652459,1.080832,0.5772616,-0.6146845,1.087251,0.5746711,-0.5892045,1.133463,0.6029178,-0.610222,1.144614,0.6035156,-0.5825969,1.142984,0.5973351,-0.5651157,1.146744,0.5886792,-0.6130782,1.158198,0.5907394,-0.5808825,1.155517,0.5864448,-0.5601385,1.153291,0.5685743,-0.6220273,1.163568,0.5675203,-0.5911564,1.160968,0.5630186,-0.5707545,1.152484,0.5484725,-0.6308215,1.157164,0.5460991,-0.6065457,1.151331,0.542976,-0.5915393,1.110908,0.5694764,-0.6565238,0.06480803,
1529062293340,1.06907,0.5785606,-0.6682017,1.074087,0.5835472,-0.6305287,1.079899,0.5821308,-0.6047654,1.127141,0.608213,-0.6262083,1.137564,0.6101072,-0.5984551,1.135003,0.6047639,-0.5808689,1.139862,0.5931932,-0.627998,1.150509,0.5965322,-0.5956286,1.147339,0.5934491,-0.5746853,1.146331,0.5721241,-0.6360524,1.156334,0.5717825,-0.605094,1.153428,0.568167,-0.584534,1.14564,0.5517381,-0.6441349,1.151669,0.5501673,-0.6199436,1.147473,0.5480053,-0.6041423,1.104383,0.5730911,-0.6713015,0.0641856,
1529062293369,1.061317,0.5826168,-0.6937126,1.065998,0.5887686,-0.6561778,1.071657,0.5881913,-0.6303368,1.118385,0.6150505,-0.652182,1.128821,0.6185516,-0.6246215,1.126319,0.6139153,-0.6068581,1.131301,0.6000851,-0.6532236,1.141871,0.6050664,-0.6209832,1.139066,0.6029733,-0.5998187,1.138668,0.5784993,-0.6606724,1.149124,0.5790433,-0.6298859,1.146817,0.5760035,-0.6090758,1.138947,0.5579361,-0.6682953,1.146839,0.557163,-0.6444741,1.145198,0.5555843,-0.6279504,1.096635,0.5777395,-0.6961841,0.06481417,
1529062293394,1.055475,0.5858811,-0.7091298,1.059779,0.5928905,-0.6716771,1.065182,0.5932632,-0.6457597,1.111659,0.6205338,-0.6680288,1.121792,0.6248457,-0.6405877,1.118921,0.6200998,-0.623009,1.124941,0.6058732,-0.6688733,1.135109,0.6116924,-0.6367084,1.132092,0.6097326,-0.6155561,1.133153,0.5842822,-0.676186,1.14382,0.5855069,-0.645505,1.141971,0.5827292,-0.6245528,1.134296,0.5637035,-0.6837237,1.143041,0.5635694,-0.6601558,1.14222,0.5622428,-0.6435425,1.09102,0.5818505,-0.7115607,0.06423119,
