time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529062508092,0.8164701,0.9821749,-0.668664,0.7902483,0.9985071,-0.6457723,0.7733254,1.007554,-0.6275206,0.8142462,1.033305,-0.6174284,0.7907801,1.034761,-0.6016222,0.7770005,1.023048,-0.5985434,0.8257006,1.022727,-0.6042197,0.7980486,1.025517,-0.5859463,0.7791402,1.016302,-0.582487,0.8399153,1.006387,-0.5968236,0.8147527,1.009074,-0.5780768,0.795444,1.001668,-0.5744049,0.85141,0.9885784,-0.5932943,0.8335573,0.9927515,-0.5775877,0.8174672,0.9896713,-0.5743715,0.8437375,0.9880403,-0.6444482,0.03306432,
1529062508148,0.8125948,0.9569498,-0.7017284,0.787268,0.9712211,-0.6765506,0.7711455,0.9786913,-0.6569759,0.8105357,1.007813,-0.6507031,0.7870999,1.008262,-0.6355872,0.7741401,0.995524,-0.6337565,0.822075,0.9965562,-0.6376587,0.7943518,0.9983226,-0.6196451,0.775642,0.9884996,-0.6170009,0.8363314,0.9802343,-0.6307703,0.8111522,0.9822423,-0.6123482,0.7919568,0.9742607,-0.6095936,0.847528,0.9623304,-0.6279204,0.8294488,0.9662219,-0.6124419,0.813346,0.9629418,-0.6096669,0.8397371,0.9630744,-0.6787311,0.02883486,
1529062508188,0.8160932,0.950635,-0.7260754,0.7909531,0.9635621,-0.6999925,0.7749305,0.9700438,-0.680002,0.8129864,1.000115,-0.6745778,0.7888214,0.9998898,-0.6606102,0.7758374,0.9870013,-0.6595728,0.8244265,0.9882835,-0.6613441,0.7961442,0.9896564,-0.6438789,0.7771009,0.9802475,-0.6416103,0.8384255,0.9716164,-0.6546428,0.8128133,0.9733704,-0.6364402,0.7933103,0.9659827,-0.633688,0.8493457,0.95338,-0.6521097,0.8309779,0.956786,-0.636672,0.8147812,0.9538305,-0.6339157,0.8428599,0.9561169,-0.702922,0.02656558,
1529062508251,0.8228561,0.935251,-0.7609433,0.795624,0.9483418,-0.7371397,0.7779343,0.9553883,-0.7187481,0.8139787,0.9853692,-0.7113889,0.7888383,0.9840906,-0.6985288,0.7760772,0.9709271,-0.6972123,0.8256989,0.9753454,-0.6969845,0.7965382,0.9767238,-0.6801953,0.7774117,0.9676049,-0.6771771,0.840507,0.9597151,-0.6887217,0.8143849,0.9617761,-0.6703556,0.7948831,0.9550003,-0.6661536,0.8524194,0.9419869,-0.6848449,0.8338552,0.9452052,-0.6691452,0.8178306,0.942367,-0.6653038,0.847752,0.9427499,-0.7365612,0.02662129,
1529062508268,0.8261489,0.9291962,-0.7745466,0.7988393,0.9420325,-0.7506952,0.7810999,0.9489734,-0.732287,0.8164493,0.9789453,-0.7248851,0.7914299,0.9771093,-0.7116686,0.7788208,0.9638087,-0.7101448,0.8284838,0.9693905,-0.7105658,0.7994608,0.9703885,-0.693368,0.7804664,0.9611315,-0.6899409,0.84368,0.9540834,-0.7023382,0.8177434,0.9558276,-0.683517,0.7983898,0.9489648,-0.6787653,0.856017,0.9366321,-0.6984711,0.8376396,0.939591,-0.6824291,0.8217486,0.9365982,-0.678161,0.8510126,0.9371064,-0.750222,0.02674995,
1529062508320,0.8380701,0.9191328,-0.8005549,0.8116918,0.9319938,-0.7756973,0.7945815,0.9391469,-0.7567176,0.8280708,0.9682423,-0.7507664,0.8036938,0.9656735,-0.7358541,0.7909476,0.952585,-0.7330945,0.8408614,0.959507,-0.7369588,0.8126253,0.9597789,-0.718119,0.7939497,0.9504635,-0.7132191,0.8567866,0.9448127,-0.7292194,0.8316271,0.9458391,-0.7089842,0.8127213,0.9388872,-0.7026628,0.8699592,0.9281393,-0.7256155,0.8522942,0.9307784,-0.708559,0.8368196,0.9276766,-0.7029677,0.863022,0.9278121,-0.777302,0.02741969,
1529062508359,0.8460401,0.9162554,-0.8253802,0.821963,0.929692,-0.7985734,0.8065872,0.9371674,-0.7782569,0.8392264,0.9649734,-0.7752272,0.8159754,0.9621934,-0.7584276,0.8032238,0.9493119,-0.754557,0.8527784,0.9563116,-0.762365,0.8258727,0.9564199,-0.7414911,0.8074973,0.9473766,-0.7350014,0.8691223,0.9417432,-0.7556689,0.8453729,0.9427601,-0.733637,0.8269519,0.9361042,-0.7256869,0.8825948,0.9253523,-0.7528265,0.8663243,0.9283491,-0.7343481,0.8514394,0.9257491,-0.7270676,0.8721039,0.9246854,-0.8039764,0.02684184,
1529062508402,0.8549079,0.9149569,-0.8464319,0.8332715,0.9292921,-0.8180794,0.8199488,0.9371232,-0.7965034,0.8527939,0.9635313,-0.7953497,0.8315629,0.9613597,-0.7758164,0.8190403,0.9489286,-0.7701431,0.8674141,0.9548612,-0.783878,0.8428458,0.9549091,-0.760417,0.8253087,0.9455718,-0.752328,0.8844734,0.9404648,-0.7786845,0.8631377,0.9413859,-0.7544352,0.845624,0.9343182,-0.7450578,0.8984237,0.9242946,-0.7770375,0.8843147,0.9274279,-0.7569652,0.8702098,0.9246676,-0.7483742,0.8829304,0.923069,-0.8271439,0.02889739,
1529062508463,0.8677197,0.9124755,-0.8711167,0.8461776,0.9267977,-0.8426892,0.8330067,0.9343539,-0.8209561,0.8659165,0.9599081,-0.8190324,0.8446215,0.9572852,-0.8000132,0.8322612,0.9443361,-0.7955166,0.8801904,0.9506384,-0.8076075,0.85536,0.9501063,-0.7846848,0.8376781,0.9402662,-0.7776739,0.896962,0.935972,-0.802531,0.8753154,0.9364542,-0.7787686,0.8575098,0.9289525,-0.7704192,0.9107339,0.9197131,-0.8010421,0.8965899,0.9228355,-0.7810824,0.8822706,0.9200673,-0.7728752,0.8956255,0.9196017,-0.8513824,0.02733803,
1529062508480,0.8730323,0.9097337,-0.8837337,0.8519255,0.9237052,-0.8548115,0.8391697,0.9308953,-0.8327258,0.8723677,0.9567323,-0.8311933,0.8513937,0.9538127,-0.8120337,0.8392982,0.9405786,-0.8078647,0.8867898,0.9473243,-0.8201099,0.8622853,0.9465691,-0.796932,0.8447169,0.9365244,-0.7899835,0.9036288,0.9325805,-0.8154315,0.8823634,0.9329197,-0.7913811,0.8646518,0.9252973,-0.7829774,0.9173772,0.9162365,-0.8143201,0.9035939,0.9192459,-0.7941183,0.8893695,0.9164079,-0.7857875,0.9013934,0.9166642,-0.8644167,0.02668058,
1529062508521,0.8928053,0.9042212,-0.9138184,0.8744034,0.9179933,-0.8830091,0.8636705,0.9249612,-0.8598233,0.8970473,0.9509393,-0.8613178,0.8775622,0.9478812,-0.8408364,0.865813,0.9345088,-0.8363615,0.9121199,0.9411746,-0.851419,0.8894256,0.9403636,-0.8265783,0.8722745,0.9302938,-0.8187287,0.9289452,0.92616,-0.8481715,0.9094924,0.9265001,-0.8227418,0.8922567,0.9188913,-0.8133981,0.9423857,0.9095672,-0.8482255,0.9301028,0.9125584,-0.8271466,0.9163443,0.9097292,-0.8180755,0.9225785,0.9107202,-0.8969167,0.02542054,
1529062508560,0.9031329,0.9002835,-0.9291329,0.8863714,0.9133266,-0.8970807,0.8767936,0.9197212,-0.8732669,0.9107585,0.946799,-0.8766899,0.8918927,0.9438235,-0.8559833,0.8802409,0.9302949,-0.8519973,0.925862,0.936272,-0.8674643,0.9038846,0.9354393,-0.8422359,0.8867303,0.925243,-0.8346566,0.94235,0.9207629,-0.8650254,0.9236567,0.9211394,-0.839254,0.9063786,0.9134889,-0.8300833,0.955157,0.9036208,-0.8657873,0.9433986,0.9063948,-0.8445494,0.9294946,0.903378,-0.8358422,0.9336734,0.9061887,-0.9136345,0.02400171,
1529062508599,0.9207356,0.8937324,-0.950865,0.9060434,0.9059145,-0.9174772,0.8978385,0.9117849,-0.8930329,0.9322073,0.9399015,-0.8988771,0.914097,0.9369277,-0.8775762,0.9023978,0.9234791,-0.8733876,0.9474989,0.9285914,-0.8904934,0.9265269,0.9273927,-0.8645761,0.909467,0.9171388,-0.8568456,0.9635798,0.9126174,-0.8890905,0.9458026,0.9125605,-0.86283,0.9286079,0.9048103,-0.8535612,0.9756488,0.8950008,-0.8906861,0.9643002,0.8970649,-0.8693091,0.9502702,0.8937238,-0.8609556,0.952192,0.8992104,-0.9372507,0.02331268,
1529062508663,0.9396377,0.884356,-0.9721772,0.9281166,0.8950325,-0.9370701,0.9222275,0.8998477,-0.9117582,0.9557488,0.9302179,-0.9208296,0.9395103,0.9271352,-0.8980514,0.9281441,0.913723,-0.8929373,0.9717901,0.9184331,-0.9139418,0.9532068,0.9165175,-0.8864492,0.9368159,0.9058998,-0.8778487,0.9878144,0.902308,-0.9142815,0.9723275,0.901385,-0.8867933,0.9558207,0.8931511,-0.8767527,0.9994678,0.8845143,-0.917276,0.98972,0.8856122,-0.8952019,0.9761147,0.8817716,-0.8863876,0.9721313,0.8900169,-0.9615136,0.02411958,
1529062508680,0.9484351,0.8803514,-0.9827203,0.9380091,0.8905835,-0.9471399,0.9329307,0.8950875,-0.921605,0.9661292,0.9260262,-0.9315056,0.9507613,0.9228052,-0.9082345,0.9396644,0.9092618,-0.9029561,0.9824448,0.9141742,-0.9252554,0.9648548,0.9119147,-0.8972526,0.9487935,0.9010015,-0.8884434,0.9985417,0.8981169,-0.9262848,0.9840361,0.896854,-0.8983861,0.9678448,0.8883104,-0.8881289,1.010171,0.8803848,-0.9298438,1.001215,0.8812364,-0.9074988,0.9878405,0.8771657,-0.8984602,0.9811971,0.886131,-0.9730973,0.02437278,
1529062508720,0.964107,0.8728441,-1.002457,0.9566141,0.8819536,-0.965839,0.9537623,0.8856604,-0.9398593,0.9847203,0.9186011,-0.9520721,0.9716614,0.9146696,-0.9277353,0.9614744,0.900604,-0.9222022,1.001702,0.9068515,-0.9473829,0.9865553,0.9032433,-0.9184006,0.9714676,0.8912778,-0.9093179,1.018149,0.8913199,-0.9500096,1.006012,0.8888668,-0.9213507,0.9906986,0.8792691,-0.9107563,1.029963,0.874091,-0.9548432,1.022874,0.8742487,-0.9320241,1.01008,0.8693876,-0.9226141,0.997208,0.8795998,-0.9955161,0.0243836,
1529062508760,0.9763428,0.8679774,-1.009607,0.9710938,0.8766924,-0.9725116,0.9700606,0.8801113,-0.9464129,0.9996064,0.9142891,-0.9602296,0.9891351,0.9099249,-0.9351082,0.9801153,0.8952239,-0.929423,1.017112,0.9028697,-0.9571604,1.004465,0.898049,-0.9275876,0.9905706,0.8847647,-0.9186168,1.034117,0.8881695,-0.9613865,1.024479,0.884734,-0.9323109,1.010168,0.8738157,-0.9217771,1.046307,0.8716855,-0.9675159,1.041229,0.8714896,-0.9444669,1.029099,0.8656564,-0.9348468,1.009798,0.8758998,-1.005224,0.02486239,
1529062508802,0.9920956,0.8627015,-1.018197,0.9881047,0.8712283,-0.9808987,0.9881292,0.8744702,-0.9547987,1.016836,0.9092406,-0.9693972,1.007805,0.9045279,-0.9441478,0.9994877,0.8893439,-0.9388033,1.034475,0.8977629,-0.9672682,1.023063,0.8918511,-0.9377356,1.009783,0.87763,-0.9294196,1.051825,0.883786,-0.9724562,1.043542,0.8797306,-0.9433622,1.029739,0.8679866,-0.9331779,1.064201,0.8677335,-0.9793747,1.06021,0.8672631,-0.9563731,1.048355,0.8607746,-0.9469112,1.025594,0.8712583,-1.015232,0.02461898,
1529062508862,1.007313,0.852832,-1.026235,1.00438,0.8621153,-0.9890224,1.004849,0.8662351,-0.9630896,1.03489,0.899375,-0.9784881,1.027672,0.894823,-0.952886,1.019907,0.8794478,-0.947263,1.052444,0.8879712,-0.9775177,1.042756,0.8819741,-0.9475255,1.030212,0.8674031,-0.9386668,1.070261,0.8747581,-0.9839483,1.064449,0.8713788,-0.9543085,1.051644,0.8595604,-0.9429926,1.082626,0.8585221,-0.9918324,1.080956,0.8583504,-0.9686292,1.070088,0.8518242,-0.9580457,1.041211,0.8613715,-1.025085,0.02553056,
1529062508879,1.013424,0.8484883,-1.026886,1.010958,0.8581544,-0.9897355,1.011731,0.8625274,-0.9638507,1.041944,0.8951601,-0.9797015,1.035075,0.8909539,-0.9540144,1.027298,0.8756511,-0.9482104,1.059348,0.8836381,-0.9788858,1.049945,0.877982,-0.9487948,1.037439,0.8634905,-0.939759,1.077154,0.8704116,-0.9855028,1.071805,0.8675117,-0.9558046,1.059089,0.855828,-0.9442893,1.089369,0.8539213,-0.9934717,1.088163,0.8540241,-0.9702793,1.077443,0.8476468,-0.9594482,1.047346,0.8567204,-1.026128,0.02567444,
1529062508906,1.018706,0.8446826,-1.022565,1.016648,0.8546146,-0.9854617,1.017679,0.8591971,-0.9596161,1.047815,0.8914815,-0.9758744,1.041291,0.8873023,-0.9501948,1.033588,0.8719445,-0.94444,1.065034,0.8799195,-0.9752355,1.055774,0.8742004,-0.9452062,1.043339,0.8595679,-0.9363086,1.082999,0.8669273,-0.9820431,1.078029,0.8642937,-0.9523788,1.065393,0.852558,-0.9408735,1.095108,0.8503205,-0.9900901,1.094186,0.8505949,-0.9669569,1.08353,0.8442035,-0.9560781,1.052718,0.8528614,-1.022263,0.02541452,
1529062508933,1.02742,0.8356401,-1.014467,1.026024,0.8453662,-0.9772772,1.02767,0.8498301,-0.9514436,1.056472,0.8827509,-0.9682989,1.050883,0.8776497,-0.9427062,1.043835,0.8618267,-0.9374607,1.073805,0.8716283,-0.9682875,1.06524,0.8645613,-0.9385642,1.053386,0.849032,-0.9305322,1.092318,0.8597611,-0.975728,1.088328,0.856624,-0.9461198,1.076267,0.8442035,-0.9348307,1.104549,0.8437884,-0.9842271,1.104194,0.8440449,-0.9611001,1.093964,0.8371489,-0.9502266,1.061249,0.8449095,-1.015115,0.02451034,
1529062508959,1.035183,0.8282272,-1.009219,1.033559,0.837719,-0.9719787,1.035102,0.8420986,-0.9461324,1.062957,0.8756824,-0.9628099,1.057534,0.8699391,-0.9374049,1.050927,0.8537948,-0.9326591,1.080502,0.8647395,-0.9629009,1.072007,0.8565718,-0.9334692,1.060479,0.8405254,-0.9259399,1.099223,0.8534075,-0.9703437,1.095068,0.8492775,-0.9408307,1.08322,0.8363087,-0.9299303,1.111828,0.838017,-0.978912,1.111189,0.8376893,-0.9557121,1.101062,0.8303705,-0.9450355,1.068725,0.8384669,-1.009872,0.02384807,
1529062508987,1.042053,0.8166522,-1.001709,1.039648,0.8250542,-0.9642453,1.040865,0.828583,-0.9382484,1.068484,0.8628865,-0.9535198,1.062704,0.8560164,-0.9285141,1.056292,0.8395711,-0.9246507,1.086159,0.8522077,-0.9536852,1.077241,0.8427964,-0.9247043,1.065825,0.8263403,-0.9178169,1.105257,0.8414187,-0.9611275,1.100831,0.8362844,-0.9316332,1.089139,0.8229718,-0.920971,1.118111,0.8265221,-0.9699049,1.117155,0.8254682,-0.9465603,1.107183,0.8178385,-0.9359623,1.075618,0.827379,-1.001578,0.02331629,
1529062509048,1.054838,0.794952,-0.9846953,1.052062,0.799973,-0.9466566,1.053297,0.8012655,-0.9204401,1.078951,0.8383458,-0.9325715,1.07416,0.8289454,-0.9083282,1.068724,0.8118744,-0.9061512,1.097209,0.829074,-0.933633,1.089426,0.8168246,-0.9054891,1.079101,0.7991714,-0.9000045,1.116254,0.8192519,-0.9420047,1.111855,0.8103015,-0.9133242,1.100945,0.7952216,-0.9041585,1.129853,0.8063324,-0.9519345,1.128389,0.8024983,-0.9288648,1.118718,0.7931501,-0.919398,1.087718,0.8076477,-0.9835374,0.02355247,
1529062509066,1.061422,0.7858171,-0.9748341,1.058888,0.7897044,-0.9366453,1.06033,0.7903349,-0.9103992,1.084857,0.8287196,-0.9218577,1.080685,0.8186999,-0.8976876,1.075773,0.8014531,-0.8956907,1.103441,0.8201861,-0.9233052,1.096507,0.8072945,-0.8952082,1.086815,0.7892689,-0.8898437,1.122522,0.8108578,-0.932151,1.118701,0.8009987,-0.9036216,1.108378,0.7853937,-0.894679,1.136342,0.7985512,-0.9425231,1.135137,0.7939267,-0.9195515,1.12582,0.7840303,-0.9102997,1.093944,0.7995375,-0.9736937,0.02405092,
1529062509107,1.068818,0.774067,-0.9573878,1.06454,0.77622,-0.9192221,1.064203,0.7761135,-0.8928872,1.08974,0.8149153,-0.9017085,1.084911,0.8038807,-0.8779785,1.080415,0.7864506,-0.8765419,1.108767,0.8070347,-0.9029985,1.101423,0.7931211,-0.875351,1.092106,0.774752,-0.8704782,1.127975,0.7980794,-0.9118257,1.123295,0.7866375,-0.8838778,1.113162,0.7704126,-0.8757679,1.142405,0.7864954,-0.922393,1.140386,0.7804297,-0.8997495,1.131039,0.7698639,-0.8912308,1.101107,0.7883685,-0.9546354,0.02523566,
1529062509146,1.078468,0.7544619,-0.9344211,1.07305,0.7546205,-0.8963369,1.072564,0.7531432,-0.8700219,1.094229,0.7942771,-0.8765867,1.089942,0.781509,-0.8533939,1.086935,0.7636838,-0.8525318,1.113733,0.7882276,-0.877593,1.106857,0.7720386,-0.8511412,1.099105,0.7526541,-0.8479408,1.133571,0.781098,-0.8861295,1.128614,0.7671658,-0.8593435,1.119618,0.7495682,-0.8529126,1.149213,0.7713059,-0.8965377,1.146305,0.7631076,-0.8747002,1.137335,0.7511251,-0.8677493,1.109509,0.7714839,-0.9300642,0.0249703,
1529062509187,1.084203,0.7386217,-0.9107254,1.078641,0.736788,-0.8727148,1.078172,0.7337959,-0.8464791,1.09907,0.7751622,-0.8509359,1.094106,0.7610432,-0.8281338,1.090494,0.743196,-0.8271514,1.118224,0.7687241,-0.8517764,1.110294,0.7509632,-0.8263937,1.102011,0.7316506,-0.8241656,1.137964,0.7615228,-0.8600718,1.131835,0.7459379,-0.8341833,1.122317,0.7283012,-0.8286434,1.153562,0.7515636,-0.8704898,1.14954,0.7414972,-0.8494211,1.140044,0.729411,-0.8433447,1.115038,0.7549857,-0.9048412,0.02477384,
1529062509250,1.095441,0.7181718,-0.8794637,1.088942,0.7134142,-0.841867,1.087768,0.7081529,-0.8159938,1.110088,0.7507077,-0.8170693,1.102868,0.7362224,-0.7943915,1.097708,0.7187356,-0.7927821,1.129213,0.7433277,-0.8173375,1.119457,0.7260759,-0.791181,1.109715,0.7076906,-0.7866954,1.148708,0.7348217,-0.8254598,1.141094,0.7191225,-0.799473,1.13052,0.7023146,-0.7929697,1.163943,0.7236756,-0.836118,1.159051,0.7126951,-0.8153625,1.148964,0.7011908,-0.8088841,1.12684,0.7322614,-0.8714709,0.02737838,
1529062509267,1.100177,0.7097414,-0.8645339,1.09316,0.7038633,-0.8271888,1.091634,0.6978123,-0.8015038,1.113715,0.7411235,-0.8010896,1.105902,0.7265437,-0.7784792,1.10053,0.7091376,-0.776756,1.132984,0.7338635,-0.801026,1.122895,0.7168925,-0.7744922,1.113033,0.6987598,-0.7691499,1.152613,0.7252748,-0.8090269,1.144812,0.7096418,-0.7828571,1.134261,0.6929872,-0.7758343,1.167988,0.7140073,-0.8197461,1.163076,0.7028,-0.7989842,1.153125,0.6913098,-0.7922217,1.131428,0.7236544,-0.8556633,0.0286328,
1529062509307,1.105955,0.7011735,-0.8410559,1.09816,0.6934233,-0.8042282,1.096242,0.6858078,-0.7789841,1.118434,0.730258,-0.7759085,1.109175,0.715929,-0.7532615,1.102672,0.6989561,-0.7510235,1.137678,0.7225263,-0.7751521,1.126561,0.706556,-0.7479777,1.115808,0.6893408,-0.7413181,1.157013,0.7127745,-0.7829713,1.148226,0.6973723,-0.7566758,1.137023,0.68138,-0.7490128,1.172076,0.7007298,-0.7937214,1.166523,0.6892008,-0.7730484,1.156351,0.6781101,-0.7658753,1.13711,0.7134255,-0.8305281,0.03155958,
1529062509345,1.108882,0.6871643,-0.8152732,1.101626,0.6770674,-0.7789456,1.100499,0.6674584,-0.7543275,1.120531,0.7138898,-0.7485178,1.110835,0.6996614,-0.7255062,1.103451,0.6831372,-0.7223259,1.13958,0.7057735,-0.7474743,1.128222,0.6901856,-0.7198933,1.116984,0.6736032,-0.7123923,1.158501,0.6952766,-0.7554132,1.149173,0.6795541,-0.7294093,1.137468,0.6638331,-0.7219215,1.173137,0.6829456,-0.7663878,1.167032,0.6709331,-0.7460512,1.156642,0.6599748,-0.7388772,1.1394,0.6983491,-0.8035601,0.0357581,
1529062509387,1.110738,0.673529,-0.7882192,1.105413,0.661312,-0.7522519,1.105845,0.6501289,-0.7282593,1.1233,0.6982701,-0.7204459,1.114717,0.6838278,-0.6967524,1.107252,0.667528,-0.6923175,1.142256,0.6900926,-0.7199258,1.132232,0.6742581,-0.6916428,1.121472,0.6579546,-0.6828101,1.160878,0.6799792,-0.7284529,1.152684,0.6641141,-0.7019581,1.14148,0.6484729,-0.6935551,1.175009,0.6677104,-0.7401824,1.169687,0.6553257,-0.7196372,1.160105,0.6442738,-0.7113776,1.140711,0.6844825,-0.7764944,0.03995655,
1529062509452,1.115145,0.6544682,-0.7578583,1.111501,0.6409372,-0.7221819,1.113219,0.6289328,-0.6986275,1.127232,0.6788216,-0.6894053,1.120246,0.6647456,-0.664354,1.11338,0.6489655,-0.6572165,1.146348,0.6708957,-0.6890311,1.138344,0.6552233,-0.6594904,1.128944,0.6394579,-0.6482911,1.164819,0.661495,-0.6977047,1.158155,0.6458451,-0.6702618,1.148246,0.6304144,-0.6598313,1.178972,0.6494292,-0.7097439,1.174883,0.6368824,-0.6887079,1.16732,0.6259065,-0.6781815,1.144133,0.6660296,-0.7459056,0.0460022,
1529062509470,1.115959,0.6464598,-0.7434693,1.112864,0.6324573,-0.707913,1.114979,0.6202694,-0.6844908,1.127379,0.6707443,-0.674787,1.121008,0.6566126,-0.6493931,1.114636,0.6409748,-0.6413645,1.146637,0.6632552,-0.6744357,1.13934,0.6474795,-0.6446146,1.130606,0.6317614,-0.6327944,1.165259,0.6543173,-0.6831566,1.159197,0.6385095,-0.6555449,1.149895,0.622974,-0.6446905,1.179673,0.642656,-0.6952509,1.176127,0.6300087,-0.6740906,1.169657,0.6191164,-0.6626744,1.144416,0.658695,-0.731377,0.04784046,
