time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529418328415,1.142276,0.5312066,-0.6462924,1.126838,0.5208436,-0.6126954,1.123899,0.50754,-0.5906157,1.15148,0.553566,-0.5719348,1.147178,0.5473231,-0.5425771,1.140974,0.537497,-0.5276287,1.16871,0.5440649,-0.567617,1.161889,0.5375167,-0.5342435,1.153021,0.5279739,-0.5168502,1.186772,0.5323952,-0.5730305,1.1813,0.5264308,-0.5412375,1.172592,0.5174739,-0.5240363,1.196648,0.5138938,-0.584201,1.185615,0.5025984,-0.5668794,1.172355,0.4930038,-0.5662858,1.172029,0.5352527,-0.6269183,0.07180769,
1529418328452,1.135289,0.533831,-0.6675421,1.120563,0.5231736,-0.6338332,1.118574,0.5090212,-0.6123215,1.144002,0.5547701,-0.5931733,1.139104,0.5479357,-0.5640709,1.13226,0.5377339,-0.5497212,1.160834,0.544695,-0.5888623,1.153293,0.537632,-0.5557725,1.14376,0.5278797,-0.5388782,1.178534,0.5328803,-0.5942641,1.172278,0.5268792,-0.5626665,1.162906,0.5180383,-0.5457435,1.18745,0.5137247,-0.6059468,1.175014,0.5022668,-0.5902672,1.161328,0.4933799,-0.5917931,1.164456,0.5367457,-0.6482208,0.07021758,
1529418328482,1.12544,0.5372548,-0.6899894,1.112036,0.5261492,-0.6559856,1.111099,0.5111344,-0.6350763,1.134665,0.5568773,-0.615836,1.129187,0.5495777,-0.5869225,1.12181,0.5393582,-0.5728693,1.151273,0.5461555,-0.611817,1.143493,0.5388513,-0.5787632,1.133791,0.5293992,-0.5617802,1.168485,0.5337059,-0.6175302,1.161889,0.5272179,-0.586116,1.152113,0.5183561,-0.5694199,1.176252,0.514337,-0.6298029,1.162843,0.5030371,-0.6153098,1.148854,0.4950781,-0.6183879,1.154258,0.5389767,-0.6712455,0.06914486,
1529418328507,1.114632,0.5383501,-0.7142514,1.102076,0.5267997,-0.6800777,1.101647,0.5115223,-0.659327,1.122942,0.5572767,-0.6403362,1.116579,0.5493782,-0.6116725,1.10895,0.5391463,-0.5977299,1.139805,0.5465841,-0.6364076,1.131638,0.5388147,-0.6034302,1.122081,0.5294822,-0.5862724,1.157242,0.5341529,-0.6422015,1.15049,0.527035,-0.6109023,1.140835,0.5180171,-0.5941877,1.165347,0.5152812,-0.6544616,1.152149,0.5039579,-0.6397368,1.138138,0.4959689,-0.6425526,1.143138,0.5401238,-0.6957808,0.06790154,
1529418328534,1.105297,0.5402688,-0.7366109,1.093185,0.5287102,-0.702271,1.092931,0.5135651,-0.6813524,1.113057,0.5594527,-0.6630231,1.105641,0.5512613,-0.6347349,1.097486,0.5407777,-0.6212846,1.130206,0.5488432,-0.6591405,1.121354,0.5408326,-0.6263878,1.111456,0.5313296,-0.6095341,1.14813,0.5363985,-0.6649286,1.141404,0.52893,-0.6336731,1.131882,0.5197622,-0.6169615,1.156754,0.5181457,-0.6768634,1.144133,0.5070448,-0.6611435,1.130157,0.4987006,-0.6627777,1.133755,0.5423343,-0.7183714,0.06610151,
1529418328561,1.093724,0.5425031,-0.7612498,1.080864,0.5312826,-0.7270412,1.079697,0.5161844,-0.7060831,1.10015,0.5608247,-0.6878622,1.090281,0.5520833,-0.6605831,1.080622,0.5413141,-0.6484348,1.117256,0.5497096,-0.6837072,1.106587,0.5415819,-0.6515216,1.095546,0.532216,-0.6353242,1.135339,0.5365654,-0.6892202,1.127746,0.5288674,-0.6581945,1.117584,0.5198249,-0.6418105,1.145069,0.5190815,-0.7002805,1.134466,0.5092507,-0.6809903,1.120962,0.500777,-0.6771723,1.122005,0.5435137,-0.74273,0.06289419,
1529418328588,1.077754,0.5437653,-0.7934649,1.063895,0.533915,-0.7591354,1.061167,0.5198736,-0.7374104,1.082506,0.5629749,-0.7209525,1.070053,0.5542015,-0.6947861,1.059029,0.5435719,-0.6837091,1.099409,0.5512781,-0.716143,1.086478,0.543237,-0.6847799,1.074137,0.5341472,-0.669364,1.117615,0.5375521,-0.7208562,1.108781,0.5302669,-0.6900085,1.097932,0.5218086,-0.67374,1.128803,0.5206945,-0.7306427,1.121124,0.5131778,-0.7081712,1.110235,0.5058533,-0.6977103,1.105745,0.5441079,-0.7745616,0.05873674,
1529418328614,1.063235,0.5433331,-0.8195941,1.048384,0.5357913,-0.7849841,1.044138,0.5235333,-0.7623252,1.067281,0.5637176,-0.7483069,1.052491,0.55473,-0.7236958,1.040211,0.5436594,-0.7146083,1.083569,0.5514983,-0.7430878,1.067709,0.5431644,-0.7133552,1.053478,0.5336858,-0.6999527,1.101902,0.537419,-0.7469261,1.091082,0.5304316,-0.7166858,1.07901,0.5222878,-0.7011096,1.114126,0.520815,-0.7557295,1.107229,0.5148273,-0.7324556,1.097279,0.5086527,-0.7204081,1.091363,0.5432517,-0.8005869,0.05193638,
1529418328663,1.023941,0.5378601,-0.8846183,1.005,0.534233,-0.8512348,0.9964428,0.5257083,-0.8278221,1.020838,0.5612683,-0.8166359,1.000761,0.550902,-0.7973387,0.9870517,0.5385777,-0.7936687,1.035503,0.5485656,-0.809342,1.012563,0.5386983,-0.7857089,0.99511,0.5278689,-0.7788466,1.053561,0.534101,-0.8098027,1.035452,0.5264018,-0.7836385,1.019363,0.5177472,-0.7726499,1.067637,0.5177764,-0.8153071,1.056669,0.512594,-0.7936054,1.043988,0.506891,-0.7842379,1.050869,0.5381816,-0.8630796,0.0376864,
1529418328695,1.011158,0.5287744,-0.9086633,0.9884011,0.5259914,-0.8776133,0.9767005,0.5186179,-0.8551509,1.001087,0.5531864,-0.8425108,0.9788324,0.5418956,-0.826704,0.9653274,0.5289576,-0.8259218,1.014483,0.5405215,-0.8338318,0.9882789,0.5294911,-0.8149958,0.9704008,0.5177447,-0.8127139,1.032008,0.525897,-0.832168,1.00949,0.5168809,-0.810516,0.9916851,0.5073256,-0.8039129,1.046674,0.509882,-0.835382,1.031761,0.5040656,-0.8166644,1.017278,0.4979782,-0.8109217,1.035793,0.5299327,-0.8844612,0.03302413,
1529418328722,0.9927825,0.5148641,-0.9491909,0.9668689,0.5120018,-0.9206398,0.952534,0.5050882,-0.8995384,0.9750367,0.5387688,-0.8851265,0.9514465,0.5262951,-0.8722482,0.9384089,0.5129798,-0.8733908,0.9872514,0.5263429,-0.8753084,0.9591397,0.5137392,-0.8612187,0.942067,0.5010417,-0.8633687,1.004225,0.5118064,-0.8720008,0.9786587,0.5010459,-0.855329,0.9603606,0.4904222,-0.8532559,1.019298,0.4964084,-0.8732088,1.001317,0.4896844,-0.8580135,0.9860636,0.483076,-0.8559711,1.014515,0.51661,-0.9225674,0.03074887,
1529418328748,0.9835988,0.5043232,-0.97206,0.9560072,0.5010746,-0.9451467,0.9401188,0.49421,-0.925128,0.9613702,0.5265744,-0.9090707,0.9371372,0.5135422,-0.8977987,0.924276,0.5002547,-0.8999193,0.9728509,0.5140634,-0.8988057,0.9440351,0.5007436,-0.887213,0.9276049,0.4879013,-0.8914325,0.9893622,0.4993533,-0.8950428,0.9625822,0.487514,-0.8815963,0.944555,0.4764271,-0.8825158,1.00447,0.4841257,-0.8954643,0.985129,0.4765902,-0.8826426,0.9698694,0.4697599,-0.8828573,1.003226,0.505568,-0.9442183,0.03038115,
1529418328774,0.9698003,0.4915159,-0.9990287,0.941361,0.4873821,-0.9731047,0.9245743,0.48032,-0.9538413,0.9442488,0.5110326,-0.9368142,0.9201345,0.4966308,-0.9266623,0.9076252,0.4830941,-0.9293234,0.9554024,0.4986773,-0.9265851,0.9265711,0.4838468,-0.9169303,0.9109062,0.470616,-0.9224825,0.9718477,0.4842185,-0.9228722,0.9446565,0.4706859,-0.9121393,0.927399,0.4589554,-0.9153661,0.9871539,0.469514,-0.9230127,0.9669724,0.4606726,-0.9125805,0.9521188,0.4534031,-0.9148904,0.9880681,0.4924996,-0.97052,0.02993477,
1529418328801,0.9617895,0.4824427,-1.016152,0.9330943,0.4775508,-0.9906088,0.9159919,0.4703683,-0.9716425,0.9343331,0.5002881,-0.9546878,0.9108157,0.4844532,-0.9453703,0.8991254,0.4702967,-0.9485738,0.9457614,0.488396,-0.9443816,0.9175124,0.4719317,-0.9358504,0.9027254,0.4579788,-0.9420974,0.9625688,0.4745964,-0.9406852,0.9356741,0.4594545,-0.9314348,0.919203,0.4469266,-0.9356122,0.9782745,0.4606027,-0.9406973,0.957916,0.4505385,-0.9318494,0.9435847,0.4426527,-0.9352525,0.9793568,0.4839388,-0.9874701,0.02857704,
1529418328836,0.9514324,0.4694172,-1.038003,0.9233209,0.461327,-1.012529,0.9062138,0.4528832,-0.994032,0.9237211,0.4838788,-0.9758629,0.9009718,0.4664603,-0.9676361,0.8900818,0.4517807,-0.9715106,0.9362988,0.4719239,-0.9659805,0.9090843,0.4533907,-0.9577336,0.8945591,0.4388611,-0.9636631,0.9538528,0.4586006,-0.9635359,0.9280218,0.4409934,-0.9553546,0.9121943,0.4276707,-0.959854,0.9701282,0.4453179,-0.9646928,0.9503601,0.4329628,-0.957359,0.9364977,0.4244084,-0.9613506,0.96929,0.4713266,-1.009518,0.02772489,
1529418328869,0.9430066,0.4578214,-1.057278,0.9154613,0.4479683,-1.031785,0.8986273,0.4388944,-1.013311,0.913927,0.4720748,-0.9961029,0.8923115,0.4530857,-0.9885797,0.882881,0.437405,-0.992584,0.9277423,0.4612982,-0.9855288,0.9018962,0.4408284,-0.9769338,0.8882295,0.4250184,-0.9819036,0.9460282,0.4492273,-0.9835279,0.9213616,0.429487,-0.9764257,0.9065829,0.41479,-0.9807748,0.9632049,0.4371287,-0.9845332,0.9440922,0.4230362,-0.9789988,0.9311714,0.4134691,-0.9840174,0.9607448,0.462163,-1.028775,0.0260721,
1529418328894,0.9392424,0.453813,-1.070751,0.9118473,0.4438042,-1.045143,0.8950562,0.4347826,-1.026601,0.910181,0.4686677,-1.010118,0.8889504,0.4492272,-1.003457,0.8804905,0.4332303,-1.008231,0.9242922,0.4580925,-0.9994611,0.8988618,0.4370247,-0.9917789,0.8859002,0.4208793,-0.9975755,0.9427864,0.4463702,-0.9972954,0.9184995,0.4261563,-0.9910383,0.9044562,0.411208,-0.9965905,0.9600465,0.4344786,-0.9983332,0.9410319,0.4200764,-0.9935583,0.9285209,0.4104943,-0.9994053,0.9571582,0.4589978,-1.042333,0.02349542,
1529418328921,0.9352143,0.4511402,-1.085504,0.9085184,0.440509,-1.059409,0.8923116,0.4310625,-1.040566,0.9075505,0.4657758,-1.024686,0.8870717,0.445665,-1.019105,0.8800633,0.4295286,-1.025304,0.9219978,0.455336,-1.01445,0.8970963,0.4336475,-1.007839,0.8849714,0.4173631,-1.014899,0.9407595,0.4440101,-1.012337,0.9168237,0.4235076,-1.006236,0.9031615,0.4084774,-1.012372,0.9580683,0.4322869,-1.013855,0.9391992,0.4177161,-1.009185,0.9267654,0.4081175,-1.015182,0.9539158,0.4567846,-1.057439,0.01962892,
1529418328948,0.9383508,0.4491173,-1.088823,0.9104639,0.4415603,-1.062935,0.8936006,0.4336933,-1.043968,0.9118742,0.4649438,-1.028643,0.8910016,0.445382,-1.024124,0.8845702,0.4296551,-1.031526,0.9254394,0.4541472,-1.018325,0.8998085,0.4335504,-1.013389,0.8884457,0.4179879,-1.022567,0.9435484,0.4422035,-1.01548,0.9186943,0.4231741,-1.010376,0.9053762,0.4089866,-1.018478,0.9601218,0.429744,-1.016568,0.9403481,0.4166733,-1.012254,0.9280715,0.4079599,-1.019481,0.9576654,0.4533608,-1.060529,0.01589511,
1529418328974,0.9443853,0.4527347,-1.09164,0.9177127,0.4474517,-1.064072,0.9024602,0.4399238,-1.043736,0.92259,0.4694893,-1.031474,0.9013956,0.4503566,-1.027945,0.8949307,0.4350831,-1.036302,0.9355384,0.4582049,-1.021922,0.908985,0.4388741,-1.017928,0.8972079,0.4241118,-1.027945,0.9530401,0.4454662,-1.019045,0.9271177,0.4282085,-1.013347,0.9127805,0.4149901,-1.021316,0.9685568,0.4321316,-1.020644,0.9479349,0.420785,-1.015489,0.9348555,0.41291,-1.02223,0.9654317,0.4553263,-1.064468,0.01163558,
1529418329000,0.9520228,0.4640762,-1.091047,0.9282095,0.4607075,-1.060754,0.9153124,0.4536312,-1.038766,0.9372936,0.483713,-1.030088,0.9156047,0.4660759,-1.025428,0.9085692,0.4515068,-1.034329,0.9498302,0.471488,-1.02182,0.9226784,0.4541264,-1.016976,0.910364,0.4404286,-1.02766,0.9664036,0.45743,-1.019936,0.9398941,0.4422716,-1.012931,0.924752,0.4303582,-1.021178,0.9804844,0.4431183,-1.02232,0.9594959,0.433833,-1.015767,0.9457458,0.4271511,-1.022323,0.9755664,0.4656118,-1.066083,0.008346993,
1529418329027,0.961055,0.477301,-1.089146,0.9402361,0.4765069,-1.0566,0.9296255,0.4707082,-1.03314,0.9522823,0.5014637,-1.02853,0.93067,0.4853186,-1.02135,0.9232212,0.4707849,-1.029696,0.9648508,0.4887622,-1.020942,0.9379855,0.4727804,-1.014156,0.9257232,0.4593309,-1.024929,0.9809495,0.4740526,-1.019429,0.9547507,0.4603956,-1.010333,0.9392941,0.4489181,-1.018314,0.994164,0.4591572,-1.021909,0.9735522,0.4513379,-1.013467,0.9594562,0.4450755,-1.019498,0.9865655,0.4793129,-1.066524,0.007271687,
1529418329062,0.9775033,0.4995264,-1.081728,0.9617285,0.501923,-1.046576,0.9544718,0.4973912,-1.021689,0.9796826,0.5267038,-1.021633,0.9577738,0.5134917,-1.010796,0.9478288,0.4997728,-1.017663,0.9915594,0.5128487,-1.015282,0.9645003,0.5002724,-1.004715,0.9502593,0.4880965,-1.014184,1.006107,0.4964682,-1.015032,0.9802608,0.4862444,-1.002189,0.963138,0.4764318,-1.008502,1.017299,0.4802185,-1.01831,0.9976067,0.4753083,-1.006527,0.9823329,0.4705008,-1.010526,1.005711,0.4994062,-1.062847,0.008124948,
1529418329095,1.000481,0.515715,-1.071413,0.9900755,0.5198217,-1.034501,0.9860603,0.5155265,-1.008933,1.014156,0.5450493,-1.013201,0.9924076,0.5358157,-0.9984646,0.9796082,0.5235565,-1.002866,1.024825,0.5298411,-1.007668,0.9981685,0.521884,-0.9925343,0.9811417,0.5116109,-0.9991249,1.037168,0.5115305,-1.008346,1.012629,0.5057384,-0.9910249,0.993511,0.4983416,-0.9940145,1.045684,0.4935728,-1.012229,1.027993,0.4919114,-0.9968392,1.011704,0.4893005,-0.9976233,1.030493,0.5129068,-1.056345,0.01195461,
1529418329121,1.025332,0.5288038,-1.06036,1.019778,0.5347843,-1.022668,1.019054,0.5310435,-0.9968249,1.048915,0.5622416,-1.00634,1.029198,0.5564823,-0.9875084,1.015106,0.5449315,-0.9885614,1.059396,0.5464501,-1.00107,1.035045,0.5420257,-0.9811377,1.016491,0.5326032,-0.9837624,1.070746,0.5272534,-1.001922,1.049369,0.5249369,-0.9800177,1.029495,0.5188847,-0.9784547,1.077629,0.5081293,-1.005646,1.063082,0.5088167,-0.9871442,1.04678,0.5074215,-0.9845799,1.056963,0.5255001,-1.049076,0.01663577,
1529418329147,1.039177,0.5396609,-1.051704,1.036256,0.5473239,-1.013998,1.03735,0.545019,-0.9879911,1.068197,0.5769342,-1.001737,1.050721,0.5736173,-0.9798175,1.036315,0.5627041,-0.9771967,1.079538,0.5612117,-0.9962614,1.058144,0.5592746,-0.9720637,1.039032,0.5507305,-0.9696265,1.090689,0.5417752,-0.9971621,1.072704,0.5416949,-0.9717633,1.053405,0.5366449,-0.9653523,1.096999,0.5219547,-1.000496,1.085313,0.5238553,-0.9797891,1.069877,0.523155,-0.9735906,1.072122,0.5371556,-1.043155,0.02074498,
1529418329174,1.057132,0.5547761,-1.039503,1.057864,0.5637281,-1.001928,1.06169,0.562799,-0.9760531,1.091931,0.5962226,-0.9949801,1.078327,0.595101,-0.9698951,1.064697,0.584878,-0.9628515,1.104877,0.5809024,-0.9901503,1.088601,0.5812936,-0.9613703,1.070685,0.5739757,-0.9521583,1.116609,0.561613,-0.9917698,1.104393,0.5637026,-0.962581,1.0877,0.5597999,-0.9502848,1.122874,0.5411302,-0.995123,1.115865,0.5438757,-0.9720635,1.102901,0.543675,-0.9614532,1.091214,0.5536982,-1.034871,0.02589995,
1529418329201,1.069465,0.5631341,-1.030739,1.071668,0.5743158,-0.9937947,1.07642,0.5753381,-0.9680361,1.108923,0.6071047,-0.9902574,1.098547,0.6092525,-0.9635689,1.085724,0.6006693,-0.953451,1.122769,0.5919716,-0.9855634,1.111374,0.596243,-0.9543997,1.095518,0.5913794,-0.9407934,1.134177,0.5720819,-0.9872625,1.126864,0.5771656,-0.9565912,1.112817,0.575287,-0.9409071,1.139788,0.5506572,-0.9901332,1.136689,0.5547457,-0.966269,1.126022,0.5555825,-0.9533913,1.104364,0.5618212,-1.028313,0.03067493,
