time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528905304992,0.8464792,0.8167678,-0.9656808,0.8205497,0.8098862,-0.94037,0.8088807,0.7985253,-0.9226269,0.85469,0.8157976,-0.8898998,0.8447919,0.8005623,-0.8682547,0.8360244,0.7873229,-0.8605395,0.8637752,0.7999219,-0.8966622,0.8420882,0.7773445,-0.8873775,0.8285379,0.7633362,-0.890348,0.8821658,0.7908082,-0.8997536,0.8622725,0.771308,-0.8911077,0.8484063,0.7593277,-0.8978797,0.897151,0.7795329,-0.9096863,0.8816159,0.7658279,-0.9044537,0.8694142,0.760987,-0.9124346,0.8794536,0.8108471,-0.9428654,0.06868126,
1528905305047,0.8576113,0.8093976,-0.9799789,0.8311996,0.8022701,-0.9552616,0.8191805,0.7906535,-0.9379101,0.8642426,0.8058923,-0.9046191,0.8527278,0.7893566,-0.8850625,0.8432497,0.775465,-0.8798261,0.8743948,0.7904693,-0.9114829,0.8533361,0.7682588,-0.9088839,0.8420861,0.7568476,-0.9204744,0.892814,0.7814468,-0.9145885,0.8729492,0.7616936,-0.9080998,0.859758,0.7506813,-0.9172005,0.9082102,0.7707204,-0.924061,0.8928456,0.7567902,-0.9190618,0.880702,0.7520151,-0.9271685,0.8905659,0.8027719,-0.9568413,0.06468206,
1528905305071,0.8626009,0.8093106,-0.9846834,0.8361721,0.8021075,-0.9600222,0.8241236,0.7903677,-0.9427631,0.8689431,0.8049008,-0.9095261,0.8571062,0.7880615,-0.8904225,0.8474836,0.7741243,-0.885661,0.8792396,0.7895911,-0.9163343,0.8585395,0.7679536,-0.9151853,0.8482305,0.7578998,-0.9286773,0.8974453,0.7804088,-0.9198102,0.8774341,0.7607373,-0.9143023,0.8644805,0.7503177,-0.9243201,0.9129006,0.7698082,-0.9290729,0.8974552,0.7559168,-0.9242197,0.8853091,0.7513079,-0.9324019,0.8954486,0.8022578,-0.9615858,0.06379799,
1528905305111,0.8701326,0.8076856,-0.989472,0.8439296,0.8005366,-0.9645573,0.8319489,0.7888041,-0.947229,0.8762725,0.8027918,-0.9146922,0.8642162,0.7858626,-0.8956237,0.8545084,0.7721131,-0.8904246,0.8864181,0.7875845,-0.9215089,0.8658578,0.766705,-0.9215373,0.8564535,0.7579818,-0.9364539,0.9042265,0.7779974,-0.9256148,0.8838987,0.7587726,-0.9219416,0.871708,0.7497374,-0.9338185,0.9196709,0.7674606,-0.9344288,0.9039098,0.7538906,-0.930002,0.8918638,0.7497506,-0.9385548,0.9027529,0.8001947,-0.9666197,0.06335822,
1528905305137,0.8774176,0.8075383,-0.9944372,0.8511301,0.8008187,-0.9695115,0.8390428,0.7891471,-0.9522442,0.8828954,0.8020254,-0.9198123,0.8702253,0.7853019,-0.9009286,0.8601439,0.7717859,-0.8958432,0.8928325,0.7867458,-0.9264144,0.8719355,0.7665594,-0.926667,0.8627313,0.7583445,-0.9419759,0.9102743,0.776606,-0.9310398,0.8895308,0.7580622,-0.9285625,0.8778544,0.7501056,-0.9415607,0.9256815,0.7658775,-0.9394677,0.9095973,0.7526974,-0.9351716,0.8975717,0.7489109,-0.943893,0.9097584,0.7991619,-0.9715775,0.06267166,
1528905305177,0.8848689,0.805033,-0.9973398,0.8589709,0.7977065,-0.9721715,0.8471487,0.7856797,-0.9549566,0.8910024,0.7977523,-0.9230635,0.8784245,0.7804693,-0.9047126,0.8683839,0.7667035,-0.9004095,0.9012971,0.7827871,-0.9296516,0.8806069,0.7624013,-0.9295392,0.8710238,0.7541637,-0.9446454,0.9187798,0.7728022,-0.9349476,0.8983244,0.7539643,-0.9324046,0.8866768,0.7463742,-0.9454523,0.9342757,0.7624501,-0.9436695,0.9185475,0.748837,-0.9388905,0.9062774,0.7447406,-0.9470841,0.9173968,0.7962784,-0.9751178,0.06153386,
1528905305231,0.8954197,0.8043082,-1.001262,0.8697611,0.7973727,-0.9758047,0.8583801,0.7852795,-0.9584244,0.901229,0.7972773,-0.9273053,0.8882104,0.7800183,-0.9091864,0.8780262,0.7663289,-0.9050443,0.9119419,0.782481,-0.9330837,0.8910956,0.7620048,-0.9318714,0.881066,0.7532763,-0.9463292,0.9288919,0.7721937,-0.939393,0.9083979,0.7538502,-0.9382839,0.8975961,0.7471987,-0.9525089,0.9445298,0.7618026,-0.9475607,0.9286393,0.7483919,-0.9430018,0.9165236,0.7445918,-0.9514981,0.9278795,0.795441,-0.9791033,0.05995449,
1528905305257,0.9028199,0.8091592,-1.002223,0.8778427,0.8019798,-0.9761953,0.8671382,0.789629,-0.9586057,0.9098865,0.8022189,-0.9285376,0.8970721,0.7848387,-0.9104235,0.8869602,0.7710745,-0.9063572,0.9208241,0.7875303,-0.9342529,0.9000704,0.7668072,-0.9321761,0.8895079,0.7577083,-0.9460207,0.9374507,0.7772492,-0.9414093,0.9171729,0.7590877,-0.9408906,0.906615,0.7529406,-0.955614,0.9530663,0.76697,-0.9496371,0.9372563,0.7535284,-0.9450488,0.9250962,0.7498845,-0.9535266,0.9356723,0.8005806,-0.9807224,0.05888194,
1528905305283,0.9113565,0.8109139,-1.001293,0.887172,0.803328,-0.9746546,0.8771865,0.7907478,-0.9568219,0.9210033,0.8040347,-0.9276219,0.909022,0.7865822,-0.9091769,0.8992118,0.7725909,-0.9052418,0.9320597,0.7894807,-0.9336726,0.9117959,0.768411,-0.9306988,0.9009371,0.7589338,-0.9440846,0.9487246,0.779514,-0.9413562,0.9289625,0.7610639,-0.9400811,0.9182458,0.7548294,-0.9546107,0.9642317,0.7695549,-0.9502431,0.9488961,0.7559489,-0.9452667,0.936754,0.7523215,-0.9537209,0.9451646,0.8027267,-0.9807758,0.05895156,
1528905305310,0.9186723,0.814529,-0.9998432,0.895146,0.8074126,-0.9725351,0.8857106,0.7949988,-0.9543061,0.9301085,0.8087562,-0.9262127,0.9184219,0.7916787,-0.9074628,0.9085573,0.7776896,-0.9038734,0.9408242,0.7939249,-0.932671,0.9207067,0.7732594,-0.9298878,0.9103007,0.7644145,-0.9439464,0.9575057,0.7838868,-0.9402362,0.9378253,0.7655728,-0.9381704,0.9269453,0.7592896,-0.9524852,0.9727192,0.7737945,-0.9494126,0.9574871,0.760461,-0.9440159,0.9453387,0.7569568,-0.9524814,0.953019,0.8064777,-0.9800082,0.05800891,
1528905305337,0.9325875,0.8187597,-0.9957494,0.9097366,0.8129961,-0.9675461,0.9005508,0.8015218,-0.9485431,0.9456515,0.8162099,-0.922351,0.9338971,0.8000731,-0.9029635,0.9237911,0.786341,-0.8991174,0.9558714,0.800862,-0.9288297,0.9354506,0.780768,-0.9255849,0.9250287,0.7718681,-0.9396052,0.9720327,0.7902508,-0.9365747,0.9519995,0.772621,-0.9345711,0.9413868,0.7665157,-0.9491792,0.986761,0.7797104,-0.9454036,0.9710323,0.7672651,-0.9400432,0.959138,0.764169,-0.9490063,0.9673361,0.8110653,-0.9764977,0.05668746,
1528905305364,0.9424949,0.8247718,-0.9923627,0.9202822,0.8204088,-0.9633892,0.9113843,0.8099606,-0.9436398,0.9573188,0.8249679,-0.9194305,0.9457705,0.8092587,-0.8998063,0.9356241,0.7955247,-0.896308,0.9672946,0.8094292,-0.9257991,0.9469814,0.7896287,-0.9222046,0.936787,0.7807384,-0.9363623,0.9830799,0.7985184,-0.933697,0.9631162,0.7813323,-0.931879,0.9529338,0.7753503,-0.9469156,0.997389,0.7878351,-0.9422522,0.9814538,0.7761632,-0.9372569,0.9702298,0.7735187,-0.9471484,0.9777157,0.8178518,-0.9736899,0.05510233,
1528905305403,0.9586381,0.8377434,-0.9810246,0.9382032,0.8350599,-0.9505087,0.9302891,0.8261178,-0.9295871,0.9783773,0.8413457,-0.9097881,0.9675562,0.8255914,-0.8904102,0.9575589,0.8115997,-0.8884145,0.9885062,0.8260115,-0.916057,0.9687968,0.806188,-0.9107876,0.95816,0.7968141,-0.9242922,1.004006,0.8149254,-0.924391,0.9847227,0.7978833,-0.9211369,0.9744468,0.7920469,-0.9360069,1.017502,0.8042114,-0.9334865,1.001994,0.7929842,-0.9277673,0.9911005,0.7904543,-0.9379066,0.9953403,0.8322377,-0.9645563,0.05147424,
1528905305430,0.9661109,0.845161,-0.9732406,0.9467009,0.8424067,-0.9420558,0.9394354,0.8335029,-0.920873,0.9892155,0.8483247,-0.9027159,0.9794106,0.8324058,-0.8831233,0.9695766,0.8183262,-0.8812544,0.999292,0.8332276,-0.9091953,0.980058,0.8132168,-0.9023196,0.9686016,0.8034116,-0.914785,1.014649,0.8222613,-0.9181913,0.9957878,0.8048921,-0.913128,0.9842441,0.7983775,-0.9268115,1.027689,0.8115934,-0.9282486,1.012736,0.8001505,-0.9215237,1.001232,0.7974079,-0.9309165,1.003787,0.8396726,-0.9583344,0.05204289,
1528905305457,0.9874849,0.8524524,-0.9650139,0.9697313,0.8501967,-0.9327699,0.9635034,0.8419762,-0.9109589,1.015817,0.8571503,-0.8958589,1.008489,0.8415984,-0.8748243,0.9994073,0.8273088,-0.8713175,1.025704,0.842099,-0.9026985,1.007794,0.8216553,-0.8936735,0.9955794,0.8111451,-0.9047847,1.04112,0.8315286,-0.9122696,1.02357,0.8134571,-0.9041573,1.010506,0.8055527,-0.915627,1.053515,0.8209177,-0.9234861,1.03974,0.8089983,-0.9150829,1.02739,0.8055538,-0.9231001,1.02629,0.8478812,-0.9524114,0.05545866,
1528905305483,1.001183,0.859955,-0.9593427,0.9845998,0.8578491,-0.9264479,0.9789957,0.849919,-0.9043263,1.033478,0.8651192,-0.8911766,1.028416,0.8503396,-0.8686341,1.020211,0.8361921,-0.8627341,1.042483,0.8496354,-0.8986889,1.025195,0.8290637,-0.888677,1.012476,0.8183694,-0.8990303,1.058315,0.8395784,-0.9082026,1.042041,0.8212438,-0.8971083,1.027854,0.8119938,-0.9060093,1.06988,0.8286629,-0.9205788,1.057066,0.8164587,-0.9107859,1.04406,0.8124735,-0.9174017,1.040823,0.855545,-0.948498,0.06014182,
1528905305513,1.018461,0.8693784,-0.9504845,1.00319,0.867097,-0.9168934,0.9982464,0.8596046,-0.8944327,1.055949,0.8755769,-0.8839529,1.054483,0.8615499,-0.8602083,1.048078,0.8474537,-0.8522624,1.064268,0.8600181,-0.8920029,1.048648,0.8389088,-0.8805206,1.035676,0.8276455,-0.889855,1.081043,0.8512084,-0.9018004,1.067957,0.8322988,-0.8863579,1.053307,0.8207174,-0.8907457,1.091546,0.8400991,-0.9157609,1.080721,0.8271503,-0.9041914,1.067205,0.8219388,-0.9086671,1.059108,0.8660394,-0.941956,0.06640135,
1528905305551,1.03532,0.8775424,-0.9388554,1.021382,0.8747872,-0.9046504,1.01698,0.8676231,-0.8819169,1.07687,0.8850507,-0.874171,1.079241,0.8719819,-0.8494859,1.075606,0.8585879,-0.8387678,1.084011,0.8691918,-0.8828082,1.069473,0.8474143,-0.8707716,1.056278,0.8357154,-0.8792969,1.101871,0.8620947,-0.8924075,1.09229,0.8433859,-0.873009,1.078569,0.8299386,-0.8724728,1.111112,0.8503163,-0.9077369,1.101749,0.8367511,-0.8950809,1.088136,0.8305682,-0.8977727,1.076382,0.8755099,-0.9322655,0.07335144,
1528905305576,1.045149,0.8817152,-0.9321687,1.031941,0.8784308,-0.8976628,1.027531,0.87161,-0.874734,1.088354,0.8897448,-0.8685144,1.093082,0.8770604,-0.8436449,1.091592,0.8643306,-0.8315659,1.09498,0.8739697,-0.8774574,1.08116,0.8515939,-0.8654742,1.067959,0.8395748,-0.8736768,1.113306,0.8679202,-0.8871042,1.105884,0.8491724,-0.8659276,1.093455,0.8348607,-0.8624984,1.121555,0.8559256,-0.9032714,1.112317,0.8417619,-0.89077,1.098764,0.8351932,-0.8930149,1.086237,0.8807388,-0.92654,0.07759049,
1528905305616,1.069282,0.8919797,-0.9229594,1.057123,0.888211,-0.8880619,1.052675,0.8819926,-0.8648434,1.114937,0.9007939,-0.8610357,1.122955,0.8887248,-0.8363295,1.124626,0.8772827,-0.8229191,1.121883,0.8857552,-0.8694042,1.11092,0.8622111,-0.8529748,1.098059,0.8469464,-0.8545776,1.13883,0.8799406,-0.8803397,1.132656,0.8607237,-0.858849,1.121217,0.8457477,-0.8539866,1.145993,0.8681885,-0.897267,1.136357,0.8534446,-0.8853052,1.122881,0.8464806,-0.8874089,1.110351,0.8923907,-0.9186994,0.08340794,
1528905305643,1.077834,0.8943467,-0.9159459,1.066539,0.890411,-0.880758,1.062226,0.8846703,-0.857305,1.124416,0.9045753,-0.8552094,1.134142,0.8929315,-0.8307542,1.137528,0.8823473,-0.8169447,1.133828,0.8912206,-0.8621167,1.12723,0.8685656,-0.8423269,1.115727,0.8525124,-0.8407596,1.147808,0.8843169,-0.874766,1.141961,0.864695,-0.8535533,1.130943,0.8493126,-0.8484012,1.15457,0.8728005,-0.89195,1.1446,0.8577868,-0.8804571,1.131191,0.8506119,-0.8827178,1.118738,0.8960596,-0.9124845,0.08546811,
1528905305670,1.093466,0.8974792,-0.910152,1.083599,0.8928713,-0.8746147,1.080045,0.8869752,-0.8510181,1.141897,0.9080791,-0.8511004,1.153729,0.8966981,-0.8273315,1.159075,0.8869859,-0.8134493,1.152992,0.8965344,-0.8572848,1.15178,0.8753114,-0.8336546,1.143773,0.8586224,-0.8263475,1.164441,0.8883429,-0.8714278,1.159402,0.8680632,-0.8505371,1.148869,0.852356,-0.8451412,1.17052,0.8772321,-0.8890674,1.160409,0.8619368,-0.8782148,1.146898,0.855037,-0.8808325,1.134207,0.9001281,-0.907938,0.08750567,
1528905305696,1.10361,0.8957744,-0.9043313,1.092571,0.89264,-0.868967,1.085928,0.8898791,-0.8453335,1.152337,0.9064804,-0.8462759,1.165519,0.8950809,-0.8230985,1.172733,0.886753,-0.8091418,1.164509,0.8966662,-0.852011,1.16746,0.8771415,-0.8260075,1.165942,0.8622605,-0.8118643,1.174832,0.8878257,-0.8666956,1.170153,0.8670102,-0.8462379,1.159923,0.8510256,-0.840858,1.180797,0.8771142,-0.8843925,1.170526,0.8618888,-0.8743657,1.156914,0.8555688,-0.8779603,1.14414,0.8993913,-0.9026073,0.09410017,
1528905305723,1.114996,0.8959243,-0.8989182,1.107036,0.8902168,-0.863021,1.10562,0.8830084,-0.8392633,1.160369,0.9047737,-0.8414326,1.169363,0.8887454,-0.818769,1.172855,0.8767716,-0.8061457,1.177115,0.8996934,-0.8462229,1.184264,0.8835582,-0.8183092,1.187187,0.8720883,-0.8016413,1.186433,0.8896806,-0.8608836,1.183201,0.8694206,-0.8389765,1.17451,0.8533974,-0.8312018,1.192429,0.8785883,-0.8783745,1.182571,0.8633536,-0.8678941,1.168929,0.8565681,-0.8708252,1.155366,0.9001101,-0.8971482,0.07520764,
1528905305750,1.12161,0.8944758,-0.8946502,1.113764,0.8886535,-0.858808,1.112461,0.8815228,-0.8354509,1.164461,0.9009584,-0.8391358,1.169055,0.8806009,-0.818843,1.169199,0.8663664,-0.8090379,1.185798,0.8998732,-0.842834,1.196301,0.8857112,-0.8148662,1.201737,0.8758087,-0.797861,1.194145,0.8891482,-0.8575969,1.193509,0.8693951,-0.834318,1.188282,0.8538772,-0.8228028,1.199625,0.8779379,-0.8752995,1.19044,0.8623688,-0.8643857,1.176828,0.8551166,-0.8663298,1.161776,0.8993713,-0.8934114,0.06439362,
1528905305791,1.132801,0.8922329,-0.8896906,1.125245,0.8860831,-0.853889,1.124687,0.878333,-0.8307228,1.168291,0.8964919,-0.8381242,1.162138,0.8703582,-0.8268986,1.156783,0.8536146,-0.8222814,1.196974,0.8996254,-0.8368321,1.209838,0.8877836,-0.8087325,1.216823,0.8793576,-0.7915176,1.204755,0.8878012,-0.8508135,1.206547,0.869693,-0.8256276,1.2056,0.8565218,-0.8104868,1.210262,0.8760035,-0.8680693,1.2012,0.8606881,-0.8568873,1.187494,0.8535229,-0.8586336,1.172521,0.8973631,-0.8876178,0.04138176,
1528905305816,1.138824,0.8869285,-0.8868794,1.131963,0.8800648,-0.8511451,1.132905,0.8713392,-0.8284539,1.171463,0.8916447,-0.8374586,1.161395,0.867956,-0.837442,1.151773,0.8565816,-0.8475648,1.201746,0.8956812,-0.8333774,1.213996,0.8829166,-0.8054783,1.219574,0.8728078,-0.7887241,1.210491,0.8845092,-0.8470838,1.213542,0.8668402,-0.8216307,1.213744,0.8541268,-0.8061371,1.216745,0.8728303,-0.8640105,1.208677,0.8572882,-0.8524711,1.195208,0.8496167,-0.8538316,1.178081,0.8931446,-0.8843109,0.03064336,
1528905305858,1.145352,0.8825336,-0.8839669,1.140323,0.8743334,-0.8483346,1.143526,0.8641701,-0.8265957,1.176644,0.8871468,-0.8360194,1.166096,0.8650194,-0.8390498,1.157088,0.8585837,-0.8529761,1.207073,0.8909016,-0.8305364,1.218175,0.8768685,-0.8028075,1.221949,0.8651063,-0.7868273,1.216904,0.8803414,-0.8445088,1.220932,0.8625118,-0.8192739,1.221914,0.8498214,-0.8037956,1.223371,0.8689086,-0.8613046,1.216071,0.8532448,-0.8495656,1.202621,0.8456066,-0.8507075,1.183984,0.8891985,-0.8815123,0.03018383,
1528905305893,1.149872,0.875928,-0.8815491,1.146606,0.8654292,-0.8463078,1.151034,0.8541085,-0.8253882,1.181301,0.8799046,-0.8334365,1.171478,0.8579739,-0.8369179,1.162888,0.8538384,-0.8513399,1.212035,0.8850029,-0.8285406,1.224242,0.8708197,-0.8014929,1.228065,0.8581707,-0.7862688,1.223631,0.8762801,-0.8427033,1.232005,0.8602579,-0.8173239,1.235649,0.8483719,-0.8015866,1.228802,0.8641015,-0.8602415,1.223386,0.8477328,-0.8481752,1.210539,0.8390987,-0.848388,1.187647,0.8839823,-0.8793264,0.02853241,
1528905305911,1.15168,0.8727619,-0.8803877,1.149084,0.8612539,-0.845365,1.153646,0.849617,-0.8245988,1.182867,0.8768041,-0.8314979,1.173558,0.8549606,-0.8346349,1.165063,0.8514597,-0.8491139,1.213281,0.8823154,-0.8270682,1.225349,0.8678558,-0.8002358,1.228518,0.854479,-0.7855589,1.225908,0.8747401,-0.8412615,1.235465,0.8595876,-0.8159657,1.239245,0.847536,-0.8004075,1.230834,0.8620169,-0.8588787,1.226513,0.8455167,-0.8464417,1.214095,0.8363585,-0.8462167,1.188888,0.8814578,-0.8779761,0.02710623,
1528905305937,1.15276,0.8690056,-0.8793955,1.150623,0.8569636,-0.8445294,1.155365,0.8450358,-0.8239177,1.183806,0.8731575,-0.8298439,1.174603,0.8512908,-0.8323456,1.166011,0.8476676,-0.8466873,1.213719,0.8782305,-0.8258123,1.22495,0.8631588,-0.7990658,1.227128,0.8491559,-0.7848367,1.226986,0.8711841,-0.8400044,1.236852,0.8564465,-0.8146695,1.240563,0.8443756,-0.7991101,1.232015,0.8581892,-0.8575065,1.228531,0.8417299,-0.8444817,1.216508,0.8321767,-0.8435112,1.189655,0.8777331,-0.8768362,0.0252726,
1528905305951,1.153584,0.8677473,-0.8783755,1.151544,0.855654,-0.8435531,1.15646,0.8435118,-0.8231168,1.184708,0.871612,-0.8289037,1.175148,0.8497528,-0.8312862,1.166399,0.8458735,-0.8455208,1.214336,0.8758844,-0.8248751,1.22454,0.8600013,-0.7982545,1.225666,0.8454604,-0.7844821,1.227967,0.8690794,-0.8390876,1.237942,0.8545349,-0.8136501,1.241806,0.8427051,-0.7979422,1.232836,0.8559073,-0.8565331,1.229447,0.8395283,-0.8432527,1.217472,0.8299685,-0.8419235,1.190562,0.8759787,-0.8758818,0.02462307,
1528905305977,1.154431,0.8634366,-0.87707,1.152563,0.8508859,-0.8424394,1.158059,0.838206,-0.8226408,1.186051,0.8667048,-0.8274445,1.1765,0.8446634,-0.8295266,1.167472,0.8402777,-0.8435016,1.214623,0.8700169,-0.8237292,1.222607,0.8521834,-0.7979296,1.2214,0.836283,-0.7858589,1.229177,0.8641846,-0.838092,1.239657,0.8498321,-0.8126692,1.243353,0.8377463,-0.7971666,1.234062,0.8511287,-0.8556458,1.231255,0.8346168,-0.8420856,1.219702,0.824653,-0.8400988,1.191546,0.8714536,-0.8746718,0.02297966,
1528905305998,1.15463,0.8611323,-0.8757935,1.152761,0.8482756,-0.8413171,1.158638,0.8351821,-0.8220372,1.186708,0.8638141,-0.8261783,1.177058,0.8415889,-0.8280899,1.167794,0.8366932,-0.8418061,1.214858,0.8665257,-0.8227073,1.222134,0.8478906,-0.7973046,1.220508,0.8317202,-0.7855799,1.229692,0.8610413,-0.8371482,1.24039,0.84656,-0.811833,1.243702,0.8341066,-0.7966823,1.234647,0.848213,-0.8547722,1.232407,0.8315533,-0.8409103,1.221384,0.8211571,-0.8381317,1.191964,0.8688575,-0.8734922,0.02183896,
