time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529319219951,0.8488382,0.4178925,-0.8490654,0.8265325,0.4035299,-0.8207337,0.8131879,0.392208,-0.8006822,0.8292806,0.432993,-0.7782958,0.8154572,0.4154258,-0.7611167,0.8089941,0.3986951,-0.7638679,0.8458939,0.4258266,-0.7695334,0.8280599,0.4067461,-0.7511352,0.8175859,0.3890626,-0.7551415,0.8669671,0.4186336,-0.7688172,0.8505304,0.4025884,-0.7475818,0.8379247,0.386166,-0.7459855,0.8853921,0.4087645,-0.7736173,0.8730873,0.3980865,-0.7560031,0.861441,0.3866034,-0.7537969,0.8695505,0.4261897,-0.8228559,0.03761609,
1529319219972,0.8515472,0.4302853,-0.8429083,0.8295558,0.4161537,-0.8142436,0.816835,0.4047612,-0.7938393,0.8327807,0.4474803,-0.7723159,0.8189262,0.4302908,-0.7544401,0.812097,0.4134067,-0.7559911,0.8493619,0.4402759,-0.7636957,0.8314677,0.4213252,-0.7449262,0.8208419,0.4035262,-0.7482482,0.8704598,0.4330572,-0.7629229,0.8540616,0.4172414,-0.7412578,0.8413777,0.4008947,-0.7387611,0.8888674,0.4232742,-0.767506,0.8766553,0.4130234,-0.749437,0.8650023,0.401678,-0.7464113,0.8726485,0.4395252,-0.8169498,0.03911116,
1529319220014,0.8590819,0.457651,-0.8282299,0.83734,0.4451436,-0.7986538,0.8249938,0.4347925,-0.7774824,0.8411311,0.4789453,-0.7584432,0.8275713,0.463028,-0.7388288,0.8203524,0.4460969,-0.7380434,0.8577012,0.4720708,-0.7497001,0.840055,0.4541024,-0.7293615,0.8292571,0.4361139,-0.7308536,0.8786172,0.4648993,-0.7487968,0.862342,0.4502856,-0.7258149,0.84962,0.4343144,-0.7211187,0.8969692,0.4552947,-0.7528543,0.8848073,0.4464557,-0.7337714,0.8732153,0.4355883,-0.7289321,0.88047,0.4684312,-0.8029798,0.04128877,
1529319220039,0.8639268,0.4689412,-0.8244098,0.8422164,0.4570851,-0.7945631,0.8299512,0.4470985,-0.7731689,0.8455948,0.4913772,-0.7549765,0.8319755,0.4761422,-0.7350562,0.8246691,0.4593174,-0.7343234,0.8619922,0.4845246,-0.745953,0.8442265,0.4673873,-0.7253448,0.8333818,0.4495429,-0.7270389,0.8826826,0.4768456,-0.7449723,0.8661481,0.4627846,-0.7219151,0.8532513,0.4469716,-0.7173569,0.9008494,0.4670322,-0.748813,0.8883721,0.4587278,-0.7297307,0.8765917,0.4480509,-0.7250447,0.8849953,0.4796528,-0.7992669,0.0410631,
1529319220065,0.8712056,0.4905539,-0.8123771,0.8499233,0.4812844,-0.7813168,0.8377932,0.4731528,-0.759073,0.8545796,0.517714,-0.7442746,0.8410032,0.504235,-0.7229978,0.8332335,0.487727,-0.7206888,0.8708085,0.5110717,-0.7352185,0.852845,0.4958462,-0.7131324,0.8415112,0.4782538,-0.7132335,0.8913181,0.5027585,-0.7341727,0.8747125,0.4904316,-0.7100774,0.8615252,0.475291,-0.7041744,0.9090952,0.4923254,-0.7377219,0.8964787,0.4853883,-0.7181131,0.884513,0.4753358,-0.7125065,0.8928424,0.5022268,-0.7884415,0.04131036,
1529319220105,0.8799436,0.5049067,-0.8049233,0.8598511,0.4977112,-0.7725396,0.8486795,0.4911033,-0.74932,0.8640257,0.5376018,-0.7394159,0.8508701,0.5253743,-0.716956,0.8433372,0.5090333,-0.7129686,0.8804291,0.5318191,-0.7303067,0.8628267,0.517715,-0.706897,0.8516945,0.5000269,-0.7051331,0.9011395,0.523822,-0.7289509,0.8849945,0.5126714,-0.7038033,0.8721607,0.4978849,-0.6962782,0.918919,0.5133322,-0.7319551,0.9064953,0.5071199,-0.711901,0.8947932,0.4972278,-0.7054656,0.9017295,0.5192485,-0.7827521,0.04088335,
1529319220162,0.8938184,0.5271701,-0.8027079,0.8746706,0.5230841,-0.7692156,0.8639488,0.5186825,-0.7452679,0.8810613,0.5632699,-0.7385663,0.8684615,0.5527045,-0.7149813,0.8608195,0.5367732,-0.7098696,0.8977636,0.5577531,-0.7297753,0.880771,0.5455979,-0.7048069,0.8693632,0.5283451,-0.7014021,0.9183684,0.5492871,-0.7288138,0.9029644,0.5399192,-0.7024858,0.8901666,0.5258576,-0.6936297,0.9358633,0.5379361,-0.7319421,0.9240932,0.5325934,-0.7112662,0.9124867,0.523061,-0.7041988,0.9167877,0.5417278,-0.7822376,0.03987606,
1529319220186,0.9021133,0.538579,-0.8064684,0.8836955,0.5370117,-0.772387,0.8738204,0.5340728,-0.7478635,0.8914604,0.5771238,-0.7435426,0.8793175,0.5678382,-0.719395,0.8717805,0.5520571,-0.7140443,0.9083628,0.5719213,-0.7348927,0.891875,0.561404,-0.7090265,0.8803953,0.5444285,-0.7047585,0.9289606,0.5633516,-0.734045,0.9141608,0.5557542,-0.7069675,0.9013911,0.5421658,-0.6974635,0.9463754,0.5513307,-0.7370839,0.9352683,0.5470345,-0.715928,0.9237128,0.5377327,-0.7086087,0.9258873,0.5530129,-0.7870756,0.03835794,
1529319220211,0.9069465,0.5449399,-0.8079443,0.8887383,0.5457311,-0.7737546,0.8794283,0.5440319,-0.748919,0.8980679,0.584023,-0.7455171,0.8862986,0.5753347,-0.720967,0.8787841,0.5597196,-0.7153743,0.9150752,0.5788707,-0.7370273,0.8989892,0.5690754,-0.7106197,0.8874695,0.5523144,-0.7058781,0.935575,0.5704181,-0.7363392,0.9211655,0.5639159,-0.7088142,0.9084094,0.5507054,-0.698855,0.9529319,0.5580099,-0.7393579,0.9422946,0.5544344,-0.7178683,0.9307886,0.5454043,-0.7101868,0.9314872,0.5587022,-0.789095,0.03703738,
1529319220238,0.9127358,0.5498262,-0.8152168,0.8947047,0.5517509,-0.7810073,0.8856449,0.5505584,-0.7560581,0.9057095,0.5876302,-0.7519751,0.8941888,0.5790129,-0.7272966,0.8865067,0.5634902,-0.7217821,0.9228247,0.5821693,-0.7437587,0.9070798,0.5726311,-0.717031,0.8953228,0.5561098,-0.7120821,0.9431275,0.5734463,-0.7435026,0.9290619,0.5672385,-0.7157568,0.9162265,0.5542029,-0.705757,0.9602364,0.5606244,-0.7469156,0.9499376,0.5571399,-0.7252483,0.9384145,0.5482924,-0.7173662,0.9380243,0.5621633,-0.7963525,0.03664446,
