time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529319005046,1.216584,0.4816523,-0.7837323,1.198473,0.4819608,-0.7496188,1.188921,0.4750151,-0.7262551,1.228051,0.5063102,-0.7145728,1.208592,0.5033043,-0.6939741,1.192476,0.4946474,-0.6926514,1.238773,0.4892073,-0.7083082,1.216901,0.487176,-0.6833558,1.19698,0.4811822,-0.6788133,1.249732,0.4685642,-0.7110192,1.230805,0.4654726,-0.68554,1.211681,0.4608698,-0.678121,1.256072,0.4474179,-0.7182406,1.242564,0.4433005,-0.6983443,1.227268,0.4410022,-0.6921555,1.244422,0.4746344,-0.7639876,0.03908033,
1529319005075,1.209084,0.4898998,-0.7777554,1.191228,0.4907832,-0.7435085,1.182167,0.4843845,-0.7198055,1.220719,0.5169131,-0.7094145,1.201767,0.5137451,-0.688338,1.186057,0.5044392,-0.6862714,1.232136,0.5002884,-0.7029715,1.210548,0.4977838,-0.6777823,1.190983,0.4909418,-0.6728342,1.243914,0.4801517,-0.7053465,1.225158,0.4767828,-0.6797587,1.206306,0.4714601,-0.6720418,1.251145,0.4592917,-0.7120653,1.237694,0.4552304,-0.6921664,1.222428,0.4524491,-0.6860673,1.237747,0.4844929,-0.7582006,0.03926652,
1529319005113,1.199158,0.5004206,-0.7722951,1.181611,0.5021516,-0.7379256,1.173119,0.4962856,-0.7139248,1.210975,0.5296457,-0.705004,1.192321,0.5261071,-0.6840376,1.177148,0.5159554,-0.6823082,1.222525,0.5133415,-0.6985563,1.200509,0.510111,-0.6739969,1.181167,0.5022708,-0.6697809,1.235023,0.4937612,-0.7004904,1.215724,0.4900334,-0.6755409,1.196796,0.4839634,-0.6684881,1.243026,0.4734085,-0.7065994,1.229055,0.4697024,-0.6871769,1.213517,0.4666284,-0.682005,1.22851,0.4964778,-0.7530134,0.03745315,
1529319005140,1.188802,0.5104419,-0.7691588,1.1719,0.5127094,-0.7344943,1.164037,0.507027,-0.7103103,1.202112,0.53952,-0.7021816,1.183913,0.5353366,-0.6816008,1.169343,0.5244654,-0.6812952,1.213336,0.5230433,-0.6963805,1.190852,0.5186225,-0.673227,1.17169,0.5097028,-0.6714823,1.226206,0.5039114,-0.698477,1.206435,0.4995769,-0.6746069,1.187171,0.4927508,-0.6696539,1.234498,0.4840144,-0.7046171,1.22029,0.480524,-0.6856665,1.20446,0.4773489,-0.6820085,1.218833,0.506511,-0.7505382,0.03426553,
1529319005166,1.1821,0.5175439,-0.7684356,1.164922,0.520231,-0.7339329,1.156766,0.5147004,-0.7098403,1.195395,0.5458655,-0.7012394,1.176832,0.54172,-0.6813748,1.162419,0.530823,-0.6822239,1.206004,0.5290223,-0.6956658,1.182706,0.5244209,-0.6739904,1.163682,0.5153376,-0.6744581,1.218737,0.5098591,-0.697689,1.19815,0.5056048,-0.6749754,1.178635,0.4987479,-0.6722354,1.226864,0.4900111,-0.7038206,1.212089,0.4868926,-0.6854664,1.196063,0.4839815,-0.683117,1.212041,0.5128148,-0.7496177,0.032474,
1529319005207,1.166768,0.5307206,-0.7718929,1.148648,0.533088,-0.7378894,1.139836,0.5268225,-0.7142811,1.178282,0.5573556,-0.7034754,1.15922,0.5535209,-0.6843838,1.144758,0.5429639,-0.6863676,1.188115,0.5400271,-0.6979317,1.164078,0.535625,-0.6776131,1.145308,0.5268531,-0.6802564,1.200401,0.5205392,-0.6999539,1.178911,0.516389,-0.6784445,1.159325,0.5098445,-0.6778883,1.208139,0.5007087,-0.7062916,1.19256,0.4978164,-0.6886452,1.176469,0.4952801,-0.687583,1.195771,0.5246421,-0.7521079,0.03261813,
1529319005233,1.160546,0.5354968,-0.7716019,1.142241,0.5378129,-0.7376912,1.133301,0.531487,-0.7141547,1.171597,0.5619477,-0.7029748,1.152516,0.5580915,-0.6840229,1.138133,0.5475209,-0.686271,1.181379,0.5445786,-0.6974099,1.157292,0.540116,-0.6773011,1.13864,0.5313209,-0.6803328,1.193707,0.5250956,-0.6994038,1.172166,0.5208889,-0.6780355,1.152631,0.5143231,-0.6778237,1.201477,0.5053058,-0.7057613,1.185867,0.5024027,-0.6881477,1.169799,0.4998561,-0.6872147,1.18964,0.5291568,-0.7515981,0.03252606,
1529319005260,1.148563,0.5416201,-0.7774264,1.129788,0.5453985,-0.7438678,1.120134,0.5402287,-0.7203177,1.159889,0.569203,-0.7091799,1.140416,0.5667632,-0.6904543,1.125754,0.5565649,-0.6925908,1.169211,0.5515991,-0.7031333,1.144861,0.5488555,-0.6826905,1.125796,0.5407335,-0.6849427,1.181159,0.5316162,-0.7045681,1.159795,0.5290609,-0.6822527,1.140057,0.5233905,-0.6805501,1.188154,0.5113598,-0.7106322,1.172563,0.509523,-0.6925936,1.15644,0.5075054,-0.6906492,1.177024,0.5348195,-0.7570413,0.03266862,
1529319005287,1.142639,0.5447607,-0.7788684,1.123796,0.548481,-0.7453212,1.11403,0.5434663,-0.7217595,1.153584,0.5729645,-0.7109092,1.133915,0.5705754,-0.6924241,1.119324,0.5603055,-0.6947145,1.162971,0.5554838,-0.7046857,1.138508,0.5530218,-0.6841376,1.119325,0.5449797,-0.6859807,1.17517,0.535501,-0.7058178,1.154043,0.5332662,-0.6830984,1.134314,0.5277382,-0.6807805,1.182173,0.5151193,-0.7117392,1.166835,0.5134038,-0.6933904,1.15075,0.5114168,-0.6908771,1.170977,0.5382962,-0.7584226,0.0322958,
1529319005324,1.133721,0.5466241,-0.7816758,1.114939,0.5501755,-0.7480346,1.10543,0.5454261,-0.7243171,1.144533,0.575835,-0.7141018,1.125203,0.5727071,-0.6955066,1.111213,0.5616965,-0.6978048,1.15452,0.5584854,-0.7080427,1.130157,0.5546075,-0.6878557,1.111532,0.5454978,-0.6902541,1.167277,0.5390848,-0.7093333,1.14576,0.5356055,-0.6874247,1.126269,0.5289571,-0.6861184,1.175318,0.5192736,-0.7150697,1.159672,0.5170109,-0.6973704,1.143575,0.5142889,-0.6960422,1.16277,0.5415251,-0.7615553,0.03163965,
