time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529318909566,1.117511,0.3961695,-0.8430969,1.122559,0.3728026,-0.8125491,1.129515,0.3541248,-0.7954053,1.165766,0.3910504,-0.7834083,1.17519,0.3709586,-0.7632143,1.17468,0.3537492,-0.7556952,1.182282,0.3853568,-0.7927803,1.191587,0.3637283,-0.7679081,1.189172,0.3453003,-0.7572187,1.193921,0.3804435,-0.811119,1.203167,0.3598955,-0.7879717,1.200479,0.3420899,-0.7771044,1.197616,0.3710756,-0.832714,1.200151,0.3519349,-0.8183737,1.192116,0.3385338,-0.8126613,1.152791,0.3999526,-0.8424814,0.06014054,
1529318909592,1.115854,0.4038441,-0.8429142,1.120277,0.3821231,-0.811058,1.126776,0.3645189,-0.7926307,1.164711,0.4013166,-0.7832733,1.174834,0.3823269,-0.7621898,1.175235,0.3656042,-0.7535607,1.181338,0.3955525,-0.7924939,1.191497,0.3751156,-0.7667284,1.190333,0.357273,-0.7547618,1.193162,0.390342,-0.810661,1.203454,0.3710265,-0.7866373,1.202294,0.3538262,-0.774433,1.196635,0.3800717,-0.8319973,1.199182,0.3612033,-0.8171769,1.19142,0.3478014,-0.8110358,1.151549,0.4079174,-0.842618,0.06225654,
1529318909634,1.114602,0.4108047,-0.84218,1.118472,0.3915241,-0.808706,1.124467,0.3755149,-0.7886976,1.16458,0.4117061,-0.7832602,1.17493,0.393765,-0.7614316,1.175253,0.3773702,-0.7523025,1.180914,0.4055325,-0.7922596,1.190827,0.3861529,-0.7656755,1.189266,0.3687133,-0.7532539,1.192659,0.3994371,-0.8102859,1.202899,0.3810904,-0.785456,1.201906,0.3644602,-0.7724323,1.196239,0.3883455,-0.8311089,1.198751,0.3702081,-0.8154868,1.190934,0.3570912,-0.8087471,1.150903,0.4151754,-0.8427191,0.06250762,
1529318909659,1.112406,0.4190861,-0.8421798,1.115943,0.4017224,-0.8076212,1.121563,0.3869927,-0.7865232,1.162781,0.421773,-0.7837223,1.172565,0.404295,-0.7615283,1.171845,0.3878251,-0.7527884,1.178955,0.4152212,-0.7926136,1.187929,0.3962438,-0.7657282,1.18489,0.3787515,-0.7538844,1.190824,0.4085661,-0.8105813,1.200545,0.3906661,-0.7854401,1.198465,0.3740855,-0.7726253,1.194935,0.3972224,-0.8310058,1.19799,0.3799336,-0.8147657,1.190052,0.3671146,-0.8076924,1.148951,0.4231431,-0.8432771,0.0605562,
1529318909684,1.108458,0.4249938,-0.8403708,1.111576,0.4090686,-0.8050809,1.116751,0.3953276,-0.7831851,1.158474,0.4285109,-0.7818284,1.167436,0.411211,-0.7594619,1.16556,0.3946396,-0.7513181,1.174577,0.4216197,-0.7904649,1.182393,0.4028467,-0.7634414,1.177839,0.3853227,-0.7523637,1.186643,0.4144871,-0.8082594,1.195491,0.3968136,-0.7829199,1.192035,0.3802272,-0.7705824,1.191287,0.4029829,-0.8283595,1.194558,0.3863769,-0.8116581,1.186345,0.3738628,-0.8044704,1.145114,0.4285562,-0.8415405,0.05829478,
1529318909740,1.101275,0.4368666,-0.835933,1.105081,0.4226253,-0.799993,1.110438,0.4102048,-0.7772893,1.152441,0.4425628,-0.7787499,1.161113,0.4257927,-0.7561024,1.158693,0.4092869,-0.7480614,1.168401,0.4355891,-0.7875735,1.175985,0.4175512,-0.7602291,1.170896,0.4002016,-0.7491751,1.18031,0.4276548,-0.8056571,1.189102,0.4102196,-0.780358,1.185079,0.3936861,-0.7681669,1.185315,0.4161986,-0.8254924,1.189703,0.4004746,-0.8083699,1.181707,0.3882036,-0.8006849,1.138042,0.4405015,-0.8382642,0.05642386,
1529318909764,1.098726,0.4415635,-0.8341471,1.102742,0.4289837,-0.7976041,1.107983,0.4179316,-0.7741272,1.150193,0.4498847,-0.7777108,1.158633,0.4337326,-0.7546854,1.155912,0.4173368,-0.7465771,1.16615,0.4428455,-0.7864388,1.173416,0.4255695,-0.7587287,1.16786,0.4083854,-0.7477243,1.178134,0.4343202,-0.8044404,1.186742,0.417459,-0.7788728,1.18227,0.4010976,-0.7666482,1.183475,0.4225754,-0.8239218,1.188518,0.407648,-0.8062568,1.180946,0.3955289,-0.7979378,1.135576,0.4456006,-0.8370537,0.0552863,
1529318909792,1.09099,0.4495346,-0.8306493,1.094755,0.4382041,-0.7936676,1.0996,0.4282811,-0.7695673,1.142018,0.4597135,-0.7742803,1.150112,0.4439327,-0.7509577,1.14731,0.4275384,-0.7428823,1.158164,0.4528828,-0.7828761,1.165046,0.4360272,-0.7549298,1.159321,0.4188214,-0.7440561,1.170578,0.4442811,-0.8007903,1.179034,0.4277943,-0.7750664,1.174341,0.4114206,-0.7629687,1.176578,0.4326283,-0.8200774,1.182397,0.4183569,-0.8020217,1.175673,0.4061317,-0.7930514,1.127973,0.4540798,-0.8336706,0.05467075,
1529318909817,1.085565,0.4548747,-0.8283869,1.089085,0.4446957,-0.7910424,1.093536,0.4357614,-0.7664523,1.136444,0.4662187,-0.7722115,1.144223,0.4508364,-0.7485672,1.141256,0.434543,-0.7403601,1.152592,0.4592825,-0.7806677,1.159073,0.4428843,-0.7524168,1.153125,0.425814,-0.7414454,1.165213,0.4503987,-0.7984601,1.173445,0.434333,-0.7724832,1.168494,0.4181069,-0.7603084,1.171556,0.4386553,-0.8175341,1.177883,0.4250288,-0.7990637,1.171802,0.4129089,-0.7894386,1.122699,0.4594152,-0.8315887,0.05440131,
1529318909843,1.079901,0.4609843,-0.8270819,1.082964,0.4517732,-0.7894495,1.08708,0.44353,-0.7645534,1.130147,0.4735991,-0.7706988,1.137478,0.4585781,-0.7467322,1.134303,0.4423716,-0.7384414,1.146389,0.4665329,-0.7788764,1.152342,0.4505231,-0.7503297,1.146165,0.4335734,-0.7392755,1.159336,0.4574145,-0.796389,1.167186,0.4417612,-0.7701044,1.161958,0.4256871,-0.757856,1.166092,0.4455114,-0.8151654,1.172532,0.4324268,-0.7963116,1.166599,0.4204879,-0.7863913,1.117149,0.4656063,-0.8300771,0.05397459,
