time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529415248913,0.7681347,0.5348136,-0.983358,0.7450302,0.5169209,-0.9578692,0.7409772,0.4985878,-0.9386129,0.721813,0.5439072,-0.9268608,0.7030683,0.5224656,-0.9193044,0.6994177,0.5055382,-0.9266747,0.7344886,0.5362288,-0.9129078,0.71048,0.5135306,-0.9049348,0.7022213,0.4955308,-0.9137518,0.7546661,0.5290607,-0.9041959,0.7313393,0.509397,-0.8930646,0.7198743,0.4922468,-0.8989258,0.7744112,0.5177315,-0.9035217,0.7569302,0.5022639,-0.8968694,0.7481341,0.4910318,-0.9056347,0.7766473,0.5411831,-0.9531893,0.04379523,
1529415248956,0.7636085,0.5262908,-1.008081,0.73746,0.5087466,-0.9852086,0.7301571,0.4901838,-0.9670627,0.714352,0.5332397,-0.9545945,0.6955588,0.5115067,-0.950613,0.6936685,0.4956848,-0.9603814,0.7257823,0.5246816,-0.9402284,0.7014349,0.5019073,-0.9362495,0.6949157,0.4850564,-0.9479183,0.7449576,0.5165777,-0.9307272,0.720418,0.4967375,-0.9229592,0.7093184,0.4802814,-0.9309558,0.7645396,0.5054896,-0.9281467,0.7461683,0.4907402,-0.92238,0.737322,0.4800098,-0.931674,0.7705677,0.5305925,-0.9770134,0.03750096,
1529415249023,0.7578667,0.5106101,-1.038356,0.7267591,0.4950947,-1.019754,0.7133464,0.4789342,-1.002661,0.7036387,0.5191989,-0.9934344,0.6867129,0.4961711,-0.9950311,0.689748,0.4808027,-1.005185,0.7135245,0.5112653,-0.9780174,0.6919028,0.4867077,-0.9818478,0.6919025,0.4704407,-0.9958302,0.731357,0.5039158,-0.9648584,0.7081697,0.4819952,-0.9644401,0.7025967,0.4656985,-0.9767462,0.7503912,0.4944973,-0.9577037,0.7317495,0.4792275,-0.9551982,0.7247193,0.4680001,-0.9656674,0.7619156,0.5171304,-1.005827,0.02380648,
1529415249048,0.7581406,0.5091014,-1.046406,0.7242266,0.4947722,-1.03183,0.7071822,0.4791046,-1.017656,0.7033498,0.5158871,-1.00382,0.6863588,0.4933006,-1.009631,0.6900231,0.4787898,-1.020759,0.7123808,0.5060163,-0.9889098,0.6910168,0.4820975,-0.997618,0.6918825,0.4672956,-1.013109,0.729037,0.4966636,-0.9757161,0.7057009,0.4749455,-0.9801991,0.7004928,0.4600345,-0.9944838,0.7469817,0.4861363,-0.9681028,0.7278374,0.4710214,-0.9691287,0.7208245,0.4610083,-0.9809969,0.7614963,0.5125568,-1.012553,0.01744028,
1529415249102,0.7654078,0.5076237,-1.062385,0.7278826,0.4949613,-1.056738,0.7047325,0.4821653,-1.04965,0.7078228,0.5108642,-1.020801,0.6888729,0.4891686,-1.028716,0.6899731,0.4737372,-1.039411,0.7164775,0.4997701,-1.005281,0.6937387,0.476199,-1.015492,0.6922952,0.4608822,-1.030599,0.7332507,0.4889625,-0.9924921,0.7110471,0.4665636,-1.000411,0.7065931,0.4521793,-1.015673,0.7509294,0.4782376,-0.9843358,0.7323766,0.4620749,-0.9878757,0.7253468,0.4521694,-1.00003,0.7672558,0.5081832,-1.025394,0.0198422,
1529415249142,0.7690822,0.5070159,-1.067549,0.7315503,0.4933718,-1.064088,0.7076805,0.4807789,-1.059156,0.7117148,0.507319,-1.022718,0.6913986,0.4856331,-1.029032,0.6894575,0.4695106,-1.03911,0.7213094,0.49634,-1.007284,0.6974365,0.4723269,-1.015289,0.6928349,0.4559786,-1.029174,0.739404,0.4856181,-0.9956095,0.7177565,0.46215,-1.002601,0.71255,0.4472411,-1.017323,0.7579696,0.475433,-0.9884667,0.7402757,0.4580715,-0.9918045,0.7331927,0.447806,-1.003639,0.7717635,0.5069764,-1.029291,0.02934111,
1529415249204,0.7672178,0.5121747,-1.066193,0.7301201,0.4988398,-1.058945,0.7070584,0.486657,-1.050694,0.7110784,0.5185342,-1.02388,0.6934685,0.4945303,-1.028667,0.6936117,0.4770435,-1.036843,0.7211981,0.5095686,-1.007924,0.701434,0.4826643,-1.015904,0.7007341,0.4650301,-1.02912,0.7386936,0.5014331,-0.9950267,0.7202846,0.4762572,-1.002651,0.7188196,0.4604259,-1.017385,0.7564013,0.4932047,-0.9863316,0.7400776,0.4754311,-0.9909888,0.735758,0.4646916,-1.003727,0.7699459,0.5184239,-1.029277,0.02156632,
1529415249221,0.7665943,0.5157902,-1.066091,0.7300329,0.5019766,-1.057375,0.70801,0.4890791,-1.047641,0.7111186,0.5224537,-1.024526,0.6947521,0.4978143,-1.029739,0.6962303,0.4805441,-1.038181,0.7213508,0.5135621,-1.008936,0.7036198,0.4862288,-1.018247,0.706233,0.469956,-1.032503,0.7385441,0.5057479,-0.9960161,0.7213482,0.4804829,-1.004836,0.7216713,0.4654437,-1.020372,0.7559295,0.4977714,-0.9871859,0.7400865,0.4801097,-0.9928279,0.7367991,0.4698434,-1.006252,0.7693881,0.5225744,-1.029697,0.017352,
1529415249258,0.7665943,0.5157902,-1.066091,0.7300329,0.5019766,-1.057375,0.70801,0.4890791,-1.047641,0.7111186,0.5224537,-1.024526,0.6947521,0.4978143,-1.029739,0.6962303,0.4805441,-1.038181,0.7213508,0.5135621,-1.008936,0.7036198,0.4862288,-1.018247,0.706233,0.469956,-1.032503,0.7385441,0.5057479,-0.9960161,0.7213482,0.4804829,-1.004836,0.7216713,0.4654437,-1.020372,0.7559295,0.4977714,-0.9871859,0.7400865,0.4801097,-0.9928279,0.7367991,0.4698434,-1.006252,0.7693881,0.5225744,-1.029697,0.017352,
1529415249299,0.7665943,0.5157902,-1.066091,0.7300329,0.5019766,-1.057375,0.70801,0.4890791,-1.047641,0.7111186,0.5224537,-1.024526,0.6947521,0.4978143,-1.029739,0.6962303,0.4805441,-1.038181,0.7213508,0.5135621,-1.008936,0.7036198,0.4862288,-1.018247,0.706233,0.469956,-1.032503,0.7385441,0.5057479,-0.9960161,0.7213482,0.4804829,-1.004836,0.7216713,0.4654437,-1.020372,0.7559295,0.4977714,-0.9871859,0.7400865,0.4801097,-0.9928279,0.7367991,0.4698434,-1.006252,0.7693881,0.5225744,-1.029697,0.017352,
1529415249327,0.7665943,0.5157902,-1.066091,0.7300329,0.5019766,-1.057375,0.70801,0.4890791,-1.047641,0.7111186,0.5224537,-1.024526,0.6947521,0.4978143,-1.029739,0.6962303,0.4805441,-1.038181,0.7213508,0.5135621,-1.008936,0.7036198,0.4862288,-1.018247,0.706233,0.469956,-1.032503,0.7385441,0.5057479,-0.9960161,0.7213482,0.4804829,-1.004836,0.7216713,0.4654437,-1.020372,0.7559295,0.4977714,-0.9871859,0.7400865,0.4801097,-0.9928279,0.7367991,0.4698434,-1.006252,0.7693881,0.5225744,-1.029697,0.017352,
1529415249352,0.7665943,0.5157902,-1.066091,0.7300329,0.5019766,-1.057375,0.70801,0.4890791,-1.047641,0.7111186,0.5224537,-1.024526,0.6947521,0.4978143,-1.029739,0.6962303,0.4805441,-1.038181,0.7213508,0.5135621,-1.008936,0.7036198,0.4862288,-1.018247,0.706233,0.469956,-1.032503,0.7385441,0.5057479,-0.9960161,0.7213482,0.4804829,-1.004836,0.7216713,0.4654437,-1.020372,0.7559295,0.4977714,-0.9871859,0.7400865,0.4801097,-0.9928279,0.7367991,0.4698434,-1.006252,0.7693881,0.5225744,-1.029697,0.017352,
1529415249425,0.7665943,0.5157902,-1.066091,0.7300329,0.5019766,-1.057375,0.70801,0.4890791,-1.047641,0.7111186,0.5224537,-1.024526,0.6947521,0.4978143,-1.029739,0.6962303,0.4805441,-1.038181,0.7213508,0.5135621,-1.008936,0.7036198,0.4862288,-1.018247,0.706233,0.469956,-1.032503,0.7385441,0.5057479,-0.9960161,0.7213482,0.4804829,-1.004836,0.7216713,0.4654437,-1.020372,0.7559295,0.4977714,-0.9871859,0.7400865,0.4801097,-0.9928279,0.7367991,0.4698434,-1.006252,0.7693881,0.5225744,-1.029697,0.017352,
