time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529415194178,1.035919,0.5405594,-1.001574,1.005461,0.5370944,-0.9772944,0.9927002,0.5218601,-0.9610263,1.015526,0.5606155,-0.9352776,0.9931371,0.5518342,-0.9367702,0.9935273,0.5423996,-0.9524637,1.021384,0.5413944,-0.9313026,0.9967198,0.532567,-0.9401581,0.9993167,0.5263487,-0.9602375,1.032783,0.5219857,-0.9288999,1.008113,0.5151364,-0.9365323,1.007506,0.5116891,-0.9570554,1.044265,0.5037957,-0.9271238,1.022637,0.5007218,-0.9252011,1.015433,0.5007101,-0.9396979,1.054478,0.5325897,-0.9705924,0.02226824,
1529415194207,1.013558,0.5283515,-1.015952,0.9816011,0.5259498,-0.9924374,0.9662142,0.5141139,-0.9751357,0.9925815,0.5504806,-0.9483538,0.96942,0.5412022,-0.9468269,0.9672142,0.5299135,-0.9611514,0.999686,0.5307542,-0.9446205,0.9747862,0.5196515,-0.952087,0.9763229,0.512078,-0.9717715,1.012688,0.512437,-0.9418564,0.9879148,0.503287,-0.9483907,0.9864233,0.4981728,-0.9685048,1.02518,0.4955814,-0.9405689,1.003619,0.491268,-0.9393888,0.9968973,0.4894816,-0.9540865,1.033183,0.5228038,-0.9843354,0.02112321,
1529415194234,1.001746,0.5240691,-1.024869,0.9679812,0.5224139,-1.003374,0.9492635,0.5135469,-0.9870732,0.9784998,0.5451441,-0.9564753,0.9545247,0.5362631,-0.954119,0.9507783,0.5242621,-0.9675717,0.9861062,0.5244886,-0.9534594,0.9612573,0.5125659,-0.9614335,0.9627411,0.5048391,-0.9810616,0.9997498,0.5066167,-0.9508725,0.9752539,0.4966368,-0.9581233,0.9740947,0.4913616,-0.9782482,1.012635,0.4905472,-0.9500183,0.9910734,0.4857098,-0.9500639,0.9850283,0.4833585,-0.9650493,1.020984,0.5184525,-0.9925294,0.02230283,
1529415194259,0.9922673,0.5189253,-1.033762,0.9561262,0.5179626,-1.016254,0.9339048,0.51099,-1.003286,0.9617605,0.5353943,-0.9664207,0.9360882,0.5290983,-0.9663846,0.9310461,0.5185729,-0.9806099,0.9675243,0.5135642,-0.9642431,0.9406987,0.5044361,-0.9743413,0.940179,0.4977736,-0.9944491,0.9798272,0.4942895,-0.9624041,0.9540904,0.48669,-0.971835,0.9522501,0.483037,-0.9921905,0.9916753,0.4772732,-0.9624745,0.9696767,0.4739352,-0.96474,0.9641899,0.4733565,-0.9802023,1.006887,0.5090255,-1.000626,0.02408057,
1529415194287,0.992554,0.5194622,-1.03626,0.9547212,0.5229543,-1.023266,0.9300388,0.5182978,-1.013952,0.9537004,0.5273732,-0.9718605,0.9271665,0.5236596,-0.9752104,0.9217321,0.5163506,-0.9912796,0.9566872,0.5061187,-0.9707425,0.9285609,0.5020633,-0.9828095,0.9268484,0.4981463,-1.003497,0.9666715,0.4852672,-0.9708426,0.9394258,0.4820213,-0.9822436,0.936259,0.4808787,-1.002631,0.976777,0.4669695,-0.9729262,0.9542605,0.4664511,-0.9775409,0.9489555,0.4683814,-0.9930422,1.000481,0.5015161,-1.003911,0.02422506,
1529415194312,0.9945874,0.5180523,-1.038707,0.9570848,0.5290756,-1.029666,0.9313111,0.5278947,-1.024099,0.9465445,0.5173534,-0.9791068,0.9192799,0.5164735,-0.9846575,0.9129692,0.5130069,-1.001756,0.946854,0.4968193,-0.9790459,0.9173394,0.4978758,-0.9911811,0.9134212,0.4977412,-1.011903,0.9546006,0.4748977,-0.9823606,0.9260848,0.4759663,-0.9946898,0.9210733,0.4783088,-1.014511,0.9631113,0.4565859,-0.9871339,0.940646,0.4593424,-0.9938011,0.9355302,0.4639659,-1.008974,0.9949375,0.4919628,-1.008978,0.03251579,
1529415194339,1.000555,0.5202257,-1.026694,0.9647697,0.5324472,-1.013197,0.9387379,0.534676,-1.007259,0.9460822,0.5044758,-0.9758998,0.9189804,0.5084988,-0.9823868,0.9135889,0.5127819,-0.9995346,0.9438332,0.4858017,-0.9816266,0.9145718,0.494773,-0.9914342,0.9104667,0.5030679,-1.010575,0.9490767,0.4654461,-0.9927203,0.9202843,0.4739296,-1.002589,0.9139367,0.4840912,-1.019821,0.955985,0.4493631,-1.004576,0.9335604,0.4568554,-1.009519,0.9281719,0.4672475,-1.021538,0.9938878,0.4861566,-1.010754,0.03422722,
1529415194378,0.9998727,0.514274,-1.009802,0.9647436,0.519458,-0.9913152,0.9386402,0.51882,-0.9839879,0.9445021,0.4810519,-0.970165,0.9174463,0.4876451,-0.9742843,0.9121956,0.4984166,-0.9881397,0.9421846,0.4662955,-0.9808751,0.9117981,0.4783053,-0.9832178,0.9048889,0.4931988,-0.9966356,0.9468958,0.4507468,-0.9982364,0.9168025,0.4607189,-0.9998643,0.9069568,0.4761413,-1.01048,0.9535005,0.4405706,-1.016491,0.9302434,0.4475827,-1.015475,0.9222175,0.4610946,-1.021511,0.9918613,0.477322,-1.009868,0.03365788,
1529415194406,1.001643,0.5108664,-1.003402,0.967417,0.5132422,-0.9829721,0.9414892,0.5107827,-0.9763297,0.9472309,0.468356,-0.9686632,0.9191871,0.4733556,-0.9690646,0.9107247,0.4857815,-0.9800001,0.9449358,0.4549491,-0.9816283,0.9129808,0.4638827,-0.9788185,0.9020605,0.4799634,-0.9878094,0.9496355,0.4420601,-1.001706,0.9181738,0.4478314,-0.9989976,0.9049407,0.4631202,-1.005244,0.9559801,0.4355259,-1.022438,0.9317582,0.4384809,-1.019171,0.9211688,0.4512225,-1.021746,0.9935583,0.4734573,-1.010554,0.03981194,
1529415194432,0.9966108,0.5173298,-1.003908,0.9631668,0.5168731,-0.9822328,0.9377354,0.5121709,-0.9746143,0.9480214,0.4679034,-0.9679878,0.9195024,0.4690627,-0.9668247,0.9086894,0.4802285,-0.9769917,0.9469993,0.4532729,-0.9808435,0.9143196,0.4564688,-0.9760082,0.9002576,0.4706784,-0.9837574,0.952615,0.4411628,-1.000999,0.9209485,0.4410583,-0.9960545,0.9049684,0.4538051,-1.001019,0.9587678,0.436076,-1.02233,0.9345125,0.4345804,-1.017609,0.9218895,0.445132,-1.019284,0.9921426,0.4785283,-1.01154,0.0432393,
