time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529414967919,1.044447,0.5733943,-0.6865375,1.033968,0.5664735,-0.648613,1.032169,0.5571485,-0.6230743,1.064202,0.6037517,-0.6160752,1.057975,0.5955713,-0.5872708,1.049631,0.5819176,-0.5768456,1.082307,0.5940896,-0.6143528,1.073477,0.5857179,-0.5812225,1.061815,0.5725443,-0.5681684,1.100523,0.5799037,-0.6221421,1.094259,0.5704279,-0.5903196,1.083579,0.5583305,-0.5761334,1.113107,0.5635034,-0.6333063,1.108534,0.5544789,-0.6094862,1.099434,0.5455689,-0.5979162,1.079158,0.580861,-0.6731124,0.05527665,
1529414967948,1.039102,0.5749977,-0.7199113,1.025285,0.5690777,-0.6829278,1.021363,0.5603495,-0.6574388,1.053928,0.6071097,-0.6487398,1.045307,0.5992123,-0.6210214,1.035988,0.5850317,-0.6121643,1.072075,0.5975671,-0.6454494,1.060589,0.5894982,-0.613624,1.04757,0.5757015,-0.6027573,1.091321,0.5838211,-0.6514443,1.08297,0.5754328,-0.620261,1.070793,0.5631405,-0.6075072,1.105128,0.5671115,-0.6611891,1.100089,0.5593628,-0.6371197,1.090549,0.5508336,-0.6256394,1.072887,0.5828093,-0.703991,0.05359934,
1529414967986,1.028539,0.5696062,-0.7721864,1.011166,0.5654588,-0.7363701,1.004033,0.5586315,-0.7109354,1.037176,0.6032813,-0.7011857,1.025785,0.5945898,-0.6754386,1.016155,0.5792215,-0.6696605,1.05541,0.5942463,-0.6963629,1.040731,0.5851039,-0.6670397,1.026913,0.5697918,-0.6600451,1.076182,0.5814438,-0.7003934,1.065222,0.5726826,-0.6710817,1.051502,0.5590476,-0.6616212,1.091737,0.565425,-0.7084935,1.085258,0.5583735,-0.6852533,1.0737,0.5491579,-0.6768087,1.061383,0.578307,-0.7540441,0.04769173,
1529414968005,1.025116,0.5688719,-0.7866573,1.006432,0.5652653,-0.7514234,0.9979115,0.5591126,-0.7262034,1.031705,0.6024418,-0.7157329,1.019219,0.593323,-0.6906867,1.009366,0.5778355,-0.6854074,1.049638,0.5932996,-0.7104256,1.033572,0.5836108,-0.6821038,1.019431,0.5681254,-0.675859,1.070531,0.5805423,-0.713748,1.058131,0.5713446,-0.6853043,1.043898,0.5575398,-0.6765993,1.086371,0.5645335,-0.7212993,1.078635,0.5571568,-0.6987498,1.066427,0.547781,-0.6913643,1.057479,0.5775892,-0.7676764,0.04632565,
1529414968026,1.022528,0.5665373,-0.8145368,1.001934,0.5632207,-0.780358,0.9920307,0.5573458,-0.7555779,1.024871,0.6002574,-0.7438717,1.010957,0.590456,-0.7197685,1.000997,0.5747836,-0.7150738,1.042371,0.5912586,-0.7376154,1.024458,0.580672,-0.710768,1.010114,0.564842,-0.7055753,1.063464,0.5789847,-0.7396113,1.049047,0.5693491,-0.7122849,1.034366,0.5553445,-0.7044457,1.079995,0.5632939,-0.7460364,1.070621,0.555751,-0.7242869,1.057891,0.5461945,-0.7179859,1.05379,0.5757473,-0.7939398,0.04500058,
1529414968055,1.019006,0.5597935,-0.8521998,0.9959202,0.5566825,-0.8196789,0.9846458,0.5506126,-0.7955673,1.015718,0.5938756,-0.7822868,0.9997456,0.5834122,-0.7595373,0.9893603,0.5677649,-0.7556024,1.032446,0.5847725,-0.7745385,1.012132,0.5733291,-0.7497652,0.9973588,0.5573704,-0.7460895,1.053109,0.5724721,-0.7746955,1.035683,0.562174,-0.7493131,1.020224,0.548098,-0.7431558,1.070197,0.55707,-0.779307,1.05843,0.5493778,-0.7588348,1.044989,0.5398735,-0.7538484,1.048643,0.5692948,-0.8292078,0.04374498,
1529414968080,1.018556,0.5518023,-0.8751352,0.9935507,0.5482336,-0.8441672,0.9811055,0.5415987,-0.8208041,1.010823,0.5847322,-0.8051461,0.9936125,0.573727,-0.7834551,0.9829998,0.5580852,-0.7803704,1.026911,0.5755228,-0.7964079,1.005182,0.5634866,-0.7731454,0.9902333,0.5474734,-0.7707685,1.047287,0.5630969,-0.7954499,1.028165,0.5521361,-0.7715148,1.012379,0.5379522,-0.7668169,1.064728,0.5479935,-0.7989715,1.051708,0.5400231,-0.7793516,1.037979,0.5305048,-0.7753242,1.046505,0.560953,-0.8501131,0.04370673,
1529414968106,1.017903,0.5420567,-0.9089083,0.9917386,0.5374359,-0.879122,0.9785247,0.5299519,-0.8563997,1.005721,0.5725625,-0.8387336,0.9876953,0.5606875,-0.8178399,0.9769604,0.5450555,-0.8150756,1.021344,0.5634221,-0.8293105,0.9986801,0.5505158,-0.8070676,0.9836203,0.5344934,-0.8050268,1.041494,0.5510268,-0.8277255,1.021128,0.5389104,-0.8051022,1.005287,0.5245268,-0.8011888,1.0593,0.5364895,-0.8305509,1.045193,0.5277368,-0.8119285,1.031397,0.5179702,-0.8086258,1.044164,0.5507687,-0.8822376,0.0440255,
1529414968133,1.017787,0.5366342,-0.9306482,0.9911164,0.5309407,-0.9015945,0.977947,0.5224539,-0.879217,1.001344,0.5654745,-0.8608902,0.98286,0.5529228,-0.8407047,0.9723511,0.5371143,-0.8385439,1.016621,0.556569,-0.8508108,0.9934291,0.5428872,-0.8296027,0.9787155,0.526548,-0.8285893,1.036682,0.5443374,-0.8486359,1.015514,0.5312312,-0.8272449,0.9998686,0.5164492,-0.8244153,1.054769,0.5303491,-0.8508193,1.039784,0.5209203,-0.8332279,1.026045,0.5108057,-0.8309486,1.04202,0.5451869,-0.9029127,0.04359524,
1529414968175,1.018355,0.5245388,-0.9668304,0.9899413,0.5178206,-0.9399691,0.9764494,0.5075207,-0.9186731,0.9942911,0.5499421,-0.8979244,0.9742281,0.5372753,-0.87949,0.963703,0.5215869,-0.8791982,1.008202,0.5404561,-0.8867368,0.9832237,0.5264764,-0.8682649,0.9690173,0.5102232,-0.870388,1.027577,0.5276012,-0.8833767,1.004267,0.5136522,-0.8651791,0.9887481,0.4987478,-0.8657148,1.045357,0.5138316,-0.8844922,1.028038,0.5039523,-0.8696981,1.014285,0.4938418,-0.8706358,1.038951,0.5310075,-0.9367377,0.04380178,
