time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528972225267,0.803296,0.8567716,-0.69792,0.7723806,0.855602,-0.6693974,0.7569181,0.8507307,-0.6461236,0.7923294,0.9057173,-0.6283059,0.7765883,0.9031097,-0.6005227,0.7648892,0.890698,-0.5896555,0.808655,0.8988288,-0.6163465,0.7879091,0.8956434,-0.5866623,0.7718363,0.8822225,-0.5768639,0.8291661,0.8856757,-0.6124885,0.8101251,0.8815283,-0.5839369,0.7938161,0.8690997,-0.5741344,0.8464064,0.8672358,-0.6133364,0.8315427,0.8604257,-0.5935223,0.8173337,0.8498347,-0.5913873,0.8308166,0.8726631,-0.6693239,0.06963889,
1528972225293,0.8081398,0.8388006,-0.7120399,0.7765231,0.8377951,-0.6842679,0.7603558,0.8330991,-0.6614463,0.7956105,0.8869827,-0.6426281,0.7789022,0.8828185,-0.616003,0.7672446,0.8690054,-0.6071987,0.8115519,0.8800227,-0.6304849,0.7896094,0.8752334,-0.6023721,0.7736369,0.8604351,-0.5950618,0.8327568,0.8677524,-0.6259672,0.8133998,0.8636236,-0.597886,0.7969824,0.8507716,-0.5891914,0.8499888,0.8496242,-0.6264485,0.8350172,0.8435056,-0.6065607,0.8207263,0.8330482,-0.6043134,0.8352133,0.8545769,-0.6828644,0.06541806,
1528972225333,0.812488,0.8226843,-0.7285507,0.7802989,0.8219607,-0.7014434,0.7635959,0.8171027,-0.6790673,0.7997216,0.8683095,-0.6578025,0.7820686,0.8628396,-0.6324979,0.7702422,0.8480977,-0.6260622,0.8153356,0.8605492,-0.6456306,0.7924868,0.8547196,-0.6188856,0.7763576,0.8393732,-0.6139034,0.8370204,0.8482846,-0.6408111,0.8177397,0.8442433,-0.6129442,0.8010139,0.8313592,-0.6054633,0.8540162,0.8301167,-0.6414406,0.8395288,0.8249547,-0.6209695,0.8249134,0.8151237,-0.618161,0.8394369,0.8364697,-0.6983523,0.06176081,
1528972225359,0.8162448,0.8074737,-0.7422079,0.7840567,0.8067316,-0.715117,0.7672703,0.8014843,-0.6928889,0.80401,0.8506296,-0.6699871,0.7859454,0.844748,-0.6451221,0.7736665,0.8300709,-0.639489,0.8193958,0.8420616,-0.6579467,0.7962303,0.836156,-0.6314662,0.7795727,0.8212243,-0.6269996,0.8411459,0.8292855,-0.6532749,0.8222178,0.8255379,-0.625053,0.8051128,0.8132986,-0.6173303,0.8578191,0.810817,-0.6543583,0.8439374,0.8061802,-0.6332688,0.8290615,0.7969885,-0.6297169,0.8431735,0.8192145,-0.7114421,0.06090688,
1528972225386,0.8196902,0.7948721,-0.751395,0.7876625,0.7933642,-0.7241443,0.7709097,0.7875352,-0.7020032,0.8074634,0.8358971,-0.6779931,0.7894403,0.8294222,-0.6532173,0.7771181,0.8146642,-0.6478178,0.8229908,0.8270622,-0.6661696,0.8000048,0.8206899,-0.6395353,0.7832506,0.8058381,-0.6349903,0.8450309,0.8143745,-0.6618439,0.8266834,0.810423,-0.6331963,0.8096439,0.7983253,-0.6250215,0.8618185,0.795951,-0.6634459,0.8486227,0.7912161,-0.6418806,0.8338398,0.7821148,-0.6377823,0.8465915,0.8056559,-0.7204149,0.06091464,
1528972225445,0.8258349,0.7669249,-0.7686791,0.7942709,0.7647077,-0.7409607,0.7778366,0.7582228,-0.7187272,0.8141861,0.8056523,-0.6940931,0.7962056,0.7985578,-0.6694903,0.7838205,0.7836982,-0.664607,0.8299227,0.7965816,-0.6825599,0.8072082,0.7899986,-0.6557131,0.7902428,0.7753481,-0.6510464,0.8522497,0.7838746,-0.67872,0.8347102,0.7800623,-0.6495218,0.8177159,0.7682505,-0.6408874,0.869488,0.7654408,-0.6808333,0.8580091,0.7611985,-0.6579223,0.8435973,0.7526525,-0.6516453,0.8528707,0.7764387,-0.7376933,0.0601148,
1528972225466,0.8283646,0.7569734,-0.7760884,0.797057,0.7544751,-0.7481133,0.7808629,0.7477118,-0.7257892,0.8168072,0.7950352,-0.7012875,0.7987058,0.7876323,-0.6769518,0.7863356,0.772641,-0.6725168,0.8325336,0.7858533,-0.6898909,0.8096801,0.7789998,-0.6633614,0.7927191,0.7642137,-0.6592164,0.8549607,0.7731811,-0.6861634,0.8374219,0.7693306,-0.6570296,0.8203883,0.7574574,-0.6487418,0.8722801,0.7546738,-0.6884415,0.8610766,0.7504822,-0.6653276,0.846741,0.7420506,-0.6587287,0.8554158,0.7661409,-0.745191,0.05907082,
1528972225493,0.8329054,0.7395665,-0.7870967,0.8021138,0.7360754,-0.7586588,0.7862467,0.7284724,-0.7363545,0.822021,0.7748521,-0.7110161,0.8038913,0.7666359,-0.6870438,0.7913962,0.751552,-0.683376,0.8377194,0.7650571,-0.7000964,0.8148721,0.7574234,-0.6738571,0.7977568,0.7426389,-0.6703826,0.8600332,0.7520247,-0.6970197,0.8425473,0.7473062,-0.6680536,0.8253874,0.7352627,-0.6604295,0.8772141,0.7334133,-0.7001202,0.8662425,0.7286083,-0.6769933,0.8518895,0.7201737,-0.6704292,0.8600172,0.7473497,-0.7563121,0.0580165,
1528972225532,0.8362447,0.7245604,-0.7979738,0.806613,0.719741,-0.7685529,0.7918198,0.71103,-0.7459159,0.8268573,0.7574861,-0.720842,0.809045,0.7483891,-0.6970481,0.7967219,0.7330682,-0.6940035,0.8429515,0.7475099,-0.7105893,0.8205901,0.7391,-0.6842865,0.8036102,0.7241194,-0.6812196,0.8650824,0.7341485,-0.7085618,0.8477323,0.7281455,-0.6798884,0.8306755,0.7155648,-0.6731977,0.88251,0.7156457,-0.7125962,0.8719857,0.709846,-0.6895216,0.8577456,0.7010847,-0.6831938,0.8640093,0.7314483,-0.7677894,0.05660923,
1528972225573,0.8415776,0.704266,-0.8111196,0.8124343,0.6982834,-0.7814153,0.7978281,0.6887933,-0.7589241,0.83312,0.7339421,-0.7326421,0.8155439,0.7241124,-0.7087528,0.8030827,0.7088658,-0.7055383,0.8494545,0.7235355,-0.7229933,0.8275275,0.7143379,-0.6962775,0.8104315,0.6995182,-0.6926668,0.8712271,0.709782,-0.721987,0.8539083,0.7023211,-0.6935196,0.8368954,0.6894702,-0.6870879,0.8886682,0.6914427,-0.7270132,0.8783163,0.6844289,-0.7039945,0.8643152,0.6754431,-0.6972594,0.8696866,0.7098426,-0.7811343,0.05727617,
1528972225599,0.8434309,0.6952138,-0.8181672,0.8147054,0.6890262,-0.7881049,0.8003937,0.6793789,-0.7654797,0.8362217,0.7240264,-0.7392008,0.8191035,0.714197,-0.714764,0.8065811,0.6991164,-0.7107258,0.8527587,0.7135439,-0.7299098,0.8313963,0.7042556,-0.7025651,0.8143178,0.689569,-0.6981088,0.8743383,0.6997011,-0.7294894,0.8573827,0.691961,-0.7006851,0.8405071,0.6791732,-0.693519,0.8917676,0.6813946,-0.7349725,0.8816699,0.6739646,-0.7119013,0.8678551,0.6648695,-0.7047973,0.8720339,0.7004295,-0.7885392,0.05853071,
