time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528971796976,0.847604,0.6118811,-0.9132367,0.8284665,0.6244659,-0.8781159,0.8162892,0.624845,-0.8523397,0.8629102,0.6311473,-0.8398861,0.8377669,0.628812,-0.8238583,0.8207951,0.6203246,-0.829506,0.8705654,0.6119884,-0.8331605,0.841638,0.6125977,-0.813864,0.8197035,0.6077778,-0.8184298,0.8805369,0.5887316,-0.8340762,0.8567587,0.5898499,-0.809917,0.8342912,0.588291,-0.8074549,0.884955,0.5659651,-0.8404207,0.8693253,0.5668217,-0.8197604,0.8517776,0.5682851,-0.8163907,0.876942,0.5950233,-0.8893248,0.02370904,
1528971797031,0.8488438,0.6025312,-0.9110677,0.8310046,0.6102942,-0.873922,0.8198574,0.6070794,-0.8479059,0.8653249,0.6149319,-0.8370798,0.8404972,0.6102152,-0.8212938,0.8235204,0.6025233,-0.82803,0.8727943,0.5951535,-0.8324884,0.8439249,0.5930061,-0.8129089,0.8217834,0.5888497,-0.8174195,0.882665,0.5722716,-0.8357378,0.8590417,0.5702325,-0.8112426,0.8366114,0.5683813,-0.8081591,0.8867592,0.5505759,-0.8442786,0.8708892,0.5490938,-0.8238415,0.85329,0.5502523,-0.8203193,0.8783295,0.5845122,-0.8898906,0.02071777,
1528971797055,0.8494965,0.5982333,-0.9092183,0.8321276,0.6022409,-0.8712345,0.8214304,0.5967211,-0.8454003,0.8670586,0.6063169,-0.8344903,0.8428457,0.6004946,-0.8176919,0.8254188,0.593074,-0.823585,0.8748044,0.5860783,-0.8315197,0.8466346,0.5821432,-0.8107452,0.8242616,0.578038,-0.8140289,0.8844156,0.5635366,-0.8369174,0.8609313,0.5592681,-0.8126134,0.8385286,0.5568715,-0.8096683,0.8886133,0.5426111,-0.8470927,0.872697,0.539372,-0.8269344,0.8550526,0.5400704,-0.8234191,0.8794077,0.5796506,-0.8898931,0.02247478,
1528971797082,0.8497685,0.5939582,-0.9079523,0.8332101,0.5963101,-0.869455,0.8230442,0.5897992,-0.8436454,0.8684316,0.6004058,-0.8334397,0.8444998,0.5942483,-0.8167621,0.827247,0.5870367,-0.8232166,0.875896,0.5799312,-0.8313521,0.8477653,0.5754557,-0.8110231,0.8255628,0.5715479,-0.8151665,0.8851271,0.5575366,-0.8375967,0.8613749,0.5526918,-0.8138667,0.8388919,0.5504036,-0.8116682,0.8890809,0.5370071,-0.848361,0.8728926,0.5334424,-0.8285414,0.8551913,0.5342785,-0.8253503,0.8798012,0.5751483,-0.8897696,0.02103877,
1528971797123,0.8511792,0.585777,-0.9064083,0.8352414,0.5857663,-0.8675503,0.8254689,0.5778346,-0.8419977,0.8698732,0.5914732,-0.8321931,0.8458757,0.5852692,-0.8163155,0.8290628,0.5783514,-0.8239638,0.876833,0.5706887,-0.8308564,0.8482845,0.5660203,-0.8117633,0.8264103,0.5625209,-0.8174615,0.8857152,0.5483696,-0.83763,0.8613172,0.5432944,-0.8148189,0.8387393,0.5413557,-0.8136781,0.8894334,0.5281531,-0.8488086,0.8727221,0.5244715,-0.8294576,0.8549609,0.5255713,-0.8266224,0.8808658,0.567283,-0.8890567,0.01839585,
1528971797161,0.8511653,0.5821931,-0.9064048,0.8351744,0.5813945,-0.867591,0.8256162,0.5727809,-0.8422061,0.8683791,0.5896193,-0.8327141,0.8439715,0.5829145,-0.81835,0.8281168,0.5755912,-0.8274499,0.8755576,0.5690893,-0.8311415,0.8462762,0.564065,-0.8139712,0.8250802,0.5601473,-0.8215907,0.8851527,0.546945,-0.8372226,0.8600381,0.5417987,-0.8153542,0.8374622,0.5395671,-0.815249,0.8895023,0.5267341,-0.847935,0.8723061,0.5231636,-0.8289878,0.8544563,0.5240625,-0.8266221,0.8808848,0.5650412,-0.8886569,0.01522813,
1528971797202,0.8511193,0.5837436,-0.9084672,0.8351161,0.5827724,-0.8696584,0.8257672,0.5740773,-0.8442298,0.8678733,0.5920311,-0.8351242,0.8434407,0.5847406,-0.8215303,0.8282971,0.57687,-0.8313383,0.875487,0.5717495,-0.8335453,0.8459482,0.5661243,-0.8172562,0.8252054,0.5615659,-0.8256826,0.8854479,0.5498658,-0.8395422,0.8596368,0.5443999,-0.8188853,0.8371527,0.5417275,-0.8201826,0.8904541,0.5298405,-0.8499823,0.8726946,0.5262878,-0.8315938,0.8547436,0.5268925,-0.8298602,0.8813504,0.5674568,-0.8906517,0.01343091,
1528971797248,0.8521087,0.5864035,-0.9082022,0.8352414,0.585182,-0.8697413,0.8252893,0.57638,-0.8446168,0.8671782,0.5943187,-0.834365,0.8425821,0.5872012,-0.82165,0.828079,0.5794297,-0.832378,0.8744669,0.5738416,-0.8329839,0.844492,0.5682828,-0.8180987,0.824435,0.5639012,-0.8279757,0.884249,0.5520369,-0.8390457,0.857483,0.5467509,-0.8200724,0.8352219,0.54434,-0.8233613,0.8895701,0.5322026,-0.8493763,0.8710485,0.5289786,-0.8318982,0.8530524,0.5298345,-0.8314337,0.8817968,0.5699291,-0.8898535,0.01291786,
1528971797267,0.8521376,0.5877829,-0.907673,0.8352251,0.5861877,-0.8692309,0.8253117,0.577301,-0.8441075,0.8673267,0.5949905,-0.833652,0.8429081,0.5874242,-0.8208082,0.828432,0.5795033,-0.8314615,0.87497,0.5745827,-0.8325106,0.8451853,0.5684248,-0.8174328,0.8251129,0.5638028,-0.8271627,0.8849578,0.5529882,-0.8389685,0.8582644,0.5471051,-0.8201696,0.8360792,0.5443966,-0.8236852,0.8905768,0.5334051,-0.8495373,0.8720617,0.5297981,-0.8322191,0.854057,0.5304192,-0.8320112,0.8821721,0.5714267,-0.889535,0.01321015,
1528971797294,0.8533547,0.5895525,-0.906454,0.8362744,0.5884168,-0.868057,0.8261436,0.5799629,-0.8428555,0.8686851,0.5968357,-0.8322801,0.8442472,0.5895852,-0.8191025,0.8295014,0.581701,-0.8294238,0.8761032,0.5762792,-0.8311552,0.8462783,0.5703771,-0.8159021,0.8260671,0.5658644,-0.825411,0.8857834,0.554597,-0.8376725,0.8589133,0.5489678,-0.8190739,0.8367354,0.5464318,-0.822773,0.8912601,0.5349832,-0.8481754,0.8725538,0.531621,-0.8310524,0.8545573,0.5324267,-0.8310981,0.8833045,0.5729187,-0.8882107,0.01395369,
1528971797321,0.8552041,0.5911155,-0.9048514,0.8376061,0.5903834,-0.8666552,0.8269424,0.5823368,-0.8415439,0.8702185,0.5983552,-0.8303467,0.8455846,0.5918902,-0.8170081,0.8305746,0.5842308,-0.8271207,0.8770708,0.5774671,-0.8292657,0.8469979,0.572298,-0.8140485,0.8266525,0.5681831,-0.8234638,0.8862895,0.5555638,-0.8357462,0.8591464,0.550589,-0.8172872,0.8369207,0.5485076,-0.8210298,0.8914536,0.5358177,-0.8462028,0.8725679,0.5329072,-0.8291737,0.8545886,0.534077,-0.8292894,0.8847106,0.5738956,-0.8863205,0.01499361,
1528971797348,0.856197,0.5919304,-0.9040508,0.838342,0.5915873,-0.8659625,0.8274767,0.5837616,-0.8408936,0.8709618,0.6001365,-0.8295128,0.8462418,0.594169,-0.8162132,0.8312658,0.5864856,-0.8263441,0.877496,0.5791025,-0.8282733,0.847234,0.5744205,-0.8133131,0.8269346,0.5703683,-0.8228853,0.8865921,0.5570656,-0.8344028,0.8592783,0.5526261,-0.8161259,0.8370731,0.5507134,-0.8200881,0.8917168,0.5371378,-0.8445531,0.8727921,0.5346391,-0.8275195,0.8548268,0.5359622,-0.8277161,0.8854384,0.5747789,-0.8851675,0.01527957,
1528971797375,0.8575727,0.5922555,-0.901726,0.8394493,0.5921001,-0.8637638,0.8284749,0.5843226,-0.8387516,0.8715892,0.6016538,-0.8271747,0.8468111,0.5957837,-0.8140429,0.8320162,0.5879201,-0.8242832,0.8780785,0.5806195,-0.8256984,0.8476566,0.5759969,-0.8112113,0.82759,0.5717584,-0.8211814,0.8873429,0.5585792,-0.8314064,0.8598288,0.5543096,-0.8135169,0.8377365,0.5522903,-0.8179539,0.8927258,0.5385566,-0.8411769,0.8736947,0.5362611,-0.8242956,0.8557383,0.5375322,-0.8247913,0.8866593,0.5755916,-0.8823812,0.01532367,
