Scene,Start,End,Grasp
mug_x-,1528976916647,1528976925133,1528976923392
lego_z+,1528976926010,1528976931548,1528976930047
foambrick_x-,1528976932436,1528976937029,1528976935632
gelatinbox_x+,1528976937821,1528976945442,1528976943895
pottedmeatcan_y-,1528976946196,1528976954904,1528976952680
orange_x+,1528976955581,1528976959935,1528976958446
foambrick_y+,1528976960883,1528976965721,1528976963648
bleachcleanser_x-,1528976966648,1528976971975,1528976970154
sponge_z-,1528976972836,1528976979136,1528976977953
largemarker_y+,1528976980099,1528976984617,1528976982940
hammer_y+,1528976985769,1528976993218,1528976991007
spoon_x+,1528976993957,1528977002830,1528977001262
pottedmeatcan_y+,1528977003463,1528977007256,1528977005900
mediumclamp_y+,1528977008010,1528977013226,1528977011408
foambrick_x+,1528977013944,1528977018139,1528977016742
foambrick_z+,1528977018770,1528977022807,1528977021167
lego_z-,1528977023410,1528977028164,1528977027020
mustardbottle_y+,1528977028864,1528977034204,1528977032234
bleachcleanser_y+,1528977034917,1528977038709,1528977037064
sponge_y+,1528977039330,1528977044338,1528977042355
scissors_x+,1528977045053,1528977049777,1528977048210
spoon_x-,1528977050599,1528977055166,1528977053554
largemarker_x-,1528977055731,1528977059648,1528977058343
gelatinbox_z+,1528977060253,1528977064952,1528977063396
pottedmeatcan_x-,1528977065639,1528977068737,1528977067421
mug_z+,1528977069373,1528977072896,1528977071634
mug_z-,1528977073610,1528977078495,1528977077287
banana_z+,1528977079052,1528977084282,1528977083023
pottedmeatcan_z+,1528977084934,1528977089992,1528977088597
crackerbox_y+,1528977090839,1528977095096,1528977093262
mug_x+,1528977096084,1528977099647,1528977098342
orange_z+,1528977100332,1528977103695,1528977102397
banana_z-,1528977104453,1528977108861,1528977107582
crackerbox_x+,1528977109505,1528977112898,1528977111499
pottedmeatcan_x+,1528977113467,1528977116779,1528977115397
gelatinbox_z-,1528977117560,1528977121901,1528977120730
bleachcleanser_z+,1528977122501,1528977126435,1528977124912
scissors_z+,1528977127102,1528977131007,1528977129597
banana_x-,1528977131826,1528977135383,1528977134158
mediumclamp_z+,1528977135973,1528977140153,1528977138812
sponge_x-,1528977140773,1528977144952,1528977143117
scissors_z-,1528977145714,1528977150008,1528977148839
lego_y+,1528977150786,1528977157085,1528977155464
hammer_z-,1528977157801,1528977161807,1528977160315
sponge_z+,1528977162428,1528977166285,1528977164785
scissors_y+,1528977166842,1528977172621,1528977170302
largemarker_z+,1528977173253,1528977177285,1528977175958
banana_x+,1528977177828,1528977183157,1528977180398
banana_y-,1528977184188,1528977189862,1528977188211
bleachcleanser_x+,1528977190442,1528977195249,1528977193535
pottedmeatcan_z-,1528977196054,1528977200435,1528977198654
mug_y-,1528977201028,1528977204914,1528977203118
hammer_x-,1528977205669,1528977210102,1528977208488
gelatinbox_x-,1528977210762,1528977214900,1528977213172
lego_x+,1528977215547,1528977219697,1528977218238
lego_y-,1528977220361,1528977225144,1528977223225
hammer_y-,1528977225589,1528977229942,1528977228237
largemarker_x+,1528977230403,1528977240169,1528977234000
mustardbottle_x+,1528977243430,1528977247971,1528977246318
orange_y-,1528977248869,1528977253853,1528977251854
mediumclamp_z-,1528977254491,1528977258450,1528977257289
bleachcleanser_y-,1528977259203,1528977264596,1528977262721
largemaker_y-,1528977265301,1528977270210,1528977268226
crackerbox_z-,1528977270905,1528977276065,1528977274289
spoon_y+,1528977276709,1528977282170,1528977280041
foambrick_z-,1528977282790,1528977287398,1528977286334
sponge_y-,1528977288058,1528977292065,1528977290454
crackerbox_z+,1528977292706,1528977296330,1528977294975
hammer_x+,1528977297005,1528977301158,1528977299602
scissors_x-,1528977301724,1528977306024,1528977304657
orange_z-,1528977306631,1528977310300,1528977308962
spoon_y-,1528977310964,1528977317465,1528977315468
largemaker_z-,1528977317991,1528977322584,1528977321350
gelatinbox_y+,1528977323177,1528977326998,1528977325321
spoon_z-,1528977327619,1528977332093,1528977330788
bleachcleanser_z-,1528977332695,1528977336903,1528977335226
crackerbox_y-,1528977337458,1528977342455,1528977340626
mediumclamp_x-,1528977343060,1528977347760,1528977346245
mustardbottle_z+,1528977348324,1528977352985,1528977351378
banana_y+,1528977353605,1528977358117,1528977356319
crackerbox_x-,1528977358768,1528977363078,1528977361468
foambrick_y-,1528977363671,1528977367798,1528977366176
mustardbottle_x-,1528977368326,1528977372531,1528977370830
spoon_z+,1528977373096,1528977377666,1528977376335
mediumclamp_y-,1528977378324,1528977382319,1528977380869
lego_x-,1528977382846,1528977387427,1528977386044
sponge_x+,1528977388020,1528977392532,1528977391110
gelatinbox_y-,1528977393405,1528977398654,1528977396951
mustardbottle_z-,1528977399233,1528977402826,1528977401458
scissors_y-,1528977403353,1528977408799,1528977407092
orange_x-,1528977409308,1528977412905,1528977411403
orange_y+,1528977413473,1528977417316,1528977415469
mediumclamp_x+,1528977417981,1528977421360,1528977419906
hammer_z+,1528977421967,1528977425680,1528977424290
mug_y+,1528977426275,1528977429856,1528977428311
mustardbottle_y-,1528977430594,1528977435601,1528977433778
