time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528976932461,1.168155,0.4067105,-0.5526476,1.166574,0.3862918,-0.5261433,1.174082,0.3696102,-0.5116566,1.204883,0.4160163,-0.4918309,1.216813,0.4108946,-0.4671254,1.223627,0.4045831,-0.4526756,1.225577,0.4158704,-0.4995226,1.244846,0.4097687,-0.4748498,1.255685,0.4026482,-0.4600676,1.239142,0.4128747,-0.5141222,1.258568,0.4032843,-0.4931917,1.269713,0.3942775,-0.4802135,1.249358,0.4089337,-0.5324229,1.266746,0.399726,-0.5209578,1.275952,0.3901957,-0.5133625,1.200313,0.418327,-0.547962,0.08459706,
1528976932496,1.168305,0.4092062,-0.5528401,1.165866,0.3888109,-0.5263463,1.172463,0.3718674,-0.5116456,1.206164,0.4179119,-0.4922451,1.218232,0.4136378,-0.4674226,1.225135,0.407982,-0.4527515,1.227073,0.4178969,-0.5002953,1.246866,0.4129557,-0.475834,1.258094,0.4065382,-0.4610001,1.240646,0.4141868,-0.5152293,1.261077,0.4056231,-0.4947789,1.272986,0.3974387,-0.4819659,1.250448,0.4099193,-0.5336847,1.268499,0.4013196,-0.5227488,1.278588,0.3925228,-0.5153391,1.201084,0.4199152,-0.5484166,0.08687436,
1528976932514,1.168476,0.4099178,-0.5529026,1.165731,0.3895169,-0.526439,1.172124,0.3725278,-0.5117105,1.206522,0.4185003,-0.4922699,1.218636,0.4144093,-0.4674393,1.225575,0.408849,-0.4527501,1.227379,0.4184734,-0.5002853,1.247062,0.4134548,-0.475794,1.25814,0.4067412,-0.460979,1.241014,0.4147417,-0.5152735,1.261489,0.4062124,-0.4948593,1.273428,0.3980309,-0.4820688,1.250768,0.410459,-0.5337026,1.268759,0.4017991,-0.5227421,1.278855,0.3930016,-0.5153176,1.201424,0.420504,-0.5484418,0.08747854,
1528976932541,1.168992,0.4112202,-0.5520167,1.165891,0.3907604,-0.5255979,1.171857,0.3736755,-0.5107708,1.207611,0.4191997,-0.491528,1.219862,0.4152132,-0.466748,1.226887,0.4096974,-0.4520848,1.228333,0.4190037,-0.4996132,1.247944,0.4136031,-0.4751786,1.258902,0.4064967,-0.4604574,1.241978,0.4154471,-0.5147842,1.262522,0.4066915,-0.4945585,1.274482,0.3983088,-0.4819057,1.25158,0.4113061,-0.5332601,1.269631,0.4026574,-0.5223733,1.279887,0.3939864,-0.5150002,1.202177,0.4215671,-0.547665,0.08814754,
1528976932567,1.169577,0.4118659,-0.5521867,1.166035,0.3913989,-0.5258096,1.171688,0.3743221,-0.5108514,1.208026,0.4197569,-0.4914428,1.22022,0.415841,-0.4666304,1.227237,0.4103102,-0.4519687,1.228699,0.4195924,-0.4993537,1.248092,0.414045,-0.4747877,1.258922,0.4068037,-0.4600372,1.242491,0.4163514,-0.5144585,1.262911,0.4076402,-0.4940984,1.274806,0.3992476,-0.4813857,1.252223,0.4123499,-0.532879,1.270274,0.4038568,-0.5218349,1.280735,0.3954939,-0.514371,1.202883,0.4223102,-0.5475934,0.08858886,
1528976932593,1.169395,0.413696,-0.5512416,1.165515,0.3931959,-0.5249397,1.171001,0.3760264,-0.5100679,1.208251,0.4212003,-0.4905562,1.220531,0.4172015,-0.4657924,1.227612,0.4117491,-0.4511234,1.228572,0.4207476,-0.4982911,1.24758,0.4149975,-0.4734166,1.258267,0.4080066,-0.458433,1.24245,0.4178873,-0.5134281,1.262666,0.409445,-0.492736,1.274503,0.4013559,-0.4797693,1.252294,0.4138293,-0.5320593,1.270456,0.4055653,-0.520978,1.281111,0.3974882,-0.5134701,1.202941,0.4239095,-0.5466757,0.08919283,
1528976932608,1.169085,0.4138288,-0.5512033,1.165241,0.3933539,-0.5249072,1.170899,0.3761894,-0.510124,1.207939,0.4214457,-0.490512,1.220245,0.4174429,-0.4657553,1.227361,0.4120864,-0.4510632,1.228021,0.4209119,-0.4980582,1.246716,0.4152117,-0.4729002,1.257293,0.408518,-0.4577,1.241998,0.4182189,-0.5131739,1.261997,0.4099656,-0.4921922,1.273698,0.4019973,-0.4790341,1.251978,0.4141098,-0.5318745,1.270134,0.4059998,-0.520661,1.280773,0.3980048,-0.5130601,1.202656,0.4240886,-0.5466236,0.08924525,
1528976932633,1.168422,0.4154727,-0.5513647,1.164935,0.3949369,-0.525089,1.170929,0.3777758,-0.5104554,1.207256,0.4231341,-0.4907661,1.21961,0.4190144,-0.4660598,1.226747,0.4135389,-0.4514209,1.227254,0.4225882,-0.4983043,1.245911,0.4168111,-0.4731255,1.256476,0.4101222,-0.457917,1.24114,0.4199604,-0.5133698,1.260926,0.4115479,-0.4922635,1.272457,0.4034254,-0.479047,1.251156,0.4158359,-0.5321377,1.269155,0.4074944,-0.5208706,1.279582,0.3992406,-0.5132537,1.201864,0.4258345,-0.5468593,0.08876768,
1528976932668,1.168784,0.416068,-0.5505175,1.16592,0.3955296,-0.5242141,1.172513,0.3784467,-0.5097783,1.207284,0.4240847,-0.4899567,1.219562,0.4199719,-0.4652159,1.226653,0.4144661,-0.4505656,1.227366,0.4234886,-0.4975533,1.246105,0.4176936,-0.4724267,1.256726,0.4110128,-0.4572607,1.241079,0.4207599,-0.5124962,1.260563,0.4119381,-0.4912952,1.271821,0.4034551,-0.4780693,1.25109,0.41652,-0.5312321,1.268721,0.4076298,-0.5198389,1.278696,0.3988717,-0.5121931,1.201948,0.4266279,-0.5460801,0.08794699,
1528976932687,1.168418,0.4168703,-0.5505413,1.165763,0.3962365,-0.5242957,1.172541,0.3791522,-0.5099611,1.206766,0.4248592,-0.489945,1.219038,0.4207151,-0.465209,1.226134,0.4151697,-0.4505759,1.226915,0.4243538,-0.4975768,1.245767,0.4185848,-0.4725219,1.256469,0.4119167,-0.4574126,1.240553,0.4216073,-0.5124803,1.259972,0.4125592,-0.4913202,1.271147,0.4038663,-0.4781651,1.250557,0.4174021,-0.5312197,1.268061,0.4082299,-0.5198617,1.277863,0.3992308,-0.5122833,1.20146,0.4275593,-0.5460652,0.08772677,
