time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528977157825,0.8612998,0.836862,-0.7867815,0.8402009,0.8447762,-0.7611701,0.8248016,0.8502743,-0.7435883,0.8626497,0.9040792,-0.7596383,0.8601025,0.9271168,-0.7439801,0.8586068,0.9398506,-0.732513,0.8810619,0.9075753,-0.7577071,0.87967,0.9322668,-0.7375806,0.8783861,0.9452553,-0.7228534,0.8986071,0.9020753,-0.7589282,0.8965034,0.9221296,-0.7367134,0.8943535,0.9316603,-0.7200478,0.9169143,0.8870785,-0.7579026,0.9166055,0.8896253,-0.7363511,0.9125128,0.883566,-0.7229369,0.8872893,0.8611794,-0.787033,0.0963814,
1528977157853,0.8718604,0.8070675,-0.8055165,0.8490592,0.8153626,-0.7815566,0.8315111,0.8208109,-0.766139,0.8706892,0.8749431,-0.7806689,0.8685285,0.897313,-0.7640566,0.8673145,0.9093955,-0.7518724,0.8882063,0.8788577,-0.7780681,0.8859378,0.9024303,-0.756734,0.8841615,0.9146537,-0.7414001,0.9043744,0.8738668,-0.7788655,0.8990923,0.8933173,-0.7564762,0.895206,0.9032291,-0.7403362,0.9223347,0.8585094,-0.7769443,0.9182346,0.8570453,-0.7563673,0.9125134,0.8466665,-0.7470742,0.8969337,0.8323142,-0.8060895,0.09660567,
1528977157888,0.8827226,0.7765448,-0.8220919,0.8584262,0.7862115,-0.8002396,0.839313,0.7922591,-0.7871698,0.8814617,0.8445303,-0.7991478,0.8799875,0.8662196,-0.7815928,0.879133,0.8778412,-0.7689303,0.8984216,0.8482086,-0.7958238,0.895998,0.8706943,-0.7733504,0.8940949,0.8823646,-0.757592,0.9139436,0.8433107,-0.7962493,0.9075353,0.8624334,-0.7737921,0.9030349,0.8727934,-0.7581078,0.930932,0.8282125,-0.793933,0.9248265,0.8260062,-0.7739409,0.9189763,0.8149246,-0.7657817,0.9077951,0.8016255,-0.8227972,0.09613853,
1528977157919,0.8932877,0.7493676,-0.834436,0.8674516,0.7600867,-0.8149273,0.8476049,0.7668666,-0.8034849,0.8917344,0.816236,-0.8098849,0.8892618,0.8367374,-0.791063,0.8877344,0.8474345,-0.777671,0.908983,0.8196595,-0.8058065,0.9060224,0.8405752,-0.7819307,0.9037081,0.851095,-0.7654337,0.9248067,0.814854,-0.8057938,0.9182895,0.8323417,-0.7821103,0.9136379,0.8414409,-0.7656807,0.940555,0.7998148,-0.8036864,0.9330839,0.7969406,-0.7839904,0.9270475,0.7858441,-0.775976,0.9191117,0.7740074,-0.8334448,0.09363726,
1528977157945,0.9041103,0.7300209,-0.8448088,0.8777477,0.7407338,-0.8260092,0.8578234,0.7476913,-0.8147802,0.9029557,0.7951508,-0.8165932,0.9000033,0.8141632,-0.7963315,0.8981636,0.8238546,-0.7822328,0.9206499,0.7982895,-0.8122866,0.9178867,0.8176139,-0.7870741,0.9156622,0.8270745,-0.7699401,0.9368486,0.7936475,-0.8124813,0.9311205,0.8098754,-0.7877424,0.9268826,0.8179437,-0.7706764,0.9521397,0.7790087,-0.8110384,0.9447334,0.7764533,-0.7910566,0.9383942,0.7659606,-0.7824442,0.9304687,0.7540966,-0.842006,0.09212769,
1528977157984,0.9161389,0.7160731,-0.8531878,0.8895553,0.7267298,-0.834666,0.8696359,0.7338303,-0.8234893,0.916715,0.7789687,-0.8205203,0.9141153,0.7965435,-0.7989272,0.9124353,0.805531,-0.784345,0.9347631,0.7814219,-0.8159583,0.9328548,0.7991393,-0.7894868,0.9311241,0.8077977,-0.7718763,0.9510919,0.7766166,-0.8163968,0.9465408,0.7916892,-0.7906889,0.9429818,0.799108,-0.7731804,0.9659102,0.762469,-0.8157521,0.9589411,0.7609824,-0.7951727,0.952262,0.7517757,-0.7854446,0.9433481,0.7390212,-0.8483303,0.09222282,
1528977158000,0.934194,0.7017742,-0.8585729,0.9081749,0.7126245,-0.8393723,0.8886341,0.7200063,-0.8277215,0.9384433,0.7619183,-0.8214771,0.9375162,0.7780373,-0.7986036,0.9368429,0.7864499,-0.7835957,0.9569356,0.7635856,-0.817403,0.9572918,0.7797983,-0.7898778,0.9569567,0.787771,-0.7718642,0.9731959,0.7584641,-0.8186389,0.9710052,0.7724731,-0.7920109,0.968917,0.7793806,-0.7740577,0.9879022,0.745469,-0.8193251,0.9833241,0.7472327,-0.7974343,0.9775679,0.7418938,-0.7845048,0.9624917,0.7231627,-0.852694,0.09319832,
1528977158025,0.9486921,0.695251,-0.860003,0.924632,0.7055149,-0.8380966,0.9065111,0.7126392,-0.8242046,0.9570371,0.7532873,-0.8203379,0.9587042,0.7684954,-0.7968716,0.9596537,0.7764954,-0.7816565,0.9756675,0.7543172,-0.8173528,0.9787878,0.7692926,-0.7892855,0.980251,0.7767839,-0.7711176,0.991666,0.7492247,-0.8200068,0.9920929,0.7624899,-0.7929012,0.9917579,0.7691518,-0.7747337,1.006593,0.7369235,-0.8223928,1.005386,0.7406569,-0.8000278,1.002228,0.7386171,-0.7852818,0.9777124,0.7157008,-0.8549144,0.09333859,
1528977158052,0.9785379,0.6879262,-0.8628057,0.9581621,0.6969755,-0.836966,0.9421861,0.7033622,-0.8203617,0.992925,0.7442122,-0.8224134,0.9983909,0.7584819,-0.7989128,1.001735,0.7660128,-0.7837907,1.011564,0.7445871,-0.821508,1.018665,0.7581031,-0.793406,1.022682,0.7648438,-0.7753193,1.026932,0.7396144,-0.8264178,1.031084,0.751946,-0.7991756,1.033219,0.7580926,-0.780941,1.041946,0.7276859,-0.8313365,1.045367,0.7324747,-0.8092242,1.046354,0.733438,-0.7938867,1.00772,0.7079934,-0.8608872,0.09385452,
1528977158086,1.012518,0.6852219,-0.8648263,0.9966015,0.6923342,-0.8355367,0.9824962,0.6976727,-0.8170493,1.033209,0.739598,-0.82449,1.042029,0.7528939,-0.8014538,1.047458,0.759842,-0.7866683,1.051725,0.7390699,-0.8256174,1.062485,0.751243,-0.7980835,1.068772,0.7571119,-0.7803495,1.065878,0.733929,-0.8325344,1.073044,0.7453359,-0.8055443,1.077063,0.7506299,-0.7873688,1.080506,0.7213175,-0.8398283,1.087777,0.7257282,-0.8185524,1.092038,0.727657,-0.8039141,1.041805,0.7045994,-0.8659974,0.09491109,
