time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528977096102,0.8247225,0.9758828,-0.7122587,0.8015822,0.9824279,-0.6881576,0.7884724,0.9882587,-0.6690989,0.8231417,1.045322,-0.6874179,0.8198063,1.065711,-0.6691155,0.8193663,1.074029,-0.6541989,0.8407958,1.0514,-0.6888528,0.8386319,1.072762,-0.6661144,0.8380994,1.079931,-0.6479157,0.860099,1.040463,-0.6879981,0.8603846,1.038231,-0.6616,0.8606786,1.022869,-0.6512835,0.877072,1.034003,-0.6936399,0.8762251,1.031139,-0.6735223,0.8730392,1.018485,-0.6670123,0.8500233,1.004632,-0.7163538,0.09237455,
1528977096129,0.8247225,0.9758828,-0.7122587,0.8015822,0.9824279,-0.6881576,0.7884724,0.9882587,-0.6690989,0.8231417,1.045322,-0.6874179,0.8198063,1.065711,-0.6691155,0.8193663,1.074029,-0.6541989,0.8407958,1.0514,-0.6888528,0.8386319,1.072762,-0.6661144,0.8380994,1.079931,-0.6479157,0.860099,1.040463,-0.6879981,0.8603846,1.038231,-0.6616,0.8606786,1.022869,-0.6512835,0.877072,1.034003,-0.6936399,0.8762251,1.031139,-0.6735223,0.8730392,1.018485,-0.6670123,0.8500233,1.004632,-0.7163538,0.09237455,
1528977096156,0.8247225,0.9758828,-0.7122587,0.8015822,0.9824279,-0.6881576,0.7884724,0.9882587,-0.6690989,0.8231417,1.045322,-0.6874179,0.8198063,1.065711,-0.6691155,0.8193663,1.074029,-0.6541989,0.8407958,1.0514,-0.6888528,0.8386319,1.072762,-0.6661144,0.8380994,1.079931,-0.6479157,0.860099,1.040463,-0.6879981,0.8603846,1.038231,-0.6616,0.8606786,1.022869,-0.6512835,0.877072,1.034003,-0.6936399,0.8762251,1.031139,-0.6735223,0.8730392,1.018485,-0.6670123,0.8500233,1.004632,-0.7163538,0.09237455,
1528977096184,0.8247225,0.9758828,-0.7122587,0.8015822,0.9824279,-0.6881576,0.7884724,0.9882587,-0.6690989,0.8231417,1.045322,-0.6874179,0.8198063,1.065711,-0.6691155,0.8193663,1.074029,-0.6541989,0.8407958,1.0514,-0.6888528,0.8386319,1.072762,-0.6661144,0.8380994,1.079931,-0.6479157,0.860099,1.040463,-0.6879981,0.8603846,1.038231,-0.6616,0.8606786,1.022869,-0.6512835,0.877072,1.034003,-0.6936399,0.8762251,1.031139,-0.6735223,0.8730392,1.018485,-0.6670123,0.8500233,1.004632,-0.7163538,0.09237455,
1528977096210,0.8986876,0.8342364,-0.8392536,0.8767883,0.8366877,-0.8132159,0.8615183,0.8384457,-0.7947774,0.8936946,0.8977073,-0.8045845,0.8907996,0.9158558,-0.7835579,0.8895828,0.9245964,-0.7688185,0.9118865,0.9032435,-0.8029138,0.9107152,0.9219303,-0.7771723,0.9100446,0.9301255,-0.7593122,0.9287881,0.8968444,-0.8038559,0.9258606,0.9035454,-0.7750369,0.9238946,0.9035342,-0.7557811,0.9461505,0.8864342,-0.8077068,0.9431651,0.8801116,-0.7881542,0.9392868,0.8669619,-0.7823063,0.9216546,0.862529,-0.8381247,0.09425198,
1528977096237,0.9131153,0.816618,-0.8455123,0.8912654,0.8185375,-0.8193907,0.8760911,0.8199265,-0.8008364,0.9072379,0.8783299,-0.8086652,0.9052203,0.8958549,-0.7870431,0.9044375,0.9039511,-0.7719123,0.92459,0.8831071,-0.8054692,0.9228332,0.9002285,-0.7786971,0.9216591,0.9073008,-0.7603877,0.9407255,0.8784684,-0.8066941,0.935762,0.8877805,-0.7785917,0.9324057,0.8896111,-0.7596052,0.9581009,0.8661807,-0.8094922,0.9536564,0.8589242,-0.7902303,0.9495356,0.8457658,-0.7844138,0.9355629,0.8443311,-0.8423443,0.0932752,
1528977096275,0.927705,0.7999319,-0.8501191,0.9054686,0.8018736,-0.8243225,0.8895242,0.8032016,-0.8064294,0.9201574,0.8604988,-0.8123423,0.916155,0.877717,-0.7907174,0.9139453,0.8859057,-0.7757609,0.9381437,0.8645821,-0.8079159,0.9352491,0.8812796,-0.780923,0.9332247,0.8887401,-0.7628093,0.9549718,0.861697,-0.8094378,0.9497845,0.8743582,-0.7827109,0.9460273,0.8790916,-0.7643278,0.9726114,0.849416,-0.8105536,0.9683808,0.8464725,-0.7894105,0.9636434,0.8363774,-0.7793393,0.9500607,0.826617,-0.8453947,0.09152558,
1528977096304,0.9400111,0.7836903,-0.8527418,0.9187173,0.7859859,-0.8262061,0.9039433,0.7876288,-0.8073599,0.931711,0.84382,-0.8151485,0.9271741,0.8603098,-0.7930619,0.9246473,0.8681576,-0.7779669,0.949755,0.8479885,-0.8108138,0.9464409,0.8638898,-0.7833982,0.944185,0.8707777,-0.7650886,0.9672152,0.8457197,-0.8126287,0.9626006,0.8584856,-0.7858592,0.9591761,0.8629633,-0.7673743,0.9846197,0.8329543,-0.8136885,0.9804091,0.8288168,-0.7930789,0.9755611,0.8175825,-0.7843686,0.9619916,0.8103675,-0.8484097,0.08819018,
1528977096330,0.9505159,0.7719405,-0.8534305,0.9295044,0.7749857,-0.8267398,0.9144376,0.7770878,-0.8082022,0.941783,0.8320327,-0.8167244,0.9372436,0.8480399,-0.794298,0.9347208,0.8555188,-0.7790139,0.95971,0.8361633,-0.8123765,0.9561892,0.8514723,-0.7846712,0.9537933,0.8578167,-0.7661856,0.9774933,0.8343315,-0.8143197,0.9731972,0.8476602,-0.7877363,0.9699667,0.8527377,-0.7693725,0.9947637,0.8228251,-0.8152575,0.9908278,0.8217467,-0.793716,0.9862403,0.8131804,-0.7821597,0.9721698,0.7984685,-0.849642,0.08610918,
1528977096357,0.9635574,0.7552207,-0.8562593,0.9425216,0.7584458,-0.8296155,0.9273552,0.7606633,-0.8112015,0.9547123,0.8142418,-0.8188399,0.9506423,0.8287886,-0.7953504,0.9483845,0.835299,-0.7795826,0.9721779,0.8180705,-0.8142292,0.9683881,0.8312523,-0.7855242,0.9657864,0.8358842,-0.7665592,0.9900704,0.8165032,-0.8160491,0.9856827,0.828657,-0.7888997,0.9823815,0.8331286,-0.770385,1.008445,0.8093506,-0.8181206,1.006971,0.8173438,-0.7966641,1.005125,0.8205172,-0.7814933,0.985094,0.7815552,-0.8520916,0.08374054,
1528977096384,0.9705312,0.7445014,-0.8594232,0.9496411,0.7472516,-0.832635,0.9351199,0.749198,-0.8136505,0.9629518,0.8016193,-0.8193484,0.9593908,0.8147153,-0.7949235,0.9573035,0.8204606,-0.7788349,0.9801811,0.8046353,-0.8142229,0.9763877,0.816357,-0.7848562,0.9736568,0.8204591,-0.7657824,0.9980643,0.8028283,-0.8158002,0.9937369,0.814249,-0.7882818,0.9903942,0.8187461,-0.7697684,1.017,0.796356,-0.8183144,1.016735,0.8054447,-0.7973588,1.015532,0.8092326,-0.7825406,0.9925948,0.7698004,-0.8536441,0.08235656,
1528977096410,0.9796999,0.734207,-0.8621614,0.9606186,0.7355374,-0.8340398,0.9491656,0.7364024,-0.8129519,0.9739352,0.7892947,-0.819026,0.9712665,0.8012328,-0.7938862,0.9696349,0.8064427,-0.7775632,0.9909946,0.7915374,-0.8138543,0.987679,0.8021598,-0.783982,0.9851841,0.8059345,-0.7648035,1.008991,0.7896527,-0.8157634,1.005439,0.8008072,-0.7880005,1.002551,0.8054729,-0.7694453,1.028188,0.7827848,-0.818839,1.029307,0.7917278,-0.7978605,1.028901,0.7954043,-0.7829713,1.00217,0.7585536,-0.855261,0.08109873,
1528977096438,0.9933746,0.7151388,-0.865262,0.9774515,0.7140108,-0.8353293,0.970283,0.7128557,-0.8124694,0.989574,0.7684446,-0.8191977,0.9879177,0.7798418,-0.7936982,0.9868622,0.7849548,-0.7772965,1.006538,0.7699156,-0.8143485,1.0039,0.77982,-0.7841411,1.001798,0.7833565,-0.7648693,1.024745,0.7678593,-0.8169798,1.0223,0.7785724,-0.7889344,1.020038,0.7828896,-0.7702078,1.044224,0.760264,-0.8209826,1.047069,0.7683672,-0.7998497,1.047669,0.7713188,-0.7848057,1.015859,0.7389792,-0.8580167,0.08191627,
1528977096464,1.002237,0.7021426,-0.8686509,0.9892557,0.6985414,-0.8376134,0.9851575,0.695407,-0.8142319,1.000023,0.7532328,-0.8196166,0.9990966,0.7642275,-0.7938926,0.9984785,0.7691156,-0.7774066,1.017361,0.7540476,-0.8151681,1.015898,0.7631838,-0.7846302,1.014499,0.7662785,-0.7652212,1.035573,0.7518659,-0.8186077,1.034491,0.7619761,-0.7902443,1.033066,0.7658782,-0.7713516,1.055112,0.7434797,-0.8236182,1.05956,0.7500552,-0.8022314,1.061203,0.7519588,-0.7870958,1.024666,0.725288,-0.8608923,0.08346561,
