time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529057380058,1.105436,0.6244597,-0.996434,1.081399,0.6420549,-0.9729527,1.064081,0.6457275,-0.9535671,1.096695,0.6540815,-0.9339041,1.070007,0.6560206,-0.9272351,1.055827,0.648439,-0.9358214,1.098478,0.6378459,-0.9238156,1.06777,0.6421498,-0.918462,1.05141,0.636911,-0.9303752,1.10301,0.6161054,-0.9199372,1.074011,0.6198961,-0.9148279,1.057984,0.6170542,-0.9273242,1.106377,0.5951986,-0.9201058,1.084851,0.5994809,-0.9145755,1.072312,0.6008251,-0.9248964,1.120348,0.6118592,-0.9667509,0.01975832,
1529057380085,1.085324,0.608278,-1.02489,1.05409,0.6252925,-1.010465,1.032168,0.633136,-0.9975666,1.063563,0.6401896,-0.96447,1.035591,0.6384236,-0.9584461,1.021253,0.6283796,-0.9644208,1.068609,0.6263796,-0.9516872,1.036418,0.6265527,-0.945869,1.01896,0.6182446,-0.9545316,1.078071,0.6064805,-0.9444723,1.047743,0.6060623,-0.9370521,1.029419,0.5999588,-0.9449307,1.08641,0.5860513,-0.9421564,1.063871,0.5859679,-0.9346541,1.048743,0.5838547,-0.9411853,1.100298,0.6013383,-0.9903786,0.03521936,
1529057380125,1.067084,0.5972024,-1.049081,1.031323,0.6095896,-1.042374,1.006246,0.6159011,-1.035953,1.03135,0.6243169,-0.9908979,1.002117,0.6208947,-0.9863434,0.9866014,0.6113475,-0.9905518,1.037404,0.6117669,-0.9764707,1.003758,0.6103404,-0.9701195,0.9840987,0.6029888,-0.9747243,1.049436,0.593263,-0.9675716,1.018258,0.5901418,-0.958763,0.9985673,0.5835005,-0.962098,1.060985,0.573552,-0.9644649,1.03805,0.56946,-0.9563811,1.022212,0.5650486,-0.9595108,1.077863,0.5921335,-1.011529,0.0496777,
1529057380178,1.039338,0.5657939,-1.07673,1.003029,0.5595309,-1.065241,0.9785662,0.5532825,-1.056161,0.9994592,0.5739354,-1.017533,0.9725642,0.5601342,-1.012766,0.958571,0.5476622,-1.015262,1.010744,0.5615107,-1.004454,0.9802511,0.5461075,-0.9966735,0.9627285,0.5334357,-0.998535,1.028739,0.5475843,-0.998548,1.00154,0.5310537,-0.9895152,0.9845336,0.5182623,-0.9907105,1.046424,0.5327555,-0.9987934,1.027418,0.5179304,-0.9917372,1.013929,0.5078806,-0.9933318,1.052642,0.5637715,-1.042112,0.04587067,
1529057380194,1.035724,0.5613701,-1.078763,1.00132,0.5489235,-1.066998,0.9794279,0.537052,-1.057424,0.9953386,0.5621615,-1.019721,0.9693295,0.5462612,-1.016374,0.9558736,0.5334225,-1.019793,1.007595,0.5487764,-1.00802,0.9785103,0.5301617,-1.001972,0.9619197,0.5165268,-1.004982,1.026327,0.5355183,-1.003678,1.000555,0.5159575,-0.9967781,0.9845101,0.5021693,-0.999316,1.044835,0.5219299,-1.005566,1.02713,0.5048074,-1.000491,1.014435,0.4939331,-1.00294,1.048857,0.5573967,-1.045017,0.04454295,
1529057380232,1.015996,0.5436504,-1.082763,0.9865707,0.5230822,-1.069573,0.9704005,0.5045645,-1.059661,0.9790502,0.5366251,-1.023103,0.9544811,0.5184795,-1.022393,0.9425334,0.5053796,-1.028676,0.9928228,0.5218533,-1.014621,0.9657447,0.5000031,-1.012206,0.9506937,0.4860185,-1.01884,1.011837,0.5093274,-1.014084,0.987494,0.4872757,-1.012048,0.9725466,0.4736421,-1.018608,1.030126,0.4976088,-1.019035,1.012717,0.4796529,-1.018397,1.000322,0.4701166,-1.024517,1.030387,0.5381315,-1.051523,0.04168103,
1529057380257,1.001414,0.5352038,-1.081336,0.9754461,0.5125772,-1.064861,0.9627846,0.4926158,-1.053051,0.9686631,0.529184,-1.020374,0.9456973,0.5094514,-1.019898,0.9355864,0.495633,-1.027467,0.9834735,0.5150998,-1.013048,0.9580066,0.491776,-1.011819,0.9444796,0.4775227,-1.020573,1.002534,0.5036615,-1.013951,0.9790674,0.4809328,-1.013719,0.9650377,0.4675037,-1.022312,1.020436,0.4930878,-1.019399,1.002765,0.4755874,-1.019925,0.9903862,0.4668424,-1.027173,1.017664,0.5320084,-1.051415,0.037462,
1529057380284,0.981985,0.5218233,-1.079434,0.9587269,0.4982239,-1.060346,0.9487585,0.477711,-1.047347,0.9532952,0.5150951,-1.017725,0.9334759,0.4940367,-1.019748,0.9286908,0.4813351,-1.032135,0.9688807,0.5012589,-1.013902,0.9457906,0.4768744,-1.018279,0.9351171,0.4639636,-1.031961,0.9877477,0.491206,-1.016359,0.9661799,0.469328,-1.023458,0.9550102,0.4587405,-1.038455,1.004789,0.4824759,-1.021564,0.9868829,0.4678232,-1.027124,0.9768183,0.4640896,-1.040059,0.9996274,0.5199373,-1.051164,0.02544096,
1529057380322,0.9646057,0.5052618,-1.077898,0.9471169,0.4789098,-1.056515,0.9426643,0.4568663,-1.043352,0.9407053,0.4959112,-1.016337,0.9252691,0.4744157,-1.021699,0.9254915,0.4660433,-1.037672,0.956751,0.4837323,-1.01764,0.9400926,0.4636839,-1.032094,0.9406474,0.4630932,-1.052872,0.9756669,0.4754048,-1.020934,0.9592066,0.4589589,-1.03584,0.9584987,0.4616543,-1.056163,0.9919545,0.4685384,-1.025596,0.9762618,0.4575182,-1.035096,0.9735463,0.4611789,-1.050566,0.9833847,0.504801,-1.051806,0.02028275,
1529057380350,0.9556738,0.4966816,-1.079129,0.9422076,0.4672845,-1.059101,0.9416733,0.4439633,-1.047613,0.9332944,0.4823848,-1.018439,0.9204179,0.4603663,-1.025781,0.9217155,0.4539151,-1.042676,0.9501698,0.4722564,-1.022314,0.9369715,0.4544026,-1.040261,0.9398127,0.4583928,-1.060411,0.9694036,0.4658183,-1.025699,0.9555838,0.4513769,-1.043187,0.9566606,0.4579217,-1.062432,0.9857626,0.4606155,-1.029919,0.9719471,0.4503175,-1.0411,0.97153,0.4558001,-1.056226,0.974428,0.4967761,-1.053272,0.0228412,
