time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529577980735,0.9548026,0.5710762,-0.9208241,0.9498616,0.6023848,-0.900043,0.9506845,0.6166322,-0.8802941,0.9824948,0.5948801,-0.868566,0.9669798,0.5808283,-0.8590289,0.9632389,0.5678973,-0.8695327,0.9946249,0.5817536,-0.8648448,0.9735309,0.5693499,-0.8562297,0.9663516,0.557478,-0.8698848,1.006819,0.5646843,-0.8658768,0.985615,0.5553488,-0.8576854,0.9759938,0.5457565,-0.8711817,1.01755,0.5490939,-0.866464,1.001543,0.5468328,-0.8561535,0.9907638,0.5412924,-0.8650692,0.9920083,0.5605358,-0.9039565,0.05146367,
1529577980762,0.9352037,0.5773623,-0.9244224,0.9285592,0.6094592,-0.9053583,0.9283565,0.6250666,-0.8865386,0.9596028,0.5991374,-0.8713512,0.9455516,0.5824043,-0.8651748,0.9447097,0.5709182,-0.8777522,0.9722576,0.5873896,-0.8676263,0.9521278,0.5723355,-0.8620426,0.9476827,0.5611745,-0.8773527,0.9855881,0.5717026,-0.8685435,0.9649098,0.5600655,-0.8628873,0.9576518,0.5507189,-0.8779123,0.997326,0.557446,-0.8688629,0.9808106,0.5533288,-0.8599209,0.9714043,0.5469643,-0.869765,0.9724772,0.5681668,-0.9058312,0.05724224,
1529577980789,0.928845,0.5779595,-0.9308947,0.9212347,0.6104591,-0.9133671,0.9207116,0.6251309,-0.8941491,0.9468999,0.6015512,-0.8768529,0.9330361,0.5843687,-0.8720951,0.9341104,0.5728827,-0.884649,0.9593466,0.590453,-0.8715012,0.9393395,0.5747892,-0.8678495,0.9370943,0.5632221,-0.8833411,0.9730433,0.5752136,-0.8705593,0.9523187,0.5629913,-0.8670091,0.9471447,0.5530649,-0.8825585,0.9849279,0.5615247,-0.8692579,0.9676704,0.5569056,-0.8622562,0.9599994,0.5494097,-0.8728105,0.9637097,0.5702425,-0.9083808,0.05476913,
1529577980817,0.9253821,0.5797836,-0.9380788,0.9164127,0.6126636,-0.9224564,0.9137721,0.6275124,-0.9033992,0.9362921,0.6068494,-0.8841627,0.9214169,0.5904889,-0.8804665,0.9240258,0.5781671,-0.8920298,0.947415,0.595758,-0.8763896,0.9266466,0.5808771,-0.8748382,0.9263836,0.5683497,-0.8897641,0.9602165,0.5801672,-0.8726007,0.9389203,0.5686179,-0.8717175,0.9359988,0.5578381,-0.8873245,0.9710029,0.5662316,-0.8689767,0.9527937,0.5620428,-0.8650461,0.9472243,0.5536402,-0.8762679,0.9563757,0.5730022,-0.9107936,0.05166589,
1529577980842,0.9196239,0.5808862,-0.9456342,0.9065849,0.6134852,-0.9330513,0.8992568,0.6291721,-0.9154296,0.9221317,0.6153527,-0.8955219,0.9056206,0.6002516,-0.8928286,0.9094599,0.586225,-0.9018441,0.9308782,0.6050605,-0.8841707,0.9093902,0.5914293,-0.8849904,0.9113238,0.5770205,-0.898047,0.9418069,0.5894711,-0.8761119,0.9204835,0.5788482,-0.8783988,0.9206398,0.5663342,-0.8930136,0.9505914,0.5751655,-0.8693586,0.9323924,0.5713109,-0.869983,0.9303355,0.5617129,-0.8816045,0.9458478,0.5774195,-0.9132152,0.04618574,
1529577980868,0.9125778,0.581632,-0.9479798,0.8949988,0.6129426,-0.9377097,0.8847768,0.6287631,-0.9216363,0.9108269,0.6226767,-0.9031318,0.8945251,0.6073543,-0.8991464,0.8989489,0.592279,-0.9059428,0.9196052,0.6141408,-0.8901855,0.8988069,0.5994868,-0.890228,0.9019089,0.583722,-0.9013911,0.9310348,0.6001343,-0.8799173,0.9105603,0.5881779,-0.8818489,0.9122397,0.5741706,-0.8949343,0.9402499,0.5869195,-0.8714746,0.9226354,0.5816869,-0.8727494,0.92223,0.5707916,-0.8833947,0.9379442,0.5842515,-0.9155696,0.04216895,
1529577980896,0.9014299,0.5874127,-0.9493869,0.8800641,0.6167914,-0.9399585,0.8678768,0.6321909,-0.9248837,0.8970109,0.6327443,-0.9091079,0.8811869,0.6169906,-0.9034992,0.8858099,0.6012806,-0.9086199,0.9064361,0.6255956,-0.8955712,0.8863579,0.6095695,-0.8942266,0.8899958,0.59297,-0.903964,0.9188553,0.6131933,-0.8843136,0.8990494,0.59961,-0.8851746,0.9013944,0.5846605,-0.8970374,0.9289632,0.601153,-0.8750646,0.9118297,0.5943031,-0.8761224,0.9123513,0.5826288,-0.8859425,0.9272996,0.5950953,-0.9185693,0.03926267,
1529577980930,0.8975767,0.5921568,-0.9494785,0.8742498,0.6200645,-0.9397155,0.8611814,0.6348892,-0.9248438,0.891571,0.6393727,-0.9108993,0.8755475,0.6236342,-0.9046324,0.8788348,0.6078279,-0.9105352,0.9013703,0.6329089,-0.8977351,0.881543,0.6161008,-0.8952211,0.8849441,0.598986,-0.9041684,0.9145961,0.6213664,-0.8863302,0.8950356,0.6067752,-0.8862276,0.8972373,0.591308,-0.89744,0.9254261,0.6099303,-0.8770179,0.9084948,0.6020148,-0.8776886,0.9091796,0.5900088,-0.8871163,0.9235779,0.6026391,-0.920345,0.03533689,
1529577980963,0.8984791,0.596446,-0.9506413,0.8759034,0.6259874,-0.943823,0.8619657,0.6420882,-0.9312311,0.891925,0.6460063,-0.9142087,0.873286,0.6326214,-0.9095754,0.8747456,0.6163292,-0.9150238,0.8993026,0.6388012,-0.8999966,0.8774366,0.6241776,-0.8995427,0.8796479,0.6063666,-0.9075543,0.9099346,0.6262254,-0.8868613,0.8889839,0.6134524,-0.8889246,0.8906662,0.5974089,-0.8994403,0.9184447,0.6139197,-0.8761961,0.9009731,0.6073315,-0.8790237,0.9015832,0.5950514,-0.8881044,0.9215676,0.6058037,-0.9192292,0.03300808,
1529577980989,0.8981981,0.6000071,-0.9509959,0.8754029,0.6297006,-0.9452518,0.860822,0.6459415,-0.9336381,0.8905255,0.6503288,-0.9154682,0.8711196,0.6377021,-0.9119153,0.8720474,0.6213359,-0.9173757,0.8967882,0.642837,-0.9009452,0.8745244,0.6287678,-0.9018158,0.8766062,0.6108083,-0.9096068,0.9062968,0.6300315,-0.8871472,0.8851163,0.6177127,-0.8904862,0.8868139,0.6015195,-0.9008263,0.9138511,0.6175472,-0.875967,0.8963624,0.6112998,-0.8799056,0.8970611,0.5989563,-0.8889174,0.9196425,0.6092576,-0.9187029,0.03155807,
1529577981016,0.8976976,0.6034609,-0.9499686,0.8749202,0.6332766,-0.9443594,0.8601446,0.6496595,-0.9331922,0.8899654,0.6542307,-0.915126,0.8699776,0.6421065,-0.911968,0.8702876,0.6255972,-0.9171385,0.8956961,0.6464536,-0.9004482,0.8731482,0.632749,-0.901966,0.8749658,0.6147124,-0.9096947,0.9045936,0.6334386,-0.8864229,0.8831922,0.6214174,-0.8903989,0.8846662,0.6051497,-0.9006932,0.9116136,0.6208123,-0.8750557,0.8940406,0.6148009,-0.8795492,0.8946056,0.6024516,-0.8885648,0.9185306,0.612531,-0.917576,0.03065282,
1529577981032,0.8985019,0.606809,-0.9485804,0.8758801,0.636809,-0.9429103,0.8609701,0.6532544,-0.9320431,0.8909419,0.6580871,-0.9144738,0.8702639,0.6467334,-0.9119642,0.8698235,0.6300639,-0.9167646,0.8959132,0.6497689,-0.8996116,0.8730502,0.636618,-0.902127,0.8745424,0.6185269,-0.9098912,0.9039059,0.636463,-0.8853266,0.8822135,0.6250006,-0.8902243,0.8833437,0.608695,-0.9005557,0.9101385,0.6236082,-0.8737639,0.8924481,0.6180903,-0.8789948,0.8927315,0.6057746,-0.8880869,0.9185314,0.6154059,-0.9160128,0.0291481,
1529577981056,0.8999314,0.6094049,-0.9458803,0.8773512,0.6394666,-0.9399914,0.8623908,0.6559476,-0.9292861,0.8929697,0.6612192,-0.9122279,0.871801,0.6505669,-0.9100472,0.8706552,0.6339296,-0.9149148,0.8974605,0.652473,-0.8974346,0.8743855,0.6397173,-0.9004772,0.8756063,0.6215979,-0.9082664,0.9049027,0.6389935,-0.8830327,0.8829966,0.6279348,-0.8884173,0.8838173,0.6116109,-0.8987759,0.9106488,0.6260025,-0.8713806,0.8928475,0.620842,-0.8769999,0.8928343,0.6085536,-0.8861483,0.9197357,0.6177901,-0.9134709,0.02756126,
1529577981083,0.9025666,0.6110157,-0.9420462,0.8802359,0.641301,-0.9359299,0.8655906,0.6581389,-0.9253905,0.8973702,0.6641715,-0.9097124,0.8758036,0.6543915,-0.9067611,0.8738506,0.6376367,-0.910913,0.9019523,0.6551666,-0.8948519,0.8786375,0.6427501,-0.8973091,0.8794848,0.6244968,-0.9047991,0.9093906,0.6418438,-0.880321,0.8871943,0.6311061,-0.8851437,0.8875746,0.6146088,-0.8952183,0.9151014,0.6289973,-0.8685073,0.8970503,0.6241395,-0.8736939,0.8965667,0.6117119,-0.8826131,0.9233676,0.6198305,-0.9106001,0.02642288,
1529577981117,0.9087303,0.6137372,-0.9353963,0.8869514,0.6444962,-0.9292106,0.8728102,0.6621017,-0.9191796,0.9063581,0.6688813,-0.9042901,0.8843504,0.6608332,-0.9000008,0.8814071,0.6440557,-0.9030465,0.9111626,0.659112,-0.8893619,0.8875823,0.647325,-0.8907703,0.8880607,0.6289951,-0.8979273,0.9187555,0.6459063,-0.8747911,0.8963587,0.6357237,-0.8786269,0.8965153,0.6191123,-0.8883733,0.9245486,0.6331545,-0.8629034,0.9063588,0.6287315,-0.8673187,0.9056795,0.6161532,-0.8759069,0.9310877,0.6228367,-0.9051171,0.02568734,
1529577981136,0.9129214,0.61573,-0.9286902,0.891934,0.6468209,-0.9214389,0.8787737,0.6649034,-0.9108748,0.9132602,0.6717712,-0.8985069,0.8918359,0.6641867,-0.892027,0.8888419,0.6473445,-0.8943701,0.9193743,0.6618841,-0.8838822,0.8960859,0.6500126,-0.8830022,0.8965415,0.6316345,-0.8899142,0.9282798,0.649004,-0.8697889,0.9059497,0.6387237,-0.8714488,0.9058451,0.6219949,-0.8809118,0.9351568,0.636539,-0.8581951,0.9168358,0.6320479,-0.8608443,0.9158489,0.6193061,-0.8690782,0.9378341,0.6253252,-0.9006738,0.02611691,
1529577981162,0.9213679,0.6210089,-0.9208579,0.9026749,0.6530815,-0.9124243,0.8916353,0.6715112,-0.9001264,0.9246365,0.6744145,-0.888695,0.9050305,0.6649275,-0.8809366,0.9038433,0.6482567,-0.8849401,0.9324284,0.6656375,-0.8750864,0.9097548,0.6535156,-0.871956,0.9101152,0.6353281,-0.8793023,0.9428271,0.652714,-0.8622106,0.9207779,0.6423568,-0.8616432,0.9202327,0.6258223,-0.8713812,0.9509416,0.6402162,-0.8515446,0.9326355,0.6357552,-0.8522069,0.9311665,0.6231158,-0.8604721,0.9485455,0.6294945,-0.8942147,0.03033866,
1529577981189,0.9258917,0.6237723,-0.9136616,0.909772,0.6565133,-0.9034478,0.9017105,0.6746898,-0.8889029,0.9345937,0.6735963,-0.8783889,0.9167011,0.6624573,-0.86949,0.9152001,0.6468893,-0.8765072,0.9441991,0.6657153,-0.8666655,0.9224906,0.6533468,-0.8607315,0.9221977,0.6356189,-0.8690242,0.9564093,0.6524999,-0.8559744,0.9349253,0.6422374,-0.8524712,0.9332135,0.6261669,-0.8628337,0.9660558,0.6397481,-0.847075,0.9480423,0.6355812,-0.8449216,0.9454509,0.623261,-0.8533805,0.9567909,0.6304648,-0.8893595,0.033294,
1529577981215,0.9300404,0.6254175,-0.9030666,0.9178973,0.6586725,-0.8900107,0.9147912,0.6766509,-0.8736304,0.9457333,0.6718907,-0.866352,0.9309345,0.6591506,-0.854695,0.9275753,0.6447626,-0.8633348,0.9583404,0.664274,-0.8578724,0.9390638,0.6507258,-0.8477255,0.9365029,0.6341574,-0.8577233,0.9731886,0.6515434,-0.8515897,0.9536268,0.6403676,-0.8430074,0.9495026,0.6247505,-0.8533485,0.9852961,0.6389694,-0.8462106,0.9684694,0.6343675,-0.8391563,0.9635458,0.6223944,-0.8469184,0.9653081,0.6310982,-0.8851774,0.03586499,
1529577981242,0.9412128,0.6274698,-0.887301,0.9351195,0.6618335,-0.8729039,0.9383003,0.6800673,-0.8569907,0.9670804,0.6675045,-0.8492186,0.9563527,0.6523456,-0.8360213,0.9508777,0.6393821,-0.8456758,0.9820307,0.6594977,-0.8458219,0.9663044,0.6440768,-0.8324106,0.9601187,0.6294558,-0.8436978,0.9984758,0.6466695,-0.8456323,0.9814958,0.6346321,-0.8327912,0.9719154,0.621839,-0.8435689,1.011965,0.6346418,-0.845436,0.9980419,0.6297937,-0.8332551,0.9889879,0.6196774,-0.8400584,0.9795149,0.6305839,-0.8773091,0.04406247,
1529577981269,0.9509304,0.6291452,-0.8801731,0.9485185,0.6647703,-0.8679001,0.9546033,0.6837459,-0.8539903,0.9826283,0.6636399,-0.840101,0.9726573,0.6475739,-0.8274547,0.9657202,0.6358919,-0.8377119,0.9975014,0.654978,-0.8390685,0.9826543,0.638947,-0.8254062,0.9746486,0.6256719,-0.8371219,1.013114,0.6417949,-0.8417428,0.9972263,0.6291841,-0.8277932,0.9861603,0.6172498,-0.8379081,1.026737,0.6291201,-0.8437028,1.014302,0.624462,-0.8300142,1.002826,0.6167228,-0.8361915,0.9902233,0.6288548,-0.8716977,0.05175497,
1529577981296,0.9685167,0.6297587,-0.8764154,0.9682691,0.6662942,-0.8663556,0.9742596,0.686346,-0.8537022,1.002466,0.6607436,-0.8342612,0.9899288,0.6462229,-0.8222595,0.9824111,0.6354855,-0.8330681,1.016199,0.6504888,-0.8321743,0.9988379,0.6366934,-0.8192337,0.9900829,0.6243681,-0.8313775,1.030282,0.6354893,-0.8337569,1.012319,0.6252305,-0.8205634,1.000587,0.6146035,-0.8312737,1.04287,0.6211541,-0.8346101,1.029649,0.618638,-0.8212419,1.017357,0.6128889,-0.8278657,1.007516,0.6248723,-0.8649516,0.0554888,
1529577981329,0.9821851,0.6286803,-0.872933,0.9806436,0.6650784,-0.8628938,0.9854319,0.6849817,-0.8494552,1.016226,0.6623302,-0.8324275,1.002542,0.6496322,-0.8200948,0.9953699,0.6384137,-0.8306168,1.029412,0.6518736,-0.8285291,1.010907,0.6402174,-0.815432,1.002363,0.6272379,-0.8270161,1.042901,0.6361599,-0.8280047,1.02399,0.6279479,-0.8151503,1.012643,0.616961,-0.8258387,1.054597,0.6213397,-0.8270799,1.040546,0.6203715,-0.8144908,1.028749,0.6139861,-0.821384,1.021786,0.6233589,-0.8598047,0.05120771,
1529577981349,0.9850615,0.6279786,-0.8710546,0.9822385,0.663937,-0.8601701,0.9865935,0.683229,-0.8458062,1.018539,0.6633549,-0.8313395,1.00543,0.6504786,-0.8186648,0.9992174,0.638359,-0.8287932,1.03206,0.6531516,-0.8271586,1.013793,0.6414843,-0.813796,1.005476,0.6281106,-0.8250989,1.04581,0.6377686,-0.8263749,1.027195,0.6293454,-0.8133265,1.016359,0.6175779,-0.8237082,1.057756,0.6231886,-0.8252425,1.043751,0.6221005,-0.8126798,1.032289,0.6149601,-0.8194001,1.025068,0.6239157,-0.8582611,0.04961985,
1529577981376,0.9967319,0.6275752,-0.8664681,0.9929962,0.6623722,-0.853043,0.9973556,0.680071,-0.8368064,1.02915,0.6644105,-0.8272934,1.016771,0.6512348,-0.8143028,1.011565,0.6383324,-0.8240491,1.043015,0.6545912,-0.8230795,1.025334,0.6424944,-0.8092942,1.017715,0.6282718,-0.8200666,1.057148,0.6395161,-0.822381,1.039026,0.6305044,-0.8090582,1.028955,0.617743,-0.8190231,1.069315,0.6251118,-0.8214269,1.055343,0.6234714,-0.8089765,1.044478,0.6153784,-0.8156258,1.037045,0.6248269,-0.8546547,0.04589968,
1529577981391,0.9996687,0.6265911,-0.864626,0.9952409,0.6603042,-0.8490764,0.9993986,0.6767005,-0.8315024,1.03082,0.663164,-0.8239946,1.018646,0.6495378,-0.8112667,1.013764,0.6366463,-0.8212059,1.044869,0.6534665,-0.8199304,1.027349,0.6407667,-0.8064344,1.020005,0.626577,-0.8174583,1.059298,0.6385784,-0.8196079,1.041309,0.6288807,-0.8066144,1.031579,0.6161448,-0.8169441,1.071573,0.6242884,-0.8191249,1.057506,0.6218667,-0.8070049,1.047112,0.6135499,-0.8141127,1.039746,0.6244647,-0.8527926,0.04378017,
1529577981415,1.009569,0.6229619,-0.8601586,1.003976,0.6549766,-0.8419994,1.007945,0.6696033,-0.8229243,1.038054,0.6607795,-0.8186967,1.026481,0.646664,-0.8058611,1.021981,0.6335456,-0.8157034,1.052591,0.6516588,-0.8146961,1.035645,0.6381321,-0.8011901,1.028728,0.6237209,-0.8122354,1.067755,0.6373866,-0.8146585,1.050257,0.6266848,-0.8018074,1.041075,0.6136794,-0.8123255,1.080508,0.623562,-0.814594,1.066487,0.6200315,-0.8028017,1.056836,0.6111961,-0.8103123,1.049178,0.6228873,-0.8486803,0.03936144,
1529577981442,1.022043,0.6158057,-0.8509907,1.016199,0.6439646,-0.8278106,1.021352,0.6549752,-0.8066188,1.04596,0.6563956,-0.8098314,1.03607,0.6415145,-0.7960799,1.032434,0.6275668,-0.8051135,1.061554,0.6483662,-0.8063053,1.046251,0.6334302,-0.7921499,1.039987,0.6184313,-0.8028446,1.078013,0.6352926,-0.8071234,1.061901,0.6228201,-0.7939607,1.053415,0.6092553,-0.8044114,1.091798,0.6224757,-0.8079633,1.078373,0.61712,-0.7962109,1.06961,0.6076236,-0.8040021,1.060509,0.61996,-0.842053,0.0296023,
1529577981457,1.026693,0.6130015,-0.8474162,1.021332,0.6386831,-0.8214743,1.027212,0.6480312,-0.7996375,1.049477,0.6550139,-0.8065382,1.04064,0.640144,-0.7919241,1.037033,0.6257652,-0.8002873,1.065597,0.6473209,-0.8036301,1.051385,0.631993,-0.7886602,1.045005,0.6167656,-0.7989309,1.082597,0.6346707,-0.8053088,1.067425,0.6215906,-0.7914439,1.058619,0.6079089,-0.8014946,1.096737,0.622194,-0.8070101,1.083927,0.6161323,-0.7948257,1.074984,0.6066198,-0.8024166,1.064391,0.6192227,-0.8404863,0.02434439,
1529577981483,1.036641,0.6091841,-0.8430824,1.032975,0.6296849,-0.812477,1.040113,0.6355157,-0.7898079,1.059239,0.6517667,-0.8005235,1.051648,0.637146,-0.7845181,1.047194,0.6223438,-0.7916514,1.075833,0.643874,-0.7988728,1.062956,0.6281579,-0.7826996,1.055583,0.6130284,-0.7923117,1.093152,0.6314282,-0.8024026,1.079262,0.6175902,-0.787488,1.069378,0.6041837,-0.7968522,1.107325,0.6190343,-0.8059891,1.095493,0.611987,-0.7931345,1.085799,0.602989,-0.8004121,1.073263,0.6175777,-0.8388009,0.01506758,
1529577981518,1.051267,0.5960393,-0.8320072,1.049434,0.6053492,-0.7954004,1.056739,0.606751,-0.7719377,1.075016,0.6418331,-0.7845381,1.072979,0.6289414,-0.7634784,1.068701,0.6129531,-0.7650354,1.093026,0.6352049,-0.7859933,1.0862,0.6192784,-0.7644628,1.077967,0.6022691,-0.7684488,1.111383,0.6253136,-0.7939298,1.103914,0.6106381,-0.7740629,1.093424,0.5951706,-0.7780091,1.125998,0.6138924,-0.8022903,1.119228,0.6052343,-0.7864934,1.108498,0.5951127,-0.7901819,1.085902,0.6120064,-0.8321515,0.01513951,
1529577981550,1.06365,0.5793226,-0.830602,1.059745,0.5808192,-0.7926106,1.061854,0.5800605,-0.7676508,1.083507,0.6259025,-0.7768462,1.08441,0.6167031,-0.7505654,1.082671,0.6018412,-0.7424306,1.103077,0.6219921,-0.7783574,1.100977,0.6095442,-0.7496623,1.095254,0.5923814,-0.7421131,1.122885,0.6146082,-0.7874386,1.121434,0.6027966,-0.7606159,1.114151,0.5865049,-0.753433,1.138873,0.6039374,-0.7976799,1.137568,0.5959103,-0.7774497,1.12875,0.5843441,-0.7724735,1.096178,0.600062,-0.8283798,0.0392913,
1529577981577,1.082843,0.5572343,-0.8279012,1.075999,0.5532177,-0.7903401,1.073011,0.5502564,-0.7655673,1.096395,0.6063969,-0.7697928,1.098417,0.6031868,-0.7411346,1.099246,0.593928,-0.7261177,1.118569,0.6064336,-0.7711558,1.122431,0.6032103,-0.7382925,1.12267,0.5939187,-0.7201182,1.139353,0.6015613,-0.7806741,1.144717,0.5974932,-0.7502351,1.144418,0.5868018,-0.7335947,1.156611,0.591626,-0.7917579,1.161126,0.5863917,-0.7697428,1.157771,0.5759282,-0.7589321,1.112944,0.58314,-0.8233666,0.06443401,
