time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529577713009,1.13492,0.5996844,-0.8455282,1.106461,0.6152267,-0.8243284,1.086876,0.6215507,-0.8076187,1.122896,0.6171922,-0.7722595,1.098906,0.6152793,-0.7570965,1.083099,0.6068009,-0.7600071,1.130541,0.6010913,-0.7634045,1.10225,0.6004888,-0.7475268,1.083036,0.5937679,-0.7521393,1.141673,0.5798999,-0.7623925,1.115381,0.5774344,-0.7460687,1.095621,0.5721753,-0.7491203,1.150952,0.5592813,-0.7662537,1.132126,0.5567733,-0.7522234,1.116058,0.5547377,-0.7545866,1.154017,0.5846947,-0.8143471,0.0499869,
1529577713036,1.132184,0.598937,-0.8470054,1.103384,0.6148276,-0.8264881,1.08357,0.6217352,-0.810274,1.118899,0.6173579,-0.7743982,1.094649,0.6148967,-0.759827,1.079178,0.6059251,-0.7631068,1.126683,0.6016682,-0.7651908,1.098059,0.6005845,-0.7500623,1.079156,0.5933006,-0.7551391,1.138218,0.5807889,-0.7635773,1.111651,0.5780495,-0.7478335,1.092109,0.572323,-0.751354,1.147986,0.560414,-0.766801,1.12902,0.5579506,-0.7529207,1.113011,0.5556074,-0.7553799,1.151153,0.5848083,-0.8153498,0.0499399,
1529577713063,1.12828,0.5998688,-0.8482388,1.098996,0.6156616,-0.8283613,1.078896,0.6222906,-0.8124149,1.113365,0.6182864,-0.7760347,1.088892,0.6151487,-0.7621263,1.073891,0.6056529,-0.765947,1.121327,0.602865,-0.7666069,1.092409,0.601019,-0.7523021,1.073966,0.5931189,-0.7580316,1.133241,0.5823165,-0.764684,1.106325,0.5789263,-0.74997,1.087255,0.5725875,-0.7545761,1.143563,0.5622896,-0.7674757,1.124291,0.5596066,-0.7541546,1.108496,0.5569016,-0.7572838,1.147089,0.5861992,-0.8160689,0.04960975,
1529577713088,1.126345,0.6007042,-0.8469982,1.097284,0.6170369,-0.8272476,1.077354,0.6239438,-0.8112192,1.111198,0.6198891,-0.7751855,1.086795,0.6164592,-0.7613297,1.07202,0.6066447,-0.7651969,1.119252,0.6048058,-0.7655595,1.090328,0.6027062,-0.751502,1.072159,0.5943902,-0.7574493,1.13135,0.5844775,-0.7632772,1.104402,0.5809881,-0.7487653,1.085537,0.5743159,-0.7536039,1.141889,0.5646201,-0.7656403,1.122596,0.5620755,-0.7523304,1.10686,0.5591726,-0.7555026,1.14506,0.5875528,-0.8146784,0.04945467,
1529577713124,1.124111,0.6027992,-0.8464956,1.095274,0.619176,-0.8265126,1.075524,0.6257539,-0.8101544,1.108068,0.6210279,-0.774593,1.083836,0.6172609,-0.7603744,1.069013,0.6073866,-0.7639485,1.116224,0.6061403,-0.7650124,1.087408,0.6037236,-0.7507529,1.0693,0.5952507,-0.7566044,1.128482,0.5859643,-0.7628419,1.101567,0.5821419,-0.7483042,1.082836,0.5752507,-0.7531822,1.139295,0.5662811,-0.7652327,1.120022,0.5635166,-0.7518514,1.104327,0.5604126,-0.7549291,1.142433,0.5893931,-0.8142337,0.0501472,
1529577713156,1.122159,0.6077181,-0.8418632,1.094316,0.6246361,-0.8209612,1.075056,0.6314402,-0.8041141,1.106959,0.6237364,-0.7692361,1.082785,0.6203984,-0.7546129,1.067383,0.6113585,-0.7580364,1.114622,0.6083078,-0.7601547,1.085954,0.6066068,-0.7452684,1.067246,0.599204,-0.7507634,1.12608,0.5876239,-0.7587898,1.099269,0.5843952,-0.7437535,1.080114,0.578477,-0.7482736,1.13612,0.5676355,-0.7619601,1.117016,0.5651562,-0.748174,1.101102,0.5627586,-0.7507817,1.13982,0.592339,-0.8102922,0.05084584,
1529577713182,1.12278,0.6075735,-0.8400784,1.095057,0.6244252,-0.8190011,1.075884,0.630963,-0.8019656,1.107018,0.6229851,-0.7674606,1.082908,0.6193936,-0.7527788,1.067553,0.6103075,-0.7562349,1.114745,0.6076658,-0.7583585,1.086154,0.6058158,-0.7433684,1.067479,0.5983753,-0.7488673,1.12628,0.5870876,-0.7570338,1.09954,0.5837753,-0.7419163,1.080416,0.5778053,-0.7464331,1.136477,0.5671914,-0.7602077,1.117505,0.564699,-0.7462434,1.101576,0.5622425,-0.7486998,1.140153,0.5919799,-0.8085731,0.050866,
1529577713209,1.123878,0.6083632,-0.8367092,1.096314,0.6256347,-0.8157991,1.077173,0.6323016,-0.7987859,1.1075,0.6238501,-0.764244,1.083304,0.6203775,-0.7496691,1.067921,0.6113952,-0.7532229,1.11507,0.6085775,-0.7549857,1.086439,0.6069713,-0.7400986,1.067769,0.5996598,-0.7457277,1.126452,0.5879717,-0.7534906,1.099675,0.584968,-0.7383848,1.080489,0.5791557,-0.7428842,1.136557,0.5680343,-0.7565057,1.117611,0.5658351,-0.7424549,1.101637,0.5635034,-0.7448053,1.140714,0.5925554,-0.8050309,0.0509771,
1529577713235,1.125523,0.609386,-0.8341152,1.097998,0.6272137,-0.8135784,1.078744,0.6345179,-0.7969408,1.10928,0.6253246,-0.7617372,1.084791,0.6224207,-0.74756,1.069258,0.6138184,-0.7513977,1.116439,0.6097337,-0.7524002,1.08762,0.6087458,-0.7377229,1.068722,0.6019706,-0.743391,1.127357,0.5888684,-0.7507925,1.100471,0.5864626,-0.7358446,1.081138,0.5811692,-0.7404749,1.136954,0.5687103,-0.7537872,1.117945,0.5669607,-0.7398058,1.101941,0.5650691,-0.7422903,1.141964,0.5932527,-0.8022887,0.05091791,
1529577713262,1.127298,0.607859,-0.832564,1.099268,0.6254153,-0.8124179,1.079755,0.6329151,-0.796151,1.110922,0.625378,-0.7606532,1.086373,0.6226134,-0.7464838,1.070838,0.6138426,-0.7500613,1.118156,0.6100153,-0.7510813,1.089212,0.6091166,-0.7365332,1.070308,0.6021007,-0.7420062,1.129373,0.5892577,-0.7489557,1.102483,0.5869445,-0.7338555,1.08305,0.5814474,-0.7380546,1.139087,0.5691406,-0.7516282,1.119998,0.5675066,-0.7377148,1.103971,0.5654244,-0.7401164,1.144033,0.5928217,-0.8005062,0.05067077,
