time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529326794548,0.7974751,0.4684994,-0.8329505,0.7693467,0.4668397,-0.8067892,0.7563373,0.4617161,-0.7846041,0.7705352,0.508857,-0.7750919,0.7548918,0.5051771,-0.7489281,0.7444723,0.497206,-0.7353274,0.7832158,0.503184,-0.7617809,0.7619761,0.4960226,-0.7350195,0.747719,0.4871985,-0.720955,0.801881,0.4977227,-0.7548874,0.7816406,0.4959441,-0.728707,0.7667943,0.4890153,-0.7152752,0.8165522,0.4796284,-0.7557139,0.7981265,0.4682305,-0.7449659,0.7879182,0.4564545,-0.7486532,0.8145041,0.4842418,-0.8066829,0.06187497,
1529326794586,0.7983013,0.4698717,-0.8346204,0.7697629,0.4687169,-0.8088276,0.7555017,0.4642981,-0.7870859,0.7717105,0.5109262,-0.7766085,0.7564799,0.5087585,-0.7499715,0.7461411,0.5023998,-0.7353803,0.7847127,0.5055844,-0.7628159,0.7645479,0.5011362,-0.734421,0.7508937,0.4948015,-0.7185538,0.8028845,0.5003062,-0.7563294,0.7834472,0.5021193,-0.7292801,0.769179,0.4989963,-0.7137964,0.8166764,0.480222,-0.7579689,0.7979032,0.4682209,-0.7487767,0.7875974,0.4561684,-0.7528338,0.8153145,0.4853714,-0.8081973,0.06490634,
1529326794615,0.797847,0.4742544,-0.8367534,0.7692363,0.4744292,-0.8110282,0.7547002,0.4706216,-0.7893406,0.7729062,0.5149701,-0.7778169,0.7579377,0.5131509,-0.751071,0.7475153,0.5069201,-0.7364591,0.7855554,0.5085715,-0.764251,0.7653964,0.5043365,-0.7357709,0.7517028,0.4984086,-0.7197886,0.8032049,0.5029639,-0.7581815,0.7833766,0.505432,-0.7314479,0.7689573,0.5034273,-0.7158123,0.8165631,0.4819652,-0.7603791,0.7973703,0.4699588,-0.7521724,0.7867231,0.4581389,-0.7565988,0.8153582,0.4882737,-0.8100767,0.06454194,
1529326794641,0.7963692,0.4815624,-0.8402023,0.7673767,0.4820805,-0.8149173,0.752871,0.4779456,-0.7933959,0.7728308,0.5200402,-0.7794237,0.757691,0.5161937,-0.7532113,0.7470024,0.5078224,-0.7399542,0.7848911,0.5127187,-0.7665533,0.7637267,0.5062267,-0.7394772,0.7490769,0.4974748,-0.7257866,0.8019975,0.5065293,-0.7609987,0.7804884,0.5068613,-0.7355924,0.7649885,0.5032929,-0.7212194,0.8155986,0.4858508,-0.7638511,0.7960311,0.4738078,-0.7569251,0.7852464,0.4621845,-0.7619977,0.8146049,0.4940364,-0.8128088,0.06150668,
1529326794668,0.7957914,0.4861972,-0.8415818,0.7663828,0.4862974,-0.8166401,0.7512395,0.4819883,-0.7956195,0.7732244,0.5208828,-0.7791122,0.7575902,0.5126842,-0.7546712,0.7469578,0.5008823,-0.7444407,0.7850391,0.5133787,-0.7673515,0.7626473,0.5025486,-0.7435182,0.74788,0.4890196,-0.7357071,0.8024901,0.5066354,-0.7619841,0.7796909,0.5016497,-0.7389347,0.7633545,0.4927219,-0.7285403,0.8172208,0.4879893,-0.7645359,0.7979892,0.4760097,-0.7569138,0.7870724,0.4647065,-0.7621787,0.8150338,0.4975462,-0.81363,0.05472289,
1529326794695,0.7960614,0.4868835,-0.8438236,0.7660058,0.4876184,-0.819573,0.7499266,0.4842402,-0.7990308,0.7724075,0.5203981,-0.7830421,0.7556607,0.5080768,-0.7618126,0.7456613,0.4932891,-0.7557559,0.7842094,0.5139838,-0.7715644,0.7607204,0.4996445,-0.7519204,0.7475119,0.4831904,-0.7498665,0.8022752,0.5073685,-0.7653506,0.7786711,0.4981015,-0.7455137,0.7629215,0.4849559,-0.739938,0.8184407,0.4914649,-0.7656936,0.7995645,0.4802126,-0.7561162,0.7881119,0.4688121,-0.7598312,0.8155683,0.4991109,-0.8158625,0.04441608,
1529326794721,0.7961459,0.4861396,-0.8433955,0.7655008,0.4883636,-0.8198636,0.7483182,0.4866635,-0.7999487,0.7711594,0.5207583,-0.7858723,0.7536224,0.5061505,-0.7675453,0.7448766,0.4898203,-0.7647505,0.7831014,0.5155575,-0.7739657,0.7591704,0.4996892,-0.757031,0.7477618,0.4821202,-0.7578857,0.8014494,0.5091383,-0.7667452,0.7775139,0.4980364,-0.7489485,0.7628114,0.4831755,-0.746026,0.8181758,0.4949054,-0.765322,0.7993071,0.4842277,-0.7552904,0.787941,0.472633,-0.7586378,0.8155546,0.4998798,-0.8159404,0.03550668,
1529326794748,0.7961966,0.4876583,-0.8444591,0.7651379,0.490653,-0.8214768,0.7471229,0.489978,-0.8021818,0.7697707,0.5224226,-0.7901318,0.7520829,0.50535,-0.7752193,0.7454843,0.4879225,-0.7758965,0.7817047,0.5180744,-0.7777901,0.7578632,0.5002451,-0.7641261,0.7486922,0.4817839,-0.7678112,0.8002899,0.5120252,-0.769377,0.7761896,0.4993082,-0.7533592,0.7625462,0.4833587,-0.7524996,0.8173473,0.4991934,-0.7665403,0.7984332,0.4888289,-0.7564267,0.7871603,0.4771296,-0.7597252,0.8152936,0.5024187,-0.8173311,0.02641635,
1529326794774,0.7964135,0.4885477,-0.8445908,0.7653307,0.4915231,-0.8216047,0.7470739,0.4910528,-0.8025017,0.7696139,0.5228325,-0.7917181,0.7521651,0.5043804,-0.778531,0.7467078,0.4866936,-0.7804967,0.7815827,0.5188249,-0.7791761,0.7580477,0.4998372,-0.7670869,0.7496876,0.4810316,-0.7716386,0.800368,0.5128818,-0.7701656,0.7763526,0.4992352,-0.7545936,0.762917,0.4831028,-0.7540062,0.8174925,0.5007632,-0.7668986,0.7986323,0.4902916,-0.756736,0.7872736,0.4785994,-0.7598953,0.8154129,0.5038023,-0.8177595,0.02243559,
1529326794810,0.7973931,0.4888577,-0.8447698,0.7664883,0.4915208,-0.821529,0.7484218,0.4908648,-0.8022324,0.7701765,0.5232364,-0.7929989,0.7526168,0.504277,-0.7802958,0.7474794,0.4865541,-0.7822695,0.7823,0.5195758,-0.7800457,0.7586254,0.500387,-0.76783,0.7495579,0.4814875,-0.7714485,0.801104,0.5136047,-0.770869,0.7770333,0.4997245,-0.7550557,0.763306,0.483829,-0.7536987,0.8182348,0.5019681,-0.7673128,0.7993698,0.4915122,-0.7570024,0.7879037,0.4798176,-0.7598474,0.8162244,0.504644,-0.8182188,0.02044475,
