time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528894518311,1.22269,0.9536259,-1.052325,1.195722,0.9334224,-1.03581,1.183106,0.9173495,-1.023586,1.184699,0.9466778,-0.9886851,1.166645,0.9298201,-0.9759059,1.15623,0.9173265,-0.9705586,1.20192,0.9378235,-0.977239,1.183327,0.9164568,-0.9628825,1.17209,0.9014152,-0.9572772,1.223372,0.931162,-0.9743327,1.206571,0.9094331,-0.9623207,1.19586,0.8940209,-0.9580716,1.244678,0.9230489,-0.977864,1.233167,0.9044544,-0.9750023,1.225429,0.8926605,-0.980505,1.236571,0.9542069,-1.018946,0.05944965,
1528894518339,1.221361,0.9552664,-1.055865,1.194595,0.9347394,-1.039433,1.18221,0.9184099,-1.027327,1.183681,0.9475498,-0.9921052,1.165712,0.9305347,-0.9794238,1.155344,0.9179461,-0.9742156,1.200986,0.9385589,-0.9808026,1.182516,0.9170753,-0.9664676,1.171326,0.9019699,-0.9609538,1.222481,0.9318674,-0.9780172,1.205831,0.9100853,-0.965902,1.195168,0.8946457,-0.9616321,1.243781,0.9237142,-0.9818153,1.232375,0.9050726,-0.9788884,1.224617,0.8933649,-0.9844825,1.235363,0.9554708,-1.022587,0.05952159,
1528894518365,1.219948,0.956234,-1.057931,1.193497,0.9354457,-1.041321,1.181394,0.9190005,-1.029096,1.182361,0.9486471,-0.9940965,1.164522,0.9315633,-0.9813272,1.154254,0.9189155,-0.9760669,1.199801,0.9398679,-0.9827145,1.181557,0.9183417,-0.9681537,1.170511,0.9031861,-0.9624949,1.221391,0.9333636,-0.9798899,1.205024,0.911533,-0.9674825,1.194532,0.8960295,-0.9630303,1.242766,0.9253337,-0.9837014,1.231601,0.9065933,-0.9805758,1.223965,0.8948353,-0.986177,1.233954,0.9567856,-1.024698,0.05957081,
1528894518400,1.219716,0.9564264,-1.060975,1.193509,0.9352326,-1.044502,1.181686,0.9185344,-1.032364,1.181814,0.9484117,-0.9973612,1.163997,0.9311992,-0.9847426,1.153778,0.9184577,-0.9796222,1.199293,0.939676,-0.9859095,1.181135,0.9180139,-0.9714534,1.170165,0.9027601,-0.9659216,1.220972,0.9333138,-0.982914,1.204786,0.9113928,-0.970457,1.194412,0.8957957,-0.9660574,1.242417,0.9253743,-0.9867097,1.231437,0.9065439,-0.983461,1.223896,0.8947439,-0.9890561,1.233498,0.9569771,-1.027735,0.05967031,
1528894518431,1.218667,0.9566607,-1.063373,1.192624,0.9351913,-1.046985,1.180932,0.918397,-1.034858,1.180244,0.9486614,-1.000026,1.162492,0.9313871,-0.9874067,1.152357,0.9185791,-0.9822875,1.197742,0.9401284,-0.9883919,1.179722,0.9183445,-0.9739608,1.16889,0.9029691,-0.9684995,1.219466,0.9340169,-0.9851594,1.203445,0.9119822,-0.9727269,1.193223,0.8962497,-0.968455,1.241011,0.9262315,-0.9888464,1.230234,0.9073331,-0.985891,1.222986,0.895704,-0.9920989,1.232106,0.9575964,-1.030042,0.05983513,
1528894518458,1.216503,0.9572377,-1.066031,1.190215,0.9360693,-1.049628,1.178285,0.9195556,-1.037343,1.17701,0.9505894,-1.003181,1.159102,0.9335356,-0.9904834,1.148933,0.9207995,-0.9852565,1.194335,0.9423481,-0.9911219,1.176157,0.920716,-0.976674,1.165317,0.9053518,-0.971199,1.215945,0.9364276,-0.9874415,1.199678,0.9145633,-0.9750215,1.189394,0.8988869,-0.9706849,1.237557,0.9286473,-0.990688,1.226741,0.9098617,-0.9882842,1.219902,0.8985896,-0.995426,1.229417,0.959003,-1.032453,0.05980045,
1528894518485,1.214823,0.9585617,-1.067698,1.18856,0.937196,-1.051516,1.176721,0.9205527,-1.039329,1.174923,0.9516937,-1.005095,1.157087,0.9345021,-0.9924889,1.146995,0.9216689,-0.9873514,1.192183,0.9434493,-0.9929949,1.174078,0.9216056,-0.9787853,1.163328,0.9061074,-0.973518,1.213727,0.9375434,-0.9893222,1.19746,0.9154552,-0.9772716,1.187205,0.8997259,-0.973016,1.235389,0.9298569,-0.9925367,1.224704,0.911061,-0.9910044,1.218225,0.9002876,-0.9991159,1.227378,0.9604366,-1.034053,0.05988811,
1528894518512,1.213918,0.9593483,-1.069572,1.188305,0.9372157,-1.053376,1.176962,0.9201572,-1.041296,1.17475,0.9510745,-1.006563,1.157338,0.933544,-0.9938555,1.14753,0.9204728,-0.988785,1.192296,0.9427918,-0.9949054,1.174747,0.920391,-0.9808951,1.164346,0.9045783,-0.975867,1.213953,0.9371318,-0.9916478,1.198201,0.9144764,-0.980023,1.18829,0.8984173,-0.9762067,1.235691,0.9298686,-0.9952258,1.225343,0.9108878,-0.9940435,1.218975,0.9002076,-1.00237,1.226735,0.9609332,-1.036103,0.06019792,
1528894518540,1.210762,0.960455,-1.071368,1.184588,0.9390898,-1.055031,1.172813,0.9224763,-1.042752,1.171324,0.9537795,-1.008359,1.153651,0.9366114,-0.9955182,1.143675,0.9237217,-0.9903054,1.188681,0.9454668,-0.996576,1.170764,0.9233732,-0.9825472,1.160156,0.9077117,-0.9774691,1.210195,0.9396495,-0.9931477,1.193979,0.9173634,-0.9813776,1.183782,0.901562,-0.9772561,1.231866,0.9321301,-0.9964236,1.221226,0.913358,-0.9953223,1.214895,0.9028373,-1.00385,1.223604,0.9624516,-1.037738,0.06000974,
1528894518565,1.209896,0.9604774,-1.072958,1.183289,0.9395152,-1.056808,1.17121,0.9231809,-1.044453,1.169283,0.9551001,-1.010642,1.151542,0.9379387,-0.9978927,1.141596,0.9250171,-0.9926981,1.186302,0.9470363,-0.9984342,1.168187,0.9249775,-0.9846187,1.157567,0.9092793,-0.9796928,1.207583,0.9413418,-0.9945207,1.190981,0.9192076,-0.9829716,1.18065,0.9034766,-0.9789588,1.229325,0.9337786,-0.9971606,1.218606,0.9150334,-0.9962832,1.212541,0.9045082,-1.004971,1.222033,0.9632397,-1.039054,0.05965609,
