time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528894437226,0.943014,1.257073,-0.6616919,0.9180359,1.284164,-0.6542097,0.8997964,1.29732,-0.6463946,0.9156094,1.301537,-0.6104763,0.8907309,1.312155,-0.6066435,0.873839,1.315555,-0.6072786,0.914294,1.2879,-0.5935541,0.887327,1.302459,-0.58565,0.8688561,1.309002,-0.584519,0.9162925,1.266698,-0.5824102,0.8913417,1.279243,-0.5713102,0.8737459,1.285879,-0.567329,0.9174891,1.24412,-0.5770481,0.8991913,1.251814,-0.5656883,0.886208,1.256819,-0.5593359,0.9437145,1.250284,-0.6244975,0.05036233,
1528894437270,0.9599586,1.22114,-0.6966811,0.9349208,1.249205,-0.6931644,0.9175669,1.265108,-0.6891841,0.9372138,1.272622,-0.6499622,0.9133762,1.282052,-0.6510191,0.8987384,1.278406,-0.6584653,0.9341848,1.260934,-0.632582,0.907963,1.276902,-0.6304557,0.8898625,1.280853,-0.636193,0.9345506,1.240775,-0.6184714,0.9108608,1.256244,-0.6104504,0.8930122,1.262733,-0.6119804,0.9332925,1.218499,-0.6116594,0.9161565,1.229371,-0.6015605,0.9027396,1.235984,-0.5987606,0.9607821,1.218423,-0.6591367,0.03840558,
1528894437296,0.9690365,1.202147,-0.7147137,0.9433289,1.229416,-0.7101024,0.9256049,1.24473,-0.7054368,0.9486088,1.256083,-0.670136,0.9253718,1.2655,-0.6719453,0.9119655,1.260485,-0.6803043,0.9449887,1.245049,-0.6531551,0.919429,1.260775,-0.653524,0.9027451,1.261769,-0.6624557,0.9444103,1.225292,-0.6387749,0.9209536,1.241077,-0.6337212,0.9040235,1.245066,-0.6399655,0.9425796,1.203492,-0.6313097,0.9257194,1.215629,-0.6234241,0.9125108,1.221134,-0.6263069,0.9703096,1.201026,-0.67827,0.03264826,
1528894437336,0.9809492,1.161295,-0.7369685,0.9562825,1.189172,-0.7305768,0.9396541,1.20527,-0.7246139,0.966792,1.218138,-0.6931411,0.943576,1.226891,-0.6911463,0.9298126,1.220178,-0.6968286,0.9664723,1.208576,-0.6758243,0.9410526,1.221545,-0.6751317,0.9252034,1.2168,-0.683654,0.9679899,1.189346,-0.6605995,0.9440793,1.201102,-0.6573868,0.9282482,1.198202,-0.6662511,0.9687904,1.169094,-0.6512504,0.9519868,1.179821,-0.6465811,0.9399732,1.179713,-0.6544965,0.988254,1.16275,-0.7009262,0.03303226,
1528894437376,0.9902394,1.122743,-0.7629412,0.9660252,1.151093,-0.7570386,0.9500353,1.167675,-0.7506801,0.9821416,1.184915,-0.7241448,0.959815,1.192929,-0.7185111,0.9466751,1.184061,-0.7208484,0.9850149,1.177494,-0.7066261,0.959689,1.187388,-0.7037566,0.9447799,1.178067,-0.7093672,0.9889251,1.159512,-0.6904805,0.9643494,1.166574,-0.6873232,0.9503403,1.157887,-0.695068,0.9925305,1.14159,-0.6792475,0.9750711,1.148696,-0.6770123,0.9647248,1.142876,-0.6855043,1.004308,1.129405,-0.7287284,0.03420146,
1528894437412,0.9972998,1.104088,-0.7862446,0.9750938,1.133481,-0.7781827,0.9603213,1.150171,-0.7696709,0.9966836,1.164067,-0.7428499,0.9753621,1.172272,-0.7358562,0.9622025,1.163393,-0.7383042,0.9989208,1.154273,-0.7265196,0.9737594,1.162603,-0.7229574,0.9597981,1.152263,-0.7292268,1.001691,1.134272,-0.7130173,0.9770937,1.138143,-0.7116832,0.9661046,1.127489,-0.7213495,1.004686,1.11629,-0.7038032,0.9870106,1.120972,-0.7041897,0.9798911,1.112983,-0.7139704,1.014569,1.107771,-0.7520102,0.03409145,
1528894437443,1.002216,1.084579,-0.8038336,0.9805905,1.113264,-0.7922862,0.9665403,1.128676,-0.7809989,1.005791,1.141426,-0.7570661,0.9849187,1.147952,-0.7485429,0.9723761,1.138181,-0.7511212,1.007496,1.128313,-0.7424026,0.9817479,1.131636,-0.7387109,0.9703175,1.119249,-0.7465033,1.011496,1.107438,-0.7319,0.9873623,1.106508,-0.7325785,0.9803064,1.094321,-0.7441552,1.015755,1.090173,-0.7237959,0.9982823,1.092043,-0.7254246,0.9943776,1.082886,-0.7359027,1.022749,1.086302,-0.7711724,0.03189161,
1528894437469,1.007342,1.069618,-0.8177387,0.9863112,1.098111,-0.8045815,0.9728068,1.113053,-0.7923977,1.013795,1.124428,-0.7695447,0.9929631,1.130511,-0.7612356,0.9807435,1.120386,-0.7641702,1.013877,1.107697,-0.7568576,0.9888839,1.106314,-0.7562946,0.9823339,1.092156,-0.7665713,1.018699,1.087388,-0.7473562,0.9958479,1.084206,-0.7505363,0.9926596,1.071797,-0.763402,1.022862,1.070387,-0.739833,1.005434,1.071135,-0.7428119,1.00308,1.061889,-0.7535291,1.029447,1.069474,-0.7856878,0.03022524,
1528894437495,1.010114,1.055409,-0.82938,0.9893824,1.083555,-0.815006,0.9761777,1.098074,-0.8021917,1.017754,1.10847,-0.7801861,0.9967943,1.11382,-0.7721258,0.9850094,1.10327,-0.7754345,1.017212,1.089098,-0.7694061,0.9931079,1.084701,-0.7711912,0.9900838,1.070417,-0.7825713,1.022655,1.069604,-0.7601625,1.000589,1.065175,-0.7648658,0.9995081,1.053129,-0.7782885,1.026784,1.052695,-0.7529083,1.009446,1.052719,-0.7567918,1.008132,1.043842,-0.7679008,1.033055,1.054115,-0.7978798,0.02865227,
1528894437522,1.012745,1.037167,-0.8488376,0.9915949,1.064235,-0.8330388,0.9781842,1.077776,-0.8195887,1.01976,1.088583,-0.7986465,0.9983777,1.093446,-0.7915327,0.9870136,1.082653,-0.7954668,1.018619,1.066552,-0.7899781,0.9960763,1.059647,-0.7949582,0.9971105,1.045871,-0.8071938,1.024095,1.047768,-0.7808762,1.003289,1.042315,-0.7878902,1.004948,1.030872,-0.8017502,1.027937,1.030925,-0.7738857,1.011055,1.030327,-0.7793172,1.011376,1.021869,-0.790746,1.035411,1.034909,-0.817629,0.02614589,
