time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529079044108,0.8957196,0.7779574,-0.7188163,0.8791577,0.8017073,-0.6933398,0.8712285,0.8088834,-0.6691877,0.8909102,0.8192878,-0.6712417,0.8681275,0.8073623,-0.6626847,0.8618683,0.7914035,-0.6697781,0.9002945,0.8093084,-0.6589734,0.8721063,0.7984592,-0.6527284,0.8630799,0.7826538,-0.6634877,0.9133118,0.7946267,-0.6499364,0.8849756,0.7877114,-0.6418499,0.8712094,0.7749363,-0.6508582,0.9256798,0.7807235,-0.6425227,0.9049169,0.7834093,-0.6297424,0.8882972,0.7797871,-0.6295142,0.9200048,0.7799184,-0.6936125,0.0198371,
1529079044186,0.9082927,0.7059618,-0.7521205,0.8918234,0.7272195,-0.7244359,0.8832711,0.7320186,-0.6998705,0.904374,0.7343557,-0.6918504,0.8815788,0.7228271,-0.6829934,0.8735356,0.7089685,-0.6921439,0.9138454,0.7212899,-0.6827541,0.8860149,0.7105387,-0.6766626,0.8758447,0.6973686,-0.6898334,0.9266314,0.7033612,-0.6789419,0.9001644,0.6942313,-0.6744305,0.8894113,0.6842765,-0.6892496,0.9386052,0.6879023,-0.6758921,0.9176078,0.6867086,-0.663404,0.901036,0.6828115,-0.664576,0.9326192,0.6997034,-0.7253077,0.02618751,
1529079044251,0.9161903,0.6377853,-0.7625695,0.8991565,0.6535727,-0.7315363,0.8904569,0.6546017,-0.7065225,0.9101791,0.6553832,-0.6973683,0.8883144,0.6419042,-0.6892847,0.8805227,0.6292253,-0.7001337,0.9205642,0.6411175,-0.6907011,0.8935183,0.6281109,-0.6853015,0.883388,0.616794,-0.7000442,0.9346898,0.6237214,-0.689843,0.9091116,0.6125743,-0.6855881,0.8983543,0.6044875,-0.7014292,0.9469892,0.6081892,-0.6907907,0.92655,0.6031197,-0.6825204,0.9143373,0.5988562,-0.6924305,0.9403266,0.6283254,-0.7372646,0.02799052,
1529079044325,0.9273396,0.5735702,-0.7701643,0.9121791,0.5777985,-0.7344795,0.9044024,0.5714077,-0.7099261,0.9257191,0.5773966,-0.7027723,0.9039016,0.5639093,-0.6970703,0.8955826,0.5552029,-0.7109179,0.9355254,0.5612805,-0.7003412,0.9085262,0.5491141,-0.6964995,0.8977377,0.5427724,-0.71346,0.9498475,0.5442558,-0.7026972,0.9242402,0.5338759,-0.6949667,0.9099246,0.5290673,-0.7089971,0.9607087,0.5281965,-0.7095301,0.9415922,0.5224152,-0.6997149,0.9284188,0.5211183,-0.7090319,0.9519596,0.5597084,-0.7503808,0.01847614,
1529079044394,0.9343261,0.5297154,-0.7877004,0.9229461,0.5274207,-0.7504471,0.9192387,0.5171286,-0.7263398,0.9365133,0.5417496,-0.7210485,0.9169273,0.5273569,-0.7128858,0.9093471,0.5173017,-0.7260918,0.9486952,0.5273589,-0.7175743,0.9237799,0.5139486,-0.7086457,0.9120506,0.504958,-0.7234269,0.964273,0.5111806,-0.7208702,0.9407762,0.4994914,-0.7083651,0.9250145,0.4916845,-0.7191238,0.9761223,0.4954373,-0.7281461,0.959066,0.488706,-0.714608,0.9442576,0.4848013,-0.7203287,0.9608897,0.5230606,-0.7701724,0.00989625,
1529079044455,0.9448974,0.5029409,-0.8077556,0.9330395,0.4969663,-0.7709161,0.9289327,0.4850421,-0.747654,0.9515321,0.5149029,-0.7396418,0.9322137,0.5013837,-0.7301344,0.9235692,0.4917884,-0.74298,0.9632002,0.4994512,-0.7376763,0.9384011,0.4865021,-0.727643,0.9254053,0.4782649,-0.7418496,0.9772475,0.4825237,-0.7431566,0.9535084,0.4708505,-0.7316477,0.9376469,0.4642819,-0.7431798,0.9885879,0.467126,-0.7511204,0.9715089,0.4604075,-0.7376428,0.9563666,0.4571184,-0.7431366,0.9729472,0.4969343,-0.7912076,0.009804361,
1529079044527,0.9617373,0.4748691,-0.8267016,0.9505316,0.4648539,-0.790418,0.9465076,0.450847,-0.7684236,0.9746769,0.4810908,-0.757465,0.955623,0.4678141,-0.7470142,0.9453778,0.4594231,-0.7595142,0.9854887,0.464448,-0.7583748,0.960816,0.4514048,-0.7476586,0.9461195,0.444987,-0.7612545,0.9983759,0.4476586,-0.7664869,0.9751011,0.4358449,-0.7547591,0.9584814,0.4313316,-0.7661454,1.008865,0.4327285,-0.7765288,0.9929872,0.4251537,-0.7618198,0.9771126,0.4227244,-0.7654977,0.9913571,0.4671112,-0.8124655,0.01241782,
1529079044592,0.971597,0.4506262,-0.8454387,0.9561356,0.4402926,-0.8105789,0.9479227,0.4286897,-0.7882593,0.9895662,0.4531959,-0.7732304,0.9711331,0.4414014,-0.7583202,0.9584592,0.4316547,-0.7670195,0.9998528,0.4344818,-0.7767234,0.9754794,0.4206218,-0.7616116,0.9572034,0.4127609,-0.7695388,1.01271,0.4180255,-0.7867057,0.9906458,0.4047522,-0.7705728,0.97122,0.398421,-0.7757001,1.022144,0.4034895,-0.7992052,1.007455,0.394474,-0.7833916,0.9910444,0.3913973,-0.784238,1.003695,0.4411623,-0.8318052,0.02389428,
1529079044656,0.9750941,0.4383968,-0.8600134,0.9502822,0.4286007,-0.8309889,0.9364203,0.4158796,-0.8123271,0.983537,0.4374785,-0.7817802,0.9646136,0.4287866,-0.761069,0.9490294,0.4191915,-0.7613891,0.9950504,0.418145,-0.7820963,0.9729518,0.4062809,-0.7584704,0.9536247,0.3973737,-0.7554477,1.005641,0.3999015,-0.7933475,0.9821347,0.3866465,-0.7768396,0.9623452,0.3794461,-0.7794601,1.015136,0.3844001,-0.806397,0.9976085,0.3746599,-0.7937564,0.9812936,0.3720713,-0.7966395,1.005036,0.4249178,-0.8399343,0.05257978,
1529079044729,0.9769204,0.4247425,-0.8679416,0.9492226,0.4135036,-0.8426409,0.9333935,0.3994513,-0.826076,0.9830731,0.4230277,-0.7859638,0.9733915,0.4162523,-0.7570437,0.9628931,0.4091399,-0.7424785,0.995403,0.4039223,-0.7842479,0.9847499,0.393446,-0.751711,0.973151,0.3850909,-0.7348683,1.003181,0.3853582,-0.7948959,0.9847138,0.371879,-0.7706776,0.9672377,0.3625594,-0.7621088,1.009778,0.3688251,-0.8102945,0.9911648,0.3586304,-0.7999477,0.9752925,0.3564773,-0.804783,1.004226,0.4104017,-0.8443662,0.0891775,
