time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529079226820,1.110224,0.5847874,-1.017161,1.11117,0.5894771,-0.9787008,1.120702,0.5872169,-0.9540124,1.141073,0.6353225,-0.9662826,1.14457,0.6376911,-0.9360319,1.143798,0.6297766,-0.9187601,1.161223,0.6275522,-0.968061,1.163574,0.6252418,-0.9338901,1.158915,0.6131943,-0.9165393,1.174742,0.6103815,-0.9774194,1.169879,0.5973276,-0.9500481,1.159191,0.5803547,-0.9436153,1.188656,0.5974426,-0.9880967,1.185102,0.5892025,-0.9663975,1.174113,0.5780946,-0.9605814,1.145584,0.5990652,-1.01743,0.0598955,
1529079226887,1.113853,0.5852245,-1.023965,1.115359,0.5907618,-0.9856001,1.125123,0.5890356,-0.9609681,1.145398,0.6366782,-0.9746009,1.148573,0.639178,-0.9445554,1.147366,0.6305194,-0.9277655,1.165908,0.6293628,-0.9767163,1.168754,0.6286501,-0.9426124,1.164263,0.6172235,-0.9248088,1.179186,0.611437,-0.9857435,1.174564,0.5991375,-0.9582966,1.163727,0.5822522,-0.9519147,1.192796,0.5981711,-0.9963558,1.189289,0.5905463,-0.9747766,1.178044,0.5794903,-0.9695184,1.149188,0.5991805,-1.024998,0.05760273,
1529079226961,1.116112,0.5851527,-1.024771,1.118194,0.5914897,-0.9865079,1.128178,0.5904182,-0.9619278,1.146869,0.637891,-0.9766401,1.149616,0.6404335,-0.9468034,1.148099,0.6311042,-0.9304571,1.167573,0.6311465,-0.9788448,1.170422,0.6317328,-0.9447826,1.166104,0.6208613,-0.9265654,1.181568,0.6136127,-0.9874573,1.177989,0.6030748,-0.9590486,1.16771,0.5865171,-0.9510571,1.194942,0.599957,-0.9978806,1.191874,0.5933838,-0.976056,1.180912,0.5822366,-0.9702917,1.151056,0.5994725,-1.026424,0.05515992,
1529079227028,1.11868,0.582287,-1.020499,1.121131,0.5888996,-0.9822345,1.13105,0.5879483,-0.9576451,1.150848,0.6344338,-0.9728539,1.153538,0.6366578,-0.9431129,1.151729,0.6269263,-0.9270428,1.171536,0.6275126,-0.9753764,1.17468,0.6284989,-0.9413459,1.170351,0.6179523,-0.9229363,1.185439,0.6099321,-0.9840626,1.182403,0.6002328,-0.9553054,1.172058,0.5840697,-0.9466001,1.198298,0.5958266,-0.9945992,1.1956,0.5897995,-0.9726575,1.18458,0.5788797,-0.9665424,1.153878,0.5958283,-1.022619,0.05369715,
1529079227093,1.121637,0.5781499,-1.015934,1.123905,0.5856363,-0.9778094,1.133749,0.5853052,-0.9531893,1.154631,0.6308498,-0.969321,1.157651,0.6335585,-0.9396557,1.156089,0.6240674,-0.9234139,1.17535,0.623981,-0.9720614,1.178872,0.6253809,-0.9381594,1.174677,0.6148127,-0.9197781,1.189097,0.6060936,-0.9807042,1.186187,0.5963597,-0.9521636,1.175769,0.5800481,-0.9438692,1.201725,0.5919194,-0.9912317,1.198878,0.5858393,-0.9695375,1.187695,0.5747974,-0.9640417,1.157166,0.5915744,-1.018647,0.05374134,
1529079227165,1.124621,0.5757445,-1.014528,1.126775,0.5835104,-0.9764969,1.136723,0.583317,-0.9519116,1.157608,0.6289983,-0.968257,1.160803,0.6323338,-0.9386423,1.159402,0.623157,-0.9222426,1.178253,0.6218879,-0.9708483,1.181674,0.6231828,-0.9370064,1.17737,0.6123442,-0.918844,1.192113,0.6041545,-0.9794523,1.189231,0.5945055,-0.9509575,1.178848,0.5781186,-0.9428748,1.204695,0.5898337,-0.9899154,1.201687,0.5836319,-0.9683282,1.190454,0.5725204,-0.9631706,1.160276,0.5891442,-1.017228,0.05460575,
1529079227232,1.123127,0.573055,-1.014572,1.125351,0.5810262,-0.9766657,1.135473,0.5805235,-0.9521638,1.156063,0.6274618,-0.9690685,1.159039,0.6328196,-0.9395533,1.157424,0.625299,-0.9223174,1.176382,0.6186985,-0.9705352,1.179024,0.6201873,-0.9365274,1.174011,0.6097449,-0.9183675,1.190399,0.6012144,-0.9785496,1.187066,0.5927476,-0.9497027,1.176208,0.5769703,-0.9411176,1.202792,0.5859755,-0.9883538,1.199408,0.5803315,-0.9666193,1.187775,0.5697545,-0.9612529,1.158696,0.5859021,-1.016787,0.05811652,
1529079227301,1.119191,0.5653005,-1.011485,1.120209,0.5730999,-0.9736158,1.129681,0.5718232,-0.9488872,1.156577,0.617089,-0.9648339,1.160891,0.6240893,-0.9354895,1.159884,0.6186553,-0.917388,1.176597,0.6063807,-0.9661605,1.180528,0.6075778,-0.9320549,1.175709,0.5977103,-0.9135607,1.189945,0.5888045,-0.97454,1.187714,0.5809635,-0.9449937,1.176701,0.5662147,-0.9350351,1.201101,0.5724484,-0.9846944,1.197921,0.5663497,-0.9631155,1.185637,0.5564802,-0.9579502,1.156604,0.5755941,-1.013058,0.06401309,
1529079227386,1.110971,0.5560377,-1.001596,1.107097,0.5626635,-0.9635577,1.112256,0.5609887,-0.9374595,1.151114,0.6026799,-0.9494833,1.156338,0.611231,-0.9202065,1.156165,0.6086966,-0.9013399,1.171345,0.5910573,-0.9505619,1.176906,0.593025,-0.9162735,1.173259,0.5849484,-0.8965801,1.183973,0.5725526,-0.9590824,1.182142,0.5640008,-0.9293677,1.170992,0.5498403,-0.9184121,1.194767,0.5560459,-0.9699739,1.192166,0.5490963,-0.9483861,1.179715,0.5397115,-0.9425838,1.150657,0.5634412,-0.9999827,0.07422046,
1529079227453,1.112947,0.551735,-0.9872398,1.107943,0.5571809,-0.9487886,1.109911,0.5564928,-0.9219655,1.154839,0.5974815,-0.9345222,1.161983,0.6063341,-0.9057287,1.162821,0.6043396,-0.8867753,1.175378,0.5869666,-0.9362952,1.184426,0.59243,-0.9027751,1.183577,0.5875463,-0.8816561,1.187742,0.5682082,-0.9443501,1.189224,0.5624727,-0.9133478,1.18006,0.5499278,-0.8990936,1.197046,0.5500972,-0.9552866,1.195798,0.5434622,-0.9329475,1.184261,0.5343482,-0.9250016,1.152542,0.5588681,-0.9853296,0.07954343,
