time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529079039757,0.9565225,0.4287474,-0.8802639,0.959927,0.4277795,-0.8421162,0.9516236,0.4189793,-0.8188698,0.9498423,0.398213,-0.8183864,0.9279448,0.4082956,-0.8108777,0.9191195,0.4166728,-0.824352,0.9416192,0.3806416,-0.8221596,0.9193679,0.3943568,-0.8104898,0.9101912,0.4073088,-0.8236481,0.9335132,0.3625201,-0.8342799,0.9140508,0.3734249,-0.8199151,0.9051358,0.3886062,-0.8297833,0.9226547,0.3515429,-0.8501809,0.9090465,0.3597509,-0.8375076,0.9051263,0.3736767,-0.8440058,0.9482781,0.391102,-0.8747357,0.03304375,
1529079039829,0.9751939,0.4292663,-0.882611,0.980476,0.4307536,-0.8445706,0.9736695,0.4229576,-0.8206425,0.9701533,0.401915,-0.8207464,0.9479905,0.4120678,-0.8158689,0.9398097,0.4178483,-0.8311085,0.9612248,0.3857255,-0.8257781,0.9383961,0.4013324,-0.8207227,0.9314703,0.4111975,-0.8378157,0.9549952,0.364998,-0.8342708,0.9354054,0.3770785,-0.8223332,0.927213,0.3907369,-0.8348327,0.9451913,0.351952,-0.8487303,0.932024,0.3605945,-0.8369994,0.9285134,0.373204,-0.8456281,0.9685034,0.3908691,-0.87545,0.03580688,
1529079039893,0.9906904,0.4343368,-0.8829261,0.9975514,0.4375833,-0.8451986,0.9923005,0.4307333,-0.8205587,0.9908379,0.406705,-0.8198611,0.9688128,0.4161448,-0.8124975,0.9586416,0.4218395,-0.8265289,0.9817433,0.3906506,-0.8248,0.9584424,0.4058185,-0.8179691,0.9490787,0.4154375,-0.8340881,0.9749614,0.3703111,-0.8333078,0.9555017,0.3826994,-0.8214571,0.9467451,0.3955975,-0.8343756,0.9650714,0.3566771,-0.8467314,0.9522264,0.3657117,-0.8347597,0.9479843,0.3778424,-0.8437085,0.9857985,0.3954709,-0.8748813,0.03532225,
1529079039967,1.013241,0.4443879,-0.8861486,1.021972,0.4486874,-0.8490603,1.018081,0.441507,-0.8243562,1.020487,0.4171132,-0.8211432,0.9992485,0.4246014,-0.8096465,0.9866087,0.4305053,-0.8212906,1.012585,0.3996889,-0.8242983,0.9900134,0.4121375,-0.8123485,0.9779575,0.4219177,-0.8261493,1.005672,0.3797686,-0.8335826,0.9865086,0.3902711,-0.8183752,0.9743954,0.4029827,-0.8286055,0.9959887,0.3650291,-0.8461842,0.9839297,0.3721976,-0.831811,0.9769347,0.3841865,-0.8390025,1.011268,0.4054435,-0.8769935,0.03348034,
1529079040035,1.035351,0.4503438,-0.8900319,1.046707,0.4544081,-0.8537933,1.044181,0.4462796,-0.8293944,1.052096,0.4267596,-0.8242548,1.033238,0.4331105,-0.8083247,1.018444,0.4388341,-0.8168952,1.045968,0.4082609,-0.824914,1.026545,0.4188535,-0.8067696,1.011262,0.4282851,-0.81659,1.035458,0.3898283,-0.8347149,1.016965,0.4006737,-0.8181491,1.003489,0.4124445,-0.8274993,1.025105,0.3749807,-0.8455657,1.013571,0.3834679,-0.8305061,1.004829,0.3949314,-0.8370216,1.036088,0.4131528,-0.8794025,0.02956471,
1529079040100,1.036223,0.4547593,-0.8977414,1.043847,0.4666433,-0.8619363,1.044408,0.4618906,-0.836341,1.072046,0.4436221,-0.8328885,1.057498,0.4448639,-0.8101538,1.039432,0.4448422,-0.8107933,1.071285,0.4236243,-0.83225,1.053389,0.4283261,-0.8081255,1.033122,0.4319303,-0.8105861,1.063863,0.4025218,-0.8409619,1.043333,0.4080367,-0.8231055,1.025496,0.4139509,-0.830891,1.057762,0.3849568,-0.8501011,1.043966,0.3912024,-0.8362417,1.032073,0.3980707,-0.8442915,1.053581,0.4206307,-0.8862934,0.03111411,
1529079040173,1.045201,0.4521272,-0.9053247,1.046199,0.4690501,-0.8699841,1.045453,0.471211,-0.8435994,1.091016,0.450746,-0.8414924,1.082739,0.4535879,-0.8144813,1.066045,0.4523612,-0.8069535,1.091765,0.4297293,-0.8394069,1.078079,0.4340654,-0.8110076,1.057657,0.4357942,-0.8062081,1.086547,0.4072718,-0.8462691,1.068634,0.4111765,-0.8234345,1.048382,0.4145961,-0.8245472,1.080793,0.3882022,-0.8547732,1.067338,0.3931409,-0.8388619,1.053117,0.3986737,-0.8439308,1.070789,0.4214368,-0.8932023,0.04606802,
1529079040242,1.053728,0.4514383,-0.9143963,1.045641,0.4724795,-0.8818295,1.040215,0.4814538,-0.8572255,1.098842,0.4644899,-0.8483595,1.091962,0.4712099,-0.8208839,1.077061,0.4697275,-0.8099167,1.103987,0.4435249,-0.8440938,1.09314,0.4501186,-0.8134311,1.074623,0.4505066,-0.8029479,1.104173,0.4191503,-0.8485878,1.090425,0.4226116,-0.8209189,1.070893,0.4233907,-0.8137273,1.100827,0.3974045,-0.8560121,1.088719,0.4001572,-0.8369112,1.072683,0.4034973,-0.8362365,1.085483,0.4267231,-0.8982291,0.06110062,
1529079040311,1.057355,0.4602177,-0.9146956,1.039891,0.4791456,-0.8847017,1.028756,0.4857957,-0.8613822,1.087687,0.48637,-0.8438672,1.077111,0.4955115,-0.8176211,1.062077,0.4944268,-0.8066288,1.096439,0.4666502,-0.8363419,1.083556,0.4750108,-0.8060562,1.065544,0.4750862,-0.7946401,1.10127,0.4423333,-0.8381641,1.086325,0.4463699,-0.8104587,1.0672,0.445606,-0.8020424,1.10222,0.4189273,-0.8439503,1.089377,0.4203083,-0.8242072,1.073124,0.4213335,-0.8214869,1.089135,0.4430411,-0.891619,0.06467434,
1529079040382,1.046799,0.462742,-0.9068276,1.022444,0.472991,-0.8774291,1.007515,0.4739085,-0.85525,1.058518,0.4968897,-0.834875,1.043553,0.5042948,-0.8095475,1.028136,0.5028082,-0.7987835,1.070447,0.4795825,-0.8244252,1.057325,0.4880823,-0.7929652,1.042069,0.4895913,-0.7775856,1.078612,0.4562774,-0.8239858,1.064244,0.4598914,-0.7944737,1.047917,0.4593758,-0.7807338,1.082905,0.4323345,-0.8285366,1.07045,0.4312571,-0.8070556,1.055722,0.4301679,-0.7988859,1.074444,0.4545891,-0.8801184,0.06670002,
