time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529078862864,0.9461099,0.5986118,-0.8528763,0.9308051,0.6318419,-0.8325561,0.9227476,0.647711,-0.809777,0.9580842,0.6348282,-0.7926538,0.9351806,0.6219431,-0.7838802,0.9288533,0.6068715,-0.7954528,0.9682332,0.6224244,-0.7826481,0.939459,0.6112379,-0.7759336,0.9308136,0.5954516,-0.7901394,0.9813437,0.6040957,-0.7762073,0.9530406,0.5965312,-0.7694097,0.9410964,0.5842826,-0.7840706,0.9923898,0.5871921,-0.77163,0.9712898,0.5869451,-0.763886,0.960266,0.5797433,-0.7757758,0.9800162,0.5933844,-0.822069,0.04370728,
1529078862906,0.9546263,0.5714016,-0.8617038,0.9442235,0.5999474,-0.8331639,0.9397196,0.6092162,-0.8063887,0.9661089,0.5898401,-0.7946987,0.9429424,0.5751129,-0.7889886,0.9358078,0.5633903,-0.803602,0.9763393,0.5753239,-0.7882793,0.9470284,0.562942,-0.7835475,0.9369816,0.5511901,-0.8004805,0.9897884,0.5560068,-0.78631,0.9609821,0.5474213,-0.7790893,0.9464318,0.5393966,-0.7943745,1.004351,0.5374482,-0.7839999,0.9860928,0.5355309,-0.769503,0.9702861,0.5336298,-0.7773158,0.9868609,0.5573213,-0.8339673,0.0460769,
1529078862939,0.9617122,0.5552393,-0.8700697,0.9557044,0.5785854,-0.8359516,0.9533842,0.5828739,-0.8077476,0.97297,0.5584665,-0.8007998,0.9488226,0.5442767,-0.7974195,0.9405079,0.5360416,-0.8136966,0.9823924,0.5421134,-0.7976764,0.9520453,0.5307917,-0.7945091,0.9401892,0.5236073,-0.8128266,0.9951185,0.522338,-0.799297,0.9658315,0.5141095,-0.7914773,0.9492518,0.5098437,-0.806218,1.012676,0.5017071,-0.8004038,0.9992203,0.4962967,-0.7813792,0.9807777,0.4957575,-0.781725,0.9914995,0.5335086,-0.8464658,0.04893311,
1529078862981,0.9731739,0.5401762,-0.8768644,0.9709234,0.5578596,-0.8390694,0.9701817,0.5569043,-0.8106948,0.9856611,0.5320647,-0.8084677,0.9603527,0.5196558,-0.8060538,0.9509016,0.5143158,-0.8228698,0.9936295,0.514297,-0.8084409,0.9623216,0.5053228,-0.805804,0.9490787,0.5024,-0.8243513,1.005094,0.4941038,-0.8127266,0.9757073,0.4871237,-0.8036281,0.9576077,0.4863262,-0.8171438,1.025241,0.4717872,-0.8184454,1.020054,0.46159,-0.7952691,1.006072,0.4572006,-0.7834762,1.0008,0.5126255,-0.8582415,0.04830874,
1529078863010,0.9816855,0.526875,-0.8876099,0.9808913,0.5411083,-0.8482623,0.9806116,0.5375896,-0.8201767,0.9946551,0.5131484,-0.8203405,0.9687321,0.5015129,-0.8179943,0.9584168,0.4971986,-0.8346366,1.001939,0.4950269,-0.8219161,0.9702176,0.4870482,-0.8189857,0.9561706,0.4857226,-0.8371389,1.012781,0.4746642,-0.8278556,0.983645,0.4681215,-0.8184193,0.9653427,0.4691002,-0.8316396,1.033531,0.4528425,-0.8361307,1.034902,0.4404821,-0.8116741,1.030142,0.43276,-0.7952405,1.008263,0.4970069,-0.8720253,0.04830245,
1529078863038,0.984797,0.5159307,-0.8958398,0.9837987,0.5276796,-0.8556484,0.9834019,0.5225787,-0.8277998,0.9988335,0.4993398,-0.8294433,0.972835,0.4876389,-0.8270088,0.9620613,0.4838193,-0.8434959,1.006082,0.481279,-0.8319318,0.974402,0.4732162,-0.8286911,0.960025,0.4725221,-0.8466111,1.01699,0.4612223,-0.8388381,0.9883366,0.4544034,-0.8292396,0.9701524,0.45595,-0.8425442,1.037846,0.4401879,-0.8486459,1.042016,0.4272031,-0.8244495,1.040453,0.4187482,-0.8078579,1.011794,0.4855815,-0.8822076,0.04694767,
1529078863064,0.9894058,0.5101706,-0.9028764,0.9886646,0.5206068,-0.862285,0.988378,0.514777,-0.834555,1.005315,0.4920238,-0.837203,0.9792897,0.4805518,-0.834255,0.9680617,0.4771897,-0.8505256,1.012354,0.4739198,-0.8402478,0.9807863,0.4661102,-0.8362409,0.9660136,0.4659809,-0.8538311,1.023179,0.4537757,-0.8477542,0.9949911,0.4468088,-0.8369625,0.9761999,0.4487789,-0.8493338,1.043033,0.4330985,-0.8588077,1.047807,0.4197364,-0.8348707,1.046848,0.4110472,-0.8183762,1.016844,0.4794958,-0.8907397,0.04561377,
1529078863091,0.9928184,0.5052445,-0.9084989,0.9918286,0.5141864,-0.8675213,0.9910736,0.507337,-0.8400902,1.009412,0.4842118,-0.8433856,0.9832771,0.4734495,-0.8403045,0.9719355,0.4710491,-0.8566213,1.01602,0.4659122,-0.8470497,0.9845414,0.4588253,-0.8425,0.969593,0.4598399,-0.8598708,1.026868,0.4454275,-0.855155,0.999339,0.4382724,-0.8428739,0.9798529,0.4410274,-0.8539127,1.045053,0.425193,-0.8678344,1.050011,0.4110228,-0.8443617,1.048833,0.4019647,-0.8281766,1.019946,0.4733275,-0.8978159,0.04423074,
1529078863127,0.9967763,0.5019588,-0.9148961,0.9960578,0.5101307,-0.8737428,0.9953293,0.5027354,-0.8464826,1.014166,0.4790987,-0.850031,0.9881329,0.4686361,-0.8464549,0.9766211,0.466692,-0.8626685,1.02066,0.460695,-0.8540314,0.9894608,0.4538075,-0.8485731,0.9742297,0.4553078,-0.8656121,1.031708,0.4399906,-0.8626887,1.004969,0.4322457,-0.8487228,0.9847289,0.4350359,-0.8582179,1.04824,0.4202825,-0.8765409,1.052826,0.4057344,-0.8532304,1.051639,0.3964451,-0.8371348,1.023732,0.4692974,-0.9052465,0.04371614,
1529078863157,1.000349,0.4983039,-0.920179,1.000002,0.5068408,-0.8791019,0.9997118,0.4996275,-0.8517976,1.019311,0.4762071,-0.8551735,0.9935994,0.4654185,-0.8508264,0.9818183,0.4631531,-0.8667865,1.026091,0.457832,-0.8590339,0.9952858,0.4505082,-0.8526497,0.9797071,0.4515817,-0.8693937,1.037209,0.4371566,-0.8679305,1.010914,0.4289891,-0.8531196,0.9903176,0.4312739,-0.8619297,1.053047,0.4178205,-0.881686,1.056822,0.4039156,-0.8579125,1.054781,0.3951192,-0.8415877,1.027991,0.4659936,-0.9106866,0.04330393,
1529078863184,1.001876,0.4979205,-0.9236425,1.002116,0.5068424,-0.8826805,1.002271,0.4996741,-0.8553975,1.022013,0.4764543,-0.8585531,0.9965036,0.4656086,-0.8535527,0.9844856,0.4631397,-0.869292,1.028845,0.4580885,-0.8623079,0.9982928,0.4506786,-0.8551918,0.9824426,0.4514368,-0.8716924,1.040122,0.43723,-0.8711821,1.014367,0.4288254,-0.8553164,0.9934249,0.4307487,-0.8632776,1.05509,0.4180857,-0.8849822,1.058208,0.4047279,-0.8608917,1.055353,0.3964041,-0.8444285,1.029776,0.465747,-0.9142268,0.04294356,
1529078863211,1.00181,0.4972321,-0.9259598,1.002576,0.5066472,-0.8851724,1.003386,0.4994479,-0.8579742,1.02304,0.4770184,-0.8606155,0.9979275,0.4655938,-0.8549906,0.9857094,0.4626014,-0.8704786,1.030336,0.4588092,-0.8641554,1.000165,0.4506959,-0.8563493,0.9840368,0.450729,-0.872595,1.042194,0.4380185,-0.8729254,1.017091,0.4289526,-0.8561519,0.9958793,0.4300589,-0.8634146,1.056693,0.4191824,-0.8866474,1.059026,0.4063897,-0.862296,1.055026,0.3985215,-0.8458396,1.030413,0.4658037,-0.9163785,0.04273722,
1529078863238,0.9981874,0.4952795,-0.9285145,0.9990733,0.5062162,-0.8881549,1.001027,0.5000732,-0.8607059,1.022606,0.4792213,-0.8626142,0.9986883,0.4660335,-0.8552848,0.985866,0.4614235,-0.8698784,1.031394,0.4616076,-0.8654535,1.002384,0.4513677,-0.8556458,0.985433,0.4492118,-0.8708887,1.04403,0.4416494,-0.8742431,1.019925,0.4313836,-0.8563232,0.9984902,0.4302305,-0.8628485,1.0586,0.4231663,-0.8873501,1.059736,0.411619,-0.8625087,1.053729,0.4045705,-0.8463273,1.029364,0.4664959,-0.9184285,0.04251819,
1529078863264,0.9945189,0.4934386,-0.9299572,0.9942187,0.5057297,-0.8900267,0.9961025,0.5006465,-0.8622905,1.020169,0.480864,-0.8627583,0.9972324,0.4667277,-0.8539219,0.9840944,0.4607376,-0.8677047,1.030101,0.4637365,-0.8647711,1.002113,0.4522977,-0.853122,0.9846457,0.4482689,-0.867339,1.042895,0.4442611,-0.8736179,1.019187,0.4336648,-0.8557296,0.9981575,0.4311729,-0.862958,1.056945,0.4259374,-0.8858129,1.055253,0.4156748,-0.8607183,1.046188,0.4096002,-0.8456788,1.027318,0.4665822,-0.9187449,0.04202648,
