time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528883492108,1.230804,0.9105009,-0.9142655,1.241916,0.9416924,-0.9014987,1.236246,0.958226,-0.8871101,1.238492,0.9376684,-0.8405418,1.237663,0.9562963,-0.8218832,1.228527,0.9694437,-0.8196071,1.224957,0.9245369,-0.8281548,1.221888,0.9446139,-0.8063396,1.21219,0.9601336,-0.805207,1.209277,0.9081004,-0.8251123,1.204627,0.9259043,-0.8035284,1.195438,0.9415315,-0.8012222,1.191846,0.8916285,-0.8274378,1.186522,0.9010476,-0.8085565,1.179592,0.913331,-0.8047318,1.214915,0.8957973,-0.8777776,0.06886282,
1528883492134,1.223095,0.904218,-0.9180501,1.235259,0.9344391,-0.9043033,1.22948,0.9506922,-0.8897125,1.228292,0.9323348,-0.8445764,1.227259,0.9505476,-0.8260343,1.217962,0.9634809,-0.8249971,1.214066,0.9194406,-0.8324076,1.210865,0.9389648,-0.8106908,1.201289,0.9543519,-0.8107461,1.197984,0.9035899,-0.8298205,1.19331,0.9211797,-0.8086635,1.184276,0.9368094,-0.8078699,1.180215,0.887485,-0.8326641,1.174876,0.8966844,-0.8139949,1.168162,0.9091828,-0.8111864,1.204751,0.8910853,-0.8824391,0.06696486,
1528883492190,1.202378,0.8872135,-0.92668,1.213104,0.9170948,-0.9111841,1.205768,0.9330886,-0.8969756,1.202929,0.9163671,-0.8542207,1.200836,0.9333812,-0.8357359,1.19125,0.9454987,-0.8370073,1.187574,0.9035441,-0.8427202,1.183215,0.9214891,-0.8211446,1.173684,0.9361736,-0.823474,1.171452,0.8882896,-0.8411162,1.166298,0.9047633,-0.8204654,1.157496,0.9199828,-0.8221331,1.153408,0.8727946,-0.845315,1.147529,0.8813292,-0.8271769,1.141021,0.8938898,-0.8263041,1.18125,0.8757939,-0.8934247,0.06293648,
1528883492226,1.18889,0.8783914,-0.9297739,1.197758,0.9084268,-0.9134277,1.188899,0.9241974,-0.8999242,1.186473,0.9081959,-0.8583441,1.183368,0.9245484,-0.8402283,1.17386,0.9360088,-0.8432392,1.170234,0.8956579,-0.8475022,1.164737,0.9128709,-0.8264303,1.155483,0.9270411,-0.8303852,1.15406,0.8807728,-0.8465768,1.148207,0.8967091,-0.8265083,1.139759,0.9115955,-0.8297695,1.135893,0.8658314,-0.851745,1.129267,0.8742464,-0.8341845,1.123003,0.8867733,-0.8345716,1.166389,0.8679358,-0.8982877,0.05982371,
1528883492269,1.172171,0.8699054,-0.933972,1.178599,0.9004747,-0.9171148,1.168541,0.916445,-0.9045884,1.165087,0.9001689,-0.8638002,1.160396,0.9153694,-0.8458323,1.150948,0.9261124,-0.8502071,1.148085,0.8877729,-0.8540062,1.140804,0.9039112,-0.8330651,1.13168,0.9175526,-0.8379168,1.132226,0.8728213,-0.8539377,1.125002,0.8877838,-0.8341278,1.116693,0.9022148,-0.8383746,1.114494,0.8580321,-0.8603362,1.106679,0.8658938,-0.8432982,1.10038,0.8781707,-0.8445908,1.14819,0.8600221,-0.904631,0.05796798,
1528883492336,1.148688,0.8668082,-0.9407827,1.150544,0.8981775,-0.923384,1.139108,0.9142782,-0.9118708,1.137817,0.8942794,-0.8706516,1.13105,0.9084328,-0.8528398,1.121602,0.9190686,-0.8578977,1.120308,0.881317,-0.8624918,1.11077,0.8961333,-0.8414151,1.101538,0.9098377,-0.8461787,1.104879,0.8658291,-0.8638901,1.095637,0.8791375,-0.8438053,1.087197,0.8934645,-0.8478786,1.087684,0.8514117,-0.8722258,1.07794,0.8582197,-0.8558249,1.07141,0.8702371,-0.85752,1.125036,0.8551992,-0.913596,0.05694304,
1528883492375,1.134881,0.8703909,-0.9459386,1.134384,0.9016396,-0.9279661,1.122214,0.9171935,-0.9162772,1.12334,0.8948625,-0.8747237,1.115208,0.9086061,-0.8572464,1.105391,0.9189536,-0.8626311,1.106143,0.8812822,-0.8672438,1.095158,0.8958026,-0.8466887,1.08552,0.9092737,-0.8518049,1.09125,0.8650233,-0.869208,1.080577,0.8776523,-0.8493575,1.071637,0.8916889,-0.8535349,1.074615,0.8502557,-0.8782165,1.063754,0.8563843,-0.862202,1.056784,0.8681636,-0.8639464,1.112606,0.8565677,-0.9190007,0.05624968,
1528883492430,1.123645,0.8765196,-0.9519098,1.121347,0.9075836,-0.9335858,1.108723,0.9223309,-0.9212711,1.113842,0.897909,-0.8790839,1.1047,0.9115741,-0.8618622,1.094183,0.9214126,-0.8672283,1.097661,0.8836049,-0.871641,1.085776,0.8984186,-0.8518744,1.075469,0.9114078,-0.857546,1.083442,0.8660893,-0.873524,1.071674,0.8783631,-0.8539631,1.061898,0.8919219,-0.85825,1.067328,0.8503626,-0.8824895,1.05563,0.8557792,-0.8666946,1.047922,0.8671957,-0.8683068,1.104145,0.8599101,-0.9240913,0.05597219,
1528883492465,1.118876,0.8796116,-0.9544201,1.116456,0.9106778,-0.9362722,1.10358,0.9251058,-0.9238836,1.108062,0.9014095,-0.8816956,1.098119,0.9155273,-0.8651839,1.087382,0.9249327,-0.8710083,1.09232,0.886934,-0.8741945,1.079681,0.9024379,-0.8554851,1.069205,0.9149719,-0.8620048,1.078481,0.8687544,-0.8758242,1.065884,0.8814042,-0.8569835,1.055819,0.8946204,-0.8618706,1.062832,0.8523456,-0.8845979,1.050569,0.8578989,-0.8692577,1.042612,0.8691348,-0.8712578,1.099578,0.8624656,-0.9262587,0.05530103,
1528883492508,1.115361,0.8828205,-0.9545564,1.113064,0.9143124,-0.9372363,1.100186,0.9291319,-0.9252195,1.103088,0.9071202,-0.8828886,1.092438,0.9220419,-0.8673464,1.081671,0.9311849,-0.8737035,1.087445,0.8929361,-0.8751322,1.074187,0.9094734,-0.8577012,1.063746,0.9216918,-0.8650807,1.073624,0.8745035,-0.8762559,1.060275,0.8880484,-0.8584412,1.050144,0.9010581,-0.8640656,1.058195,0.8576031,-0.8846222,1.045307,0.8638328,-0.8700163,1.037274,0.8749833,-0.87265,1.095582,0.8664132,-0.9260574,0.05478089,
1528883492584,1.11424,0.8839573,-0.9581666,1.111391,0.9147957,-0.9399662,1.097813,0.929248,-0.9282551,1.103299,0.9074852,-0.8865295,1.093586,0.9224039,-0.8711686,1.084031,0.9318265,-0.8784153,1.086442,0.8943061,-0.87945,1.074265,0.9109731,-0.862504,1.065405,0.9234314,-0.8710077,1.071248,0.8772163,-0.8814499,1.058703,0.8912864,-0.8644187,1.050185,0.9047139,-0.8712708,1.054713,0.8617475,-0.89065,1.042039,0.868777,-0.876748,1.035392,0.8805183,-0.8802674,1.093788,0.8685871,-0.9309071,0.05177443,
