time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529587318854,1.102725,0.5763151,-0.855894,1.093148,0.5579689,-0.8229942,1.089765,0.541873,-0.8025825,1.122444,0.5717539,-0.7855984,1.108434,0.5537747,-0.7695356,1.097136,0.5404887,-0.7745973,1.144341,0.5633575,-0.7867271,1.139657,0.5502127,-0.7544086,1.133153,0.5394706,-0.7365878,1.160729,0.5519822,-0.8003969,1.160957,0.5385773,-0.7698549,1.157476,0.5277858,-0.7517202,1.170818,0.538884,-0.8182141,1.172032,0.5253065,-0.7971227,1.167912,0.51468,-0.7845614,1.136109,0.5727151,-0.8451277,0.02897298,
1529587318922,1.073321,0.5804383,-0.87872,1.057624,0.559975,-0.8496096,1.049547,0.5435317,-0.8311225,1.086727,0.5721638,-0.8076097,1.069688,0.5540302,-0.7977358,1.060943,0.5422722,-0.8082927,1.110163,0.5652413,-0.8059728,1.102203,0.5531536,-0.773726,1.094555,0.5435042,-0.7557516,1.129002,0.5553476,-0.8187768,1.128379,0.5438373,-0.7873674,1.125812,0.5349396,-0.7680492,1.14244,0.5432545,-0.8369198,1.14732,0.5314803,-0.8149676,1.148612,0.5225604,-0.8005435,1.107505,0.5770324,-0.8645188,0.02554711,
1529587318980,1.05633,0.5843476,-0.8968539,1.038079,0.5633028,-0.8697487,1.028097,0.5465143,-0.8526793,1.066916,0.5706309,-0.8263288,1.048306,0.5526692,-0.8184121,1.039097,0.5420814,-0.8297822,1.089645,0.5620654,-0.8243419,1.079518,0.547925,-0.7935501,1.070334,0.5372626,-0.7769928,1.108549,0.5520047,-0.8370792,1.106135,0.5381784,-0.8067064,1.101991,0.5278144,-0.7884781,1.122179,0.5402375,-0.8557169,1.126244,0.5264239,-0.8347986,1.126637,0.5161841,-0.8212737,1.089772,0.5780303,-0.8817906,0.02578597,
1529587319041,1.040064,0.5818147,-0.9069988,1.021194,0.5598297,-0.881061,1.011108,0.5421952,-0.864846,1.045794,0.5665154,-0.8364289,1.026802,0.5483141,-0.8295795,1.01807,0.5375977,-0.8412628,1.067538,0.5571344,-0.8340456,1.054339,0.5410608,-0.8054379,1.043294,0.52923,-0.7910757,1.087289,0.5478308,-0.8453932,1.081576,0.532529,-0.8162007,1.075109,0.5211374,-0.7993802,1.102065,0.5370715,-0.8628911,1.103187,0.522787,-0.8419377,1.101481,0.5122361,-0.8287659,1.072115,0.5751626,-0.8903384,0.02501564,
1529587319111,1.008755,0.587,-0.9299225,0.9894342,0.5658419,-0.9036347,0.9796201,0.5480083,-0.8871891,1.010629,0.5727236,-0.8593953,0.9915228,0.5543493,-0.8531536,0.9831214,0.5432615,-0.8649039,1.029727,0.5615193,-0.8579147,1.010863,0.5423959,-0.8352432,0.9966306,0.5288939,-0.8256935,1.050328,0.5524071,-0.8667152,1.038116,0.5344461,-0.841777,1.026219,0.520943,-0.8301913,1.065456,0.5419536,-0.882269,1.059801,0.5266855,-0.8632113,1.051209,0.5154017,-0.854004,1.039775,0.5800034,-0.911927,0.02305261,
1529587319166,0.9949681,0.5899112,-0.9432871,0.9707196,0.5741771,-0.9174063,0.9577667,0.5583835,-0.9010076,0.9856619,0.5821953,-0.8739069,0.962805,0.5677242,-0.8707819,0.954427,0.5575613,-0.8835286,0.9994118,0.5659606,-0.8730134,0.971328,0.5495805,-0.8664696,0.9552978,0.5400784,-0.8768514,1.018306,0.5527312,-0.8765693,0.9946549,0.5370917,-0.8618115,0.9762745,0.5271113,-0.8641831,1.032153,0.5394847,-0.8882635,1.015725,0.5271963,-0.8747172,1.000513,0.5202844,-0.8740113,1.021916,0.5789633,-0.9214705,0.01781411,
1529587319200,0.990375,0.598877,-0.9556587,0.9626896,0.5863433,-0.9318284,0.9473219,0.5710601,-0.9171187,0.9720311,0.5950854,-0.8891683,0.9476227,0.5847136,-0.8907745,0.9412441,0.5768982,-0.9059967,0.981356,0.5765541,-0.8885096,0.9513856,0.5660555,-0.8912447,0.9392834,0.5611632,-0.9079205,0.9963852,0.5596204,-0.8901293,0.9676766,0.5491764,-0.885142,0.9505004,0.5446043,-0.8960931,1.008479,0.5440658,-0.8992288,0.9869679,0.535902,-0.891486,0.9712463,0.5335687,-0.8962226,1.011389,0.5844073,-0.9315675,0.01395425,
1529587319240,0.9928007,0.6052653,-0.9694903,0.961904,0.5958992,-0.948524,0.9444555,0.5817874,-0.9350848,0.9648451,0.6107863,-0.9071194,0.9393598,0.6021854,-0.9113243,0.9328513,0.5936881,-0.9262335,0.9717672,0.5918781,-0.9033794,0.9410802,0.5837609,-0.9093585,0.9296975,0.5784407,-0.9264405,0.984293,0.5733202,-0.9026713,0.9541336,0.565843,-0.9034404,0.9384911,0.5620123,-0.9168682,0.9955449,0.5560153,-0.9080961,0.9721956,0.5508154,-0.905498,0.9580334,0.5501809,-0.9140385,1.007737,0.5926821,-0.941897,0.01883159,
1529587319281,1.000843,0.6200368,-0.9821198,0.9666544,0.6165078,-0.9646343,0.9456112,0.6068239,-0.9522088,0.966592,0.6379707,-0.9254367,0.9394069,0.6324065,-0.9312227,0.9305677,0.6235361,-0.9447896,0.9701585,0.6192049,-0.9183415,0.9386073,0.614463,-0.926441,0.926534,0.6087415,-0.9430475,0.9794992,0.5989715,-0.9154181,0.9488214,0.5947933,-0.920998,0.9343003,0.5913441,-0.9358691,0.9884835,0.5801347,-0.9176185,0.9646294,0.5782369,-0.9203892,0.9525679,0.5786193,-0.9318219,1.010267,0.6103222,-0.9515576,0.02367811,
1529587319321,1.008422,0.6493706,-0.991135,0.9740986,0.6506265,-0.9734241,0.9518246,0.6446901,-0.9606747,0.977019,0.6738467,-0.9354519,0.9488599,0.6716715,-0.9408807,0.9376803,0.6641152,-0.9536645,0.9780657,0.6552321,-0.9273812,0.9461269,0.6543486,-0.9351705,0.933214,0.649851,-0.9515797,0.9845602,0.6338775,-0.9243242,0.9537709,0.6333041,-0.9304796,0.9392405,0.6313419,-0.9456503,0.9908894,0.6140335,-0.9260477,0.9671701,0.6150798,-0.9296917,0.9558347,0.6168393,-0.9417168,1.016339,0.6398517,-0.9604573,0.02503076,
