time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529586996473,0.8320581,0.5098686,-0.9388454,0.8055158,0.5131558,-0.9116673,0.7873302,0.5042195,-0.8956966,0.8157104,0.5072234,-0.8704488,0.7885605,0.5059763,-0.86668,0.7761369,0.503423,-0.8795682,0.8172663,0.4874656,-0.8688718,0.786299,0.4887109,-0.8657202,0.7719991,0.4899215,-0.8808278,0.8247073,0.4651939,-0.8717396,0.7966506,0.4649137,-0.8630362,0.7807806,0.468149,-0.8748187,0.8277912,0.4472411,-0.883121,0.8062902,0.4477813,-0.8753455,0.7929397,0.4530662,-0.8829938,0.8441708,0.4847065,-0.9168969,0.01964815,
1529586996513,0.8356967,0.5050611,-0.9483552,0.8091887,0.5136462,-0.9220499,0.7897773,0.5093258,-0.9054132,0.8194243,0.5057575,-0.878327,0.7926803,0.507084,-0.872861,0.7794952,0.5051634,-0.8850205,0.8193014,0.4858134,-0.8760567,0.7887672,0.4896299,-0.8713436,0.7738525,0.4914443,-0.8857591,0.8244815,0.4632343,-0.8790421,0.7964824,0.4657617,-0.8701536,0.7804412,0.4696775,-0.8817166,0.826423,0.444162,-0.8894547,0.8052438,0.4464118,-0.8812898,0.7920756,0.4523426,-0.8888646,0.845671,0.4790183,-0.9248812,0.02321435,
1529586996564,0.8368628,0.4997185,-0.9659544,0.8112195,0.5147104,-0.9414979,0.7912528,0.5163713,-0.9247796,0.8199925,0.5041587,-0.8946077,0.7937534,0.5081792,-0.887822,0.7797082,0.5069715,-0.8990756,0.8184143,0.4844719,-0.8910972,0.7885298,0.4912252,-0.8847334,0.7728467,0.4936507,-0.8981395,0.8212479,0.4614805,-0.8939543,0.7934812,0.4668514,-0.8850774,0.7771817,0.4714036,-0.896346,0.8219941,0.4413913,-0.9031667,0.8011854,0.4454586,-0.8948637,0.7884947,0.4519063,-0.9027162,0.8441209,0.4730047,-0.9403508,0.02970397,
1529586996606,0.83235,0.4879085,-0.9800177,0.8072095,0.5069374,-0.9577626,0.787089,0.5125583,-0.942007,0.8140761,0.4962371,-0.9085547,0.7882811,0.5022597,-0.9021388,0.7744344,0.5015742,-0.9136562,0.8110898,0.4769267,-0.9042017,0.781837,0.4859668,-0.8982842,0.766536,0.4889169,-0.9120089,0.8119388,0.453766,-0.9067599,0.7843087,0.4614086,-0.8994028,0.7687529,0.4665178,-0.911567,0.8118988,0.4330396,-0.914628,0.7913218,0.438649,-0.906806,0.7792615,0.4455643,-0.9151975,0.8370482,0.4615918,-0.9526575,0.03293258,
1529586996632,0.8284611,0.4760857,-0.9870161,0.8020554,0.495364,-0.9667574,0.7806291,0.4991858,-0.9527872,0.8052359,0.4856853,-0.9169074,0.7792606,0.4923398,-0.9119409,0.7660774,0.4919383,-0.9242078,0.8014923,0.4665297,-0.9125044,0.7721771,0.4762752,-0.9082898,0.757811,0.4794673,-0.922911,0.801642,0.4434139,-0.9153119,0.7737095,0.4517566,-0.9106202,0.7594457,0.4569933,-0.9242972,0.8018342,0.4225023,-0.9226519,0.7809327,0.4286242,-0.916586,0.7699866,0.4356752,-0.9262393,0.8306045,0.4500221,-0.959013,0.03287944,
1529586996659,0.8258029,0.4686852,-0.9924462,0.7975794,0.4859433,-0.973467,0.7748706,0.4867097,-0.96126,0.7998308,0.479524,-0.9239115,0.7738736,0.4872041,-0.9206257,0.7614704,0.4874473,-0.9337255,0.7951423,0.4605968,-0.9197515,0.7660394,0.4716797,-0.9169599,0.7524711,0.4757064,-0.9321501,0.7943999,0.4375859,-0.9228774,0.7665765,0.4472499,-0.9196362,0.753193,0.4532601,-0.9338701,0.7940556,0.4165916,-0.9303597,0.7730782,0.4235276,-0.9253718,0.7629645,0.431156,-0.9354524,0.8258422,0.4431441,-0.9648225,0.03063093,
1529586996685,0.8194507,0.4606981,-0.9947176,0.7894955,0.4754796,-0.9765468,0.7662959,0.4744138,-0.9650472,0.7922642,0.4734179,-0.9276737,0.7659048,0.4806065,-0.9256054,0.7536737,0.4804372,-0.9389832,0.7878127,0.4545986,-0.9232875,0.7581965,0.4652784,-0.92173,0.7445827,0.4689321,-0.9370887,0.7874829,0.4316617,-0.9261018,0.7591913,0.4410652,-0.9242554,0.7458311,0.4466425,-0.9387994,0.7876467,0.4105396,-0.9330747,0.7663324,0.4173923,-0.9293904,0.7565727,0.4246752,-0.9400973,0.8199744,0.4368041,-0.9668683,0.02957928,
1529586996712,0.8145659,0.4563349,-1.000001,0.783299,0.4683969,-0.9824123,0.7597046,0.4651254,-0.9719117,0.7857917,0.4687689,-0.9342574,0.7588978,0.4761927,-0.9329426,0.7462103,0.4765547,-0.9460036,0.7813387,0.4498297,-0.9302385,0.7511833,0.4606858,-0.9292434,0.7370077,0.4649596,-0.9440818,0.7811611,0.4269864,-0.9335123,0.7523136,0.4365103,-0.9322411,0.7382871,0.4425686,-0.9461527,0.781489,0.4059275,-0.9409845,0.7595484,0.4126906,-0.9380103,0.749263,0.4202244,-0.9481679,0.8149818,0.4328437,-0.9727246,0.03136799,
1529586996748,0.8064935,0.4517761,-1.003718,0.7737316,0.4599539,-0.9866318,0.7503891,0.4538269,-0.976946,0.7768814,0.4659812,-0.9398464,0.7494624,0.4727865,-0.9400632,0.7368157,0.4726891,-0.953269,0.7726549,0.4466613,-0.9361008,0.7418784,0.456369,-0.9374831,0.7281004,0.4600379,-0.9529819,0.773258,0.4240604,-0.939054,0.7439066,0.4328178,-0.9400055,0.7302555,0.4383196,-0.9545919,0.7743484,0.4033943,-0.946185,0.7520143,0.4101439,-0.9451492,0.7420546,0.417334,-0.9559418,0.8079585,0.4303479,-0.9764665,0.03317557,
1529586996779,0.7989161,0.4492011,-1.005304,0.7649572,0.4535771,-0.9886234,0.7417938,0.4460689,-0.9792171,0.76817,0.4621516,-0.9424942,0.7403506,0.4669929,-0.9443387,0.7282983,0.4661134,-0.9581521,0.7650901,0.4424868,-0.9388973,0.7336463,0.4500514,-0.9415841,0.7199484,0.4530986,-0.9573778,0.7671822,0.4201294,-0.9417766,0.7370559,0.4270054,-0.9432899,0.7228243,0.4319496,-0.9575953,0.7695845,0.3998505,-0.949132,0.7465221,0.4052515,-0.9485169,0.7356378,0.4119579,-0.9587953,0.8019552,0.4291039,-0.9782258,0.03205686,
