time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529412302575,1.15516,0.5584151,-0.8789302,1.14426,0.5408418,-0.8461388,1.142106,0.5265677,-0.8240963,1.149928,0.5746052,-0.8042539,1.14302,0.5601773,-0.7796298,1.138012,0.5435059,-0.7732599,1.169797,0.5702943,-0.7997167,1.161094,0.5544415,-0.7708986,1.152997,0.5370967,-0.7614344,1.192333,0.5645419,-0.8049186,1.18651,0.548239,-0.7782319,1.178482,0.5307444,-0.7700344,1.210379,0.5555916,-0.8150486,1.207084,0.5425381,-0.7944151,1.200377,0.5296561,-0.7859658,1.179323,0.5703991,-0.8584039,0.05374017,
1529412302602,1.142327,0.5656885,-0.8814588,1.130538,0.5489316,-0.8485309,1.127771,0.5350302,-0.8263806,1.138423,0.5827274,-0.8069472,1.131268,0.5684815,-0.7822272,1.125786,0.55204,-0.7754939,1.157871,0.5777313,-0.8025857,1.148437,0.5618607,-0.7740911,1.139691,0.5445971,-0.7650623,1.180105,0.5714645,-0.8077602,1.173429,0.5554998,-0.7811022,1.16468,0.5383114,-0.7730172,1.197664,0.5613192,-0.8181161,1.193082,0.5476015,-0.7984488,1.184732,0.5344724,-0.792797,1.167188,0.5772183,-0.8611551,0.05369105,
1529412302628,1.137973,0.5648655,-0.8818069,1.126217,0.5478788,-0.8490335,1.124145,0.5334437,-0.8272408,1.134283,0.5809118,-0.8072844,1.126431,0.5662187,-0.7830126,1.120457,0.5497822,-0.7766314,1.15356,0.5754319,-0.8030086,1.143311,0.559155,-0.775023,1.134008,0.5419177,-0.7665187,1.175593,0.5686298,-0.8082697,1.168047,0.5521764,-0.7821248,1.158725,0.5350504,-0.7744931,1.192931,0.5579857,-0.8188821,1.187395,0.5434916,-0.8002234,1.178228,0.5304564,-0.7962283,1.163209,0.5755928,-0.8614292,0.05330918,
1529412302643,1.13643,0.5625096,-0.8810391,1.124126,0.5462673,-0.8480904,1.121907,0.532159,-0.8261733,1.132759,0.5799409,-0.8067691,1.124378,0.5657576,-0.7825021,1.118088,0.5493836,-0.7763664,1.152129,0.5741326,-0.8023456,1.14153,0.5583,-0.7743532,1.131909,0.541141,-0.7661768,1.174085,0.5668858,-0.8074498,1.166147,0.5507409,-0.7814026,1.156414,0.5336836,-0.7742939,1.191202,0.55553,-0.8180102,1.185098,0.5409089,-0.7998554,1.175429,0.527983,-0.7965885,1.161902,0.5730334,-0.860716,0.05283938,
1529412302667,1.132579,0.5636132,-0.8843564,1.120758,0.5471909,-0.8513305,1.118829,0.5329774,-0.8294276,1.129032,0.5804223,-0.8100513,1.120722,0.5660907,-0.7858102,1.114512,0.5496832,-0.7798354,1.148532,0.5746599,-0.8057476,1.138139,0.5585995,-0.7778173,1.128627,0.5413177,-0.7699354,1.170518,0.567515,-0.8110206,1.162823,0.5511467,-0.7850394,1.153198,0.5339987,-0.7781476,1.187204,0.556033,-0.8219548,1.180253,0.5408094,-0.8053818,1.169932,0.5279108,-0.8044239,1.158009,0.5741115,-0.8641849,0.05250811,
1529412302694,1.128599,0.5667201,-0.8826386,1.117296,0.5503821,-0.8494099,1.1158,0.5361644,-0.8274667,1.125415,0.5840976,-0.808575,1.116861,0.5698444,-0.7842876,1.110472,0.5535729,-0.7780662,1.145025,0.5782475,-0.8043394,1.134598,0.5624026,-0.7761986,1.124998,0.5453417,-0.767921,1.167055,0.5709708,-0.8096695,1.159478,0.5548283,-0.783495,1.149778,0.5378202,-0.7764241,1.183586,0.5592726,-0.8206396,1.176458,0.5441861,-0.8045734,1.165757,0.5315404,-0.8046038,1.154135,0.5773321,-0.8627688,0.05264837,
1529412302718,1.122469,0.5680133,-0.8738079,1.111287,0.5517354,-0.840543,1.110122,0.5374328,-0.8186504,1.118271,0.5854218,-0.8000526,1.109224,0.5711136,-0.7758086,1.102626,0.5550142,-0.769296,1.137931,0.5793976,-0.7955784,1.127205,0.5634566,-0.7674208,1.117523,0.5466025,-0.7587301,1.160118,0.5721965,-0.8005594,1.152433,0.5561262,-0.7742709,1.142691,0.5392428,-0.7669969,1.176751,0.560562,-0.8112123,1.169547,0.545669,-0.7951759,1.158738,0.5331036,-0.7953851,1.147657,0.5785499,-0.8537933,0.05292593,
1529412302747,1.120723,0.5700254,-0.8714488,1.110444,0.5520421,-0.8388064,1.110037,0.5368729,-0.8174266,1.115939,0.5852941,-0.7970492,1.10759,0.5704808,-0.7725973,1.101588,0.5544023,-0.7653105,1.136006,0.5797934,-0.7927495,1.126406,0.5629774,-0.7644808,1.117645,0.5458888,-0.7551159,1.158417,0.5734892,-0.7980248,1.151852,0.55646,-0.7718142,1.143097,0.5391575,-0.7641429,1.175348,0.5627863,-0.8090855,1.168768,0.547025,-0.7937846,1.158384,0.5341681,-0.7948288,1.145523,0.5810161,-0.8510491,0.05563042,
1529412302773,1.115652,0.5813924,-0.8772227,1.105509,0.5630667,-0.8446944,1.10479,0.5478283,-0.8233119,1.111155,0.5958062,-0.8026195,1.103457,0.5808587,-0.7778527,1.09772,0.5649652,-0.7698945,1.131073,0.5901476,-0.7985425,1.121964,0.5728034,-0.770286,1.113539,0.5557295,-0.7604425,1.153263,0.5840318,-0.8039641,1.146909,0.5665591,-0.7777725,1.138505,0.5492845,-0.7693183,1.1692,0.5726825,-0.8159618,1.161118,0.5559117,-0.8036942,1.150353,0.5442266,-0.8084044,1.140254,0.5923299,-0.8567845,0.05654276,
1529412302801,1.123565,0.5773058,-0.8812824,1.113761,0.5587123,-0.8487687,1.112796,0.5437392,-0.8270897,1.118061,0.59191,-0.8065795,1.111284,0.5772537,-0.7812377,1.106406,0.5615497,-0.7722735,1.138182,0.5872297,-0.8023653,1.130083,0.5699014,-0.7737201,1.122647,0.5526921,-0.7632909,1.160506,0.58192,-0.807776,1.154992,0.5641954,-0.7813821,1.147672,0.5467234,-0.7721663,1.176479,0.5709218,-0.8201735,1.168401,0.5534116,-0.8094245,1.158327,0.5421391,-0.815963,1.147696,0.5894485,-0.8606414,0.05799017,
