time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529412066340,0.8592348,0.9348627,-0.7187219,0.8361045,0.9259012,-0.6896035,0.8284927,0.9157932,-0.6666711,0.8360558,0.9564132,-0.6584232,0.822726,0.9336014,-0.6489242,0.8220113,0.9160075,-0.6545861,0.8519423,0.949753,-0.6516044,0.8368214,0.9235191,-0.649033,0.8381413,0.9080891,-0.6628387,0.8728571,0.9429597,-0.6495885,0.8588584,0.9189646,-0.6504899,0.8596427,0.9073037,-0.6671023,0.8904995,0.9374424,-0.6488856,0.8762524,0.9213265,-0.6476811,0.8742927,0.9115164,-0.6604902,0.880574,0.9495885,-0.6930292,0.01371504,
1529412066370,0.8696685,0.924405,-0.7298249,0.8462943,0.9157568,-0.7007247,0.8379371,0.9056205,-0.6780184,0.8465737,0.948524,-0.6691889,0.8311605,0.9275613,-0.6590579,0.8290498,0.9100856,-0.664537,0.8620369,0.9405835,-0.6618884,0.8441725,0.9159143,-0.6577934,0.8429296,0.8994542,-0.6705617,0.8824552,0.9322394,-0.6597013,0.8658624,0.9092925,-0.6588917,0.8642501,0.8960559,-0.6743928,0.9000711,0.9249767,-0.6592058,0.8844801,0.9099522,-0.6571884,0.8806717,0.9002373,-0.6696789,0.8911747,0.9380604,-0.7040603,0.01675318,
1529412066395,0.8768786,0.9152106,-0.7388124,0.8538155,0.9066368,-0.7093991,0.8453845,0.8962362,-0.6868335,0.8551188,0.9401785,-0.6773207,0.8385552,0.920452,-0.6669002,0.8353533,0.9033666,-0.6727535,0.8703279,0.9312685,-0.6696883,0.8505695,0.9080496,-0.6641407,0.8467715,0.8914992,-0.6763048,0.8900534,0.9217525,-0.6679413,0.8715309,0.9000264,-0.6657207,0.8677334,0.8863559,-0.6804637,0.9076259,0.913027,-0.6677774,0.8911077,0.8990048,-0.664593,0.8854975,0.8898368,-0.6767273,0.8988157,0.9275089,-0.7132021,0.01870071,
1529412066424,0.8850828,0.9047714,-0.7498891,0.8628433,0.8963065,-0.7197908,0.8549085,0.8855515,-0.6972479,0.8657246,0.9306992,-0.6873267,0.8481821,0.9123266,-0.6762043,0.8435169,0.8956977,-0.6821772,0.8806156,0.920776,-0.6796235,0.8592925,0.899267,-0.6723886,0.8529401,0.8829845,-0.6838896,0.8997538,0.9098986,-0.6783309,0.8793263,0.8895576,-0.6737979,0.8722067,0.8755784,-0.687096,0.916995,0.8997983,-0.6786888,0.8996066,0.886883,-0.6732568,0.8917149,0.8782601,-0.6842138,0.9076123,0.9155836,-0.7248085,0.02144391,
1529412066448,0.8922094,0.8952773,-0.7559222,0.8712224,0.8866566,-0.7249465,0.8641899,0.875774,-0.7021942,0.8745226,0.9225347,-0.6926649,0.8567595,0.9052054,-0.6798531,0.8508573,0.8885567,-0.6846192,0.8895571,0.9122745,-0.6850923,0.8679198,0.8916097,-0.6758078,0.8599368,0.8750538,-0.6859863,0.9086648,0.901022,-0.6841118,0.8877978,0.8813035,-0.6770511,0.8785532,0.8667383,-0.6884698,0.9259804,0.8905669,-0.6848292,0.9086791,0.8781561,-0.6767414,0.8991619,0.8692535,-0.6858426,0.9151148,0.9061301,-0.7316769,0.02549586,
1529412066476,0.9034012,0.8816923,-0.7641653,0.8833575,0.8733346,-0.7324862,0.8772447,0.8626676,-0.7094334,0.8867307,0.9105587,-0.7007015,0.8692932,0.8940418,-0.6861968,0.8628556,0.8772721,-0.6896548,0.9022198,0.9006144,-0.6928684,0.8808408,0.8806032,-0.6809324,0.8715774,0.86347,-0.6890389,0.921569,0.8894862,-0.6919457,0.9010529,0.8702241,-0.6820585,0.8904227,0.8548762,-0.6912276,0.9392596,0.8790874,-0.6928208,0.922752,0.8671309,-0.6817718,0.9122298,0.8577172,-0.6886472,0.9265072,0.8931674,-0.7406617,0.02848745,
1529412066512,0.9136393,0.8678185,-0.7728212,0.8944021,0.8606247,-0.7403471,0.8889811,0.8504453,-0.7170017,0.8999587,0.89821,-0.7085952,0.8828218,0.8831944,-0.6922528,0.8755155,0.8666099,-0.6945621,0.9156318,0.8878775,-0.7009885,0.8944018,0.8691881,-0.6865251,0.883678,0.8520186,-0.6926987,0.9349159,0.8762555,-0.7005163,0.9146228,0.8580731,-0.6878729,0.9024907,0.8425893,-0.6947966,0.9525665,0.8652556,-0.702035,0.9369519,0.8541102,-0.6885175,0.9251267,0.8444968,-0.6928539,0.9376709,0.8788675,-0.7502862,0.03075961,
1529412066531,0.9195526,0.8578398,-0.7792097,0.900926,0.8515598,-0.7461674,0.8960584,0.8422271,-0.7223848,0.9069465,0.8890637,-0.7150838,0.8909594,0.8740801,-0.6976271,0.8842085,0.8572279,-0.6992478,0.9232856,0.8795522,-0.7075927,0.9033109,0.860725,-0.6915351,0.8928871,0.8430152,-0.6965657,0.9430748,0.8686225,-0.7073869,0.9240689,0.8502011,-0.6932644,0.9123086,0.8341618,-0.6993363,0.9610666,0.8580055,-0.7093422,0.9465277,0.8465477,-0.694862,0.9345354,0.8361762,-0.6977426,0.9441183,0.8699057,-0.7575293,0.03001273,
1529412066555,0.9276801,0.8458011,-0.7872289,0.9095021,0.8400792,-0.7538352,0.9050646,0.831354,-0.7297435,0.9153587,0.8771666,-0.7233709,0.9003416,0.8617386,-0.7054101,0.8942523,0.8446448,-0.7067482,0.9321028,0.8686398,-0.715981,0.9130406,0.8495038,-0.6988827,0.9030198,0.8313299,-0.7029344,0.9523948,0.8583453,-0.7159348,0.9344352,0.8394622,-0.7010638,0.9232339,0.8230006,-0.7067893,0.9708149,0.8483649,-0.7180015,0.9571754,0.8366069,-0.7029078,0.9453114,0.8256422,-0.7048388,0.9524053,0.8588053,-0.766143,0.02867636,
1529412066582,0.9332341,0.8372271,-0.7919189,0.91574,0.8313472,-0.758189,0.9117792,0.8226733,-0.7339721,0.9213815,0.8677375,-0.7280671,0.9070397,0.8514701,-0.7100998,0.901179,0.8341966,-0.7112705,0.938431,0.8602247,-0.7206697,0.919911,0.8410331,-0.702396,0.9097977,0.8227137,-0.7051842,0.9590404,0.8503672,-0.7208536,0.9417528,0.8314083,-0.704601,0.9304699,0.8146918,-0.7089822,0.9777043,0.8405091,-0.7233292,0.9649438,0.8285457,-0.7071933,0.9529358,0.8171408,-0.7065847,0.9580234,0.8506232,-0.7712756,0.02757748,
