time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529411757388,0.9224702,0.826913,-0.775646,0.891353,0.8314113,-0.7528545,0.8717377,0.8333812,-0.7350219,0.9012136,0.8790187,-0.7240322,0.8813282,0.8781666,-0.7014346,0.8692594,0.8691425,-0.6901609,0.9161834,0.8759458,-0.710483,0.8925936,0.874872,-0.6854693,0.8770558,0.8652603,-0.6740645,0.9357718,0.867023,-0.7029936,0.9144089,0.8659103,-0.6783743,0.8988977,0.8574088,-0.6667109,0.954028,0.8531767,-0.6985537,0.9393216,0.8510078,-0.6786994,0.9266491,0.8439808,-0.6703869,0.9448339,0.8464318,-0.7516624,0.05742407,
1529411757415,0.9263901,0.8056384,-0.7877407,0.8950474,0.8090475,-0.7650547,0.8751976,0.8102371,-0.7474148,0.9050304,0.855718,-0.7342678,0.8847058,0.8538094,-0.7120768,0.8724769,0.8443698,-0.7013348,0.920094,0.8520876,-0.7207397,0.8962346,0.8499424,-0.6959862,0.880574,0.8400361,-0.6849779,0.939778,0.8428231,-0.713479,0.9183324,0.8406382,-0.6889644,0.9027817,0.8317673,-0.6776152,0.9582973,0.8290087,-0.7094014,0.9439359,0.826328,-0.6893252,0.931361,0.8192679,-0.6808676,0.948868,0.8243084,-0.7628945,0.05740915,
1529411757441,0.933462,0.7708098,-0.8057789,0.9018575,0.7726504,-0.783265,0.8817176,0.7726039,-0.7659067,0.91278,0.816615,-0.7482606,0.8920065,0.8134478,-0.7264571,0.8792723,0.8039001,-0.7163966,0.9277514,0.8113446,-0.734863,0.9036593,0.8077589,-0.7102928,0.8876187,0.797871,-0.6997795,0.9471764,0.8009399,-0.7282631,0.9256136,0.7971418,-0.7038968,0.9098333,0.7880528,-0.693029,0.9654628,0.7865148,-0.7252115,0.9512674,0.7825869,-0.7051125,0.9386799,0.7754775,-0.6966809,0.9562761,0.7870483,-0.7792222,0.05862323,
1529411757468,0.9379912,0.7469335,-0.8167467,0.9060692,0.7469704,-0.7946114,0.8857027,0.7455285,-0.7775809,0.9174737,0.7884047,-0.7555991,0.8967694,0.7841271,-0.7337716,0.8838606,0.7745525,-0.7239211,0.9324272,0.7820171,-0.7425276,0.9085451,0.7771006,-0.7178164,0.8924706,0.7671321,-0.7074052,0.9517781,0.7710661,-0.7366904,0.9304842,0.7659479,-0.7121811,0.9147763,0.756786,-0.7012128,0.970186,0.7565408,-0.7345966,0.9565715,0.7516624,-0.7142197,0.9442499,0.7444012,-0.7055492,0.9608338,0.7609359,-0.788653,0.06103409,
1529411757494,0.9418504,0.7245338,-0.8278328,0.9101164,0.7228412,-0.8055195,0.8899906,0.7200333,-0.7883716,0.9227334,0.7620096,-0.7632145,0.9029478,0.7568226,-0.7405783,0.8903414,0.7473376,-0.7302239,0.9380461,0.7548384,-0.7508403,0.9152894,0.7485842,-0.7252192,0.8997002,0.7384655,-0.7141986,0.9575536,0.7437608,-0.7461445,0.9373492,0.7372723,-0.7209367,0.922209,0.7278789,-0.709299,0.9762861,0.7294551,-0.7452825,0.9638567,0.7235391,-0.7244009,0.952098,0.715865,-0.7153146,0.9652851,0.7368529,-0.799031,0.06424025,
1529411757532,0.9510002,0.6801324,-0.8473698,0.9198904,0.6763934,-0.8244902,0.9005335,0.6716028,-0.8069174,0.9362105,0.7098762,-0.7771748,0.9180295,0.7031198,-0.7534317,0.9059155,0.6936554,-0.7424581,0.9519531,0.7008463,-0.7664524,0.9310664,0.6922503,-0.7397646,0.9161814,0.6817437,-0.7281045,0.9715429,0.6890666,-0.763958,0.9533515,0.6801515,-0.7378742,0.9391028,0.6700603,-0.725675,0.9901756,0.6746707,-0.76566,0.9796946,0.6667602,-0.7443631,0.9686878,0.6583278,-0.7350464,0.9762036,0.6883798,-0.8179696,0.0683395,
1529411757561,0.9562445,0.6590351,-0.8569018,0.9257603,0.6537662,-0.8335187,0.9070593,0.647559,-0.8156934,0.9439826,0.683666,-0.7840528,0.9269214,0.6756048,-0.7598214,0.9152304,0.6658918,-0.748574,0.9597764,0.673552,-0.7745239,0.9399575,0.6631921,-0.7475979,0.9254985,0.6521756,-0.7358335,0.9792512,0.6615308,-0.7734134,0.9621248,0.6510705,-0.7471271,0.9483832,0.6405042,-0.7347277,0.9975756,0.647204,-0.7767012,0.9879816,0.6381215,-0.755401,0.977417,0.62932,-0.7459291,0.9822754,0.6647677,-0.8275927,0.07005616,
1529411757587,0.965328,0.6319805,-0.8720922,0.9363088,0.6247393,-0.8474396,0.919099,0.6167473,-0.8288713,0.9563166,0.651985,-0.7974044,0.9409831,0.6422823,-0.7725672,0.9301788,0.6320465,-0.7608622,0.9723843,0.6412951,-0.7893462,0.9541805,0.6288269,-0.7621233,0.9405653,0.6170086,-0.7500826,0.9919379,0.6296495,-0.789752,0.9764156,0.6175553,-0.7631042,0.9635988,0.6063448,-0.7502693,1.009912,0.6157426,-0.7947873,1.001425,0.6054583,-0.7734625,0.9917168,0.5962363,-0.7634376,0.9923862,0.6363121,-0.8438149,0.07058366,
1529411757614,0.971478,0.6154277,-0.8799992,0.943435,0.6060668,-0.8549628,0.9273604,0.596266,-0.8362911,0.9636154,0.6311071,-0.8042737,0.9493721,0.6198598,-0.779346,0.9392712,0.6092894,-0.7672627,0.9798259,0.6199404,-0.7972662,0.962659,0.6053109,-0.7703422,0.949788,0.5927723,-0.7581488,0.9993667,0.608871,-0.7986123,0.9846635,0.5950392,-0.772264,0.9725164,0.583153,-0.7593555,1.016938,0.5953541,-0.8049369,1.00867,0.583557,-0.7841886,0.9996891,0.5738243,-0.7738664,0.9988096,0.618651,-0.8521518,0.07124881,
1529411757641,0.9811907,0.5918369,-0.8895829,0.9553279,0.5793461,-0.8635805,0.9412077,0.5673867,-0.8446096,0.9758069,0.6034623,-0.8129657,0.9635437,0.5906286,-0.7876856,0.954768,0.5794905,-0.7750466,0.9927089,0.5924865,-0.8074874,0.9776088,0.5754795,-0.780639,0.9661556,0.5618575,-0.7681441,1.012725,0.5826898,-0.8101785,1.000034,0.5667911,-0.7838919,0.9892914,0.5537959,-0.7707835,1.030192,0.5703068,-0.8181841,1.022967,0.5568461,-0.7980083,1.015344,0.5463203,-0.7871797,1.009245,0.5954446,-0.8630193,0.07189852,
