time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528980716488,0.794702,0.4821549,-0.8740213,0.7772225,0.4718109,-0.8430315,0.7699812,0.4620262,-0.8212966,0.804959,0.509358,-0.8034424,0.8007238,0.5024604,-0.7759287,0.7960294,0.4918878,-0.7623225,0.8258357,0.5024073,-0.8002797,0.8233439,0.4928558,-0.7690238,0.8178407,0.4807507,-0.7535276,0.8441123,0.4925392,-0.8065734,0.8421292,0.4813624,-0.7775609,0.836975,0.4695042,-0.7621318,0.8611603,0.4801922,-0.8167984,0.8628981,0.4689806,-0.7961839,0.8592572,0.4584451,-0.7847015,0.8262507,0.4934714,-0.8567773,0.0710504,
1528980716531,0.7937201,0.4817079,-0.8739785,0.7744992,0.4727391,-0.8435322,0.7647386,0.4645225,-0.8219837,0.8027639,0.5083033,-0.8032743,0.798015,0.5011729,-0.7758332,0.7932709,0.4907518,-0.7620897,0.8234695,0.5015657,-0.7997766,0.8201211,0.491578,-0.7686814,0.8144673,0.4794562,-0.753195,0.8420787,0.4919877,-0.8057649,0.8394586,0.4804371,-0.7768862,0.8342857,0.4686097,-0.761395,0.8598911,0.480161,-0.8156269,0.8614981,0.4688132,-0.7951282,0.8574727,0.4579958,-0.7841032,0.8253265,0.4928577,-0.8561434,0.0713398,
1528980716569,0.7934069,0.4813067,-0.872749,0.7726104,0.4746367,-0.842698,0.760032,0.4690113,-0.821641,0.8016931,0.5085692,-0.8025298,0.7965198,0.5018188,-0.775008,0.7917144,0.4918432,-0.7609291,0.8221824,0.5020638,-0.7986832,0.8180641,0.492428,-0.7675052,0.8122933,0.4807698,-0.7516465,0.8412007,0.4926657,-0.8042358,0.8381287,0.4814472,-0.775263,0.8328434,0.4698591,-0.7596047,0.8601586,0.4812675,-0.8136394,0.8630715,0.4709038,-0.7926493,0.8601772,0.460645,-0.7807808,0.8251457,0.4923488,-0.8547201,0.07218733,
1528980716636,0.7912115,0.486659,-0.8705302,0.7672222,0.4853532,-0.8422046,0.7500355,0.4854371,-0.8238089,0.8025007,0.5089417,-0.7989763,0.797797,0.5028703,-0.7709767,0.7934145,0.4945039,-0.755681,0.8233606,0.5019934,-0.7956519,0.820819,0.493352,-0.7636894,0.8166493,0.4837428,-0.7459545,0.8428867,0.4926246,-0.8017891,0.8426285,0.4825681,-0.7720035,0.8397123,0.4726689,-0.7545919,0.8618706,0.480944,-0.8124384,0.8684465,0.4713018,-0.7916557,0.8693483,0.4621989,-0.778499,0.824713,0.4936344,-0.8521879,0.08127331,
1528980716676,0.7884206,0.4927823,-0.868609,0.7634971,0.4968933,-0.8414078,0.7451824,0.5014283,-0.8247665,0.8016021,0.5151323,-0.797055,0.7980179,0.5120422,-0.7682408,0.7945229,0.5065391,-0.7514415,0.8230536,0.5082616,-0.7936347,0.8231589,0.5035782,-0.7605425,0.8213773,0.4977253,-0.7408141,0.8426095,0.4986058,-0.7996283,0.8453637,0.4925075,-0.7687643,0.8450907,0.4859741,-0.7495727,0.8607771,0.4855992,-0.8103707,0.8694984,0.4781332,-0.789342,0.8729922,0.4711365,-0.7753028,0.8226663,0.4971123,-0.8500876,0.08852772,
1528980716730,0.7856905,0.4989833,-0.8670148,0.76027,0.5091586,-0.8420216,0.7413524,0.5183064,-0.8283597,0.7999185,0.5222628,-0.7955064,0.7974526,0.5225891,-0.7663101,0.79498,0.5201263,-0.7486153,0.8221941,0.5161585,-0.7920388,0.8250163,0.5160905,-0.758637,0.8257228,0.5143195,-0.738057,0.8420454,0.5066398,-0.7978565,0.8478372,0.5050812,-0.7667856,0.8501832,0.5021859,-0.7468391,0.8598405,0.4925534,-0.8083761,0.8708234,0.4877042,-0.7875833,0.8766495,0.4829626,-0.7733626,0.8203502,0.5013521,-0.8479256,0.09611665,
1528980716796,0.7843895,0.5069079,-0.868492,0.7595369,0.5226463,-0.845958,0.7409903,0.5353818,-0.8351541,0.7988711,0.5326293,-0.7976487,0.7971897,0.5361543,-0.7685733,0.7953194,0.5359988,-0.7506405,0.8214318,0.5269198,-0.793994,0.825523,0.5304364,-0.7608942,0.8271387,0.531067,-0.740314,0.8411344,0.5171422,-0.7993139,0.8478571,0.5188696,-0.7684339,0.8509218,0.5182097,-0.7483925,0.8585871,0.5022022,-0.8088828,0.8697664,0.4993407,-0.787833,0.8756589,0.495848,-0.7732904,0.818835,0.5078245,-0.8486717,0.1004717,
1528980716870,0.7828768,0.5151188,-0.8686986,0.7592779,0.5349705,-0.8481138,0.7416576,0.5499028,-0.838743,0.7971176,0.5461366,-0.8002957,0.7953181,0.5521256,-0.7716552,0.7932245,0.5532022,-0.7537889,0.819605,0.5401545,-0.7959864,0.8233734,0.5456676,-0.7631612,0.8243722,0.546942,-0.7425796,0.8387135,0.5292023,-0.8001413,0.844311,0.53205,-0.7691746,0.8461322,0.5315329,-0.7489869,0.8555185,0.5135989,-0.8079675,0.8649455,0.5118752,-0.7860048,0.8691093,0.508839,-0.7707857,0.8167822,0.5164915,-0.848747,0.09943451,
1528980716888,0.7823516,0.517331,-0.8678224,0.7589409,0.5373129,-0.8471677,0.7414255,0.552393,-0.837836,0.7968317,0.5479732,-0.7993543,0.7950471,0.5538787,-0.7706927,0.7929705,0.5549886,-0.7528222,0.8193108,0.5417104,-0.795068,0.8231535,0.5469471,-0.7622046,0.8242483,0.5481689,-0.7416177,0.8382241,0.5304325,-0.7992392,0.8436872,0.5326707,-0.7681999,0.8454146,0.5318006,-0.748013,0.8547643,0.5148834,-0.8070896,0.8638037,0.5128229,-0.784997,0.8676741,0.5095784,-0.7697408,0.8162464,0.5183734,-0.8479398,0.09945333,
1528980716930,0.7806017,0.5263689,-0.8692349,0.7575783,0.5465945,-0.8483648,0.7403185,0.5619084,-0.8390962,0.7952836,0.5572287,-0.8008795,0.7932568,0.5641832,-0.7724624,0.7910518,0.5661058,-0.7546663,0.8176703,0.550581,-0.7965246,0.821293,0.5567541,-0.7637897,0.8223584,0.5587705,-0.7432538,0.8363042,0.538745,-0.8006104,0.8413264,0.5414369,-0.7695218,0.8428719,0.5410339,-0.7492977,0.8525389,0.523121,-0.8083417,0.8609463,0.5216314,-0.7859502,0.8644972,0.5188787,-0.7705113,0.8144699,0.5268056,-0.8493649,0.09858947,
1528980716982,0.7794023,0.5345267,-0.8718586,0.7566019,0.5565176,-0.8525366,0.7396544,0.5726252,-0.8440489,0.7923179,0.5694951,-0.8053716,0.7897158,0.5783436,-0.7775412,0.7871751,0.5815539,-0.7599699,0.8146417,0.5628809,-0.8000118,0.8176833,0.5708628,-0.7676166,0.8183996,0.5740604,-0.747213,0.8329879,0.5510815,-0.8029006,0.8369842,0.5560753,-0.7719431,0.837942,0.5572731,-0.7517118,0.8491635,0.5352337,-0.8090867,0.8564751,0.5358896,-0.7862686,0.8594104,0.5346993,-0.7705,0.8125005,0.5358993,-0.8512927,0.09699073,
1528980717080,0.7785941,0.5609149,-0.8829443,0.7565038,0.5869468,-0.8682664,0.7404571,0.6048895,-0.8619598,0.7893828,0.6064819,-0.8232601,0.7859949,0.6186436,-0.7968196,0.7828662,0.6238849,-0.7798358,0.8109715,0.6004149,-0.8157195,0.8124269,0.612062,-0.7843585,0.811963,0.6174209,-0.7644057,0.8288514,0.5885168,-0.8157073,0.8307341,0.5977178,-0.7855506,0.8300447,0.6014548,-0.7656236,0.8452201,0.5719429,-0.8182212,0.851404,0.5762222,-0.7954564,0.8536156,0.5776875,-0.7795879,0.8105047,0.5653787,-0.8614907,0.09435955,
