time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529334367353,1.218179,0.5543453,-0.540641,1.197809,0.531756,-0.5201907,1.189181,0.5142289,-0.505595,1.204668,0.5512622,-0.4695973,1.194632,0.5294721,-0.4558963,1.189777,0.512845,-0.4558774,1.221923,0.546683,-0.4634221,1.208276,0.5229582,-0.4476931,1.199928,0.5049576,-0.4474167,1.243695,0.5426903,-0.4655218,1.232244,0.5197804,-0.4504859,1.223789,0.5024264,-0.4510283,1.263948,0.5368338,-0.4729738,1.256787,0.5185584,-0.4623661,1.248682,0.5056878,-0.4643181,1.241447,0.5613685,-0.5130551,0.04974049,
1529334367379,1.216276,0.557168,-0.5430667,1.195593,0.535136,-0.5223449,1.186797,0.5178795,-0.5075268,1.202552,0.555522,-0.4717306,1.191968,0.5344899,-0.4572966,1.186681,0.5179889,-0.4566633,1.219785,0.5505468,-0.4656265,1.20566,0.5274555,-0.4493843,1.19695,0.5096326,-0.4486936,1.241546,0.5460982,-0.4676792,1.229721,0.5236871,-0.4521972,1.22098,0.5064988,-0.4525012,1.261765,0.5398424,-0.4749753,1.254344,0.521961,-0.4640593,1.245996,0.5093521,-0.4662104,1.239642,0.5641254,-0.5155427,0.05086375,
1529334367407,1.213738,0.5613696,-0.5465156,1.192983,0.5394031,-0.525806,1.184144,0.5221274,-0.5110313,1.200387,0.5598437,-0.4747657,1.189604,0.5393403,-0.4596329,1.18394,0.5229714,-0.4581711,1.217672,0.5544842,-0.4689161,1.203474,0.5317064,-0.4521955,1.194534,0.5140144,-0.4509857,1.239282,0.5497657,-0.4712351,1.227289,0.527536,-0.4555384,1.218384,0.5104933,-0.4557528,1.259397,0.5431916,-0.4788348,1.251793,0.5252662,-0.468204,1.243286,0.5129385,-0.470853,1.237326,0.5679636,-0.519071,0.05286733,
1529334367435,1.211203,0.5652123,-0.5503148,1.190206,0.5435262,-0.5295473,1.180979,0.5264615,-0.5147194,1.198254,0.564572,-0.4780914,1.187392,0.5447394,-0.4620131,1.181428,0.5285777,-0.4594894,1.215624,0.5589474,-0.4723466,1.201528,0.5366537,-0.4547524,1.19243,0.5191157,-0.4526138,1.237068,0.5540605,-0.474783,1.225049,0.5322739,-0.4583643,1.216032,0.5153692,-0.4580507,1.256978,0.5470477,-0.482688,1.249169,0.5291951,-0.472177,1.240533,0.5171161,-0.4751891,1.235009,0.5718169,-0.5229017,0.05527228,
1529334367459,1.209604,0.5697856,-0.5536331,1.188839,0.5480258,-0.5327041,1.17968,0.5309507,-0.5178275,1.198099,0.5695312,-0.4805556,1.187898,0.5504279,-0.4631172,1.18197,0.5344703,-0.4593728,1.2156,0.5637726,-0.4751731,1.202284,0.5419396,-0.4563302,1.193341,0.5244901,-0.4532268,1.236697,0.5587989,-0.4782346,1.225034,0.5372409,-0.4612061,1.216099,0.5203953,-0.4605802,1.256254,0.5514655,-0.4869196,1.24836,0.5334134,-0.4768617,1.239686,0.521596,-0.4804127,1.233819,0.5764111,-0.5264979,0.05860529,
1529334367486,1.207204,0.574506,-0.5578129,1.186136,0.5531456,-0.5367692,1.176746,0.5363009,-0.521781,1.196137,0.5754335,-0.4841835,1.186174,0.557329,-0.4654628,1.180109,0.5417795,-0.4603464,1.213606,0.5694575,-0.4788215,1.200561,0.5484391,-0.4587846,1.191563,0.5312551,-0.4546021,1.234305,0.5641232,-0.4821542,1.222443,0.5430549,-0.4646194,1.213397,0.5263973,-0.4638329,1.253563,0.5562131,-0.4912227,1.245173,0.5381827,-0.4816574,1.236381,0.5267484,-0.4858635,1.231591,0.5811456,-0.5306906,0.06176998,
1529334367521,1.204116,0.5814066,-0.563165,1.182681,0.560513,-0.5420119,1.172936,0.5439599,-0.5269201,1.193923,0.5837808,-0.4886988,1.184741,0.5672011,-0.4681228,1.178767,0.5523158,-0.4612106,1.211276,0.577552,-0.4833478,1.198912,0.5577623,-0.4616443,1.189987,0.5409406,-0.456192,1.231291,0.5716172,-0.4871867,1.219235,0.5511354,-0.4691544,1.210023,0.5346181,-0.4681389,1.24989,0.5628628,-0.4970804,1.240525,0.5449427,-0.489306,1.231651,0.5346384,-0.4956402,1.228673,0.5879913,-0.5360713,0.06649473,
1529334367540,1.20275,0.5854486,-0.565262,1.1809,0.565124,-0.5439732,1.170826,0.5489161,-0.5287248,1.193131,0.5891995,-0.4903529,1.184365,0.5736759,-0.4687498,1.178469,0.5592481,-0.4608519,1.210442,0.5828785,-0.4849219,1.198459,0.5639993,-0.4622068,1.189575,0.5474538,-0.4558924,1.230068,0.5765529,-0.4889603,1.2179,0.5565909,-0.4704216,1.208566,0.540148,-0.4689178,1.24825,0.5672441,-0.4992741,1.238337,0.5495877,-0.4925568,1.229479,0.5398397,-0.499967,1.227517,0.5921166,-0.538174,0.06907894,
1529334367565,1.198846,0.592802,-0.5729058,1.176564,0.5732207,-0.5513482,1.166015,0.5574938,-0.5359104,1.190014,0.597721,-0.4976991,1.181583,0.5832135,-0.4752228,1.175686,0.5693243,-0.4663969,1.20723,0.5911707,-0.492266,1.195496,0.5732368,-0.4686345,1.186534,0.5570993,-0.4613812,1.226495,0.5844041,-0.4964601,1.214192,0.5651546,-0.4771776,1.204574,0.5488816,-0.4746232,1.244098,0.5744045,-0.507296,1.233598,0.5569977,-0.5011542,1.224717,0.5476575,-0.5090784,1.223908,0.5993064,-0.5459816,0.07117303,
1529334367593,1.195439,0.6001846,-0.5794303,1.172695,0.581502,-0.5575649,1.161823,0.5663133,-0.5418162,1.186723,0.6071048,-0.5041828,1.178167,0.5935137,-0.481219,1.172115,0.5799522,-0.4720054,1.203865,0.6004965,-0.4985404,1.191963,0.5835246,-0.4743357,1.182805,0.5677273,-0.4665197,1.223026,0.5934885,-0.5024807,1.210524,0.5752739,-0.4822723,1.200639,0.5592504,-0.4783257,1.240088,0.5828134,-0.5134452,1.228995,0.5658735,-0.5075476,1.220293,0.556783,-0.5159523,1.220671,0.6068406,-0.5525429,0.07187127,
