time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529333999065,0.8989904,0.5621666,-0.9042397,0.8681818,0.5658013,-0.8853191,0.8479006,0.5604359,-0.8729562,0.8804576,0.5857372,-0.84168,0.8542539,0.5935576,-0.8346043,0.8369577,0.5959438,-0.8358322,0.8784037,0.5651922,-0.8344047,0.8480225,0.5715489,-0.8257074,0.8282731,0.5747659,-0.8270655,0.8801678,0.5433292,-0.8355603,0.8510281,0.5478998,-0.8279848,0.8316043,0.5510991,-0.829408,0.881013,0.5227789,-0.8426722,0.8584278,0.5254182,-0.8404417,0.8446243,0.5297418,-0.845979,0.9074307,0.548641,-0.8766777,0.0525238,
1529333999104,0.8998136,0.5650996,-0.9110308,0.8696222,0.5693243,-0.8910572,0.8494258,0.5653943,-0.8778928,0.8830948,0.587823,-0.8479956,0.8570137,0.595725,-0.8404278,0.8397186,0.5982235,-0.8412246,0.8812824,0.5672416,-0.8407339,0.8511787,0.5737355,-0.8310187,0.8314196,0.5771261,-0.8314713,0.8832042,0.5451597,-0.8415827,0.8545899,0.5495197,-0.8318995,0.8351347,0.5527161,-0.8317163,0.8837622,0.5240225,-0.8487601,0.8612493,0.5252523,-0.8438057,0.8461648,0.5285099,-0.8459957,0.9090223,0.5510343,-0.8839219,0.05016516,
1529333999130,0.9012011,0.5681065,-0.9188296,0.8713403,0.5728377,-0.8984263,0.8511716,0.5695393,-0.8850123,0.8853011,0.5902398,-0.8553153,0.859509,0.5985366,-0.8471813,0.8422648,0.6013441,-0.8477001,0.8833172,0.569676,-0.8482068,0.8535753,0.5766983,-0.8377547,0.8338975,0.5804776,-0.8378093,0.8850003,0.5474515,-0.8491393,0.856813,0.5521238,-0.83837,0.8374454,0.5556154,-0.8375199,0.8851534,0.5260586,-0.8565547,0.8628561,0.52697,-0.8504286,0.8475754,0.5299838,-0.8514017,0.9102947,0.553508,-0.8920748,0.04983045,
1529333999159,0.9006985,0.5752562,-0.9259962,0.8712448,0.580194,-0.9050221,0.8512787,0.5772738,-0.8911943,0.8857744,0.5969481,-0.8620618,0.8601469,0.6051236,-0.8533801,0.8428956,0.6078187,-0.853712,0.8840221,0.5764333,-0.8549285,0.8545734,0.5834568,-0.8437417,0.8349119,0.5872278,-0.8434944,0.8857725,0.5541433,-0.8559003,0.8579304,0.5587211,-0.8442788,0.8385976,0.5621843,-0.8430237,0.8858482,0.5326087,-0.8633403,0.8638084,0.5331728,-0.856293,0.8484539,0.5359622,-0.8565586,0.9102214,0.5603988,-0.8994669,0.04907337,
1529333999185,0.901747,0.5788475,-0.9336916,0.872886,0.5839251,-0.9119314,0.853236,0.581174,-0.8976148,0.8881866,0.5994094,-0.8688641,0.8629372,0.6073942,-0.8590983,0.8456939,0.6099672,-0.8590716,0.8866643,0.5788831,-0.8619568,0.857718,0.5858253,-0.8495717,0.8380959,0.5896003,-0.8488237,0.8883966,0.556546,-0.8633059,0.8610147,0.5609632,-0.8507082,0.8417343,0.5644218,-0.8492022,0.8883414,0.5350087,-0.8709653,0.8666678,0.5353345,-0.8629198,0.8513089,0.5380676,-0.8626078,0.9116367,0.5634778,-0.9076643,0.04869817,
1529333999209,0.901783,0.5821449,-0.9383297,0.873441,0.5871729,-0.9158725,0.8541057,0.5844785,-0.9011152,0.8892837,0.6014792,-0.8727363,0.8643281,0.6090376,-0.8620781,0.8470726,0.6113279,-0.8618212,0.8881497,0.5809821,-0.8660374,0.8596628,0.5876601,-0.8525804,0.8400607,0.5913064,-0.8513604,0.8900225,0.5586177,-0.867752,0.8630694,0.5627033,-0.8542497,0.8438195,0.56602,-0.8524144,0.8900245,0.5370973,-0.8756099,0.868732,0.5370889,-0.8666686,0.8533831,0.5397047,-0.8659103,0.9122,0.5662174,-0.9127132,0.04810793,
1529333999237,0.9021204,0.5846449,-0.9425523,0.8743175,0.5900896,-0.9195108,0.855237,0.5877813,-0.9043536,0.8909355,0.603569,-0.8765245,0.8663191,0.6112227,-0.8652708,0.8490874,0.6135709,-0.8648227,0.8897945,0.5831401,-0.8698978,0.8617674,0.5900984,-0.8556927,0.8422416,0.5939482,-0.8540902,0.8914249,0.5607536,-0.8717895,0.8648788,0.5650899,-0.8576285,0.84571,0.5686105,-0.8554605,0.8911343,0.5392244,-0.8796751,0.8701611,0.5393738,-0.8700598,0.854874,0.5421596,-0.8689587,0.9128041,0.5683245,-0.9172213,0.0475984,
1529333999264,0.9035223,0.5869741,-0.9512218,0.8761671,0.5932612,-0.9278526,0.8572682,0.5915745,-0.9123825,0.8933113,0.6065146,-0.8852375,0.8689404,0.6145865,-0.8738234,0.8517345,0.6170927,-0.8733495,0.8920264,0.5862247,-0.8784164,0.8642927,0.5937892,-0.863996,0.844835,0.5979274,-0.8623242,0.8933623,0.5638043,-0.8801237,0.8670635,0.5687435,-0.8657317,0.8479686,0.5725784,-0.8634762,0.8927684,0.5421892,-0.8877081,0.8719855,0.5428218,-0.877746,0.8567662,0.5458934,-0.8765367,0.9141882,0.5704869,-0.9258777,0.04696135,
1529333999299,0.9052655,0.5877132,-0.9561449,0.8791229,0.5958885,-0.9319348,0.8608211,0.5958267,-0.915648,0.8983806,0.6088557,-0.8905923,0.8744656,0.6181397,-0.8790841,0.8573478,0.6212732,-0.8781925,0.896643,0.588638,-0.8833213,0.8693289,0.5974241,-0.8687436,0.8500254,0.6022084,-0.8666837,0.8971817,0.5663151,-0.8846427,0.8712183,0.5726676,-0.8701099,0.8523095,0.5772461,-0.8674314,0.8956245,0.5447341,-0.8916944,0.8749118,0.5467603,-0.8817375,0.859854,0.5505902,-0.8804829,0.916517,0.5712079,-0.9308196,0.04541473,
1529333999317,0.9060774,0.5896045,-0.9590464,0.8803155,0.5990583,-0.9348694,0.8621968,0.6000552,-0.9184021,0.8998206,0.6119602,-0.8940636,0.8758696,0.6216327,-0.8830692,0.8587321,0.6247147,-0.8825794,0.898068,0.5919299,-0.8863053,0.87075,0.6012721,-0.872188,0.851438,0.6061577,-0.870634,0.8984769,0.5696254,-0.8871517,0.872509,0.576627,-0.8729837,0.8536111,0.5814276,-0.8706818,0.8967834,0.5480305,-0.8936561,0.8760883,0.5507883,-0.8838953,0.8611106,0.5549717,-0.8830361,0.917581,0.5733252,-0.9333829,0.04362752,
