time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529334172442,1.164879,0.5714018,-0.8918254,1.145863,0.5511609,-0.8676613,1.135823,0.5362144,-0.8511168,1.16255,0.5704349,-0.8213042,1.15486,0.5472707,-0.8111139,1.152077,0.5315984,-0.8171194,1.180419,0.5670794,-0.8176242,1.168766,0.5421025,-0.8049455,1.161965,0.5246267,-0.8104819,1.201843,0.5640124,-0.822492,1.191836,0.5403728,-0.8096619,1.183804,0.5235533,-0.8142534,1.220685,0.5591429,-0.8319867,1.213677,0.5411762,-0.8216158,1.205102,0.5286893,-0.8243318,1.192684,0.5806034,-0.8685844,0.03796479,
1529334172468,1.155503,0.5729209,-0.8833516,1.135975,0.5532775,-0.8591002,1.125434,0.5387932,-0.8424367,1.152751,0.5733008,-0.812628,1.144998,0.5504355,-0.8017411,1.142228,0.5345104,-0.8071258,1.170599,0.5701141,-0.8087287,1.158877,0.5455064,-0.7953359,1.152101,0.5277904,-0.8002101,1.192109,0.5669912,-0.8133932,1.182093,0.5436757,-0.7999252,1.174131,0.5266263,-0.8039002,1.211085,0.5620154,-0.8226242,1.204132,0.5443198,-0.811713,1.195671,0.531683,-0.8140367,1.183289,0.5825505,-0.8599793,0.03933499,
1529334172522,1.144803,0.575297,-0.8759822,1.12406,0.5567992,-0.8518344,1.111995,0.5433615,-0.8352243,1.140283,0.5776642,-0.8054808,1.131831,0.5551286,-0.794315,1.128792,0.5389801,-0.799126,1.157902,0.5741773,-0.8010676,1.145335,0.5499923,-0.7875355,1.138235,0.5321526,-0.791862,1.179329,0.5705287,-0.8050673,1.16834,0.5476518,-0.791517,1.160087,0.5305662,-0.7951207,1.198352,0.5649479,-0.8136126,1.190514,0.547602,-0.8026373,1.181844,0.5351533,-0.8050355,1.17221,0.5850615,-0.8520941,0.04005523,
1529334172548,1.141506,0.5762194,-0.874665,1.120559,0.557995,-0.8504826,1.108006,0.5449224,-0.8339059,1.136432,0.5792176,-0.8043593,1.127755,0.5567339,-0.7932387,1.124644,0.5405523,-0.7979726,1.153989,0.5755645,-0.79987,1.141165,0.5513896,-0.7865012,1.133968,0.5335335,-0.7907634,1.175346,0.5717614,-0.8036927,1.164018,0.5489163,-0.790302,1.155663,0.5318413,-0.7938751,1.19433,0.5660173,-0.8120394,1.186118,0.5487172,-0.8012894,1.177348,0.536377,-0.8039033,1.168721,0.586094,-0.8507041,0.03983859,
1529334172575,1.129979,0.5792453,-0.8663217,1.109238,0.5607855,-0.8421367,1.096589,0.5476948,-0.8256301,1.124998,0.5818775,-0.7960543,1.116327,0.5593102,-0.7850496,1.113193,0.5431287,-0.7898044,1.14263,0.5780857,-0.7917404,1.129899,0.5536799,-0.778621,1.122684,0.5358139,-0.7829268,1.163922,0.5743191,-0.7956904,1.152625,0.5512406,-0.7825983,1.144272,0.5341773,-0.7862889,1.182802,0.5686643,-0.8041526,1.174488,0.5511917,-0.7938033,1.16569,0.5389496,-0.7967585,1.157141,0.5890993,-0.8424409,0.0397493,
1529334172601,1.125867,0.5791554,-0.8637766,1.105845,0.5599794,-0.8395422,1.093623,0.5464631,-0.82305,1.121483,0.5808754,-0.7934592,1.113065,0.5581093,-0.7825668,1.109971,0.5419008,-0.7873096,1.139308,0.5771384,-0.7894157,1.126994,0.5524043,-0.7763121,1.119826,0.5344548,-0.7804352,1.160506,0.5735481,-0.7938021,1.149552,0.5500635,-0.7809991,1.141309,0.5329403,-0.7847311,1.179243,0.568226,-0.8025827,1.171075,0.5504466,-0.7925655,1.162359,0.5381949,-0.7956843,1.15307,0.5890271,-0.840126,0.03956573,
1529334172628,1.121705,0.5789639,-0.8613335,1.100994,0.5604104,-0.8371966,1.087575,0.5477554,-0.820953,1.11668,0.5814542,-0.7911758,1.108121,0.5587803,-0.7802626,1.105036,0.5425615,-0.7849946,1.13448,0.5776716,-0.7869706,1.122008,0.553043,-0.7738083,1.114803,0.5350736,-0.7778315,1.155629,0.5739518,-0.7912043,1.144445,0.5505649,-0.7784232,1.136171,0.5334572,-0.7821677,1.174324,0.5685075,-0.7997903,1.165869,0.5508345,-0.7898062,1.157122,0.5386082,-0.792961,1.148658,0.5890234,-0.837637,0.0403097,
1529334172654,1.118277,0.5773867,-0.8584503,1.097396,0.5591592,-0.8342125,1.083856,0.5467321,-0.8178977,1.112374,0.5811402,-0.7884117,1.10375,0.5586543,-0.7772136,1.100755,0.5423779,-0.7817718,1.130142,0.5774378,-0.7839319,1.117594,0.5530205,-0.770471,1.110454,0.5349782,-0.7742749,1.151308,0.5736566,-0.7878823,1.140013,0.5504678,-0.7748423,1.131799,0.5332941,-0.7784038,1.170079,0.5681208,-0.7961285,1.161513,0.5506366,-0.7858917,1.152817,0.5383214,-0.7888654,1.144858,0.5879411,-0.8346415,0.04012001,
1529334172681,1.116981,0.5760474,-0.8576287,1.096214,0.5577455,-0.8333515,1.082726,0.5452888,-0.8170164,1.110713,0.5800737,-0.7877103,1.102262,0.5575202,-0.7765368,1.099457,0.5412228,-0.7811255,1.128508,0.5765346,-0.783137,1.11615,0.5520115,-0.7696844,1.109196,0.5338957,-0.7734812,1.149688,0.5729041,-0.7870097,1.138534,0.5496088,-0.7740277,1.130493,0.5323641,-0.777629,1.168502,0.5675298,-0.7951269,1.159996,0.5499942,-0.7849072,1.151416,0.5375997,-0.7878889,1.143297,0.5869984,-0.8337939,0.03980711,
1529334172716,1.112524,0.5765374,-0.8567341,1.0913,0.5589553,-0.832321,1.077267,0.547121,-0.8159635,1.105338,0.5823218,-0.7873392,1.096298,0.5599139,-0.7762497,1.093321,0.5436053,-0.7807289,1.122981,0.5785008,-0.7825174,1.109952,0.5541829,-0.7693443,1.102782,0.5361415,-0.7732224,1.144145,0.574419,-0.785982,1.132325,0.5513526,-0.7730306,1.123986,0.5341588,-0.7763903,1.162862,0.5685885,-0.793684,1.153734,0.5512733,-0.7834522,1.144926,0.5389029,-0.7861027,1.138689,0.5876635,-0.8328332,0.03887884,
