time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529320870531,1.049783,0.6080822,-0.8851428,1.041098,0.5851898,-0.8551253,1.038672,0.5683916,-0.8346388,1.045305,0.6157241,-0.8100895,1.039544,0.5954684,-0.7887338,1.036213,0.5777769,-0.7833498,1.0654,0.6129519,-0.8067898,1.057796,0.5896783,-0.7828462,1.051594,0.5699576,-0.7770621,1.087091,0.6107819,-0.812789,1.081045,0.589038,-0.7892532,1.074775,0.5703613,-0.7814744,1.106343,0.6047394,-0.8244057,1.102526,0.5861285,-0.8087502,1.095912,0.5711461,-0.8052341,1.074088,0.6221719,-0.86346,0.05219861,
1529320870558,1.038948,0.6027084,-0.893842,1.029266,0.5795304,-0.8643587,1.026254,0.5624408,-0.8441995,1.033638,0.6093282,-0.8188747,1.027086,0.5886353,-0.7981285,1.023312,0.5709174,-0.7930724,1.053641,0.6061407,-0.8153404,1.045176,0.5824541,-0.7920432,1.038508,0.5627635,-0.7865976,1.0755,0.6035719,-0.8210871,1.068831,0.5813137,-0.7981529,1.062183,0.5626088,-0.7907403,1.094909,0.5975672,-0.8323435,1.090798,0.578814,-0.8168891,1.084034,0.5638824,-0.8133118,1.063309,0.6161448,-0.8715867,0.05190851,
1529320870584,1.029285,0.5999579,-0.8989252,1.018891,0.5759407,-0.870367,1.01543,0.5581716,-0.8508862,1.023972,0.6039708,-0.8237891,1.016758,0.5826554,-0.8039125,1.012495,0.564857,-0.799558,1.043895,0.6002392,-0.8202929,1.034697,0.5759879,-0.7978907,1.027486,0.5562921,-0.7931831,1.06583,0.5973075,-0.8260962,1.058654,0.5744206,-0.8039595,1.051556,0.5556241,-0.7972233,1.085284,0.5914274,-0.8373446,1.081041,0.5724875,-0.8221539,1.074105,0.5575985,-0.8186503,1.053962,0.6119955,-0.8761424,0.05184485,
1529320870612,1.015271,0.5934256,-0.9079884,1.00358,0.56897,-0.8803072,0.999189,0.5507965,-0.8613966,1.008736,0.5955552,-0.832881,1.000478,0.5738969,-0.8138166,0.9956074,0.5561023,-0.8101225,1.028483,0.5912306,-0.8290942,1.0181,0.5667252,-0.8075339,1.010203,0.5471311,-0.8035581,1.050543,0.5877684,-0.8346103,1.042391,0.564515,-0.813224,1.034653,0.5457422,-0.8071598,1.070112,0.5817362,-0.845575,1.065238,0.5626547,-0.8307992,1.05787,0.5478755,-0.8276993,1.039966,0.6041452,-0.884445,0.05167212,
1529320870638,1.005796,0.5889345,-0.9154176,0.9931318,0.564105,-0.8885006,0.9879635,0.5456164,-0.8700981,0.9982726,0.5892213,-0.8404371,0.9892324,0.5672272,-0.8221173,0.9838998,0.5494579,-0.818978,1.017894,0.584369,-0.8364794,1.006675,0.5595476,-0.8156991,0.9982848,0.5400472,-0.8122815,1.040008,0.580552,-0.8417722,1.031155,0.5569538,-0.8210322,1.022971,0.5382225,-0.8154191,1.059621,0.5743675,-0.8526243,1.054299,0.5550398,-0.8382963,1.046685,0.5403245,-0.8354258,1.030374,0.5984408,-0.8913138,0.05142499,
1529320870665,0.9920989,0.5827375,-0.9252914,0.9783144,0.5575068,-0.8992872,0.9721881,0.5387183,-0.8814907,0.9837686,0.5807229,-0.850462,0.9739884,0.5583431,-0.8330153,0.9682604,0.5405895,-0.830558,1.003314,0.5754304,-0.8463931,0.9913496,0.5502353,-0.8265045,0.9825444,0.5308056,-0.8237848,1.025461,0.5713981,-0.8515323,1.015956,0.5474175,-0.8315254,1.007376,0.5286981,-0.8264922,1.045129,0.5651693,-0.8623766,1.039381,0.5455418,-0.8486166,1.031521,0.5308769,-0.8461802,1.016737,0.591033,-0.9006205,0.05111818,
1529320870692,0.983049,0.5787755,-0.9320053,0.9683701,0.5531324,-0.9068882,0.9614132,0.5340688,-0.8896973,0.9738786,0.5743997,-0.857415,0.9634902,0.5516773,-0.8407716,0.9574267,0.5339652,-0.8389088,0.9933574,0.5686843,-0.8532759,0.9808042,0.5431286,-0.8342093,0.9716634,0.5237792,-0.8320693,1.015515,0.5645143,-0.8582706,1.005478,0.5401924,-0.8389316,0.9965754,0.5214972,-0.8344105,1.035206,0.5582606,-0.869169,1.029082,0.5383294,-0.8560001,1.021017,0.5237129,-0.8540086,1.007578,0.5857124,-0.9068953,0.05094484,
1529320870726,0.9720476,0.5742595,-0.9397308,0.9560568,0.5487343,-0.9152677,0.9479105,0.5297767,-0.8984855,0.9615718,0.5686128,-0.8655312,0.9501949,0.5457891,-0.8496912,0.9436488,0.5281986,-0.8483953,0.9809414,0.5623628,-0.8611852,0.9674152,0.5366918,-0.8429421,0.95778,0.5175207,-0.8413556,1.003108,0.557813,-0.8658831,0.9921647,0.533348,-0.8472158,0.9827562,0.5147841,-0.8431834,1.022817,0.5512767,-0.8766521,1.01597,0.5311812,-0.8641104,1.007505,0.5167282,-0.8626435,0.9964236,0.5800717,-0.9141722,0.05029587,
1529320870744,0.964689,0.5718616,-0.9436893,0.9485427,0.5462752,-0.9193918,0.9402655,0.5272548,-0.9027464,0.9542844,0.5655519,-0.869575,0.9427394,0.5426438,-0.8540192,0.9360607,0.5250876,-0.853019,0.9736197,0.5590668,-0.8653402,0.9599149,0.5332876,-0.8474172,0.9501224,0.5141758,-0.846127,0.9957215,0.554363,-0.8701357,0.9845853,0.5297615,-0.8517812,0.9750101,0.5112258,-0.8480077,1.015321,0.5477767,-0.8809998,1.008272,0.527608,-0.8686947,0.999652,0.5132319,-0.8674239,0.9891812,0.5773224,-0.9181195,0.04995194,
1529320870758,0.9625472,0.5693201,-0.9462449,0.9456356,0.5442512,-0.921905,0.9365676,0.5256516,-0.9051876,0.9514924,0.5634226,-0.8723196,0.9393652,0.5407033,-0.856869,0.9323668,0.5232648,-0.8557684,0.9707401,0.5567268,-0.8678555,0.95645,0.5312291,-0.8499308,0.9463419,0.5122775,-0.8484846,0.9928509,0.551726,-0.8724085,0.9812126,0.5274231,-0.8539312,0.9713534,0.5090693,-0.849948,1.012474,0.5448381,-0.8830446,1.005115,0.5248954,-0.8705031,0.9963547,0.5106256,-0.8689761,0.9869343,0.5743681,-0.9205948,0.04965478,
1529320870785,0.9565649,0.5676156,-0.9510728,0.9389824,0.5429982,-0.9267398,0.9293278,0.5247191,-0.9099979,0.9448451,0.5620683,-0.8772533,0.9322918,0.5395504,-0.8619086,0.9250711,0.5221994,-0.8609764,0.963999,0.5551056,-0.8725884,0.9492621,0.5298323,-0.8548015,0.9389029,0.511012,-0.8536404,0.9861187,0.5497767,-0.8769226,0.9740838,0.5256516,-0.8585583,0.9639333,0.507406,-0.8548832,1.005674,0.5426015,-0.8873675,0.9979423,0.5228322,-0.8748531,0.9889071,0.5087228,-0.8735313,0.9808199,0.5723491,-0.9252701,0.04927048,
1529320870812,0.9499439,0.5664485,-0.9545632,0.9320377,0.5424005,-0.9298807,0.9218985,0.524609,-0.9128911,0.9386207,0.5613288,-0.8807842,0.9258251,0.5389899,-0.8653448,0.9184241,0.5217171,-0.8642673,0.9578711,0.5543222,-0.8760559,0.9430407,0.5293351,-0.8579237,0.9325314,0.5106117,-0.8564515,0.9799727,0.5487902,-0.8804773,0.9679211,0.5249128,-0.8618156,0.957667,0.5067681,-0.8579345,0.9994206,0.5414744,-0.890903,0.9917108,0.5219718,-0.8779432,0.9826359,0.5079274,-0.8762373,0.9744863,0.5709898,-0.9290012,0.04883348,
1529320870838,0.9451409,0.56563,-0.9570104,0.9269476,0.5421511,-0.9319896,0.9165971,0.5247197,-0.9147604,0.934105,0.5613444,-0.8832241,0.9210945,0.5392222,-0.8676629,0.9135149,0.5220362,-0.8665283,0.953328,0.5541797,-0.8784509,0.938306,0.5294987,-0.8600619,0.9275931,0.5109073,-0.8584,0.9753731,0.548329,-0.8828912,0.9631773,0.5247142,-0.864022,0.952731,0.5067054,-0.8600878,0.9946585,0.540722,-0.8932756,0.9868023,0.521462,-0.8800566,0.9775683,0.5075471,-0.8781582,0.969891,0.570165,-0.9315947,0.04840496,
1529320870866,0.9383365,0.5653875,-0.9594015,0.9201301,0.5428068,-0.9335585,0.909647,0.5260382,-0.9157517,0.9285581,0.562935,-0.8853021,0.9157264,0.5412505,-0.8690983,0.9081537,0.5240964,-0.8677437,0.947834,0.5559591,-0.8805066,0.932991,0.5319831,-0.8612161,0.9222085,0.5134926,-0.8592247,0.9697938,0.5498651,-0.8851573,0.9577755,0.5269211,-0.8654853,0.9472366,0.509059,-0.8612351,0.9888881,0.5419658,-0.895561,0.9811754,0.5233189,-0.8814623,0.9718599,0.5095519,-0.8790596,0.9635181,0.5701074,-0.9345093,0.04807048,
1529320870892,0.9334644,0.5653147,-0.9601766,0.9155178,0.543556,-0.9334584,0.9051366,0.5273908,-0.915047,0.9254876,0.5645511,-0.8857814,0.9131875,0.5432097,-0.86877,0.9057617,0.5260499,-0.8669592,0.9448556,0.5578883,-0.881132,0.9305583,0.5344942,-0.860806,0.9198835,0.5160371,-0.8581602,0.9667335,0.5517209,-0.8861087,0.9552555,0.5293499,-0.8655345,0.9448493,0.5115733,-0.8607057,0.9856704,0.5436748,-0.8966385,0.9784404,0.525552,-0.8816491,0.9692491,0.511849,-0.8785874,0.95934,0.5707666,-0.9358836,0.04811059,
1529320870926,0.9265528,0.5666195,-0.9595838,0.9088973,0.5456444,-0.9320523,0.8985186,0.5301547,-0.9130647,0.9202452,0.5676858,-0.8848746,0.9087186,0.5467518,-0.8668927,0.901646,0.5295337,-0.864484,0.9398088,0.5615647,-0.8803391,0.9263641,0.5387296,-0.8589498,0.9160482,0.5201851,-0.8557097,0.9616344,0.5555526,-0.8856177,0.9509019,0.5337207,-0.8641754,0.9408258,0.5159169,-0.8588517,0.9805373,0.5474765,-0.8962939,0.9739519,0.5297701,-0.8805538,0.9650509,0.5160292,-0.8769287,0.9530584,0.5730487,-0.9358516,0.04868529,
1529320870945,0.9215919,0.5710316,-0.9579458,0.9038546,0.5506768,-0.9300006,0.8933761,0.5356048,-0.9107311,0.9166317,0.5729779,-0.8830372,0.905251,0.5524145,-0.8645754,0.8980618,0.5352923,-0.8619081,0.936121,0.5667154,-0.8787409,0.9227446,0.544336,-0.8568909,0.9122619,0.525938,-0.853397,0.9577187,0.560365,-0.8843213,0.9469516,0.5389282,-0.8625343,0.9366956,0.5212991,-0.8569858,0.9763671,0.5519253,-0.8952003,0.9697202,0.5344791,-0.8792025,0.9606771,0.5208938,-0.8753494,0.9485774,0.5772427,-0.9346462,0.04904833,
1529320870972,0.9098862,0.5718189,-0.9611684,0.8916677,0.5522677,-0.9329492,0.8806819,0.5378351,-0.9134725,0.9059578,0.5748584,-0.8860276,0.8947787,0.5547431,-0.8669912,0.8875874,0.5376926,-0.8639653,0.9253922,0.5686311,-0.8818287,0.9121332,0.5467787,-0.8594389,0.9016103,0.528479,-0.855629,0.946901,0.5620337,-0.8875687,0.9362071,0.5409769,-0.8654361,0.9258956,0.5234418,-0.8597252,0.9654819,0.5533385,-0.8984963,0.9589297,0.5361371,-0.8822404,0.9498305,0.5226344,-0.8782586,0.9374528,0.5782145,-0.9380736,0.04998663,
1529320870999,0.9024076,0.5775463,-0.9578133,0.8834705,0.5600336,-0.9287262,0.8717969,0.5471066,-0.9086019,0.899866,0.5842942,-0.8826596,0.8888152,0.5652979,-0.8624768,0.8816252,0.5484347,-0.8585867,0.919275,0.5783137,-0.8783891,0.9060764,0.557831,-0.8547474,0.8955109,0.5397956,-0.8499547,0.9407985,0.5712908,-0.8840683,0.9302574,0.5514178,-0.8608666,0.9199193,0.5341755,-0.8543915,0.9593573,0.5620269,-0.8947296,0.9530662,0.5457342,-0.8775028,0.94398,0.5324669,-0.8728039,0.9308137,0.5848311,-0.9352252,0.05098902,
1529320871024,0.8948849,0.5833683,-0.9569525,0.8747203,0.5667619,-0.9281605,0.8621636,0.5543799,-0.908232,0.8936908,0.5893555,-0.8813646,0.8822005,0.5708951,-0.860949,0.8743665,0.5543561,-0.8569591,0.9127164,0.5825643,-0.8773525,0.8988609,0.562749,-0.8535095,0.8875671,0.5452132,-0.8485644,0.9339221,0.5746545,-0.8832793,0.9227702,0.5552313,-0.8600301,0.9117463,0.5384071,-0.8536175,0.9521397,0.5647516,-0.8941271,0.9455706,0.5488054,-0.8766835,0.9360956,0.535903,-0.8717546,0.9241174,0.58902,-0.9343447,0.052705,
1529320871051,0.8868835,0.5878891,-0.9556288,0.8655717,0.5733496,-0.9265419,0.8519552,0.562519,-0.9064075,0.887253,0.5959997,-0.8798816,0.8753767,0.5788844,-0.8585172,0.8669341,0.5628864,-0.8536432,0.9059397,0.588627,-0.8758987,0.8915763,0.570448,-0.8510211,0.8796409,0.5536706,-0.8450341,0.9268268,0.5797113,-0.8817862,0.9152815,0.5617562,-0.8575585,0.903722,0.5456861,-0.8502016,0.9446514,0.568761,-0.8925144,0.9379647,0.5538509,-0.8742042,0.9282186,0.5415142,-0.8684251,0.9169701,0.5927921,-0.9332792,0.05485048,
1529320871078,0.8761878,0.5935115,-0.952944,0.8525505,0.5832416,-0.923805,0.8369969,0.5755264,-0.9036204,0.8790643,0.605944,-0.8770592,0.866443,0.5915945,-0.8540761,0.8569146,0.5768046,-0.8476091,0.89709,0.5975844,-0.8727889,0.8818252,0.5827708,-0.8461955,0.8687572,0.5676055,-0.838464,0.9172766,0.5867129,-0.878274,0.904992,0.5717583,-0.8523557,0.8924946,0.5573123,-0.8433307,0.9344265,0.5736381,-0.8884792,0.9276108,0.5606509,-0.8687357,0.9174788,0.5494716,-0.8614165,0.9076506,0.5969603,-0.9306015,0.05946108,
1529320871112,0.866035,0.5978726,-0.9502656,0.8389696,0.5939581,-0.9226026,0.8198404,0.5922294,-0.9041376,0.8728356,0.6129621,-0.8735266,0.8603851,0.6021343,-0.8485121,0.8498838,0.5892588,-0.8397558,0.8898706,0.6029794,-0.8690759,0.8746785,0.5919713,-0.8405391,0.8607023,0.5790658,-0.8305473,0.9086202,0.5898379,-0.8743006,0.896199,0.5782088,-0.8466337,0.8830496,0.565989,-0.8354577,0.9245234,0.5743809,-0.8841177,0.9179733,0.5632404,-0.8630588,0.9078097,0.5534821,-0.8539249,0.8990579,0.5982326,-0.9273171,0.07110871,
1529320871131,0.8599158,0.6001858,-0.94818,0.83112,0.5999085,-0.92202,0.8112239,0.6000888,-0.9043291,0.8685074,0.6159167,-0.8705813,0.8567333,0.6068439,-0.8445539,0.8461283,0.5948632,-0.8347105,0.8850435,0.6052229,-0.8659592,0.8703556,0.5958071,-0.8365837,0.856258,0.5838112,-0.8256627,0.9030962,0.5912833,-0.870968,0.8908316,0.5810109,-0.8426794,0.8775483,0.5696526,-0.8307576,0.9185819,0.574908,-0.8805166,0.9123173,0.5644408,-0.8590129,0.9021969,0.5551757,-0.8493327,0.8936381,0.5986773,-0.9243515,0.07805368,
1529320871158,0.8515094,0.6063616,-0.9488854,0.8205591,0.6104167,-0.9257594,0.7986217,0.6154549,-0.9114428,0.8605911,0.6200937,-0.8692985,0.8496505,0.612559,-0.8424545,0.8389202,0.6014673,-0.8317727,0.8763907,0.6082761,-0.8643605,0.8622676,0.5999227,-0.8344368,0.8479512,0.5886713,-0.8230658,0.8934736,0.5935254,-0.869166,0.8811479,0.5841022,-0.8406196,0.8675008,0.5734078,-0.8285635,0.9085498,0.5763851,-0.878559,0.9024254,0.5662026,-0.8568884,0.8921247,0.5572688,-0.8471575,0.8851738,0.6015675,-0.9230575,0.09037121,
1529320871184,0.8477162,0.6096918,-0.9463648,0.815715,0.6164304,-0.9255478,0.7932798,0.6238858,-0.9133499,0.8574322,0.6210876,-0.8651125,0.8478388,0.6144314,-0.8375052,0.8374701,0.6039017,-0.8259497,0.8729185,0.6084188,-0.8601491,0.860159,0.6003399,-0.8294863,0.8462621,0.589447,-0.8172936,0.8894393,0.5933501,-0.8650917,0.8781196,0.5840986,-0.8359863,0.8648969,0.5737028,-0.8232593,0.9044533,0.5758979,-0.8747827,0.8995974,0.5654497,-0.8528473,0.8899437,0.5564194,-0.8426239,0.8812004,0.6024288,-0.9192567,0.09995463,
1529320871211,0.8435847,0.6099081,-0.9404979,0.810814,0.6185126,-0.9217604,0.7881052,0.6279248,-0.9116561,0.8535269,0.6199024,-0.8579011,0.8454795,0.6141581,-0.8294922,0.8358732,0.6043169,-0.8166904,0.868993,0.6066888,-0.852764,0.8580291,0.5989259,-0.8211672,0.8451073,0.5884478,-0.8075569,0.8850261,0.5915284,-0.8577151,0.8749316,0.5825014,-0.8279256,0.8626181,0.5724652,-0.8139938,0.9002769,0.5739592,-0.8675543,0.8970094,0.563355,-0.8452555,0.8886226,0.5541923,-0.8340576,0.8768868,0.6011701,-0.9121528,0.1088926,
1529320871238,0.8426099,0.6084423,-0.9346055,0.8094664,0.6178333,-0.9169991,0.7867378,0.6281177,-0.9078939,0.8523749,0.6171635,-0.8511626,0.8453858,0.6122264,-0.8222235,0.8362641,0.6030895,-0.8085741,0.8676513,0.6030694,-0.8459324,0.8580513,0.595427,-0.8137037,0.8459442,0.5854089,-0.7989962,0.8829932,0.5876079,-0.8509447,0.8736416,0.5785871,-0.8207675,0.8620266,0.5689455,-0.8059111,0.8980702,0.5698403,-0.8609861,0.8956784,0.5589797,-0.8385695,0.888337,0.5498012,-0.8266057,0.8752919,0.5983087,-0.9055045,0.1137704,
1529320871265,0.8423555,0.6015007,-0.9235134,0.8089721,0.6102313,-0.9058746,0.7860723,0.6196353,-0.8962327,0.8520392,0.609607,-0.8396863,0.8464764,0.6055328,-0.8101674,0.8381693,0.597212,-0.795507,0.8672143,0.5944977,-0.8343846,0.8594272,0.5866711,-0.8015455,0.8485056,0.5769366,-0.7857174,0.881502,0.578823,-0.8394918,0.8726243,0.5695326,-0.8091488,0.8614969,0.5600344,-0.7938112,0.8961161,0.5608881,-0.8497174,0.8937811,0.5495675,-0.827445,0.8868799,0.5402835,-0.8152564,0.8744306,0.5906611,-0.8940719,0.1155966,
1529320871292,0.8425658,0.5967113,-0.9151674,0.8092016,0.604447,-0.8971003,0.7862071,0.6128956,-0.8867078,0.8526149,0.6049483,-0.8314865,0.848193,0.6015233,-0.8016055,0.8404519,0.5939589,-0.7862324,0.8672731,0.5887438,-0.826242,0.8607967,0.5809208,-0.7929806,0.8507971,0.5716996,-0.7762099,0.8801022,0.5725638,-0.8315428,0.8710344,0.5632037,-0.8011855,0.8599787,0.5540891,-0.785533,0.8936874,0.5543485,-0.8419079,0.8898528,0.5427646,-0.8200827,0.8813256,0.5335439,-0.8090174,0.8738627,0.5855221,-0.8860129,0.1157429,
