time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529321067457,0.7861184,0.6078128,-0.8646057,0.7766932,0.5766809,-0.8441078,0.7785226,0.5538545,-0.8312968,0.7778046,0.599368,-0.785969,0.7729751,0.5799755,-0.7641605,0.7692311,0.5622134,-0.7602813,0.7976204,0.5948074,-0.781606,0.7908415,0.5725936,-0.7570878,0.7840046,0.5529785,-0.7526687,0.8181701,0.5897238,-0.7889952,0.8111009,0.565233,-0.7697088,0.803512,0.5458089,-0.7681226,0.8362813,0.5834924,-0.803124,0.8291879,0.5626785,-0.7968602,0.8202531,0.551995,-0.8053609,0.8084161,0.6136398,-0.8378291,0.07210688,
1529321067484,0.7835044,0.6088874,-0.8680023,0.7726824,0.5784898,-0.8470787,0.7734074,0.5558387,-0.8338353,0.7753375,0.6022885,-0.7890353,0.7699257,0.5834585,-0.7669468,0.7656386,0.5658627,-0.7630078,0.7949037,0.5971061,-0.784683,0.7872846,0.5754297,-0.7600336,0.7797605,0.5560758,-0.7557687,0.8150562,0.5909194,-0.7923318,0.8067336,0.5664988,-0.7737111,0.7983305,0.5473613,-0.7730136,0.8326298,0.5839449,-0.8066883,0.8241051,0.5637125,-0.8017402,0.8149455,0.5546678,-0.8116664,0.8062881,0.6146086,-0.841201,0.07195392,
1529321067518,0.778402,0.6114932,-0.8740307,0.7657005,0.58207,-0.8527296,0.7646673,0.5596719,-0.8389903,0.7705039,0.6064334,-0.7948486,0.7643087,0.5880197,-0.7726942,0.759326,0.5706084,-0.7689031,0.7896751,0.6004605,-0.7905464,0.7808801,0.5791971,-0.7660323,0.7724715,0.5601655,-0.7621137,0.8095061,0.5932129,-0.79834,0.7997836,0.568988,-0.7805136,0.7904699,0.5503845,-0.781204,0.8265951,0.5854332,-0.8128629,0.8167924,0.5658542,-0.8088911,0.8075107,0.5582193,-0.8197526,0.8018233,0.6167504,-0.8472175,0.07113615,
1529321067538,0.7749342,0.6117804,-0.87877,0.7613546,0.5826432,-0.8575834,0.7593504,0.5602489,-0.8438768,0.7676387,0.6062114,-0.7995902,0.7610137,0.5876396,-0.7777177,0.7556121,0.5702984,-0.774285,0.7866504,0.5997839,-0.7955142,0.7773021,0.5784256,-0.7712954,0.7684075,0.5595619,-0.7676463,0.80635,0.5921499,-0.8035462,0.7960539,0.5678933,-0.7863225,0.7862645,0.5496463,-0.7878702,0.8231714,0.5841367,-0.8182855,0.8128963,0.5648429,-0.8146874,0.8034408,0.5578853,-0.8258111,0.7988772,0.6162749,-0.8520821,0.07041305,
1529321067564,0.7688676,0.6110231,-0.8849633,0.7546465,0.5820177,-0.8639591,0.7516589,0.5596745,-0.8502355,0.7615956,0.6048902,-0.8058483,0.7546246,0.5861038,-0.7843105,0.7490235,0.5687705,-0.7813278,0.7804796,0.5982648,-0.8018644,0.7706517,0.576701,-0.7780457,0.7614968,0.5578928,-0.7748071,0.8001477,0.5903996,-0.8101044,0.7893856,0.5658803,-0.7937714,0.7793957,0.547906,-0.7963526,0.8170781,0.5825471,-0.8246861,0.8066458,0.5633708,-0.821315,0.7971658,0.5567522,-0.8326061,0.7930014,0.6151563,-0.8582202,0.06955538,
1529321067590,0.7655214,0.6093023,-0.8891261,0.7509452,0.5800213,-0.8687041,0.7472869,0.5575292,-0.8553159,0.7582632,0.6014822,-0.8101737,0.7510397,0.582267,-0.78908,0.7453431,0.5649093,-0.786483,0.7771503,0.5947721,-0.8063557,0.7670827,0.5727459,-0.7830169,0.7578432,0.5539151,-0.7800947,0.7968041,0.5869612,-0.8149081,0.7857701,0.5620017,-0.7996436,0.7757352,0.5442823,-0.8032967,0.8138731,0.5795477,-0.8294912,0.8033994,0.5603619,-0.8265749,0.7939314,0.5540327,-0.8380612,0.789823,0.6127864,-0.8623205,0.06925467,
1529321067616,0.7617875,0.6086498,-0.8934399,0.7459285,0.5797638,-0.873383,0.7412772,0.5573747,-0.8601483,0.7537717,0.6001541,-0.8146268,0.7459249,0.5809487,-0.7937523,0.73987,0.5636853,-0.7913474,0.772479,0.593032,-0.8107024,0.7617043,0.5710052,-0.7876489,0.7520839,0.5523325,-0.7849191,0.7921104,0.5849908,-0.8190755,0.7804505,0.560142,-0.8039795,0.7701433,0.5426075,-0.8076929,0.8092584,0.5774242,-0.8334386,0.7984451,0.558374,-0.8305756,0.788977,0.5521338,-0.8420981,0.7861246,0.6112795,-0.8663591,0.06910406,
1529321067643,0.7586197,0.6050467,-0.8987585,0.7420151,0.5762759,-0.8791218,0.7368156,0.55396,-0.8659762,0.7489344,0.5962244,-0.8201771,0.7406055,0.5768895,-0.7996625,0.7346015,0.5595663,-0.79763,0.767618,0.5891623,-0.8158653,0.7563589,0.566875,-0.7933288,0.7468077,0.5481036,-0.7910918,0.7874502,0.581213,-0.8239267,0.7754413,0.5560765,-0.8098446,0.7653743,0.538623,-0.8145271,0.8051513,0.5740895,-0.8374697,0.7944373,0.5549688,-0.8346509,0.7853135,0.5485072,-0.8463249,0.7825671,0.6076883,-0.8710641,0.06861154,
1529321067670,0.7567327,0.6029971,-0.9025301,0.7397108,0.5740838,-0.8834743,0.7342509,0.5516434,-0.8706535,0.7456993,0.59307,-0.8242961,0.736968,0.5735418,-0.804121,0.730915,0.5562003,-0.8023091,0.7643694,0.5858381,-0.8198161,0.752767,0.5631424,-0.7978651,0.7432221,0.5443038,-0.796062,0.7842476,0.5780315,-0.8277013,0.7719016,0.5526527,-0.8145961,0.7619643,0.5353998,-0.8201835,0.8021082,0.571205,-0.8410144,0.7912087,0.5521325,-0.8388644,0.7824187,0.545971,-0.850952,0.7802326,0.6052089,-0.874446,0.06857735,
1529321067696,0.7547557,0.6022011,-0.9055073,0.7373586,0.5731803,-0.886979,0.7316997,0.5506065,-0.8744906,0.7428864,0.591152,-0.8275836,0.7338418,0.5713886,-0.8077686,0.7277019,0.5540419,-0.8062044,0.7615134,0.583721,-0.8230486,0.7496165,0.5606588,-0.8016362,0.7400161,0.5418016,-0.8002251,0.7813576,0.5759786,-0.8308971,0.7686778,0.550419,-0.818691,0.7587986,0.5334556,-0.8251147,0.7993017,0.5693786,-0.8440721,0.7882007,0.550379,-0.8424795,0.7796191,0.5445129,-0.8548608,0.7780143,0.603876,-0.8771794,0.06848931,
