time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529321020068,0.8151903,0.5857668,-0.920362,0.8024764,0.5650139,-0.8900699,0.7973081,0.5487743,-0.869818,0.8192157,0.6007867,-0.8420689,0.8139366,0.5922935,-0.8138735,0.8077365,0.5792801,-0.8019701,0.8396153,0.5934046,-0.8393571,0.8341609,0.5828542,-0.8074055,0.8257409,0.5685549,-0.7938346,0.8593179,0.5853432,-0.8468729,0.8556041,0.575488,-0.8160864,0.848094,0.562688,-0.8010411,0.8731415,0.5694607,-0.8610978,0.8674061,0.5540415,-0.843326,0.8578684,0.5411559,-0.8381153,0.8426607,0.5933057,-0.8998575,0.07511788,
1529321020095,0.8176137,0.5844337,-0.9267684,0.803624,0.5670856,-0.8949288,0.7970955,0.5533203,-0.8732296,0.8231038,0.6052803,-0.8501072,0.8182008,0.5977651,-0.821419,0.8123512,0.5856167,-0.8083636,0.8426853,0.5979119,-0.8469665,0.8364738,0.5883957,-0.814669,0.8279237,0.5749242,-0.8002745,0.8621688,0.5897812,-0.8537443,0.8575378,0.581925,-0.8223342,0.8499216,0.5706918,-0.8060496,0.8754864,0.5724206,-0.8671169,0.8677668,0.5574979,-0.8500657,0.8567678,0.5452362,-0.8472124,0.8460046,0.5934141,-0.9070119,0.07404999,
1529321020132,0.8171216,0.582851,-0.9323503,0.8007888,0.5701641,-0.8994508,0.7923144,0.5596566,-0.8765966,0.8232278,0.6109745,-0.8583227,0.8178399,0.6049721,-0.8292739,0.8117383,0.5939151,-0.815332,0.8418706,0.60332,-0.8542162,0.8339832,0.5952129,-0.8218572,0.8246065,0.5826455,-0.807102,0.8612499,0.5946125,-0.859639,0.8550453,0.5889627,-0.8279493,0.8466859,0.5793237,-0.8109689,0.8744175,0.5757937,-0.8711596,0.8651327,0.5621148,-0.8540828,0.8533027,0.5506537,-0.8522583,0.8465691,0.5934172,-0.9130827,0.07283048,
1529321020148,0.8171846,0.5812659,-0.9339588,0.8000739,0.570302,-0.9008393,0.790918,0.5610314,-0.8777055,0.8241124,0.6113862,-0.8609915,0.8186703,0.6055257,-0.8318611,0.8125929,0.5947866,-0.8176247,0.8424098,0.6037595,-0.8567213,0.8339912,0.5958194,-0.8244272,0.824407,0.5834758,-0.8095696,0.8618155,0.5949233,-0.8617924,0.8552493,0.5897177,-0.830065,0.8467784,0.5805094,-0.8128757,0.8750002,0.5760474,-0.872642,0.8655791,0.5629965,-0.8550098,0.8537291,0.5516657,-0.8523808,0.8472427,0.5924727,-0.915086,0.07224206,
1529321020176,0.8143321,0.5816607,-0.9389455,0.796283,0.5720534,-0.9059119,0.786346,0.563766,-0.8827084,0.82191,0.6129857,-0.8667324,0.8164024,0.6069188,-0.8375762,0.810373,0.5963886,-0.8231267,0.8399085,0.6053693,-0.8622955,0.8310583,0.5972623,-0.8300793,0.821362,0.585059,-0.815151,0.8592415,0.5964108,-0.8670281,0.8521954,0.59114,-0.8353666,0.8435795,0.582113,-0.8181298,0.8725702,0.5778075,-0.8772905,0.8630762,0.5652962,-0.8590983,0.851297,0.5541087,-0.8555288,0.8449891,0.5930843,-0.920144,0.07205214,
1529321020203,0.8130683,0.5808898,-0.9426936,0.7946188,0.5711772,-0.909925,0.7843764,0.5628187,-0.8868715,0.8214923,0.6112436,-0.8702043,0.8161876,0.6043566,-0.841127,0.8103348,0.5936223,-0.8267443,0.839479,0.6036042,-0.8659354,0.8308285,0.5946757,-0.8338034,0.8213121,0.5822437,-0.8189502,0.8586872,0.5945883,-0.8708156,0.8516595,0.5882772,-0.8393124,0.8431122,0.5787677,-0.8222989,0.8721034,0.5765107,-0.881249,0.8627827,0.5637804,-0.8630401,0.8510852,0.5525673,-0.8591834,0.8442488,0.5922973,-0.9238411,0.07237391,
1529321020229,0.8108203,0.5801005,-0.947233,0.7924685,0.5707514,-0.9143053,0.7821297,0.5627747,-0.8911436,0.8203704,0.6109214,-0.8751357,0.8154386,0.6038117,-0.8460274,0.8098655,0.5929809,-0.8316086,0.8385199,0.6035212,-0.8710954,0.830327,0.5943601,-0.8389086,0.8210899,0.5817313,-0.8240665,0.8577074,0.5944701,-0.8761932,0.8510456,0.5876509,-0.8447238,0.8427358,0.5777942,-0.8277938,0.8711023,0.5766586,-0.8867376,0.8619623,0.5637511,-0.868607,0.8503219,0.5524408,-0.8647361,0.8424681,0.5918816,-0.9288648,0.07229181,
1529321020256,0.80962,0.5793451,-0.9501332,0.7908841,0.5696987,-0.9175156,0.7803122,0.5614626,-0.894549,0.8195249,0.6090739,-0.8774821,0.8145165,0.6016496,-0.8484655,0.8088485,0.5906,-0.8342844,0.8377407,0.6016251,-0.873527,0.8295888,0.5922192,-0.8414134,0.8202741,0.5793972,-0.8268426,0.8568149,0.5921981,-0.87881,0.8500696,0.5845534,-0.8475708,0.8415928,0.5741475,-0.8310875,0.87038,0.574923,-0.889424,0.8616142,0.5620772,-0.8709296,0.8501953,0.5507658,-0.8663561,0.8416632,0.5906851,-0.9314905,0.07276759,
1529321020282,0.8085833,0.5787719,-0.9525877,0.7897555,0.5687988,-0.9201297,0.7792056,0.5602372,-0.8972746,0.81874,0.6075965,-0.8794656,0.8137485,0.6000905,-0.8504907,0.8079486,0.5888931,-0.8365189,0.8369445,0.5999571,-0.875543,0.8288804,0.5905419,-0.8434427,0.8194357,0.5776572,-0.8290581,0.8558532,0.5901594,-0.8809597,0.8491048,0.5821474,-0.8498393,0.8404561,0.5714734,-0.8336496,0.8694909,0.573119,-0.8915969,0.861204,0.5604821,-0.8725687,0.8500583,0.5492868,-0.8671581,0.8406872,0.5895024,-0.9337116,0.07306561,
1529321020316,0.8071656,0.5773601,-0.9551811,0.7891209,0.5679141,-0.9221237,0.7789841,0.5597842,-0.8989189,0.8187605,0.6064779,-0.8825006,0.814129,0.5994632,-0.8533391,0.8085079,0.5885273,-0.8390856,0.8373444,0.5989124,-0.8789208,0.8301684,0.5901436,-0.8464128,0.8211455,0.5776135,-0.8314406,0.856161,0.5889089,-0.884744,0.8503413,0.5812801,-0.8533391,0.8421735,0.5708153,-0.8367688,0.8696241,0.5718923,-0.8955047,0.8621811,0.5596709,-0.8757833,0.8515379,0.5485689,-0.8690881,0.8396527,0.5879016,-0.9371665,0.07264876,
1529321020335,0.8069493,0.5766826,-0.9565073,0.7889699,0.5674858,-0.9233449,0.7788944,0.5595143,-0.9000592,0.8184022,0.6060201,-0.8839279,0.8136312,0.5993379,-0.8547099,0.8079722,0.5885636,-0.8403448,0.8371601,0.5985482,-0.8803343,0.830069,0.5901533,-0.8477074,0.8211203,0.5777926,-0.832543,0.8560452,0.5884781,-0.8861666,0.8503599,0.5810432,-0.8546966,0.8422722,0.5706493,-0.8380425,0.8695223,0.5714393,-0.8968935,0.8621575,0.5593026,-0.877113,0.8516095,0.5481862,-0.8702006,0.8394262,0.5872082,-0.938585,0.07249262,
