time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529320936026,0.7768346,0.5508268,-0.8415165,0.761037,0.5281355,-0.8144926,0.755564,0.5086674,-0.7976698,0.7945132,0.5515229,-0.7624955,0.7920886,0.5394412,-0.7346151,0.7869447,0.5270152,-0.7213687,0.8133315,0.5410153,-0.7634507,0.8106318,0.5262387,-0.7321571,0.8034744,0.5122204,-0.7174067,0.8289684,0.5297479,-0.7751123,0.8248504,0.5125853,-0.7474539,0.8168058,0.4979632,-0.7342893,0.8360871,0.5152727,-0.7949622,0.8231739,0.4985645,-0.7870759,0.8092638,0.4927688,-0.7935724,0.810023,0.5505508,-0.8229996,0.08451776,
1529320936055,0.7812807,0.5540219,-0.8443635,0.7644889,0.5331286,-0.8164324,0.7577371,0.5148803,-0.7986783,0.8003114,0.5559777,-0.7656582,0.7978315,0.5443583,-0.7376376,0.7923557,0.5321504,-0.7243289,0.818711,0.5447665,-0.7666079,0.8157854,0.5304152,-0.7351817,0.8082029,0.5167158,-0.7203454,0.8340598,0.5330083,-0.7780656,0.8300153,0.5167056,-0.7498829,0.8217999,0.5026555,-0.7362213,0.8402803,0.5177082,-0.79773,0.8269324,0.5014875,-0.7892785,0.8127391,0.4959043,-0.795306,0.814912,0.5530491,-0.8262571,0.08381249,
1529320936080,0.784247,0.5582148,-0.8456286,0.7669057,0.5388165,-0.8169327,0.7593438,0.5216494,-0.7984009,0.8041574,0.5615247,-0.7672096,0.8016933,0.5503879,-0.7390376,0.796025,0.5383856,-0.7256249,0.8222691,0.5498459,-0.7680609,0.8192357,0.5359319,-0.7364752,0.811419,0.522514,-0.7215049,0.837454,0.5378141,-0.7792497,0.8335159,0.5223354,-0.75059,0.8252462,0.5087826,-0.7364762,0.8429128,0.5218624,-0.7987441,0.8291168,0.5060784,-0.789967,0.8147861,0.5006171,-0.795772,0.8181793,0.5569248,-0.8277966,0.08319829,
1529320936114,0.7879573,0.5617128,-0.850525,0.7701405,0.5441734,-0.8209062,0.7618638,0.5283449,-0.8014772,0.8090158,0.5668073,-0.7725278,0.8064886,0.5563312,-0.7442017,0.8005049,0.5444807,-0.7308105,0.8268391,0.5546478,-0.7732965,0.8235583,0.5412285,-0.7415789,0.8153743,0.528041,-0.7266163,0.841822,0.5422794,-0.7842553,0.8377527,0.5275282,-0.7552515,0.8292964,0.514404,-0.7408434,0.8467047,0.5258147,-0.8034484,0.8324977,0.5105109,-0.7942953,0.8180769,0.5051057,-0.7999171,0.8223463,0.5602195,-0.833096,0.08214185,
1529320936135,0.790647,0.5632796,-0.8537081,0.7724644,0.5470433,-0.8235583,0.7638012,0.5321264,-0.8035706,0.8121256,0.5699973,-0.7759252,0.8094664,0.5601133,-0.7474699,0.8032643,0.5483447,-0.7341374,0.829987,0.5576875,-0.7765154,0.8266186,0.5447221,-0.7446599,0.8182764,0.5316535,-0.7297051,0.844896,0.5451221,-0.7872435,0.8406321,0.5308042,-0.7580758,0.8320035,0.5178562,-0.743618,0.8498188,0.5283839,-0.8060699,0.835556,0.5132841,-0.7966177,0.8211719,0.507762,-0.8021752,0.8253609,0.5619211,-0.836378,0.08149441,
1529320936160,0.7942181,0.5677449,-0.856199,0.7754593,0.5536664,-0.8252823,0.766013,0.540441,-0.8044507,0.816146,0.5774478,-0.7789317,0.8129907,0.5683473,-0.7503053,0.80643,0.5569162,-0.7368501,0.8338439,0.5649337,-0.7791001,0.8297454,0.5527484,-0.7470922,0.8208278,0.5400146,-0.7321878,0.8487371,0.552006,-0.7893085,0.8440081,0.5387431,-0.7597249,0.8350586,0.5263739,-0.7449592,0.8537142,0.5345411,-0.8074019,0.8393255,0.5199465,-0.7973452,0.8248489,0.5143085,-0.8025961,0.8292906,0.5666113,-0.8389751,0.08046617,
1529320936186,0.7965389,0.5685611,-0.8599712,0.7773989,0.5575609,-0.8280195,0.7674529,0.5466084,-0.8061563,0.8191171,0.5828478,-0.7838573,0.8154969,0.5747511,-0.7550392,0.8086097,0.5636692,-0.7414714,0.8365022,0.5702493,-0.783412,0.831337,0.5590609,-0.7512929,0.8216923,0.5466874,-0.7365459,0.8515351,0.5570669,-0.7928123,0.8461068,0.5452975,-0.7627635,0.8366495,0.5336349,-0.7477579,0.8573802,0.5389443,-0.8092098,0.8436546,0.5250083,-0.7970459,0.8290372,0.5182447,-0.8005098,0.8321292,0.5686483,-0.8430582,0.07854359,
1529320936213,0.7984219,0.5702724,-0.8625776,0.7793393,0.5607252,-0.8301145,0.7693096,0.5509601,-0.8077396,0.8214748,0.587123,-0.7873802,0.8176885,0.5791086,-0.7585936,0.8107648,0.5678989,-0.7451671,0.8387471,0.5747914,-0.7867304,0.8329669,0.5637161,-0.7547227,0.8230466,0.5512491,-0.7402409,0.8540645,0.561784,-0.7957737,0.848282,0.5504782,-0.7656314,0.8386513,0.5389323,-0.7506597,0.8607812,0.5437337,-0.8111888,0.8477688,0.5300913,-0.7976058,0.8332583,0.5224118,-0.7995204,0.8344296,0.5714752,-0.8460631,0.07694664,
1529320936240,0.8013406,0.5725298,-0.866688,0.7817577,0.5645295,-0.8340836,0.7710112,0.5561368,-0.811452,0.8244059,0.5905105,-0.7920716,0.820182,0.5821031,-0.7634727,0.81299,0.5706905,-0.7503724,0.8411803,0.5781741,-0.7911695,0.8342354,0.5668271,-0.7595131,0.8237077,0.5542701,-0.7455374,0.8566382,0.5652748,-0.7997819,0.849947,0.554228,-0.7697415,0.8397816,0.5428331,-0.7550202,0.8642662,0.5474738,-0.8141981,0.8518524,0.5343903,-0.7991625,0.8374703,0.526096,-0.7992847,0.8375515,0.573939,-0.8501775,0.07552974,
1529320936266,0.8024366,0.5754825,-0.8690253,0.7827409,0.5677078,-0.8364326,0.771796,0.5594769,-0.8138319,0.8262209,0.592011,-0.7944777,0.8217331,0.5828147,-0.7661527,0.8142687,0.5711802,-0.7534049,0.8425208,0.5793774,-0.7938104,0.834955,0.5673652,-0.7625289,0.8240179,0.5547222,-0.7489402,0.8577945,0.5663872,-0.802565,0.8506438,0.5548893,-0.7728019,0.840103,0.5434306,-0.7584036,0.8658285,0.5489568,-0.816743,0.854176,0.536052,-0.8005814,0.8399513,0.5276278,-0.7991109,0.8388453,0.5760773,-0.8526928,0.07478189,
1529320936293,0.8043462,0.5794992,-0.8725595,0.7847472,0.5711349,-0.8400558,0.7738764,0.5623796,-0.8176289,0.8292128,0.5934719,-0.7978913,0.8247415,0.583325,-0.7698493,0.8171744,0.5714894,-0.757336,0.8451141,0.5805565,-0.7976962,0.8374286,0.5677746,-0.7666934,0.8263762,0.5550755,-0.7532305,0.860148,0.5674988,-0.8068851,0.8530411,0.5553041,-0.7773821,0.8424057,0.5437018,-0.7631637,0.8684717,0.5505261,-0.8211529,0.8579639,0.5375641,-0.8040031,0.8440434,0.5290176,-0.8009866,0.8409153,0.5790142,-0.8565345,0.07478591,
1529320936327,0.8063951,0.5811773,-0.8753577,0.7869864,0.5725927,-0.8427979,0.7763252,0.5636318,-0.8203669,0.8316997,0.595054,-0.8008655,0.8273618,0.5846996,-0.7728205,0.8199632,0.5728853,-0.7601736,0.8476162,0.5823168,-0.8007604,0.8401351,0.5695535,-0.7696253,0.8293205,0.5569532,-0.7558694,0.8627754,0.5692544,-0.8100519,0.8560175,0.5569612,-0.780499,0.8455889,0.5453211,-0.7661523,0.8720093,0.5526081,-0.8239959,0.8634778,0.5397614,-0.8053049,0.8506936,0.5306249,-0.7996725,0.8431543,0.5807754,-0.8595507,0.07492081,
