time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528903972703,0.8624265,0.8425326,-1.038449,0.8347633,0.8155733,-1.04218,0.8186835,0.794523,-1.043447,0.8100699,0.8073659,-1.003543,0.7972121,0.7832542,-1.014918,0.7975233,0.7702752,-1.028409,0.8222975,0.7965443,-0.9920871,0.8059449,0.7699515,-1.00563,0.8029515,0.756093,-1.02184,0.8425646,0.7900313,-0.9837743,0.8279314,0.7642215,-0.9965179,0.8237414,0.7504981,-1.012217,0.8638967,0.7851657,-0.9789776,0.8530007,0.7650537,-0.9874799,0.8488015,0.7558516,-1.000787,0.865208,0.8308427,-1.005214,0.03552242,
1528903972729,0.8624923,0.8412293,-1.038714,0.8348565,0.8142584,-1.04269,0.8187274,0.7932671,-1.044159,0.8101272,0.8062346,-1.003635,0.7972718,0.7823161,-1.015302,0.7977231,0.7695221,-1.028962,0.8224444,0.7953284,-0.9922372,0.8061275,0.7689005,-1.006046,0.8032823,0.7552679,-1.02246,0.8427786,0.7887571,-0.9840943,0.8282852,0.7631624,-0.9972571,0.8244185,0.7498515,-1.013356,0.8640715,0.7838719,-0.9794239,0.8531173,0.7638752,-0.9881799,0.8489879,0.754964,-1.001647,0.8653159,0.8295612,-1.005351,0.03515643,
1528903972755,0.8624164,0.8407912,-1.038675,0.8347822,0.8138134,-1.042629,0.8187037,0.7927918,-1.04407,0.8100337,0.8059921,-1.003566,0.7971923,0.7821918,-1.01542,0.7977266,0.7695023,-1.029178,0.8223811,0.7950283,-0.9922071,0.806092,0.7687159,-1.006206,0.8033452,0.7552277,-1.02275,0.8427216,0.7884094,-0.9841527,0.8282561,0.762954,-0.9975532,0.824605,0.7499386,-1.013894,0.863966,0.7834793,-0.9795057,0.8529282,0.763567,-0.9883735,0.8488218,0.7548227,-1.001921,0.8652592,0.8291538,-1.005301,0.03470168,
1528903972784,0.8620538,0.8407056,-1.038854,0.8344243,0.8137212,-1.042791,0.8184184,0.7926533,-1.044204,0.8097097,0.8059113,-1.003762,0.7969332,0.7822065,-1.015765,0.7976018,0.7696418,-1.029633,0.8220892,0.7949155,-0.9924858,0.8058488,0.7687048,-1.006671,0.8031869,0.7553417,-1.023332,0.8424385,0.7882769,-0.984513,0.8280081,0.7629426,-0.9981357,0.8245285,0.75017,-1.014668,0.8636484,0.7833282,-0.9798698,0.8525503,0.7634844,-0.9888345,0.8484688,0.7548767,-1.002448,0.8649402,0.8290299,-1.005508,0.03428076,
1528903972820,0.8618615,0.8416343,-1.038683,0.8342098,0.8146527,-1.042466,0.8183089,0.7935147,-1.043706,0.8092623,0.8072912,-1.003694,0.7966167,0.78368,-1.015816,0.7975917,0.7712307,-1.029768,0.8216165,0.7962935,-0.9924475,0.8055391,0.7701962,-1.006901,0.8031595,0.756965,-1.023711,0.8418983,0.7896137,-0.9843534,0.8275581,0.7643859,-0.9981823,0.8243862,0.7518429,-1.014906,0.8629959,0.784624,-0.9795713,0.851828,0.7648875,-0.9886376,0.847869,0.7564377,-1.002357,0.864599,0.8301287,-1.00533,0.0334673,
1528903972849,0.8612618,0.8419756,-1.038882,0.8336004,0.8149689,-1.042418,0.8177443,0.7937982,-1.043429,0.8083647,0.8082101,-1.003897,0.7958597,0.7845395,-1.015922,0.7970905,0.7720758,-1.029828,0.8206379,0.7972836,-0.9925297,0.8046572,0.7710998,-1.006908,0.8024112,0.7577639,-1.023654,0.8408723,0.7906119,-0.9842951,0.8267771,0.7654008,-0.9982159,0.8241274,0.7531246,-1.01516,0.8618735,0.78562,-0.979337,0.8507541,0.7659031,-0.9884188,0.8469955,0.7575716,-1.002235,0.8637328,0.8308828,-1.005469,0.03291538,
1528903972891,0.8601848,0.8422656,-1.038506,0.8325734,0.8151964,-1.041959,0.8167763,0.7939827,-1.04294,0.8074702,0.8083397,-1.003477,0.7949709,0.7847127,-1.015578,0.7962111,0.7723638,-1.029574,0.8197813,0.7973726,-0.9922067,0.8037025,0.7712202,-1.006587,0.8013012,0.757914,-1.023336,0.840047,0.7906681,-0.9840804,0.8259617,0.7655679,-0.9980919,0.8235176,0.7536495,-1.01525,0.8610777,0.7856561,-0.9792368,0.8499448,0.7660048,-0.9883523,0.8461719,0.7578171,-1.002251,0.8627917,0.8310544,-1.00521,0.03269497,
1528903972916,0.859295,0.8428967,-1.038103,0.8317285,0.8157678,-1.04144,0.8159923,0.7945087,-1.042348,0.8067307,0.8088537,-1.002914,0.7942291,0.7852119,-1.014943,0.7954983,0.7729027,-1.028958,0.8191246,0.7978948,-0.991719,0.8030574,0.7717032,-1.006043,0.8006155,0.7583828,-1.022779,0.8394116,0.7912358,-0.9836447,0.8253136,0.7661059,-0.9975898,0.8228694,0.754222,-1.014751,0.860479,0.7862477,-0.9788134,0.8493667,0.7665664,-0.987834,0.8455614,0.7583617,-1.001724,0.8620203,0.8316827,-1.004848,0.03265175,
1528903972956,0.8589677,0.8429791,-1.037591,0.8312113,0.8160213,-1.040778,0.8152891,0.7948956,-1.041625,0.8065467,0.808965,-1.001973,0.7938142,0.7853223,-1.013754,0.7949108,0.772974,-1.027734,0.8189839,0.7979853,-0.9908378,0.802653,0.7717884,-1.00486,0.7999893,0.7584072,-1.021506,0.8393237,0.7912925,-0.9829325,0.8250276,0.7661751,-0.996677,0.8224365,0.754276,-1.013798,0.8604398,0.7862471,-0.97816,0.8492036,0.7665373,-0.986923,0.8452469,0.7582494,-1.00073,0.8619262,0.8316908,-1.00436,0.03299689,
1528903972984,0.8589443,0.842702,-1.037688,0.8311611,0.8157669,-1.040814,0.8151828,0.7946726,-1.041612,0.8065162,0.8086245,-1.001949,0.7937225,0.7848139,-1.01341,0.7947139,0.7722921,-1.02723,0.818926,0.7977417,-0.9907148,0.8025577,0.7713723,-1.00441,0.7998092,0.7577815,-1.020873,0.8392478,0.7911429,-0.982706,0.8249146,0.765854,-0.9961234,0.8222837,0.7537524,-1.013086,0.8604261,0.7861488,-0.9778351,0.8492556,0.7663006,-0.9863338,0.8453015,0.7578254,-1.000039,0.8618933,0.8315041,-1.004392,0.03356639,
1528903973010,0.858781,0.8424618,-1.038121,0.8309727,0.8155447,-1.041127,0.8149285,0.7944822,-1.04183,0.8063731,0.8083351,-1.002257,0.7935038,0.7842928,-1.013327,0.7942485,0.7714494,-1.026882,0.8187676,0.7975891,-0.9908938,0.8024008,0.7709724,-1.004215,0.7995296,0.7570722,-1.020409,0.8390628,0.7911265,-0.982697,0.8246682,0.7655354,-0.9956313,0.821854,0.7530149,-1.012261,0.8603112,0.78623,-0.9777567,0.8492787,0.7662171,-0.9860334,0.8453388,0.7574773,-0.9996091,0.8617053,0.8314095,-1.004764,0.03437462,
1528903973046,0.858707,0.84166,-1.038747,0.8308513,0.8147857,-1.041628,0.8147538,0.7937493,-1.042238,0.8060588,0.8078353,-1.003029,0.7930866,0.7837511,-1.013999,0.7936713,0.7707808,-1.02745,0.8183775,0.797057,-0.9916288,0.8019295,0.7704033,-1.004875,0.7989273,0.7563848,-1.020952,0.8385891,0.7905233,-0.9832643,0.8240292,0.7648296,-0.9959533,0.8210206,0.7521052,-1.012384,0.859836,0.7855481,-0.9783596,0.8488283,0.7655518,-0.9866809,0.8448849,0.7567674,-1.000255,0.8614581,0.830703,-1.005433,0.03450691,
