time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528904111854,0.8719831,0.8469694,-0.9887425,0.8332428,0.8271356,-0.9809455,0.8108828,0.8076538,-0.9751582,0.8336242,0.798611,-0.947558,0.8296793,0.7805403,-0.9707552,0.8408759,0.7840705,-0.9875994,0.8506682,0.7880487,-0.9439266,0.8467038,0.7758179,-0.9727954,0.8602846,0.7869564,-0.9878461,0.8737005,0.7809796,-0.9408817,0.8686551,0.7718304,-0.9690087,0.8797399,0.7847664,-0.9840349,0.8943057,0.774874,-0.9390703,0.885385,0.7677622,-0.959241,0.8909669,0.7791965,-0.9721208,0.8878497,0.82303,-0.9547986,0.04013154,
1528904111879,0.8814413,0.8454692,-0.9898683,0.8430886,0.8255026,-0.9809841,0.8213744,0.8054414,-0.9748509,0.845432,0.7948794,-0.9494464,0.8416911,0.7789669,-0.9729736,0.8532112,0.7851149,-0.9887745,0.8627282,0.784552,-0.9471035,0.8584151,0.7741674,-0.9762228,0.8718853,0.7864114,-0.9908103,0.8858436,0.7775133,-0.9451548,0.8804343,0.7702881,-0.973184,0.891447,0.7845527,-0.9871932,0.9063661,0.7715919,-0.9444005,0.897171,0.7658005,-0.9645824,0.9029854,0.7780104,-0.9766212,0.898995,0.8198844,-0.9576866,0.04025693,
1528904111907,0.8919727,0.840109,-0.9978749,0.8527129,0.8229151,-0.9875236,0.8302572,0.8040019,-0.9805949,0.8556092,0.7900233,-0.956468,0.8501363,0.774369,-0.980047,0.8611416,0.7800876,-0.9962468,0.8726038,0.7791657,-0.9552262,0.8671954,0.7697172,-0.9843284,0.8810488,0.7816248,-0.9989907,0.8954014,0.7709951,-0.9541699,0.8890892,0.764903,-0.9819184,0.9006255,0.7792419,-0.9954596,0.9155177,0.7642457,-0.9543253,0.9057062,0.7595764,-0.9743525,0.9122878,0.7717576,-0.9859777,0.9098539,0.8125944,-0.9666318,0.04207987,
1528904111932,0.9012783,0.84008,-0.9965085,0.862888,0.8215261,-0.9856781,0.8413207,0.8013549,-0.9795839,0.8687336,0.7859912,-0.9568112,0.8614464,0.7731961,-0.9813141,0.8712286,0.7809932,-0.9975215,0.8859189,0.7752742,-0.9584718,0.8783015,0.7693753,-0.9880372,0.8908256,0.7831835,-1.002337,0.9083982,0.7670643,-0.9600605,0.8998939,0.7641668,-0.9876704,0.9104469,0.7799779,-1.000516,0.9282504,0.760424,-0.9626282,0.9169506,0.7580951,-0.9821594,0.9229335,0.7714069,-0.9929699,0.9218495,0.8095566,-0.9692416,0.04038367,
1528904111960,0.9111046,0.8343985,-0.9972619,0.8732512,0.8158024,-0.985265,0.8527793,0.7946067,-0.9795331,0.8822616,0.7778944,-0.9586148,0.8742605,0.7681585,-0.9832876,0.8838943,0.7785748,-0.9980761,0.8988622,0.7671705,-0.9618657,0.8894039,0.7636955,-0.9909272,0.9013393,0.7786541,-1.004674,0.9209217,0.7588308,-0.9655793,0.9105054,0.7579718,-0.9923676,0.9204251,0.7746915,-1.004777,0.9402743,0.7523809,-0.9700835,0.9278899,0.7515414,-0.9886955,0.9340464,0.7652568,-0.9990073,0.9339128,0.8015978,-0.9731951,0.03961078,
1528904111987,0.9200746,0.8325577,-1.000639,0.8814777,0.8153664,-0.9890962,0.8605475,0.794664,-0.9833651,0.8896213,0.7781539,-0.959906,0.8815806,0.7677485,-0.9843538,0.8916144,0.7772158,-0.9995813,0.9060861,0.7669681,-0.9627477,0.8969491,0.762884,-0.9918674,0.9094349,0.777083,-1.005991,0.9279033,0.7579141,-0.9658996,0.9178263,0.7565301,-0.9927654,0.9283593,0.7726028,-1.005581,0.9470578,0.7508909,-0.96999,0.9349527,0.74981,-0.9888002,0.9418204,0.7628334,-0.9995435,0.9420396,0.7999092,-0.9747921,0.03914791,
1528904112028,0.9374588,0.8296872,-1.009209,0.8978625,0.8137263,-0.9994017,0.8761466,0.7938395,-0.9934832,0.902164,0.7815046,-0.9660792,0.8960652,0.7689772,-0.9902899,0.9079673,0.7761955,-1.005484,0.9183167,0.7695798,-0.9660698,0.9115121,0.7625835,-0.9954333,0.9258641,0.7744032,-1.009984,0.9400715,0.7595208,-0.9663759,0.931999,0.7554941,-0.9937872,0.943863,0.7697942,-1.007584,0.9592928,0.7517768,-0.9682759,0.9487425,0.7490923,-0.9879326,0.9568621,0.7606794,-0.9994931,0.9561946,0.8000135,-0.9783283,0.03831298,
1528904112053,0.9432534,0.8298428,-1.012689,0.9032302,0.8144723,-1.003404,0.8811111,0.7951543,-0.9971699,0.9055722,0.7852157,-0.9682882,0.8999304,0.7711276,-0.992103,0.9124328,0.7766617,-1.007501,0.9217107,0.7730529,-0.9670712,0.9158449,0.7644327,-0.996383,0.9308342,0.7750633,-1.011182,0.9433329,0.7627375,-0.9660555,0.9361938,0.757296,-0.9936234,0.9486774,0.7705933,-1.007876,0.9624699,0.7546514,-0.9668127,0.9526017,0.7510405,-0.9867576,0.9612194,0.7618414,-0.9987541,0.9603394,0.8022357,-0.9795725,0.03781215,
1528904112079,0.9512293,0.8308299,-1.015862,0.9112564,0.8157213,-1.005861,0.8892231,0.7965617,-0.9990031,0.9132675,0.7876967,-0.9709296,0.9077859,0.77334,-0.9945286,0.9205183,0.7786837,-1.00978,0.9291551,0.7753635,-0.9692117,0.9231061,0.7660612,-0.9983364,0.9380981,0.7761968,-1.013425,0.9507475,0.7649475,-0.9680363,0.9434815,0.7588887,-0.9955581,0.9559602,0.7716976,-1.010241,0.9698266,0.7567127,-0.9686248,0.9598606,0.7526971,-0.9885341,0.968436,0.7631109,-1.000917,0.9680194,0.8040356,-0.982402,0.03761853,
1528904112106,0.9576089,0.8346042,-1.016355,0.9182357,0.8191515,-1.00461,0.8967258,0.7996948,-0.9971144,0.9217108,0.7902266,-0.971356,0.9153711,0.7767804,-0.9951195,0.9274508,0.7830327,-1.010517,0.9373759,0.7778207,-0.9704722,0.9298278,0.7692271,-0.9994683,0.9440677,0.7797217,-1.014987,0.9590631,0.7674128,-0.9706802,0.9504337,0.7620425,-0.9980578,0.9621439,0.7751692,-1.013066,0.978109,0.7592229,-0.972416,0.9671727,0.7557403,-0.9920224,0.9750673,0.7664381,-1.004625,0.9757513,0.8069354,-0.9847105,0.03743362,
