time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528974641592,0.8657526,0.745356,-0.9527292,0.8418998,0.7673249,-0.9430073,0.8279989,0.7831603,-0.9317098,0.8580004,0.809106,-0.9390892,0.8434066,0.8250514,-0.9219005,0.8333246,0.8299185,-0.9089535,0.8718762,0.8123397,-0.929158,0.8544183,0.8306811,-0.9104153,0.8415338,0.8362849,-0.8967804,0.8881372,0.8071765,-0.9202474,0.8719477,0.8241587,-0.9019129,0.8591703,0.8297018,-0.8886342,0.9035597,0.7986484,-0.9116398,0.8932931,0.8127828,-0.8973026,0.8834018,0.8181304,-0.8869715,0.8899738,0.7644469,-0.9437978,0.05227368,
1528974641633,0.8750436,0.7086561,-0.9699551,0.8501306,0.7292002,-0.959848,0.8354101,0.7440045,-0.9481857,0.866265,0.7718077,-0.9523407,0.8511299,0.7863263,-0.934579,0.84094,0.7889062,-0.921241,0.8803605,0.7748487,-0.9424403,0.8623934,0.7914462,-0.9229068,0.8492449,0.7944486,-0.9088693,0.8971353,0.7693652,-0.9336478,0.8808174,0.7843806,-0.9140452,0.867875,0.7873378,-0.9002317,0.9127027,0.760386,-0.9255702,0.9019221,0.7724205,-0.9100422,0.8914068,0.7751205,-0.8993806,0.8992843,0.727959,-0.9595537,0.05265694,
1528974641658,0.8836609,0.6742035,-0.9805939,0.8573116,0.6930518,-0.9704585,0.8406583,0.7063856,-0.9595476,0.8740796,0.7358603,-0.9574373,0.8574601,0.7483069,-0.9396319,0.8464772,0.7484777,-0.926796,0.888059,0.7379615,-0.9466065,0.8688716,0.7524724,-0.9268156,0.8549076,0.7531071,-0.9133748,0.9050464,0.7316314,-0.937327,0.8882867,0.7447299,-0.9169638,0.8747564,0.7453747,-0.9035506,0.9204025,0.7213813,-0.9292074,0.9094936,0.7313906,-0.9125462,0.8984462,0.7319355,-0.902216,0.9078978,0.6927402,-0.9672088,0.05364956,
1528974641685,0.8868902,0.6537891,-0.9858525,0.860372,0.6724408,-0.9756216,0.8430754,0.6852719,-0.965111,0.878522,0.7137436,-0.9581242,0.8608302,0.7250633,-0.9406838,0.8488493,0.7242423,-0.928815,0.8919443,0.7141219,-0.9461697,0.8718228,0.7275373,-0.9266125,0.8568826,0.7273301,-0.9142712,0.9083365,0.7061653,-0.936232,0.8910692,0.718223,-0.9157219,0.8767225,0.7181323,-0.9032143,0.9226593,0.6941285,-0.9279821,0.9114284,0.7028242,-0.9108502,0.8997834,0.702696,-0.9012298,0.9111124,0.6699834,-0.9694837,0.05356707,
1528974641714,0.89534,0.6170273,-0.9965386,0.869086,0.6349384,-0.9843735,0.8517859,0.6468775,-0.9728568,0.8880948,0.6743047,-0.9634987,0.8699442,0.6847298,-0.9458303,0.8573613,0.6839163,-0.9345133,0.9013625,0.6727362,-0.9508551,0.8812046,0.6849676,-0.9304277,0.8659363,0.6846864,-0.9184192,0.91738,0.6631525,-0.9412475,0.9004114,0.6739321,-0.919686,0.8859456,0.6737895,-0.9072431,0.9309995,0.6494052,-0.9338293,0.920135,0.656458,-0.9156357,0.9085867,0.6561404,-0.9058462,0.9195729,0.6308306,-0.9785977,0.05360207,
1528974641737,0.899954,0.5949585,-0.999218,0.8745039,0.6115981,-0.9839063,0.8578118,0.6224289,-0.9705249,0.8941166,0.6498469,-0.9624256,0.8764701,0.6591991,-0.9435934,0.8641195,0.6581216,-0.9319881,0.9078008,0.6470701,-0.9501344,0.8884532,0.6579044,-0.9281167,0.8735846,0.6571811,-0.9155869,0.9240773,0.6365907,-0.941662,0.9081741,0.6458801,-0.9185853,0.8942533,0.645243,-0.9055136,0.937737,0.6219507,-0.9356506,0.927905,0.62743,-0.9163011,0.9169437,0.6266297,-0.9058582,0.9246974,0.6072598,-0.9814957,0.05290406,
1528974641764,0.9067975,0.572479,-1.006251,0.8827308,0.5880501,-0.9878932,0.8671159,0.597867,-0.97257,0.9032986,0.6248336,-0.9658771,0.8866371,0.6335582,-0.9457683,0.8746752,0.6327121,-0.9336833,0.9172571,0.6206239,-0.9541137,0.8991319,0.6303625,-0.9304856,0.8848262,0.6296402,-0.9172583,0.9334906,0.6091311,-0.9469488,0.9188861,0.6171582,-0.9224858,0.9056481,0.6163803,-0.9086856,0.9468942,0.5936062,-0.9424609,0.9381761,0.5977058,-0.922181,0.9279118,0.5966412,-0.9110435,0.9320896,0.5829583,-0.9889547,0.05275888,
1528974641794,0.9143354,0.5417759,-1.013821,0.8927504,0.5562131,-0.9918188,0.879053,0.5648637,-0.9741476,0.9156013,0.5909509,-0.9697368,0.9007371,0.5989274,-0.9478924,0.8895431,0.5982538,-0.9350358,0.9297632,0.5848149,-0.959044,0.9136571,0.5933205,-0.9334463,0.900282,0.5926542,-0.9192263,0.9455758,0.5719572,-0.9537706,0.9328988,0.5785583,-0.9277635,0.9206493,0.5776684,-0.9130438,0.9582375,0.5553431,-0.9513025,0.9510196,0.5579191,-0.9301276,0.9416711,0.556604,-0.918206,0.9406281,0.5497775,-0.9977623,0.05248497,
1528974641831,0.9211073,0.5156716,-1.025935,0.9024835,0.5282356,-1.000379,0.8910426,0.5350668,-0.9804598,0.9282111,0.5602915,-0.9780563,0.9150149,0.5669198,-0.954679,0.9045105,0.5660021,-0.9412421,0.9423952,0.5518413,-0.9687322,0.9283957,0.5585103,-0.9413146,0.9160048,0.557623,-0.9262041,0.9572325,0.5374345,-0.9657182,0.9463739,0.542003,-0.9384075,0.9350541,0.540695,-0.9229567,0.968587,0.5197399,-0.9656245,0.9626665,0.5203798,-0.9438351,0.9542052,0.5186293,-0.9312909,0.9484632,0.5205934,-1.011334,0.05173395,
1528974641847,0.9247463,0.5001903,-1.034779,0.9076729,0.5118194,-1.007732,0.8972831,0.5177923,-0.9869747,0.9355291,0.5413226,-0.9846656,0.9231375,0.5469733,-0.9605916,0.9128923,0.5456474,-0.9469924,0.9496151,0.5315067,-0.9763092,0.936744,0.5369688,-0.9480467,0.924825,0.5357654,-0.9325806,0.9637345,0.5162327,-0.9747126,0.9538718,0.5195069,-0.9468132,0.9430091,0.5178254,-0.9310676,0.9741234,0.4980155,-0.9761027,0.968859,0.497492,-0.9541085,0.9608155,0.4954066,-0.9413369,0.9527019,0.5029783,-1.020991,0.05116776,
