time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529323756977,1.008764,0.6527945,-0.874137,0.9990923,0.653955,-0.8366957,0.9972723,0.6498595,-0.8108174,1.046836,0.6856483,-0.8126226,1.048734,0.6821702,-0.7839161,1.042512,0.6705154,-0.7711959,1.063822,0.6754405,-0.8128374,1.063098,0.6720093,-0.7800282,1.053102,0.6604846,-0.7655535,1.078613,0.6604917,-0.8217194,1.078895,0.6565281,-0.7904582,1.069301,0.646286,-0.7752353,1.08781,0.6424145,-0.8325392,1.087829,0.6377642,-0.8090993,1.078335,0.63037,-0.7978221,1.047275,0.6562187,-0.8669195,0.06358596,
1529323757005,0.9863517,0.6574895,-0.871152,0.9754651,0.65992,-0.8340936,0.9723359,0.6569812,-0.8080955,1.023785,0.6905557,-0.8093417,1.024735,0.6874921,-0.7804902,1.017977,0.676183,-0.7677498,1.040589,0.6800854,-0.8090469,1.038795,0.6771765,-0.7762109,1.028178,0.6660372,-0.7619025,1.055369,0.6647127,-0.8173644,1.054688,0.6612015,-0.7860518,1.044474,0.6513385,-0.7710012,1.064947,0.6463702,-0.8277684,1.065095,0.6422698,-0.8040913,1.055831,0.6353999,-0.7922835,1.025018,0.6601995,-0.8631199,0.06387192,
1529323757032,0.9705544,0.6576436,-0.8694603,0.959305,0.6602559,-0.8324951,0.9556445,0.6577444,-0.8064973,1.006921,0.6905894,-0.8073936,1.007148,0.6870254,-0.7784567,1.000241,0.6757026,-0.7657422,1.023653,0.6801187,-0.8069082,1.021026,0.6766818,-0.7740272,1.010255,0.6655124,-0.7597898,1.038636,0.6647645,-0.8150539,1.037166,0.6606549,-0.7837827,1.026648,0.6506153,-0.76904,1.048415,0.6465138,-0.8253482,1.047777,0.6419067,-0.8018423,1.038004,0.6348523,-0.790538,1.009087,0.6605558,-0.8611551,0.06302661,
1529323757066,0.9510009,0.6584702,-0.8681964,0.9392193,0.6611503,-0.831369,0.9348249,0.6591371,-0.8053962,0.9864304,0.6910692,-0.8058296,0.9859962,0.6867926,-0.7768029,0.979168,0.6754183,-0.7639832,1.003175,0.6806929,-0.8053248,0.9997575,0.6763493,-0.7724329,0.9890141,0.6649734,-0.7582349,1.018496,0.665531,-0.8134795,1.016397,0.6604884,-0.7822505,1.005902,0.6501665,-0.7675779,1.028674,0.6475592,-0.8238492,1.027656,0.6422525,-0.8004252,1.017916,0.6349634,-0.7891747,0.9896028,0.6617734,-0.8597446,0.06282055,
1529323757097,0.9345614,0.6583967,-0.8685802,0.9224525,0.6608108,-0.8318374,0.9177079,0.6586397,-0.805928,0.9694391,0.6895398,-0.8055089,0.9683497,0.6846023,-0.7764421,0.9613698,0.6733278,-0.7635148,0.985972,0.6789045,-0.8049635,0.9817891,0.6738074,-0.7720875,0.9708735,0.6624962,-0.7578696,1.001269,0.663747,-0.8131402,0.9985043,0.6580435,-0.7819383,0.9878873,0.6477561,-0.7672274,1.011545,0.6459213,-0.8236375,1.010225,0.6401871,-0.8002292,1.000484,0.6329118,-0.7889508,0.9731138,0.6611715,-0.8597385,0.06261771,
1529323757124,0.9194331,0.6567231,-0.8679309,0.9071699,0.6587267,-0.8311952,0.9020586,0.6565119,-0.805333,0.9537944,0.6866763,-0.8043025,0.952297,0.6810905,-0.7752658,0.9452913,0.6697478,-0.7623479,0.970307,0.67598,-0.8038532,0.9657373,0.6701565,-0.771028,0.9548244,0.6587386,-0.7568287,0.9857157,0.6609252,-0.8121892,0.9827152,0.6545115,-0.7810507,0.9721578,0.644071,-0.7663481,0.9960451,0.6432471,-0.8229181,0.9945716,0.6369064,-0.7996008,0.9849377,0.6294696,-0.7882842,0.9578602,0.6594056,-0.8589437,0.06238575,
1529323757151,0.9106467,0.6559609,-0.8699383,0.8978887,0.6581892,-0.8333902,0.8924522,0.6561036,-0.8075829,0.9442291,0.6856763,-0.8059236,0.9421522,0.6799397,-0.7769256,0.9349765,0.6685841,-0.7640773,0.9608265,0.6750053,-0.8053347,0.9557796,0.6690503,-0.772552,0.9447628,0.6576387,-0.7584019,0.9763631,0.6599589,-0.8135283,0.9729176,0.6533667,-0.7824393,0.9622406,0.6428925,-0.7678199,0.9869162,0.64236,-0.8241729,0.9852116,0.6359205,-0.8008713,0.9754783,0.6284524,-0.7896903,0.9491463,0.6584645,-0.8605313,0.06210322,
1529323757177,0.9017669,0.6563491,-0.8698642,0.8887957,0.6583696,-0.833366,0.8829938,0.6563064,-0.8076179,0.9353168,0.6847175,-0.8053226,0.9327128,0.678463,-0.7765279,0.9252152,0.6667983,-0.7641685,0.9520176,0.6739925,-0.804935,0.9466812,0.6675719,-0.7723246,0.9354452,0.6559279,-0.7585691,0.9675905,0.6588365,-0.8133944,0.9639481,0.6515455,-0.7825527,0.9529741,0.6407139,-0.7684692,0.9781208,0.6412718,-0.8243712,0.9763004,0.6341887,-0.8013418,0.9662399,0.6264837,-0.7906727,0.9403648,0.6583612,-0.8603915,0.06148638,
1529323757204,0.8909618,0.6571337,-0.872146,0.8770341,0.6588764,-0.8359858,0.8704413,0.6564775,-0.8104606,0.9233372,0.6831042,-0.8059483,0.9194428,0.6766547,-0.7774403,0.9109795,0.6649395,-0.7658185,0.9397406,0.6718867,-0.8053105,0.9331776,0.6654952,-0.772981,0.9210443,0.6540476,-0.7598932,0.9550847,0.6562456,-0.8136443,0.9502593,0.6487586,-0.7830991,0.9383298,0.6380247,-0.7698024,0.9653951,0.6383955,-0.8247266,0.9627249,0.6310194,-0.8019495,0.951877,0.6234539,-0.7920839,0.9292548,0.657603,-0.8615137,0.06089226,
1529323757231,0.8848333,0.6554648,-0.871685,0.8716935,0.6566851,-0.8351812,0.8652724,0.6545521,-0.809541,0.917556,0.681688,-0.8059989,0.9143438,0.6748044,-0.7774622,0.9065621,0.6627566,-0.7656786,0.9343975,0.6710761,-0.8058873,0.928676,0.6641459,-0.7734703,0.9172761,0.6522118,-0.7601238,0.9501719,0.6560489,-0.8147681,0.9463254,0.6480631,-0.7841792,0.9351743,0.6368238,-0.7705867,0.960878,0.6386142,-0.8263308,0.9590774,0.6307828,-0.8035865,0.9488793,0.622718,-0.7933761,0.923189,0.6569521,-0.8619535,0.0607952,
1529323757258,0.8770417,0.6559924,-0.8727348,0.8633962,0.6578223,-0.8364284,0.8563505,0.6563414,-0.8108875,0.9092916,0.6818428,-0.8066854,0.905341,0.6752768,-0.7782276,0.8971777,0.6632717,-0.7666774,0.9262834,0.671226,-0.8065053,0.9201314,0.6648258,-0.7740953,0.908486,0.6530813,-0.7608053,0.9422461,0.6559827,-0.8153222,0.9382633,0.6483191,-0.7847311,0.9269174,0.6371863,-0.7712358,0.9531124,0.6383569,-0.826902,0.9516212,0.6306838,-0.8040792,0.9415441,0.6226991,-0.793706,0.9154691,0.6568729,-0.8626983,0.06057574,
1529323757292,0.8716369,0.6551319,-0.8744724,0.8572319,0.6572407,-0.8384818,0.8496989,0.6559229,-0.8130714,0.9022598,0.6817198,-0.8078778,0.8976479,0.6755447,-0.7795141,0.8892076,0.6635197,-0.7682109,0.9193994,0.6712413,-0.8072592,0.912631,0.6653288,-0.7749429,0.9007195,0.6536247,-0.7618846,0.9357135,0.6559547,-0.8156259,0.9312533,0.6486708,-0.785068,0.9196497,0.6375607,-0.7718061,0.9470078,0.6382312,-0.8268721,0.9453596,0.6308083,-0.8039972,0.9352101,0.6228404,-0.7936879,0.9098513,0.6561806,-0.8635942,0.06025871,
1529323757324,0.8681138,0.6540962,-0.8751088,0.8537281,0.6567603,-0.8391438,0.8461539,0.6559149,-0.8137202,0.8986381,0.6816766,-0.809031,0.8937938,0.6756514,-0.7806946,0.8852882,0.6636418,-0.7694101,0.9157885,0.6713728,-0.8082891,0.9087771,0.6658453,-0.7759633,0.8968147,0.6542625,-0.7628185,0.9321963,0.6560269,-0.8164368,0.9275904,0.6491608,-0.7858032,0.915974,0.6382151,-0.772386,0.9436386,0.6382023,-0.8274235,0.9420316,0.6311576,-0.8044144,0.9319804,0.6233374,-0.7938621,0.906314,0.6554279,-0.8643172,0.05962033,
1529323757350,0.8660407,0.6543345,-0.8765017,0.8513965,0.6570131,-0.8406415,0.843631,0.6561608,-0.815278,0.8960007,0.6817435,-0.810174,0.8907086,0.6755552,-0.7820275,0.8819077,0.6634018,-0.7711559,0.9130367,0.6714338,-0.8092766,0.9054713,0.6658987,-0.7771364,0.893181,0.6542732,-0.7643514,0.9294982,0.6560062,-0.8172619,0.9244483,0.6491717,-0.7867252,0.9125523,0.6382515,-0.7735379,0.9410367,0.6381634,-0.8281361,0.9392297,0.6312231,-0.805116,0.929072,0.623479,-0.7946016,0.9041324,0.6555437,-0.8653995,0.05885827,
