time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529323541985,0.9581496,0.7044502,-0.897478,0.9367446,0.6818518,-0.8753975,0.934073,0.6642255,-0.8573575,0.9334115,0.7222065,-0.8220084,0.9216684,0.7099491,-0.7994511,0.9172204,0.6926516,-0.7961355,0.9521428,0.719552,-0.8112562,0.938603,0.7051162,-0.7857392,0.9307793,0.6860141,-0.7823005,0.973967,0.7136353,-0.8106868,0.9616581,0.6968833,-0.7883152,0.9538203,0.6782014,-0.7877891,0.9964316,0.7051868,-0.8150537,0.9894312,0.6903457,-0.7987754,0.9818249,0.6764844,-0.8010046,0.9772831,0.7187214,-0.8660639,0.06957142,
1529323542012,0.9483311,0.7068579,-0.8991942,0.9263937,0.6849167,-0.8768769,0.9228452,0.6678108,-0.8583823,0.922388,0.7265906,-0.8246419,0.910536,0.7149561,-0.8018593,0.9062098,0.6977195,-0.798129,0.940765,0.7243608,-0.8135954,0.9268415,0.7105543,-0.788044,0.9191114,0.691452,-0.7843804,0.9626186,0.7186722,-0.8124731,0.9499708,0.702608,-0.7897986,0.9421824,0.6838946,-0.7887155,0.9851899,0.710112,-0.8162667,0.9779307,0.6956301,-0.7998207,0.9704336,0.6816261,-0.8018202,0.9668684,0.7221515,-0.8679205,0.06929446,
1529323542041,0.9323047,0.7097285,-0.9054284,0.9094976,0.6874691,-0.8842029,0.9048147,0.6698948,-0.8663326,0.9059212,0.7276176,-0.8304363,0.8939314,0.7157255,-0.8078465,0.8894064,0.6984701,-0.8043092,0.9241523,0.7251112,-0.8192461,0.9100118,0.7111536,-0.7938678,0.9021025,0.692113,-0.7905,0.9459788,0.71951,-0.8179375,0.9331194,0.7036488,-0.7951877,0.925048,0.6850405,-0.7939296,0.9687912,0.7106895,-0.8217202,0.9617643,0.696142,-0.8052217,0.9542598,0.6822374,-0.8073193,0.9507061,0.7239465,-0.8734431,0.07000612,
1529323542074,0.9203284,0.712992,-0.908137,0.8968173,0.6910779,-0.8871735,0.8911114,0.6736709,-0.8693836,0.8936815,0.7314323,-0.8332781,0.8815347,0.7199128,-0.8105603,0.8768637,0.7027358,-0.8067178,0.9118625,0.7292728,-0.821921,0.8975093,0.7161536,-0.7961636,0.8893625,0.6973196,-0.7921992,0.9336374,0.7238011,-0.8203816,0.9205118,0.7090003,-0.7969511,0.9120795,0.6905687,-0.7945812,0.9569592,0.7146456,-0.8238944,0.9504805,0.7006701,-0.8064573,0.9429863,0.6866426,-0.8073937,0.9386699,0.7272382,-0.8760495,0.07053209,
1529323542106,0.9074894,0.7168418,-0.9145347,0.8835993,0.6952059,-0.893732,0.8777114,0.6778351,-0.8760064,0.8808966,0.7354783,-0.8396327,0.8683589,0.7243431,-0.8169079,0.8633859,0.7072971,-0.8129891,0.8992136,0.7333231,-0.8281579,0.8846464,0.7209002,-0.8021425,0.8761888,0.7023125,-0.7979026,0.9209505,0.7276196,-0.82656,0.9076365,0.7134833,-0.8027961,0.8988763,0.695262,-0.7999812,0.9446801,0.7182525,-0.8299221,0.9387583,0.7048502,-0.8117176,0.9312149,0.6908509,-0.8117391,0.9260222,0.730747,-0.8823289,0.07102401,
1529323542132,0.8977021,0.7154453,-0.921338,0.8734858,0.693624,-0.9010231,0.8670027,0.6759326,-0.8837676,0.8718295,0.73277,-0.8457664,0.8591274,0.7217147,-0.8228475,0.8536091,0.704875,-0.8183678,0.8903305,0.7301445,-0.8344467,0.8758281,0.7176927,-0.8081675,0.8669981,0.6993313,-0.8034317,0.9122051,0.7244823,-0.8330182,0.8991513,0.7106583,-0.8087329,0.8900192,0.6926688,-0.805042,0.9364986,0.7147961,-0.8367696,0.9318568,0.7014052,-0.8179573,0.9244525,0.6873096,-0.816787,0.916651,0.7284469,-0.8889146,0.0727611,
1529323542159,0.8840821,0.7181741,-0.9297079,0.8604817,0.6955087,-0.909573,0.8543442,0.6773094,-0.8926656,0.8586997,0.7336102,-0.8535097,0.8461174,0.7224646,-0.8303671,0.8406056,0.7057314,-0.8256908,0.8774463,0.731059,-0.8424282,0.8632558,0.7185634,-0.8157727,0.8544946,0.7003202,-0.8106242,0.8993885,0.7254982,-0.8414047,0.8866705,0.7113984,-0.8169311,0.8776456,0.693398,-0.8128777,0.9243731,0.7164229,-0.8455215,0.9208784,0.7030447,-0.8264217,0.9138879,0.6886999,-0.8244951,0.9031615,0.7306303,-0.8972752,0.07404178,
1529323542185,0.8744974,0.7172298,-0.9363737,0.8512408,0.693962,-0.9165307,0.845394,0.6753248,-0.9000022,0.8495046,0.7311798,-0.8596728,0.8368148,0.7201315,-0.8364086,0.8310997,0.7035416,-0.8316084,0.8684809,0.72843,-0.8487475,0.8544319,0.7159848,-0.8218678,0.8455759,0.6978815,-0.8165316,0.8904698,0.7226695,-0.8480403,0.8779718,0.7083474,-0.8234586,0.8689188,0.6903934,-0.8192317,0.9157095,0.7138583,-0.8525143,0.9128283,0.70043,-0.8332897,0.9060539,0.6859814,-0.8308846,0.8937659,0.7289682,-0.9038489,0.07535404,
1529323542212,0.8664873,0.7174761,-0.9417782,0.842919,0.6943772,-0.922147,0.8369672,0.6757802,-0.9056406,0.8405244,0.7317522,-0.8654503,0.8272481,0.7212515,-0.8420895,0.8210728,0.7049565,-0.8367711,0.8594376,0.7289383,-0.8542314,0.8449131,0.7171674,-0.8270993,0.835663,0.69944,-0.8210866,0.8813934,0.722995,-0.8532182,0.8684921,0.7092956,-0.8282419,0.8590813,0.6916946,-0.8230546,0.9067086,0.7139463,-0.8573714,0.9037063,0.7008057,-0.8378538,0.8969535,0.6863812,-0.8347396,0.8854312,0.7290367,-0.909036,0.076465,
1529323542239,0.8557721,0.7148206,-0.949454,0.8311936,0.6925315,-0.9301035,0.8243802,0.6743792,-0.9134303,0.8283192,0.7313345,-0.873932,0.8141387,0.721935,-0.8505155,0.8073739,0.7060599,-0.8446003,0.8470849,0.7284638,-0.862159,0.8318047,0.7177871,-0.8349223,0.822103,0.7004604,-0.8284529,0.8689842,0.7222702,-0.8604776,0.8554324,0.7096393,-0.8352084,0.8456036,0.6924335,-0.8293961,0.8944711,0.7126628,-0.8638986,0.8913121,0.7001301,-0.8439379,0.8844913,0.6858489,-0.8401017,0.8742838,0.7267722,-0.9163786,0.07765596,
