Scene,Camera X,Camera Y,Camera Z
mediumclamp_z+,0.6249247,1.383181,-1.351737
mediumclamp_z+,0.6249575,1.383343,-1.351933
mediumclamp_z+,0.6288458,1.383843,-1.352308
mediumclamp_z+,0.6291579,1.383686,-1.350964
mediumclamp_z+,0.6298861,1.38349,-1.350846
mediumclamp_z+,0.6299687,1.383188,-1.350155
mediumclamp_z+,0.6301494,1.382616,-1.349602
mediumclamp_z+,0.63044,1.38186,-1.34901
mediumclamp_z+,0.6311974,1.380708,-1.348401
mediumclamp_z+,0.6321136,1.379689,-1.347405
mediumclamp_z+,0.6330463,1.378022,-1.345707
mediumclamp_z+,0.6342126,1.376497,-1.344171
mediumclamp_z+,0.6355981,1.375372,-1.342356
mediumclamp_z+,0.6374242,1.373992,-1.340824
mediumclamp_z+,0.6395509,1.372575,-1.339687
mediumclamp_z+,0.640966,1.3723,-1.33724
mediumclamp_z+,0.644176,1.372308,-1.338121
mediumclamp_z+,0.6476921,1.373005,-1.337288
mediumclamp_z+,0.6502978,1.374549,-1.335625
mediumclamp_z+,0.6552865,1.376833,-1.33595
mediumclamp_z+,0.6586998,1.377686,-1.335857
mediumclamp_z+,0.6635146,1.377782,-1.336382
mediumclamp_z+,0.6657628,1.377566,-1.332807
mediumclamp_z+,0.6697549,1.376294,-1.330771
mediumclamp_z+,0.672593,1.375556,-1.329621
mediumclamp_z+,0.6756983,1.374055,-1.328672
mediumclamp_z+,0.6801848,1.36991,-1.327155
mediumclamp_z+,0.6817855,1.367184,-1.32403
mediumclamp_z+,0.6848145,1.361831,-1.321771
mediumclamp_z+,0.6867432,1.356055,-1.318659
mediumclamp_z+,0.6906298,1.348946,-1.320319
mediumclamp_z+,0.6901082,1.344474,-1.313288
mediumclamp_z+,0.6921543,1.339989,-1.306621
mediumclamp_z+,0.6955269,1.341145,-1.312075
mediumclamp_z+,0.6979578,1.340081,-1.313546
mediumclamp_z+,0.7019643,1.335401,-1.316888
mediumclamp_z+,0.707839,1.332308,-1.324544
mediumclamp_z+,0.7107672,1.332728,-1.322232
mediumclamp_z+,0.7128893,1.335022,-1.321736
mediumclamp_z+,0.7157888,1.338336,-1.323385
mediumclamp_z+,0.7190654,1.340696,-1.325503
mediumclamp_z+,0.7218205,1.342659,-1.327364
mediumclamp_z+,0.7240648,1.342688,-1.329201
mediumclamp_z+,0.7252241,1.343876,-1.330255
mediumclamp_z+,0.7267967,1.344388,-1.332195
mediumclamp_z+,0.7284225,1.34516,-1.331754
mediumclamp_z+,0.7295549,1.346471,-1.331948
mediumclamp_z+,0.7310094,1.346273,-1.332769
mediumclamp_z+,0.7311856,1.346964,-1.331718
mediumclamp_z+,0.731427,1.347525,-1.331469
mediumclamp_z+,0.7315594,1.344729,-1.332391
mediumclamp_z+,0.7306567,1.341637,-1.332674
mediumclamp_z+,0.7295513,1.33901,-1.331954
mediumclamp_z+,0.728327,1.335645,-1.33019
mediumclamp_z+,0.7253656,1.331839,-1.327161
mediumclamp_z+,0.7247654,1.328492,-1.325417
mediumclamp_z+,0.7243586,1.325407,-1.324104
mediumclamp_z+,0.7237411,1.322241,-1.321538
mediumclamp_z+,0.7235222,1.319996,-1.320205
mediumclamp_z+,0.7247784,1.316066,-1.319639
mediumclamp_z+,0.7276208,1.311443,-1.319299
mediumclamp_z+,0.7286217,1.308879,-1.318923
mediumclamp_z+,0.7290591,1.306064,-1.317598
mediumclamp_z+,0.7300006,1.303666,-1.316567
mediumclamp_z+,0.7309986,1.301126,-1.315152
mediumclamp_z+,0.7322348,1.298974,-1.313265
mediumclamp_z+,0.733295,1.297224,-1.311017
mediumclamp_z+,0.734734,1.295586,-1.309367
mediumclamp_z+,0.7369571,1.29345,-1.307146
mediumclamp_z+,0.7396373,1.291501,-1.305354
mediumclamp_z+,0.7415488,1.290166,-1.303816
mediumclamp_z+,0.7436412,1.288597,-1.301792
mediumclamp_z+,0.7457936,1.287009,-1.299271
