time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529667414136,0.8744305,0.5352974,-0.8822122,0.8442912,0.518163,-0.8720116,0.8264048,0.5046031,-0.8635778,0.8469814,0.5346292,-0.8123488,0.831374,0.5185152,-0.7971512,0.8240393,0.503365,-0.7949781,0.8631912,0.5297583,-0.801585,0.8452356,0.5122492,-0.783502,0.8350215,0.4959377,-0.7811209,0.8849188,0.524119,-0.7990997,0.8702942,0.5062715,-0.7811009,0.8604487,0.4901624,-0.777842,0.9067205,0.5164503,-0.8021981,0.8992697,0.5012053,-0.787744,0.8918238,0.4882329,-0.7852585,0.8932649,0.5392909,-0.848418,0.06865158,
1529667414163,0.8755068,0.5355955,-0.8826361,0.8457813,0.5179752,-0.8720559,0.8279558,0.5043192,-0.8635138,0.8461422,0.5342038,-0.8147192,0.8301866,0.5168966,-0.8016005,0.8235431,0.5013425,-0.8012799,0.8618464,0.5293511,-0.8039116,0.8430191,0.5105402,-0.7885207,0.8333141,0.4938219,-0.7885389,0.8836565,0.5239961,-0.8007534,0.8681489,0.5050666,-0.7850808,0.8585715,0.4885954,-0.7843887,0.9051429,0.5167126,-0.8033384,0.8960807,0.5009214,-0.7908384,0.8882042,0.4880455,-0.7908462,0.8934083,0.539884,-0.8490802,0.06246115,
1529667414190,0.8767499,0.5361623,-0.8834367,0.8476778,0.5177343,-0.8724208,0.8300493,0.5038081,-0.8637744,0.8451518,0.5334505,-0.8181506,0.8290718,0.5146351,-0.8079743,0.8236434,0.4987898,-0.8100179,0.8603737,0.5286516,-0.807286,0.8409353,0.5082524,-0.79541,0.8322018,0.4912457,-0.7981582,0.8822737,0.523711,-0.8032774,0.8660946,0.5034829,-0.7905539,0.8572182,0.4868242,-0.7927235,0.9035776,0.5170705,-0.8051834,0.893227,0.5007255,-0.7949148,0.8854048,0.488109,-0.7974089,0.8935289,0.5407582,-0.8501781,0.05436883,
1529667414224,0.8777974,0.5362324,-0.8839829,0.8495935,0.5168791,-0.872328,0.8325568,0.5024229,-0.8633258,0.8443881,0.5324954,-0.8212069,0.8284118,0.5126394,-0.813874,0.8243205,0.4968596,-0.8180308,0.8593322,0.5275397,-0.8103353,0.8397013,0.5059975,-0.8016464,0.8319808,0.4890114,-0.8066167,0.881174,0.5227847,-0.8057032,0.8645762,0.5016339,-0.7956787,0.8563967,0.4850979,-0.8000818,0.902337,0.5166393,-0.8069935,0.8911223,0.4999943,-0.7984908,0.8834872,0.4876947,-0.8025635,0.8935332,0.5409623,-0.85119,0.04637267,
1529667414256,0.878719,0.5366614,-0.8845991,0.8516147,0.5163853,-0.8719596,0.8354549,0.5013217,-0.8623517,0.844816,0.5322521,-0.8233289,0.829044,0.511824,-0.8178568,0.8257797,0.4962659,-0.8232894,0.8598745,0.5269312,-0.812628,0.840392,0.5046157,-0.8057519,0.8330505,0.4877259,-0.8117184,0.8815869,0.5221975,-0.8080202,0.8648775,0.5004292,-0.7996676,0.85692,0.4840413,-0.8050848,0.9025846,0.5162849,-0.8092389,0.8909692,0.4993715,-0.8019496,0.8833762,0.4873095,-0.8068283,0.8940203,0.5414267,-0.8524792,0.04055897,
1529667414283,0.8795081,0.5366645,-0.8850164,0.8531514,0.515752,-0.8718597,0.8376894,0.5002133,-0.8618882,0.8452592,0.5320697,-0.8244152,0.8295237,0.5114717,-0.8196024,0.8264498,0.4959979,-0.8253934,0.8604335,0.5265425,-0.8137429,0.8410188,0.5039272,-0.80737,0.8336329,0.4870538,-0.8134454,0.882045,0.5217919,-0.8092505,0.8653066,0.4997594,-0.8015414,0.8573624,0.4834149,-0.8072145,0.9029621,0.5159472,-0.8104892,0.8912209,0.4988804,-0.8038033,0.8836622,0.4869335,-0.809053,0.8944803,0.5415242,-0.8532427,0.03841828,
1529667414310,0.8804553,0.5374326,-0.8862728,0.8547348,0.5159982,-0.8727188,0.8400224,0.4999777,-0.8624346,0.8458827,0.5326673,-0.8261569,0.8300685,0.512068,-0.8218929,0.8270559,0.4967433,-0.8281007,0.8611741,0.5267304,-0.8155272,0.8416932,0.5039901,-0.8094221,0.8340533,0.4872176,-0.8155313,0.8826168,0.5217813,-0.8112484,0.8657045,0.4996587,-0.804017,0.8575736,0.4834382,-0.8098629,0.9034111,0.5158044,-0.8126044,0.8914773,0.4986846,-0.8064324,0.8838329,0.4869255,-0.8120068,0.8951401,0.5421075,-0.8548117,0.03684307,
1529667414336,0.881277,0.5374432,-0.8864145,0.8560704,0.5157195,-0.8723656,0.8418069,0.4995169,-0.8617555,0.8464682,0.5328945,-0.8267495,0.8307741,0.5121715,-0.822805,0.8279955,0.496874,-0.8291827,0.861816,0.5269347,-0.8161367,0.8424703,0.5039796,-0.8103592,0.83498,0.4871848,-0.8166147,0.8831854,0.5220518,-0.8119062,0.8663121,0.4997616,-0.8051293,0.8583347,0.4835578,-0.8112462,0.9038929,0.5161949,-0.8132038,0.8918433,0.4990416,-0.8074303,0.884289,0.4873621,-0.8132983,0.8957036,0.5424109,-0.8552366,0.0354785,
1529667414353,0.8817975,0.5372632,-0.8872117,0.8567102,0.5154574,-0.8730694,0.8426273,0.4991764,-0.8623836,0.8470848,0.5329181,-0.8272901,0.831342,0.5122751,-0.822971,0.8283439,0.4969285,-0.8291469,0.8625415,0.5268887,-0.8166738,0.8433004,0.5039491,-0.8104627,0.8357229,0.4871312,-0.8165215,0.8838809,0.5219675,-0.812619,0.8670934,0.4996759,-0.8055729,0.8590403,0.4834431,-0.8115097,0.9045881,0.5160697,-0.814009,0.8926514,0.4988847,-0.8080565,0.8850384,0.4871554,-0.8137615,0.8962147,0.5423142,-0.8561022,0.03624561,
1529667414377,0.8828318,0.5371218,-0.888082,0.8578999,0.5152493,-0.8737646,0.8439745,0.4989188,-0.8629704,0.8484063,0.5328899,-0.8278898,0.8326427,0.5122848,-0.8232574,0.8294346,0.4968886,-0.8292345,0.8639596,0.5268276,-0.817353,0.8447979,0.5038862,-0.810815,0.8371153,0.4870421,-0.8166724,0.8852992,0.5218905,-0.8134823,0.8685902,0.4995809,-0.8062226,0.8604565,0.4833157,-0.8119792,0.9059994,0.5159646,-0.8150271,0.8941569,0.4987348,-0.8090003,0.8865116,0.4869909,-0.8146386,0.8973452,0.5422326,-0.857086,0.03679181,
1529667414403,0.8833318,0.5366631,-0.8883315,0.8583997,0.5149081,-0.8738323,0.8445125,0.4986556,-0.8628927,0.8488369,0.5330608,-0.8280903,0.833024,0.5125087,-0.8231186,0.8296121,0.4970174,-0.8287817,0.8644153,0.5270044,-0.8174854,0.8453252,0.5040728,-0.8106436,0.8376026,0.4871682,-0.8162813,0.8856955,0.5220467,-0.8136371,0.8690259,0.4997463,-0.8062242,0.8608791,0.4834321,-0.8118408,0.9063652,0.5160477,-0.8151598,0.8945559,0.4988069,-0.8091425,0.8869275,0.4870607,-0.8148061,0.8977888,0.5420239,-0.8573797,0.03725948,
1529667414437,0.8843223,0.5363421,-0.8891256,0.8592662,0.514787,-0.8745428,0.8453484,0.4986281,-0.8635236,0.8498546,0.5332664,-0.8288386,0.8338843,0.5128105,-0.8236959,0.8301902,0.4972883,-0.8291514,0.865436,0.5270346,-0.8182456,0.8463015,0.5041389,-0.8113171,0.8384467,0.4872551,-0.816861,0.8866259,0.5219096,-0.8144528,0.869863,0.4996447,-0.8070382,0.8615773,0.4833582,-0.8125699,0.9072205,0.5157154,-0.8160042,0.8953404,0.4984698,-0.8100934,0.8876243,0.4867781,-0.8157717,0.8987955,0.5417717,-0.8581926,0.03759008,
