time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529667048635,1.167816,0.7149247,-0.8570231,1.1596,0.716823,-0.8227111,1.165762,0.7136466,-0.8010194,1.174198,0.7607532,-0.8044162,1.17046,0.7516532,-0.7839512,1.167833,0.7358387,-0.7850641,1.191261,0.7579873,-0.801399,1.183152,0.7470678,-0.7789485,1.177519,0.729497,-0.7803325,1.211761,0.7517851,-0.8051808,1.204749,0.7427847,-0.7825894,1.196883,0.7263712,-0.7816547,1.2287,0.7411964,-0.8109233,1.223483,0.7357679,-0.7929225,1.214669,0.7243469,-0.7921498,1.196062,0.7334003,-0.849229,0.02741077,
1529667048691,1.159003,0.7136495,-0.8697073,1.15202,0.717679,-0.835632,1.159645,0.7146384,-0.8144816,1.163311,0.7575927,-0.819925,1.157594,0.745271,-0.8019005,1.155142,0.7297202,-0.8058482,1.180014,0.7547776,-0.8161858,1.169679,0.7414463,-0.7961213,1.164139,0.7240858,-0.7999391,1.200482,0.7485938,-0.8184518,1.191082,0.7382209,-0.7973531,1.182647,0.721952,-0.7981325,1.217119,0.7377877,-0.822872,1.209689,0.7316655,-0.8058898,1.200322,0.7205589,-0.806497,1.186838,0.7309836,-0.8620401,0.01795206,
1529667048727,1.153648,0.7094886,-0.8759754,1.146851,0.7145122,-0.8420691,1.154727,0.7117938,-0.8210009,1.156429,0.7537359,-0.8277587,1.15004,0.7409227,-0.8102049,1.147937,0.7254019,-0.8144607,1.173199,0.7513068,-0.8235017,1.162254,0.737931,-0.8038479,1.156956,0.7206119,-0.8079983,1.193646,0.7448838,-0.8250952,1.183507,0.7344159,-0.8043065,1.175042,0.7181786,-0.8053358,1.210317,0.7340594,-0.8288301,1.202238,0.7279584,-0.8120881,1.192778,0.7169166,-0.8129069,1.18104,0.726782,-0.8683714,0.01655468,
1529667048754,1.146047,0.7060795,-0.8827066,1.138477,0.7119038,-0.8491205,1.145766,0.7093539,-0.8278134,1.147827,0.7506109,-0.8355576,1.140414,0.7376339,-0.8185757,1.138468,0.72218,-0.8231732,1.164429,0.7479139,-0.8306515,1.15242,0.7345091,-0.8118275,1.147232,0.7173164,-0.8166102,1.184693,0.7409122,-0.8313561,1.173325,0.7302864,-0.8113564,1.164673,0.714174,-0.8131226,1.201248,0.7298882,-0.8342562,1.192142,0.7238321,-0.8180372,1.182501,0.7129837,-0.8194367,1.173466,0.7229006,-0.874568,0.0154698,
1529667048794,1.138941,0.6991744,-0.8902129,1.12993,0.7065137,-0.8572956,1.136239,0.7046533,-0.83565,1.140224,0.7445521,-0.8446693,1.131902,0.7316211,-0.8282784,1.130302,0.7162354,-0.8332117,1.156598,0.7416394,-0.8391103,1.143638,0.7283729,-0.8211759,1.138796,0.7112607,-0.8265774,1.176659,0.734211,-0.8388212,1.164124,0.7237601,-0.8195485,1.155406,0.7077283,-0.8218657,1.193051,0.7229595,-0.8407386,1.182938,0.7172079,-0.8250329,1.173183,0.7064945,-0.826858,1.166774,0.7155641,-0.8815777,0.01324151,
1529667048847,1.129575,0.6834739,-0.9046315,1.117383,0.692338,-0.8731621,1.121603,0.6912723,-0.8510386,1.1293,0.7296038,-0.8606242,1.119542,0.7165799,-0.845311,1.118683,0.701338,-0.8507058,1.145048,0.7261444,-0.8539392,1.13058,0.7125235,-0.8379217,1.126762,0.695617,-0.8445379,1.164687,0.7182313,-0.8519127,1.150214,0.7073216,-0.8345885,1.141964,0.6913866,-0.8385942,1.180867,0.7070653,-0.8522047,1.168995,0.701309,-0.8379443,1.159532,0.6906728,-0.8411974,1.157892,0.6994646,-0.8942308,0.01048588,
1529667048888,1.120008,0.6695083,-0.9148511,1.105741,0.6780992,-0.8841553,1.108367,0.6767315,-0.8618215,1.120153,0.7145889,-0.8698313,1.109458,0.7011266,-0.8553838,1.108456,0.686075,-0.861267,1.135331,0.7099796,-0.8628759,1.119881,0.6954845,-0.8485054,1.116248,0.6789935,-0.8562433,1.154385,0.7013263,-0.8603293,1.138716,0.6892897,-0.8449833,1.130736,0.6737872,-0.8508331,1.170228,0.690194,-0.8601065,1.157252,0.6838518,-0.8471242,1.147878,0.6735721,-0.8516424,1.149075,0.6846317,-0.9027796,0.009360368,
1529667048914,1.114809,0.6613846,-0.9192015,1.099487,0.6702837,-0.8891057,1.101237,0.6689598,-0.8666873,1.115176,0.7062234,-0.8741742,1.103808,0.6926492,-0.8601729,1.102715,0.6775997,-0.8661036,1.130008,0.7011256,-0.8669607,1.113847,0.6864736,-0.8533452,1.110209,0.670069,-0.8613316,1.148644,0.6919607,-0.8640196,1.132212,0.6796362,-0.8497702,1.124401,0.6643395,-0.8564061,1.164245,0.6807406,-0.8633168,1.150588,0.6743429,-0.851062,1.141264,0.6642562,-0.8561429,1.144243,0.6759119,-0.9062517,0.008784921,
1529667048941,1.107279,0.6490499,-0.9280584,1.090313,0.6575419,-0.8987827,1.090852,0.6558258,-0.8763162,1.106043,0.6930945,-0.8823616,1.093893,0.6792072,-0.8693007,1.092891,0.6642768,-0.8756314,1.120349,0.6873737,-0.8746314,1.103415,0.6721273,-0.8625386,1.10009,0.6560098,-0.8713011,1.138483,0.6778362,-0.8710272,1.121249,0.6647069,-0.8588485,1.114264,0.6498498,-0.8671293,1.153847,0.6667633,-0.8695964,1.139357,0.6598433,-0.8589296,1.130761,0.6500438,-0.8655344,1.136378,0.6632051,-0.9133303,0.008720348,
1529667048980,1.101245,0.6348857,-0.9375865,1.083045,0.6423951,-0.908818,1.082713,0.639866,-0.8864391,1.09928,0.6773419,-0.8902379,1.086583,0.6630378,-0.8779903,1.085421,0.6482967,-0.8847945,1.113245,0.6709273,-0.8823847,1.095806,0.6550891,-0.8715798,1.092465,0.6393993,-0.8811529,1.131051,0.6610317,-0.8786415,1.113348,0.6472376,-0.8679948,1.106689,0.6329643,-0.8774748,1.146213,0.6499195,-0.877057,1.131271,0.6424835,-0.8675092,1.123002,0.6331795,-0.87515,1.130228,0.6483671,-0.9212885,0.009006448,
1529667049021,1.094998,0.6134793,-0.9472451,1.075598,0.6198546,-0.9190634,1.074542,0.6161731,-0.8969634,1.091547,0.6538191,-0.8984892,1.078081,0.6388798,-0.8875792,1.076921,0.6244168,-0.8950245,1.104998,0.64676,-0.8903841,1.086865,0.6303357,-0.8814314,1.083737,0.6151731,-0.8919531,1.122453,0.636538,-0.8861796,1.104082,0.6222824,-0.8773284,1.097691,0.6086683,-0.8879485,1.13747,0.6253511,-0.8841459,1.121991,0.6176749,-0.8755956,1.113779,0.6089906,-0.8839954,1.123494,0.6259466,-0.9290568,0.008796227,
1529667049075,1.085607,0.5860223,-0.9605122,1.063449,0.5885153,-0.9336996,1.060447,0.5824562,-0.9122849,1.076589,0.6199526,-0.9084774,1.063034,0.6027717,-0.9009957,1.063207,0.5891692,-0.9101186,1.089686,0.6125741,-0.9000193,1.071579,0.5940861,-0.8949257,1.069747,0.5800928,-0.9073265,1.107098,0.6027108,-0.8954202,1.088587,0.5865444,-0.8901074,1.083464,0.5740285,-0.9026625,1.122356,0.5919853,-0.893226,1.106428,0.5826107,-0.8870806,1.099036,0.5747681,-0.8969846,1.112227,0.597742,-0.9387765,0.0075745,
1529667049100,1.082479,0.5763635,-0.9677008,1.059479,0.5761123,-0.9413825,1.055761,0.5685418,-0.9205142,1.070505,0.6065633,-0.9142013,1.057159,0.588447,-0.9084103,1.057941,0.5753818,-0.9182906,1.08355,0.59918,-0.9055672,1.065592,0.579945,-0.9020096,1.064125,0.5665158,-0.9150817,1.101138,0.5897008,-0.9007974,1.08261,0.5728762,-0.8963528,1.077522,0.5606363,-0.9091995,1.116771,0.5791997,-0.8987515,1.100856,0.5691613,-0.8929063,1.093258,0.5614502,-0.9027891,1.107731,0.5873267,-0.944437,0.007515605,
1529667049141,1.073003,0.5577995,-0.9791238,1.049039,0.5523938,-0.9541265,1.044756,0.5422307,-0.9344162,1.05534,0.5816669,-0.9240323,1.04289,0.5620828,-0.9207885,1.044829,0.5499401,-0.9316676,1.068393,0.5746691,-0.9148544,1.051229,0.5541226,-0.9134543,1.05055,0.5414954,-0.9274025,1.086483,0.5662601,-0.909565,1.068477,0.5481357,-0.9062143,1.063725,0.5361209,-0.9194161,1.103103,0.5565125,-0.9075742,1.087711,0.5450832,-0.9019444,1.080018,0.5373003,-0.911726,1.095577,0.568392,-0.9536455,0.008185112,
1529667049167,1.071255,0.5496954,-0.982753,1.047207,0.5421585,-0.958281,1.04271,0.5308709,-0.9391851,1.052345,0.5705841,-0.9262635,1.040037,0.5508101,-0.9235773,1.042047,0.5390539,-0.9348248,1.065516,0.5634955,-0.9172328,1.048561,0.5427918,-0.9163109,1.047974,0.5305727,-0.9306123,1.083907,0.5553068,-0.9121571,1.066102,0.5369135,-0.9088839,1.061253,0.5250562,-0.9221897,1.100937,0.5456937,-0.9106883,1.085864,0.5338028,-0.9049271,1.078006,0.5260143,-0.9145826,1.09323,0.5595574,-0.9566005,0.009295958,
1529667049196,1.064474,0.5393586,-0.9870765,1.041026,0.529561,-0.9627308,1.036859,0.5170347,-0.9442779,1.045033,0.5574048,-0.9292333,1.032761,0.5375955,-0.9270091,1.034688,0.5262935,-0.9386873,1.058404,0.5501385,-0.9204597,1.041457,0.5294651,-0.9197266,1.040618,0.5176553,-0.9343487,1.07713,0.5421211,-0.9157155,1.059361,0.5236877,-0.9119822,1.053965,0.5119046,-0.9251519,1.094582,0.5325522,-0.9149728,1.079863,0.5204031,-0.9084983,1.071481,0.512488,-0.9176234,1.08603,0.5484395,-0.9607608,0.01103136,
