time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529667085341,0.8530593,0.9027722,-0.6709592,0.8244475,0.9105606,-0.6506361,0.8105544,0.9143962,-0.6319462,0.83371,0.9654366,-0.6358106,0.819198,0.9758593,-0.6156188,0.8091481,0.9728156,-0.6023035,0.8486236,0.9678252,-0.6235139,0.8312811,0.9808941,-0.6014926,0.8178992,0.9790779,-0.5875326,0.8671201,0.961491,-0.6146144,0.8513869,0.9728554,-0.5927079,0.8381753,0.9711629,-0.5789489,0.882236,0.9455078,-0.6064808,0.8689479,0.9444327,-0.5901567,0.8581398,0.9348379,-0.5858035,0.8736934,0.9263651,-0.6535857,0.06552482,
1529667085382,0.8623681,0.8832234,-0.6913421,0.8328756,0.8890412,-0.6715465,0.8176862,0.8918705,-0.6535571,0.8387901,0.944922,-0.6564097,0.8234797,0.9561394,-0.6370034,0.8129472,0.954343,-0.6237599,0.8532915,0.9476168,-0.6433539,0.8352751,0.9610691,-0.6218041,0.8216691,0.9603019,-0.6078775,0.8714882,0.9420029,-0.6341422,0.8547698,0.9537863,-0.6128693,0.8412946,0.9532101,-0.5992037,0.8860539,0.9246506,-0.6259787,0.8716696,0.9199262,-0.6121189,0.8625967,0.907984,-0.6114948,0.8809843,0.9075336,-0.6732051,0.06937679,
1529667085420,0.8694375,0.8696777,-0.7073485,0.8393482,0.8751661,-0.6883838,0.8235301,0.8777202,-0.6708663,0.8443263,0.9308062,-0.6725013,0.8282238,0.9419229,-0.6536934,0.8171737,0.9399785,-0.6409218,0.8583971,0.9331686,-0.6587151,0.8395841,0.9461064,-0.6375712,0.8255271,0.9447805,-0.6241958,0.8764933,0.9277077,-0.6490191,0.8592782,0.939487,-0.6281337,0.8454312,0.9387778,-0.6149104,0.8904889,0.9098785,-0.6407283,0.875715,0.9043673,-0.6280929,0.8674169,0.8919946,-0.6291305,0.8872303,0.8936678,-0.6882547,0.06937711,
1529667085461,0.8795245,0.8531977,-0.7298111,0.8498447,0.8580416,-0.7101178,0.834592,0.859838,-0.6920118,0.8528838,0.9118643,-0.693199,0.8358824,0.9203485,-0.6740968,0.8247441,0.9160364,-0.6620275,0.8667185,0.913908,-0.6792421,0.8468571,0.924513,-0.6580132,0.8324604,0.9211162,-0.6454061,0.885164,0.9084567,-0.669364,0.8675711,0.9187102,-0.6481629,0.8535052,0.9165162,-0.6353891,0.8994657,0.8915251,-0.6613891,0.8847812,0.8867695,-0.6484947,0.8762853,0.8746688,-0.64967,0.8965949,0.8762568,-0.7099811,0.06445384,
1529667085489,0.8843432,0.8448572,-0.740673,0.8553784,0.8494878,-0.7199433,0.8409707,0.8507299,-0.7011583,0.858181,0.9016821,-0.7020583,0.8406667,0.907426,-0.6828141,0.8298371,0.9004451,-0.6718809,0.8720461,0.9031039,-0.6882242,0.8514843,0.9112926,-0.6669807,0.8370265,0.9054976,-0.6554812,0.8908153,0.8972179,-0.678498,0.8729534,0.9056092,-0.6570504,0.8587368,0.9012909,-0.6451476,0.9056355,0.8811338,-0.6709902,0.8912196,0.8776599,-0.6572514,0.8820527,0.8662111,-0.6579711,0.9017448,0.8667507,-0.7204013,0.05875984,
1529667085514,0.8924759,0.8290899,-0.7537947,0.8637816,0.8332539,-0.7326655,0.8499455,0.8339976,-0.7134744,0.8648633,0.8843111,-0.715264,0.8464028,0.8866854,-0.6968534,0.8364496,0.8766116,-0.6878428,0.8785164,0.8857906,-0.7013062,0.8566674,0.8908931,-0.6810073,0.8425646,0.8819699,-0.6714535,0.8975229,0.8803757,-0.6913814,0.8785894,0.8867682,-0.6706714,0.8642552,0.8799251,-0.6604369,0.9138316,0.8666971,-0.6835282,0.8999233,0.8673288,-0.6671563,0.8888549,0.8585423,-0.6632707,0.9095432,0.8508691,-0.7333643,0.05152737,
1529667085555,0.9009016,0.812425,-0.7681584,0.8719813,0.8160156,-0.7472463,0.858006,0.8162303,-0.7281542,0.8714564,0.8652942,-0.7300793,0.8521342,0.8629787,-0.7136294,0.8441725,0.8496238,-0.7077789,0.884425,0.8663865,-0.7157096,0.8610392,0.8665262,-0.697596,0.8482797,0.8537498,-0.69144,0.9033532,0.8613493,-0.7051232,0.8827161,0.8639822,-0.686077,0.8687706,0.8537208,-0.6789009,0.920897,0.8498324,-0.6969632,0.9071456,0.8522688,-0.6803892,0.8952994,0.8452044,-0.6749572,0.9173678,0.8339266,-0.7472145,0.04149267,
1529667085595,0.9107094,0.7875049,-0.7874787,0.8811696,0.791292,-0.767535,0.8667263,0.7913043,-0.7488195,0.8799465,0.8382958,-0.7504992,0.8602933,0.8321835,-0.7365457,0.8546143,0.8169471,-0.7338821,0.8916941,0.8383811,-0.7355296,0.8673539,0.8338935,-0.7205033,0.8565517,0.8184183,-0.7180986,0.9100109,0.8337594,-0.7238808,0.8878279,0.8334366,-0.7071947,0.8744751,0.8210292,-0.7032188,0.9273763,0.8233078,-0.7151054,0.9124258,0.8258156,-0.699864,0.9000567,0.8186622,-0.6957758,0.9265119,0.8082659,-0.7655055,0.03205276,
1529667085634,0.9192159,0.7679208,-0.8017806,0.8894129,0.7703736,-0.7820288,0.8747743,0.7692505,-0.7635016,0.8870096,0.8150536,-0.7631557,0.8677648,0.8060296,-0.7507034,0.86382,0.7901509,-0.7501533,0.8982225,0.8140336,-0.7481027,0.8741049,0.8057157,-0.7349967,0.8651915,0.7889713,-0.7351816,0.9162178,0.8095472,-0.7362304,0.8936027,0.8058812,-0.7210022,0.8813623,0.7919325,-0.719392,0.9336019,0.79976,-0.7276961,0.9178612,0.800432,-0.7134255,0.9057608,0.7921265,-0.7110814,0.9342589,0.7876744,-0.7786409,0.02711094,
1529667085662,0.9263527,0.7493187,-0.8121626,0.8962334,0.7513608,-0.7928399,0.8812834,0.7497881,-0.7746013,0.8934125,0.7950501,-0.7735229,0.874122,0.7848177,-0.7623045,0.87085,0.7688041,-0.7628288,0.9040982,0.7931626,-0.7583459,0.8799264,0.7830728,-0.7469209,0.8719088,0.7659519,-0.7486299,0.9216039,0.7885185,-0.7460481,0.8985272,0.7832878,-0.7322246,0.8867834,0.7688063,-0.7321307,0.9385346,0.7787597,-0.737379,0.9219918,0.7783102,-0.7242899,0.9101055,0.7694062,-0.723457,0.9409028,0.7684157,-0.7882876,0.02467905,
1529667085689,0.9331431,0.7317638,-0.8224152,0.9027793,0.7339318,-0.8035342,0.8877084,0.7322229,-0.7854394,0.8998243,0.7768046,-0.7841573,0.8805975,0.765851,-0.7738096,0.8778673,0.7498116,-0.7751535,0.9100133,0.774375,-0.7688831,0.8859575,0.7632085,-0.758769,0.8788244,0.7458981,-0.7617019,0.927017,0.7696313,-0.7562078,0.9036314,0.763568,-0.7434794,0.8922617,0.7488365,-0.7444631,0.943426,0.7597873,-0.7473522,0.9262987,0.7586645,-0.7353153,0.9146748,0.7494065,-0.7356787,0.9472476,0.7503922,-0.798117,0.02262755,
