time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529580932357,0.8740957,0.652261,-0.8796526,0.8499566,0.6542937,-0.8526092,0.8436042,0.6502848,-0.8306633,0.8540443,0.697181,-0.8260502,0.8383707,0.6900407,-0.8080098,0.8320678,0.6751798,-0.8059477,0.8683106,0.6909913,-0.8142115,0.848603,0.6799631,-0.7973124,0.8404323,0.6633533,-0.7991956,0.8864719,0.6783635,-0.8099569,0.8683165,0.6631892,-0.7994066,0.8623671,0.6477102,-0.8070949,0.9033681,0.6677268,-0.807196,0.8882174,0.657851,-0.7995843,0.8820417,0.6474904,-0.8076254,0.8954396,0.6685597,-0.8561506,0.03692849,
1529580932386,0.8849665,0.6111926,-0.9060347,0.8632253,0.6118155,-0.8768857,0.8583157,0.6065774,-0.8547865,0.8707157,0.6541706,-0.8490434,0.8558067,0.6465282,-0.8305418,0.8490568,0.631789,-0.8288376,0.8856657,0.6465884,-0.8387401,0.8667207,0.6350602,-0.8215137,0.8579482,0.6188067,-0.8240836,0.9036892,0.6333762,-0.8364494,0.8855805,0.6185405,-0.8251051,0.8781366,0.6036299,-0.8327243,0.920276,0.6218653,-0.8356489,0.9052516,0.6122928,-0.8272759,0.8978524,0.6025199,-0.8350879,0.908681,0.6256545,-0.8836055,0.03734561,
1529580932412,0.8922825,0.5835622,-0.9242995,0.8722132,0.5824215,-0.893983,0.868373,0.5755323,-0.8721413,0.8825867,0.622578,-0.863741,0.868237,0.6137169,-0.8455094,0.8613021,0.5990255,-0.8451729,0.8977734,0.6137204,-0.8548886,0.8791889,0.6013911,-0.8378707,0.8698041,0.5856881,-0.8414425,0.9155747,0.5999243,-0.8543619,0.8975143,0.5850104,-0.8429817,0.8890461,0.5710734,-0.8512077,0.9316842,0.5878155,-0.8553275,0.9167635,0.5782859,-0.8466489,0.9085577,0.5694368,-0.854643,0.917724,0.5956162,-0.9022461,0.03645854,
1529580932445,0.9034346,0.5477409,-0.9505005,0.886407,0.5425069,-0.9186688,0.8843306,0.5331033,-0.8974569,0.8987209,0.5819864,-0.8863761,0.8851036,0.5717638,-0.868154,0.8777417,0.5571919,-0.8683772,0.9144343,0.5719066,-0.8796712,0.8965606,0.5583057,-0.8626053,0.8863635,0.5430728,-0.8665419,0.9319094,0.5574446,-0.8820987,0.9142516,0.5414729,-0.8715234,0.9049013,0.528551,-0.8806646,0.947637,0.5452873,-0.8854058,0.9330317,0.5350119,-0.8769403,0.9239395,0.527162,-0.885175,0.9302973,0.5584491,-0.9299197,0.03833149,
1529580932479,0.9177797,0.5102985,-0.9775785,0.904137,0.4991358,-0.9454069,0.9031529,0.486204,-0.9260418,0.9198815,0.5330482,-0.9084391,0.9068676,0.5205493,-0.8911542,0.8988052,0.5065764,-0.8932425,0.9355585,0.5210956,-0.9055185,0.9180151,0.5054228,-0.8893698,0.9065664,0.4913977,-0.8943385,0.9521888,0.5066502,-0.9122801,0.9345597,0.4897478,-0.9033074,0.9238556,0.479007,-0.913781,0.9671043,0.4947543,-0.919228,0.9527536,0.4835858,-0.9107839,0.9419209,0.4771129,-0.9183475,0.9463435,0.5165798,-0.9585183,0.03885525,
1529580932504,0.9293323,0.4836987,-1.004838,0.9169221,0.469371,-0.9731966,0.9156736,0.455863,-0.9540098,0.9318184,0.500789,-0.9337382,0.9212061,0.4860605,-0.9169051,0.9146364,0.471743,-0.9202783,0.9486443,0.4907161,-0.9319392,0.9336618,0.4728825,-0.9154478,0.9233918,0.458111,-0.9204838,0.9668486,0.4786954,-0.9397523,0.9518551,0.4596935,-0.9287435,0.940965,0.447448,-0.9371919,0.9829522,0.4686704,-0.9482905,0.971166,0.4554466,-0.9379798,0.9600283,0.4473177,-0.9432364,0.9578933,0.4908448,-0.9860251,0.03729694,
1529580932531,0.9442956,0.4511639,-1.037944,0.9339569,0.4337507,-1.006974,0.9328738,0.41867,-0.9888892,0.9522045,0.4587484,-0.9658396,0.9425492,0.4421943,-0.9497094,0.9354103,0.4287211,-0.9540268,0.9686494,0.4480198,-0.9668287,0.9543571,0.4282625,-0.9515004,0.9433557,0.4144685,-0.9573308,0.9855403,0.4368597,-0.9776645,0.9704741,0.4166605,-0.9681089,0.9587669,0.405693,-0.9769844,1.000598,0.4277064,-0.9886588,0.9887456,0.4133689,-0.9796706,0.9770385,0.4061179,-0.9850875,0.9737231,0.4555316,-1.020831,0.03637088,
1529580932564,0.9614528,0.4097411,-1.065257,0.9535682,0.3893782,-1.035273,0.9534906,0.3735307,-1.017738,0.9698981,0.4115485,-0.9936295,0.9624418,0.3920287,-0.9782315,0.9565682,0.3776477,-0.9817536,0.9856938,0.4009908,-0.9989137,0.9724526,0.377434,-0.9933939,0.964878,0.3678578,-1.006862,1.003718,0.3942164,-1.010038,0.990144,0.3734581,-1.009283,0.9818614,0.368189,-1.024628,1.019512,0.3883234,-1.020938,1.007826,0.3729078,-1.017163,0.9979028,0.3688027,-1.027025,0.9907535,0.4157137,-1.048545,0.03634955,
1529580932584,0.9684595,0.3976954,-1.073462,0.9613259,0.3760505,-1.044216,0.9618113,0.3596607,-1.027126,0.9749215,0.3965357,-1.002092,0.9679201,0.3758468,-0.9876661,0.9628438,0.3612366,-0.9915013,0.9909648,0.3866518,-1.008595,0.9784779,0.36229,-1.006711,0.9720746,0.3537519,-1.021672,1.009683,0.3816395,-1.019052,0.9969087,0.360483,-1.020815,0.9896393,0.3562523,-1.037005,1.025916,0.3771499,-1.029468,1.014515,0.3613128,-1.027616,1.00539,0.3578448,-1.038458,0.9969115,0.4041443,-1.056057,0.03567452,
1529580932611,0.985345,0.3639892,-1.110951,0.9797223,0.3418632,-1.081738,0.9812025,0.3256975,-1.064435,0.991869,0.3616334,-1.040592,0.9865826,0.3393082,-1.028613,0.9835197,0.3254563,-1.035036,1.008389,0.3535489,-1.049757,0.9985556,0.3295468,-1.05422,0.9950502,0.3248773,-1.071902,1.027838,0.3514516,-1.058819,1.017204,0.3302682,-1.064052,1.011612,0.3281514,-1.081353,1.044303,0.3492019,-1.068473,1.03405,0.3332314,-1.0693,1.026626,0.3313907,-1.081701,1.013459,0.3730812,-1.093538,0.02949061,
1529580932645,1.004091,0.3270274,-1.141068,0.9974972,0.3019633,-1.114518,0.9982689,0.2839084,-1.099138,1.012531,0.3141718,-1.071541,1.007858,0.2905851,-1.059586,1.004423,0.2766423,-1.064742,1.027704,0.306922,-1.08559,1.018178,0.2868315,-1.097368,1.016588,0.2895468,-1.115875,1.04704,0.3061367,-1.093939,1.036302,0.2882347,-1.104476,1.032015,0.2920692,-1.121969,1.063267,0.3052278,-1.103357,1.052686,0.2911841,-1.108213,1.046677,0.2939478,-1.121229,1.033131,0.3330947,-1.1231,0.0356895,
