time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529580754793,1.24154,0.5199064,-0.9096966,1.258268,0.5204244,-0.8746219,1.272385,0.5184919,-0.853568,1.298608,0.5469148,-0.8669393,1.32044,0.5434622,-0.8470114,1.332753,0.5381298,-0.8347372,1.309057,0.5340862,-0.8786439,1.32167,0.5136682,-0.8550075,1.323978,0.4969596,-0.8433315,1.319725,0.5291575,-0.8975681,1.3301,0.5095752,-0.8758836,1.328069,0.492296,-0.8661113,1.32465,0.519506,-0.9169469,1.329854,0.5035474,-0.9008815,1.323665,0.4911706,-0.8933904,1.27439,0.5304777,-0.9204659,0.06621646,
1529580754831,1.247805,0.496626,-0.9331139,1.265535,0.5027368,-0.8990288,1.279863,0.5044819,-0.8780521,1.306756,0.5315983,-0.8982096,1.32991,0.5323386,-0.8797197,1.342807,0.5287036,-0.8674245,1.318155,0.5178946,-0.9071039,1.333509,0.5040753,-0.8809036,1.335767,0.4895193,-0.8669577,1.326213,0.5082484,-0.92453,1.337056,0.4936415,-0.8995007,1.332605,0.4790137,-0.8898726,1.329852,0.4944002,-0.9421427,1.333811,0.481242,-0.9237587,1.326476,0.4703507,-0.9149415,1.280205,0.504734,-0.9461156,0.06827585,
1529580754861,1.245844,0.4864889,-0.9485084,1.265723,0.4942459,-0.916056,1.281862,0.4962087,-0.8965451,1.308078,0.5212908,-0.9195482,1.331408,0.5203749,-0.9022438,1.34263,0.5132651,-0.8899009,1.320171,0.5089941,-0.9285201,1.339538,0.5002618,-0.9029738,1.344789,0.488384,-0.8871568,1.326095,0.4970802,-0.944717,1.340276,0.4871293,-0.9188281,1.338635,0.4741841,-0.9057981,1.327352,0.480095,-0.9611191,1.331053,0.4683849,-0.942315,1.322417,0.4586088,-0.9334447,1.277975,0.4923988,-0.9640036,0.06346472,
1529580754887,1.245028,0.4637184,-0.9672545,1.266595,0.4717838,-0.9360348,1.284156,0.4734799,-0.9177767,1.30907,0.4981919,-0.9417759,1.333294,0.4973699,-0.9258549,1.345166,0.49022,-0.9141248,1.321665,0.487296,-0.9521812,1.344222,0.4808298,-0.9287076,1.352293,0.4702335,-0.9129241,1.326854,0.4759792,-0.9684477,1.345551,0.4699894,-0.9438454,1.349674,0.4592103,-0.9280738,1.326534,0.4575488,-0.9841841,1.331545,0.4465396,-0.965695,1.323084,0.4366277,-0.9568295,1.276435,0.4692177,-0.9843174,0.06337012,
1529580754927,1.246305,0.4313947,-0.9879704,1.267399,0.4416026,-0.9573898,1.285792,0.4428134,-0.9400917,1.312626,0.4632104,-0.9643452,1.337138,0.4632299,-0.9481649,1.3505,0.459104,-0.936429,1.325803,0.4532559,-0.9754102,1.350987,0.4516094,-0.953237,1.363804,0.4466173,-0.93757,1.331118,0.4412898,-0.9913628,1.353475,0.4412843,-0.9687593,1.364318,0.4369192,-0.9521383,1.331403,0.4228045,-1.005451,1.342243,0.417147,-0.9863255,1.338818,0.4084952,-0.9740328,1.279155,0.4330658,-1.005536,0.06682745,
1529580754955,1.24529,0.3894659,-1.013285,1.263326,0.4030773,-0.9826182,1.281546,0.4042977,-0.9653873,1.311065,0.4213912,-0.986477,1.335312,0.4246504,-0.9696273,1.34966,0.4248517,-0.9582223,1.325713,0.4120225,-0.9969759,1.3517,0.4155034,-0.9754468,1.366767,0.4158238,-0.9608394,1.332399,0.3992379,-1.012042,1.355731,0.4040841,-0.9906088,1.369534,0.4053051,-0.9753509,1.334482,0.3814446,-1.025327,1.349787,0.3823877,-1.006899,1.354053,0.378365,-0.9921495,1.280687,0.388523,-1.028159,0.07150742,
1529580754980,1.242586,0.3645261,-1.026884,1.259472,0.3789903,-0.9964601,1.27784,0.3790945,-0.9795589,1.309389,0.3940621,-0.9982231,1.333433,0.3981291,-0.9811476,1.347956,0.3997905,-0.9701197,1.324323,0.3847355,-1.008695,1.350593,0.3899491,-0.9877728,1.366389,0.3923573,-0.9742032,1.331236,0.3715191,-1.023641,1.355305,0.3782079,-1.003459,1.370475,0.3820333,-0.9900714,1.333553,0.3546164,-1.037299,1.351367,0.3598238,-1.021542,1.361829,0.3617002,-1.009195,1.279284,0.3612511,-1.040333,0.07371385,
1529580755007,1.240765,0.3213145,-1.050867,1.257297,0.3354191,-1.020627,1.276356,0.334119,-1.004801,1.309136,0.3476449,-1.020926,1.333829,0.3518601,-1.004785,1.349036,0.3545737,-0.9949405,1.32399,0.3396016,-1.032363,1.351071,0.3454517,-1.012633,1.367649,0.3487654,-1.000235,1.330873,0.3272823,-1.048429,1.35601,0.3345973,-1.029802,1.372099,0.3392353,-1.017816,1.333033,0.3119578,-1.063575,1.352154,0.3193299,-1.050352,1.364844,0.3240438,-1.041176,1.278286,0.3173544,-1.064328,0.07614422,
1529580755039,1.240765,0.3213145,-1.050867,1.257297,0.3354191,-1.020627,1.276356,0.334119,-1.004801,1.309136,0.3476449,-1.020926,1.333829,0.3518601,-1.004785,1.349036,0.3545737,-0.9949405,1.32399,0.3396016,-1.032363,1.351071,0.3454517,-1.012633,1.367649,0.3487654,-1.000235,1.330873,0.3272823,-1.048429,1.35601,0.3345973,-1.029802,1.372099,0.3392353,-1.017816,1.333033,0.3119578,-1.063575,1.352154,0.3193299,-1.050352,1.364844,0.3240438,-1.041176,1.278286,0.3173544,-1.064328,0.07614422,
1529580755058,1.240765,0.3213145,-1.050867,1.257297,0.3354191,-1.020627,1.276356,0.334119,-1.004801,1.309136,0.3476449,-1.020926,1.333829,0.3518601,-1.004785,1.349036,0.3545737,-0.9949405,1.32399,0.3396016,-1.032363,1.351071,0.3454517,-1.012633,1.367649,0.3487654,-1.000235,1.330873,0.3272823,-1.048429,1.35601,0.3345973,-1.029802,1.372099,0.3392353,-1.017816,1.333033,0.3119578,-1.063575,1.352154,0.3193299,-1.050352,1.364844,0.3240438,-1.041176,1.278286,0.3173544,-1.064328,0.07614422,
