time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528897489322,0.888587,0.9142416,-0.8947508,0.8595575,0.9185239,-0.8712564,0.8436353,0.9085418,-0.8566053,0.8743032,0.9346165,-0.8347692,0.85291,0.9300779,-0.8425869,0.8532591,0.9219388,-0.8575755,0.8753974,0.9160098,-0.8299807,0.8529356,0.9141177,-0.8429908,0.8557653,0.9088455,-0.8615967,0.8800093,0.8948238,-0.8292456,0.8594075,0.8951274,-0.8423322,0.862674,0.8929498,-0.8611198,0.8836735,0.8761492,-0.8300925,0.8665233,0.8799011,-0.8378558,0.8675652,0.8805543,-0.8530471,0.90312,0.9005913,-0.8647531,0.01652384,
1528897489376,0.9011797,0.9012883,-0.906157,0.8730371,0.9068469,-0.8816575,0.8576617,0.8983107,-0.8654532,0.8885989,0.9245023,-0.8473521,0.8671784,0.9184832,-0.8543071,0.8673239,0.9094607,-0.8688297,0.8906657,0.9059585,-0.8423272,0.8688011,0.9020655,-0.8555688,0.8726407,0.896214,-0.8737922,0.8961327,0.8853117,-0.8408218,0.8761839,0.8837885,-0.8546306,0.8804487,0.8806885,-0.8730857,0.9003423,0.8669673,-0.8407444,0.8838978,0.8694824,-0.8498368,0.8864583,0.8691741,-0.8648192,0.9173436,0.8898652,-0.8760602,0.01513538,
1528897489446,0.9148899,0.8854144,-0.9177936,0.8874662,0.8923206,-0.8925998,0.8723279,0.8856059,-0.875145,0.9034694,0.9084989,-0.8589098,0.8818771,0.9010159,-0.8647474,0.8813836,0.8914871,-0.8789738,0.9068756,0.8900661,-0.8539589,0.8849576,0.8843989,-0.8667053,0.8885678,0.8783959,-0.8849641,0.9135693,0.8699785,-0.8518952,0.8930877,0.8669043,-0.8650375,0.896478,0.8635888,-0.8836781,0.9187911,0.8517861,-0.8513638,0.9017986,0.8532963,-0.8598795,0.9034666,0.8535008,-0.8750632,0.932907,0.8748407,-0.8878753,0.01145662,
1528897489516,0.9247906,0.8787048,-0.9299826,0.8972752,0.8856823,-0.904744,0.8815341,0.8797705,-0.8873138,0.9129703,0.895877,-0.8693669,0.8916187,0.887849,-0.8757404,0.8913871,0.8791904,-0.8905163,0.9171109,0.8775511,-0.8651856,0.8947921,0.8718795,-0.8777493,0.8976741,0.8668435,-0.8964416,0.9245745,0.8575413,-0.8642174,0.9032642,0.8545752,-0.8767092,0.9052894,0.8524931,-0.8957409,0.9305193,0.8393313,-0.8649833,0.9126648,0.8407919,-0.8725199,0.9127407,0.8425168,-0.8877262,0.9433894,0.8655028,-0.9005175,0.01037662,
1528897489576,0.9322717,0.8635592,-0.9402691,0.9035592,0.872203,-0.9163827,0.8862442,0.8707089,-0.8989278,0.9185371,0.8808706,-0.8787555,0.8969134,0.8708681,-0.883267,0.8955547,0.8609914,-0.8971914,0.9248591,0.8622718,-0.8756698,0.9041415,0.8535246,-0.8888007,0.9087861,0.8483497,-0.9070646,0.9345294,0.8433945,-0.8742566,0.91504,0.8375906,-0.8876805,0.9194445,0.835265,-0.9062176,0.9424063,0.826287,-0.8743764,0.925732,0.8254305,-0.883132,0.9281309,0.8260013,-0.8981642,0.9522226,0.8521497,-0.9098468,0.01356943,
1528897489680,0.9357188,0.8591168,-0.9517225,0.9053957,0.8675606,-0.9296392,0.8865228,0.8672637,-0.9136597,0.9177314,0.8728678,-0.8896242,0.8961485,0.8628114,-0.8949257,0.8949698,0.8532319,-0.9090581,0.9245138,0.8540394,-0.8875214,0.9049283,0.8451504,-0.9019943,0.9109629,0.840529,-0.9199845,0.9347854,0.8353996,-0.8864017,0.9164118,0.8294662,-0.9009832,0.9221891,0.8277231,-0.9192025,0.9433018,0.8185791,-0.88679,0.9272625,0.8174148,-0.8963177,0.9307138,0.8182265,-0.9111092,0.9543139,0.8464262,-0.9206055,0.01701234,
1528897489723,0.9328761,0.8521945,-0.958313,0.9021108,0.8588645,-0.9362186,0.883733,0.8577063,-0.9197673,0.9146899,0.8713956,-0.8972913,0.8936391,0.8589954,-0.9003921,0.8923231,0.84776,-0.9132512,0.9233348,0.8534196,-0.8934525,0.9038477,0.8412191,-0.9061024,0.9090259,0.8353051,-0.9240075,0.9354554,0.8360461,-0.8906257,0.9167351,0.8268586,-0.9036144,0.9211121,0.8238142,-0.9220831,0.9456496,0.8201468,-0.8895235,0.9290971,0.8164324,-0.8979467,0.9311308,0.8161788,-0.9130499,0.9531416,0.8451517,-0.926695,0.01466896,
1528897489776,0.9324642,0.8499876,-0.9639801,0.9012237,0.8570693,-0.9426472,0.882414,0.8572065,-0.9264629,0.9139929,0.8716702,-0.9039757,0.893731,0.8574754,-0.9059739,0.8926837,0.8452328,-0.9179779,0.9237458,0.8550697,-0.8984333,0.9040224,0.8406079,-0.90928,0.907949,0.8331078,-0.9269499,0.9370993,0.8386471,-0.8945527,0.9178348,0.827177,-0.9059602,0.9204332,0.8226721,-0.924519,0.9484043,0.8234421,-0.8927211,0.9313918,0.8180109,-0.9002169,0.9317489,0.8168979,-0.9154967,0.9536927,0.8464661,-0.9319989,0.0179117,
1528897489829,0.9350164,0.8515412,-0.9653796,0.9034196,0.8593336,-0.9448068,0.8840426,0.8602489,-0.9292703,0.9158106,0.8709368,-0.9047053,0.8954464,0.8568376,-0.9072405,0.8943975,0.8448522,-0.9194804,0.9254662,0.8542609,-0.8995815,0.9058805,0.8400078,-0.9110105,0.9101565,0.8326066,-0.9286315,0.9388076,0.8376772,-0.8959703,0.9197462,0.8264625,-0.9079322,0.9228079,0.8222851,-0.9264586,0.9501001,0.8224308,-0.8945407,0.9332814,0.8171592,-0.9025679,0.9341762,0.8162581,-0.9178016,0.9559221,0.846432,-0.9329163,0.02097916,
1528897489902,0.9382737,0.8497419,-0.9653784,0.9063249,0.8583915,-0.9456725,0.8864541,0.8598362,-0.9308827,0.9174521,0.8682423,-0.903741,0.8960168,0.8558965,-0.9062114,0.8939313,0.8442342,-0.9186203,0.9264643,0.8500409,-0.9007611,0.9083483,0.8370048,-0.9141995,0.9152886,0.8305892,-0.9312613,0.9389911,0.8329933,-0.8974869,0.9217741,0.8230538,-0.911459,0.9281608,0.8196739,-0.9291908,0.9495515,0.8174732,-0.8960581,0.9341328,0.8131104,-0.905704,0.9381244,0.812253,-0.9203147,0.9576253,0.842414,-0.9325103,0.02120605,
