time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528897404546,1.09049,0.857943,-0.8891882,1.083026,0.8730807,-0.8552895,1.081781,0.8742584,-0.830678,1.118403,0.8680288,-0.832042,1.100943,0.8543426,-0.8265312,1.094636,0.8472315,-0.8406315,1.128641,0.8535503,-0.8320959,1.106393,0.8415111,-0.827933,1.099287,0.8348352,-0.8447884,1.139502,0.8360744,-0.8379328,1.117581,0.8268795,-0.8343553,1.10921,0.82272,-0.851074,1.147695,0.8200051,-0.8439666,1.130347,0.8162432,-0.8387151,1.122431,0.8148084,-0.851542,1.127608,0.8443965,-0.8768752,0.03154027,
1528897404575,1.080843,0.8524659,-0.8925904,1.070698,0.8680582,-0.8594938,1.067821,0.8702677,-0.8350598,1.106077,0.8657309,-0.8347272,1.088993,0.8513358,-0.8294088,1.083469,0.8434131,-0.8434122,1.116798,0.851505,-0.834316,1.095082,0.8384945,-0.8314006,1.089504,0.8314464,-0.8486842,1.128628,0.834505,-0.8392284,1.107245,0.8244045,-0.8371307,1.100706,0.819808,-0.8545256,1.137832,0.818825,-0.8443193,1.120594,0.8143585,-0.8403106,1.114086,0.8122348,-0.8538301,1.118304,0.8412942,-0.878457,0.0321841,
1528897404621,1.069449,0.8492462,-0.8962338,1.057002,0.8650402,-0.8638514,1.05235,0.8686436,-0.8397721,1.092466,0.8650514,-0.8379496,1.075718,0.8499019,-0.8324627,1.070749,0.8408612,-0.8460201,1.103545,0.8509164,-0.837584,1.082443,0.8367667,-0.8358398,1.078361,0.8291703,-0.8533279,1.116184,0.8343296,-0.8419335,1.095298,0.8232639,-0.841296,1.090277,0.8184558,-0.8591349,1.126152,0.8192383,-0.8463179,1.109017,0.8138691,-0.8435093,1.103817,0.8108605,-0.8574399,1.107065,0.8402892,-0.8809045,0.03390355,
1528897404655,1.061977,0.8503718,-0.8978804,1.048752,0.8662038,-0.8657978,1.043492,0.8699717,-0.8418672,1.083758,0.8661776,-0.8394959,1.067064,0.8508709,-0.8348395,1.062881,0.8419369,-0.8487391,1.095033,0.8522464,-0.8386225,1.073916,0.8380026,-0.8372152,1.070126,0.8302772,-0.8547218,1.107844,0.8357083,-0.8426448,1.086866,0.8245459,-0.8421854,1.081876,0.8195568,-0.8600006,1.117908,0.8206607,-0.8468761,1.100704,0.8151944,-0.8442724,1.095626,0.811954,-0.8582096,1.099396,0.8415881,-0.8818644,0.03477219,
1528897404681,1.05788,0.8492982,-0.8984687,1.044187,0.865008,-0.8665358,1.038706,0.8686826,-0.8426442,1.0789,0.8654891,-0.8400233,1.06238,0.8500231,-0.8356901,1.058495,0.8412715,-0.8497829,1.090359,0.8517674,-0.8388704,1.069367,0.8373666,-0.8376185,1.065721,0.8297538,-0.8551974,1.103384,0.8354377,-0.8426715,1.082519,0.8240396,-0.8422691,1.077678,0.8188809,-0.8600767,1.113685,0.8204234,-0.8467548,1.096504,0.8148455,-0.8442343,1.091462,0.8117124,-0.8582102,1.095221,0.8410464,-0.8820658,0.03455328,
1528897404707,1.052676,0.8500282,-0.8995717,1.038656,0.8655254,-0.8677287,1.033115,0.8688449,-0.8438101,1.072685,0.8661247,-0.8409935,1.056387,0.850439,-0.8372078,1.053176,0.8417659,-0.8515137,1.084389,0.8526906,-0.8394488,1.063493,0.8380536,-0.8382442,1.060039,0.8301841,-0.8557493,1.097672,0.8364459,-0.8430917,1.076788,0.8248168,-0.8426511,1.071853,0.8194735,-0.8603786,1.108156,0.821508,-0.8471415,1.090906,0.8157508,-0.8446058,1.08574,0.8125151,-0.8585079,1.089889,0.8420438,-0.882749,0.03456974,
1528897404747,1.051303,0.8478981,-0.9010977,1.037059,0.8635745,-0.8693917,1.031094,0.8672109,-0.8456038,1.070798,0.863622,-0.8422574,1.054142,0.8481869,-0.8386589,1.050705,0.8397075,-0.8530284,1.082262,0.8499676,-0.8406252,1.061061,0.8357166,-0.8397818,1.057515,0.8282599,-0.8574406,1.095309,0.8335911,-0.8441533,1.074231,0.8223179,-0.8440733,1.06942,0.8172714,-0.8619148,1.105669,0.8184044,-0.8480607,1.088234,0.8130578,-0.8457786,1.082982,0.8105385,-0.859796,1.088084,0.8393869,-0.8838422,0.03458535,
1528897404773,1.050021,0.8457065,-0.9021316,1.034907,0.861577,-0.8709539,1.02846,0.8652277,-0.8473151,1.068273,0.8618535,-0.8429394,1.05175,0.8462898,-0.8396723,1.048836,0.8377739,-0.854121,1.079881,0.8483775,-0.8408722,1.058819,0.8339744,-0.8402696,1.055699,0.8264,-0.8579421,1.093178,0.8320938,-0.8439951,1.072222,0.8206782,-0.8441221,1.067749,0.8155267,-0.8620107,1.103769,0.8169585,-0.8476062,1.086374,0.8115075,-0.8455018,1.081365,0.8089291,-0.8595851,1.086653,0.8375163,-0.8839726,0.0348598,
1528897404799,1.049415,0.844382,-0.902792,1.033462,0.8598045,-0.871839,1.026564,0.8629053,-0.8482836,1.066052,0.8601604,-0.8428748,1.049503,0.8445208,-0.8399943,1.046856,0.8360785,-0.8545328,1.077716,0.8466921,-0.8405879,1.056652,0.8322477,-0.8404729,1.053767,0.8249167,-0.8582827,1.0912,0.8304878,-0.8435105,1.070256,0.8190424,-0.8440943,1.066001,0.8141843,-0.8621179,1.101979,0.8154297,-0.8469918,1.084554,0.8099275,-0.8452049,1.079711,0.8076286,-0.85939,1.085573,0.8362561,-0.8837504,0.03421205,
1528897404834,1.047186,0.8451806,-0.9035357,1.030994,0.8608955,-0.8728424,1.023897,0.8643337,-0.8493809,1.063411,0.8617187,-0.8436253,1.046864,0.8459797,-0.8404389,1.044317,0.8369918,-0.8546716,1.075131,0.848246,-0.8412473,1.054129,0.8336051,-0.8410469,1.051425,0.8257939,-0.8586906,1.088694,0.8320664,-0.843988,1.067819,0.8203987,-0.8445909,1.063779,0.8150495,-0.8625349,1.09957,0.8170325,-0.8472655,1.082128,0.8113785,-0.8455287,1.077374,0.80864,-0.8596725,1.083279,0.8373603,-0.8842275,0.0345338,
1528897404866,1.04503,0.8455918,-0.9038423,1.028822,0.8612051,-0.8730679,1.021743,0.8648863,-0.8496132,1.061448,0.8627679,-0.8441535,1.045151,0.8467264,-0.8406259,1.042383,0.8376209,-0.854745,1.073442,0.8494638,-0.8418699,1.052656,0.8344698,-0.8414508,1.049724,0.8267545,-0.8591077,1.087291,0.8335377,-0.8446554,1.066572,0.8215585,-0.8450519,1.062271,0.8163575,-0.862988,1.098422,0.8187214,-0.8479391,1.081079,0.8128083,-0.8460146,1.076124,0.810189,-0.860118,1.081363,0.8386227,-0.8848686,0.0345796,
