time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528897297546,0.8624594,0.832217,-0.8994477,0.8261012,0.830978,-0.886663,0.8035888,0.8270555,-0.8769474,0.8326602,0.8402274,-0.8348224,0.8110468,0.8248957,-0.8365079,0.8057621,0.813122,-0.8481485,0.8429244,0.8258561,-0.8257324,0.8164494,0.8107218,-0.8287466,0.8069751,0.7999271,-0.8427954,0.8588604,0.8106574,-0.8220298,0.8331405,0.7971736,-0.8235096,0.8218865,0.7879344,-0.8367975,0.8737484,0.7952058,-0.8231642,0.8534764,0.7862537,-0.8229098,0.8429742,0.7816415,-0.8335325,0.8800319,0.8256611,-0.8634378,0.03206616,
1528897297571,0.8629107,0.8368969,-0.9036102,0.8264594,0.8374106,-0.8910344,0.8035256,0.8350772,-0.8816079,0.8331241,0.8461685,-0.8392808,0.8111366,0.8315855,-0.8412217,0.805946,0.8198309,-0.8528997,0.8429613,0.8315183,-0.8302312,0.8161778,0.8172078,-0.8337981,0.8068827,0.8065401,-0.8480607,0.8584655,0.8157768,-0.8264055,0.8324728,0.8030126,-0.8285371,0.8214551,0.794047,-0.8421811,0.8729213,0.799999,-0.8271418,0.8522896,0.7916992,-0.8270094,0.8416837,0.7872518,-0.837584,0.8802457,0.8299062,-0.8674665,0.03259559,
1528897297598,0.8633761,0.8426625,-0.9074845,0.8267938,0.8433666,-0.8953097,0.8035417,0.8416418,-0.8863754,0.8328125,0.8515379,-0.8435546,0.8106933,0.8373114,-0.8460848,0.8057163,0.8256217,-0.8579154,0.8425017,0.8366528,-0.8346615,0.8156818,0.8226815,-0.8390196,0.8066719,0.8121554,-0.8535802,0.8579028,0.8206705,-0.8308735,0.8319303,0.8081415,-0.8338733,0.821329,0.7994162,-0.8479848,0.8722865,0.8048944,-0.8314782,0.8515219,0.7968241,-0.8317243,0.8410074,0.7924993,-0.8424306,0.8802894,0.8351424,-0.8712634,0.03273142,
1528897297632,0.865043,0.8508645,-0.9146045,0.828299,0.8527762,-0.9030715,0.8045976,0.8528354,-0.8949935,0.8332515,0.8611565,-0.8517159,0.810783,0.8477108,-0.8548325,0.8059735,0.8359468,-0.866644,0.8424984,0.8458979,-0.8426059,0.8155347,0.8326307,-0.8477941,0.8068768,0.8221861,-0.862624,0.8574955,0.8294562,-0.8383675,0.8314266,0.8175238,-0.8421533,0.8212568,0.8090255,-0.8566893,0.8715441,0.8134179,-0.8384073,0.8505863,0.8058894,-0.8389362,0.840212,0.8017392,-0.8498218,0.8810143,0.8432101,-0.8782204,0.03302747,
1528897297664,0.8653083,0.8557693,-0.9207284,0.8287027,0.8587584,-0.9090386,0.8048832,0.8606024,-0.9013717,0.8334697,0.8696058,-0.8588895,0.8109398,0.8564429,-0.8617121,0.8064516,0.844136,-0.8730501,0.8426719,0.8542693,-0.8492916,0.8159441,0.8408762,-0.8546001,0.8078772,0.8299205,-0.8693822,0.8574848,0.8378255,-0.8443404,0.8316782,0.8258195,-0.8484365,0.8221743,0.8169423,-0.8631853,0.871343,0.8217794,-0.8434417,0.8504388,0.8144068,-0.8440652,0.840439,0.8100348,-0.8551842,0.8811231,0.8497644,-0.8843681,0.0327981,
1528897297691,0.8660688,0.8615733,-0.9264971,0.8294334,0.8647033,-0.9149756,0.8055283,0.8671358,-0.9076908,0.8335491,0.8754467,-0.8651885,0.8112797,0.862246,-0.8683717,0.8074265,0.8498821,-0.8798468,0.8428393,0.8598455,-0.8557063,0.8166953,0.8461027,-0.8618605,0.8096769,0.8352051,-0.8771743,0.8576896,0.8434431,-0.8506403,0.8324848,0.8311114,-0.8557494,0.8241562,0.8224306,-0.8712518,0.8715841,0.8276045,-0.849424,0.8509065,0.8200693,-0.8506548,0.8415651,0.8158317,-0.8623397,0.8815697,0.855664,-0.8901558,0.03281133,
1528897297717,0.8674665,0.8651155,-0.930012,0.8308813,0.8691784,-0.9186633,0.8070034,0.8724876,-0.9116296,0.8347203,0.8787051,-0.8687457,0.8123782,0.8661366,-0.8723559,0.8088382,0.8540332,-0.8841539,0.8437141,0.862457,-0.8597647,0.8178705,0.8491901,-0.8669465,0.8117083,0.8388019,-0.8829335,0.8582042,0.8456915,-0.8548016,0.8332888,0.8338659,-0.8609185,0.8258776,0.8258535,-0.8771762,0.8717477,0.8296891,-0.8536121,0.8511478,0.8226205,-0.8554898,0.8424735,0.8189477,-0.8678021,0.8825611,0.8582125,-0.8937497,0.03314887,
1528897297744,0.8677438,0.8670231,-0.933264,0.8312507,0.8717077,-0.9218764,0.8074347,0.8755079,-0.9148786,0.8350868,0.8816288,-0.8722538,0.8127771,0.8691804,-0.8757483,0.8094401,0.8569165,-0.8874173,0.844091,0.8651407,-0.8634038,0.818657,0.8516831,-0.8710508,0.8132281,0.8412441,-0.8872548,0.8584702,0.8483828,-0.858325,0.8340027,0.8364474,-0.8651567,0.8274527,0.8284995,-0.8818061,0.8718412,0.83251,-0.8568254,0.8514463,0.8255428,-0.8593681,0.8435434,0.8219629,-0.8721907,0.8828291,0.8604419,-0.8969791,0.03322327,
1528897297772,0.8698394,0.8691271,-0.9384782,0.8334479,0.8744072,-0.9270144,0.8097298,0.8782309,-0.919767,0.8370136,0.8848741,-0.8779105,0.8147978,0.8727707,-0.8815163,0.8119189,0.860514,-0.8932636,0.8458673,0.8677199,-0.8697346,0.82117,0.8541213,-0.8787094,0.8170398,0.8439494,-0.8954337,0.8598926,0.8508509,-0.8645418,0.8361365,0.8389372,-0.8729369,0.8309637,0.8314448,-0.890257,0.8728129,0.8351183,-0.8626901,0.8527513,0.8284347,-0.8666528,0.8459601,0.8251885,-0.8802112,0.8846164,0.8626308,-0.9021888,0.03195477,
1528897297797,0.871236,0.8709837,-0.9417922,0.8346809,0.8750852,-0.9302391,0.8111625,0.8761835,-0.921919,0.8370962,0.8861469,-0.8822321,0.8153862,0.8736986,-0.8867066,0.8134236,0.861629,-0.8987985,0.8460065,0.8687297,-0.87458,0.8229028,0.8547671,-0.8855001,0.8213269,0.8453422,-0.9029912,0.85994,0.8519694,-0.8692572,0.8375123,0.8398814,-0.8796234,0.8345401,0.8332506,-0.8977244,0.8727245,0.8364984,-0.8671136,0.8533635,0.8297578,-0.8727273,0.848209,0.82711,-0.88708,0.8852105,0.8645729,-0.9055334,0.02741353,
