time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528895866173,1.137105,0.86946,-0.8591172,1.135445,0.8554511,-0.8233407,1.137107,0.8429283,-0.8017856,1.176874,0.8665985,-0.7965889,1.173311,0.8470385,-0.7775458,1.164263,0.8324258,-0.7757691,1.192163,0.855513,-0.804558,1.185733,0.8334753,-0.7825915,1.17321,0.8184444,-0.7788743,1.20425,0.8452982,-0.8211069,1.19725,0.8238732,-0.801435,1.184174,0.8095846,-0.7968107,1.211569,0.8348497,-0.8392937,1.204731,0.8190222,-0.8253601,1.191467,0.8112783,-0.8233138,1.174562,0.8673118,-0.8564799,0.03904592,
1528895866210,1.113324,0.8802892,-0.865379,1.107199,0.8700668,-0.8287519,1.104995,0.8608577,-0.8055297,1.152933,0.879192,-0.7999865,1.151856,0.8636549,-0.7761871,1.14542,0.8498608,-0.7674519,1.168308,0.8672435,-0.8065125,1.164856,0.849351,-0.7794671,1.15583,0.8350258,-0.7684082,1.18079,0.8556046,-0.8220458,1.176743,0.8373666,-0.7977675,1.166865,0.8233827,-0.7874492,1.187143,0.842989,-0.8401015,1.180362,0.8283713,-0.8246733,1.167455,0.8201582,-0.8213658,1.15152,0.8756027,-0.8609022,0.05661286,
1528895866240,1.08707,0.8977674,-0.8734051,1.077769,0.8892437,-0.8370105,1.07314,0.8811462,-0.8137274,1.126062,0.892989,-0.8061698,1.125976,0.8798454,-0.7805046,1.121155,0.8680527,-0.7680394,1.140875,0.8797255,-0.8121389,1.13879,0.8642236,-0.7831237,1.13163,0.8517125,-0.768692,1.152905,0.8669509,-0.8273456,1.150484,0.8506665,-0.8010802,1.142642,0.8379943,-0.7875884,1.157643,0.8530834,-0.8455945,1.150373,0.8391123,-0.8296664,1.137329,0.8313879,-0.8256084,1.125096,0.8888685,-0.8676438,0.06755918,
1528895866280,1.060617,0.9202133,-0.8816504,1.047861,0.9154061,-0.845642,1.04076,0.9095243,-0.8223201,1.096988,0.9134331,-0.8119619,1.0961,0.9028856,-0.7850537,1.091325,0.8931037,-0.7708542,1.111899,0.8988288,-0.8169128,1.110459,0.8860711,-0.7863891,1.104631,0.8756768,-0.7697193,1.124318,0.8848347,-0.8312863,1.124538,0.8713289,-0.8030188,1.119885,0.8607487,-0.7865362,1.129859,0.8696868,-0.8488882,1.127478,0.8563998,-0.8298021,1.118984,0.8473427,-0.8200459,1.097945,0.9068066,-0.8737285,0.07399436,
1528895866307,1.035839,0.9333192,-0.8886206,1.020883,0.9304334,-0.8532537,1.0122,0.9258418,-0.8301641,1.0692,0.926422,-0.8169646,1.067517,0.9170223,-0.7896466,1.062374,0.908035,-0.7750331,1.084545,0.9112452,-0.8209688,1.083032,0.899551,-0.7900237,1.077096,0.8897976,-0.7730091,1.097461,0.8967873,-0.8345193,1.098487,0.8845923,-0.8055979,1.094659,0.8749071,-0.7883649,1.103761,0.881014,-0.8515989,1.103437,0.8683854,-0.8316293,1.097125,0.8593189,-0.8202382,1.072664,0.9183457,-0.878656,0.07664176,
1528895866333,1.017528,0.9415087,-0.8909339,1.000818,0.9407461,-0.8562645,0.9909712,0.937351,-0.8334366,1.047343,0.9367417,-0.8175855,1.043182,0.9285343,-0.7902457,1.036341,0.9201208,-0.7759716,1.062857,0.9210037,-0.8202842,1.059043,0.9105726,-0.7892303,1.051338,0.9014605,-0.7725376,1.076388,0.9057301,-0.8326606,1.075941,0.8948041,-0.8033233,1.070796,0.8858247,-0.786031,1.083833,0.8892798,-0.8487718,1.084688,0.8780087,-0.8279058,1.080006,0.8696232,-0.8152237,1.053615,0.9256998,-0.878697,0.07521649,
1528895866362,0.9960017,0.9498928,-0.89639,0.9763516,0.9506718,-0.8633079,0.964494,0.9480923,-0.8413485,1.020063,0.9467197,-0.82076,1.012767,0.9396982,-0.7938743,1.003654,0.9318102,-0.7806501,1.03528,0.9302268,-0.8217168,1.028211,0.9211471,-0.7909979,1.017881,0.9127383,-0.7754244,1.049183,0.9137427,-0.8325886,1.045911,0.9037254,-0.8032687,1.038224,0.8952718,-0.7866801,1.057792,0.8965696,-0.8475974,1.058442,0.8862842,-0.8262101,1.053962,0.8785868,-0.8129892,1.030498,0.9331419,-0.8808188,0.07404642,
1528895866393,0.9801884,0.9525977,-0.9000647,0.9583598,0.9543281,-0.8684065,0.9449576,0.952647,-0.8472571,0.9996046,0.9519467,-0.8231158,0.9899983,0.9453275,-0.7969908,0.9793677,0.9373628,-0.7850766,1.014683,0.9354533,-0.8225849,1.004856,0.9271009,-0.7925891,0.9926099,0.9188968,-0.7784091,1.029122,0.91851,-0.8320147,1.023076,0.9091368,-0.8030944,1.013086,0.9009039,-0.78772,1.038901,0.9008934,-0.8458627,1.03821,0.8912675,-0.8242342,1.03261,0.8839753,-0.8112097,1.013687,0.9365229,-0.8818416,0.07269167,
1528895866427,0.9590111,0.9574764,-0.9047141,0.9344282,0.9592399,-0.8751333,0.9191246,0.9579046,-0.8552812,0.9717365,0.9590032,-0.8266211,0.9592659,0.9520539,-0.801967,0.9471351,0.9436084,-0.79208,0.9864577,0.9427748,-0.8244396,0.9728882,0.934492,-0.7961044,0.9585183,0.9260942,-0.7843076,1.001635,0.9256495,-0.8321244,0.9916735,0.9163455,-0.8044919,0.9789997,0.9079874,-0.7914088,1.012915,0.9078568,-0.8445078,1.009459,0.8984725,-0.8231825,1.001515,0.8913389,-0.8113849,0.9910233,0.9426147,-0.8833295,0.07059292,
1528895866453,0.9359642,0.9549785,-0.9110544,0.908962,0.9547756,-0.8835911,0.8921289,0.9521444,-0.8651602,0.9425217,0.9555991,-0.8322393,0.9280525,0.9476506,-0.8090262,0.9152005,0.938672,-0.8006914,0.9570668,0.9394784,-0.8292741,0.9410226,0.9301292,-0.8026123,0.9256593,0.9211689,-0.7926979,0.9729276,0.9225895,-0.83609,0.9604504,0.9121795,-0.8098995,0.9466237,0.9032398,-0.7985075,0.9854685,0.9050865,-0.8478914,0.9799997,0.8946775,-0.8275295,0.9707155,0.8869829,-0.8171772,0.9665463,0.9407926,-0.887453,0.06978559,
