time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528895895294,0.8844301,0.9861929,-0.9450619,0.8532794,0.9879772,-0.922424,0.8333349,0.9876473,-0.9071751,0.8785202,0.9929646,-0.8669459,0.859493,0.986148,-0.8469796,0.8449965,0.9774972,-0.8418388,0.891749,0.9772301,-0.8605499,0.8704749,0.9701536,-0.8371451,0.8530242,0.9621586,-0.8307158,0.9075463,0.9588026,-0.863808,0.8894262,0.9496645,-0.8407718,0.8728736,0.9414405,-0.8334718,0.920638,0.9397529,-0.8725036,0.909535,0.929682,-0.854669,0.8966846,0.9228122,-0.8487309,0.9105416,0.97395,-0.9161063,0.06714043,
1528895895321,0.8884432,0.9821439,-0.9470247,0.857749,0.98343,-0.9237359,0.8381138,0.9828629,-0.9080958,0.8838944,0.988771,-0.868903,0.8653206,0.9815377,-0.848621,0.8510791,0.9726501,-0.843151,0.8974661,0.9732752,-0.8627896,0.8766688,0.9657581,-0.8390594,0.8594831,0.9574733,-0.8322517,0.9134881,0.9551409,-0.8663565,0.8958563,0.9456533,-0.8430514,0.8795882,0.9371595,-0.8353977,0.9267118,0.9363238,-0.875299,0.9160044,0.9260327,-0.8573186,0.903396,0.9189413,-0.851105,0.9152849,0.9703613,-0.9186329,0.06700924,
1528895895348,0.8912235,0.9777843,-0.9476675,0.8611885,0.9785925,-0.9235085,0.8419696,0.9778783,-0.9073589,0.8886839,0.9840544,-0.8695247,0.8708041,0.9762011,-0.8488314,0.8569152,0.966971,-0.8429905,0.9026844,0.968837,-0.863818,0.8826465,0.9606818,-0.8396286,0.8658296,0.9519934,-0.8323929,0.9189284,0.9510542,-0.8678557,0.9020585,0.9410478,-0.8441892,0.8861811,0.9321871,-0.8360969,0.9322408,0.9325154,-0.8771932,0.9221485,0.9218726,-0.8590457,0.9098677,0.9144833,-0.8524922,0.9190148,0.9664769,-0.9200821,0.06697493,
1528895895382,0.8937414,0.9763303,-0.9487019,0.8638537,0.9780585,-0.924413,0.8447477,0.9777812,-0.9081249,0.8917586,0.9828967,-0.8705317,0.8738605,0.9755739,-0.8496656,0.8598158,0.9666753,-0.84373,0.9054347,0.9673414,-0.8648522,0.8853698,0.9596875,-0.8405205,0.8684174,0.9513745,-0.8331896,0.9212093,0.9492493,-0.8689095,0.9041828,0.9397526,-0.8451404,0.8881295,0.9312907,-0.837015,0.934052,0.9303698,-0.8782343,0.9237386,0.9200386,-0.8600214,0.9112974,0.9129707,-0.8534517,0.9215067,0.9644066,-0.9211681,0.06706043,
1528895895414,0.8948536,0.9751133,-0.9492378,0.8651555,0.9766157,-0.9247049,0.846217,0.9761095,-0.9082315,0.8935015,0.9820935,-0.8711358,0.8757073,0.974642,-0.8502513,0.8617316,0.9656151,-0.8443502,0.9072765,0.9666265,-0.8655214,0.8872846,0.9588321,-0.8412051,0.8703715,0.9503805,-0.8339438,0.9231018,0.948645,-0.8696201,0.9061414,0.9391091,-0.8458337,0.8901231,0.9305784,-0.8377023,0.935953,0.9297928,-0.8789564,0.9256688,0.9194588,-0.8607289,0.9132539,0.9123657,-0.8541242,0.9229493,0.9635708,-0.9218833,0.06657068,
1528895895440,0.895947,0.97463,-0.9496469,0.8662821,0.9760072,-0.9250673,0.8473746,0.975381,-0.9085644,0.8948263,0.9812505,-0.8714768,0.8770624,0.9737764,-0.8505718,0.8630688,0.9647795,-0.8446786,0.9085468,0.9656675,-0.8659915,0.8885845,0.9577928,-0.8416727,0.8716615,0.9493591,-0.8344144,0.9242848,0.9476748,-0.8702253,0.90734,0.9380894,-0.8464382,0.8913128,0.9295857,-0.838311,0.9370432,0.9288149,-0.8796983,0.9267684,0.9184151,-0.8614901,0.9143609,0.9113303,-0.854871,0.9240849,0.962887,-0.9224011,0.06663407,
1528895895467,0.8970907,0.9747059,-0.9506052,0.8675402,0.9759623,-0.9258817,0.8487003,0.9752179,-0.9093084,0.8964608,0.9801548,-0.8722277,0.8788731,0.9726817,-0.8511806,0.8648289,0.9637944,-0.8452947,0.9099354,0.9642737,-0.8671022,0.8900812,0.9563286,-0.8427228,0.8731015,0.9480127,-0.835495,0.9253596,0.9461838,-0.8717196,0.908408,0.936543,-0.847967,0.8922844,0.9281551,-0.8399599,0.9378172,0.9273438,-0.8815392,0.92748,0.9169222,-0.8633806,0.9149842,0.9099569,-0.8568321,0.9251527,0.9621942,-0.9236729,0.06699546,
1528895895494,0.8970309,0.9750658,-0.9503217,0.8676471,0.9763217,-0.9254006,0.8489199,0.9755697,-0.9087009,0.8968425,0.9807291,-0.8719278,0.8794154,0.9733865,-0.8507292,0.8653816,0.9645286,-0.8448159,0.9102791,0.9648106,-0.8668646,0.8905678,0.9570021,-0.8423545,0.8735861,0.948736,-0.8351049,0.9256066,0.9466679,-0.871549,0.9087518,0.9371536,-0.847702,0.8926046,0.9288268,-0.8397202,0.9379467,0.9277953,-0.881402,0.9276533,0.9175043,-0.8631628,0.9151164,0.9106297,-0.8566232,0.9251618,0.9625678,-0.9235463,0.06688941,
1528895895520,0.8972018,0.9759498,-0.949542,0.8679928,0.9772637,-0.9244192,0.8493794,0.9765621,-0.9075895,0.8975361,0.9817694,-0.8711551,0.8802444,0.9744788,-0.8498508,0.866245,0.965598,-0.8439112,0.9110421,0.9658892,-0.8661468,0.8914999,0.9581562,-0.8414991,0.8745549,0.9498842,-0.8341892,0.9263717,0.9477494,-0.8708981,0.9096896,0.9383024,-0.8469233,0.8935767,0.9299766,-0.838894,0.9386688,0.9288741,-0.8807967,0.9285104,0.9186546,-0.8624558,0.9159943,0.9118041,-0.8558657,0.925496,0.9634897,-0.9229441,0.06678016,
1528895895547,0.8978237,0.973937,-0.9474954,0.8687988,0.9750247,-0.9221448,0.8502712,0.9743921,-0.9052092,0.8987572,0.980323,-0.8691689,0.8817872,0.9727821,-0.8477228,0.8680131,0.9636166,-0.8416476,0.9126613,0.964813,-0.8641456,0.8934931,0.956872,-0.8393037,0.8767632,0.9482847,-0.8318517,0.928333,0.9469624,-0.8688936,0.9120775,0.9373804,-0.8446931,0.8962225,0.9287884,-0.8363721,0.940922,0.9282593,-0.8787646,0.9311486,0.9179878,-0.8602462,0.918866,0.9109163,-0.8534082,0.926649,0.9622416,-0.9210592,0.0668653,
