time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528896047244,1.00269,0.8985977,-0.8454152,0.9712943,0.8797136,-0.833442,0.9516108,0.8664553,-0.8252007,0.9686396,0.8867635,-0.7781993,0.9505405,0.8666646,-0.770927,0.943156,0.8511926,-0.7751265,0.9852349,0.8786752,-0.7667527,0.9640247,0.8572493,-0.7562108,0.9529935,0.8408275,-0.7602574,1.008653,0.8710608,-0.7633712,0.9912549,0.849728,-0.7508519,0.9801961,0.8334034,-0.753112,1.031392,0.8621287,-0.7671185,1.02126,0.844201,-0.7570152,1.012284,0.8314961,-0.7592263,1.01999,0.8957205,-0.8103505,0.05302692,
1528896047285,1.000409,0.8982717,-0.8596418,0.9705591,0.8781881,-0.8457998,0.9518416,0.8642703,-0.8364635,0.9702572,0.8848639,-0.7906646,0.9530007,0.8646265,-0.7817179,0.9453434,0.8491153,-0.7851337,0.9878188,0.8767289,-0.780282,0.9679849,0.8550082,-0.7675843,0.9567866,0.8384385,-0.7702645,1.01139,0.8694946,-0.778559,0.9954394,0.8480265,-0.764204,0.9844245,0.8315371,-0.7649518,1.033973,0.8608338,-0.7840474,1.025157,0.8426695,-0.7730383,1.016386,0.829694,-0.7742765,1.019323,0.8951106,-0.8260895,0.05391336,
1528896047312,0.9994658,0.8995316,-0.864587,0.970018,0.8794225,-0.8499497,0.9517075,0.8653392,-0.84008,0.9706253,0.8862906,-0.794867,0.9534154,0.8664092,-0.7852385,0.9455185,0.8510389,-0.7885692,0.9883835,0.8777916,-0.7849832,0.9687537,0.8564033,-0.771524,0.957316,0.8400121,-0.7739813,1.011841,0.8702655,-0.7839136,0.9960818,0.8491256,-0.7689822,0.9848547,0.8328285,-0.769612,1.034241,0.8613102,-0.7900003,1.025703,0.8433534,-0.7784699,1.016785,0.8304791,-0.7793643,1.018913,0.8959674,-0.8316791,0.05381609,
1528896047338,0.996789,0.9013374,-0.8729324,0.9686222,0.8805509,-0.8568093,0.9514767,0.8657266,-0.8459905,0.971386,0.8865719,-0.802189,0.9550618,0.8664349,-0.7918633,0.9471599,0.8511592,-0.795389,0.9894883,0.8776602,-0.7935678,0.9708478,0.8559077,-0.7795864,0.9594178,0.8396153,-0.7823001,1.012747,0.8700567,-0.7939508,0.9978006,0.8486692,-0.7787299,0.9865083,0.8324877,-0.7795751,1.034582,0.8611379,-0.8014467,1.026492,0.8430589,-0.7898518,1.017397,0.8303261,-0.7907003,1.017414,0.8970504,-0.8414722,0.05283327,
1528896047387,0.9935906,0.9013674,-0.878666,0.9672594,0.8803277,-0.8599936,0.951682,0.865083,-0.8475438,0.9733102,0.8879997,-0.8062059,0.9581441,0.867678,-0.7949224,0.9505087,0.8523074,-0.7984239,0.9919961,0.8793653,-0.7987809,0.9746449,0.8574229,-0.7837852,0.9634066,0.8410035,-0.7862703,1.015308,0.8721004,-0.8004783,1.001727,0.8507693,-0.7841874,0.9906012,0.8345137,-0.7846377,1.0367,0.8632472,-0.8092667,1.029732,0.8453134,-0.7968757,1.02068,0.8325611,-0.797155,1.016268,0.8980243,-0.8487804,0.05076765,
1528896047432,0.9919735,0.9039773,-0.8873599,0.9657562,0.8844573,-0.8669448,0.9500288,0.8704359,-0.8532895,0.9736637,0.8955039,-0.8139038,0.9587857,0.8754785,-0.8018233,0.9514881,0.8597676,-0.8046302,0.9924738,0.8877419,-0.8063948,0.9752182,0.8662658,-0.7907103,0.9642432,0.849535,-0.7925708,1.015987,0.8807443,-0.8079256,1.00256,0.8599721,-0.790879,0.991635,0.8435355,-0.7907227,1.037284,0.8717745,-0.8163444,1.030188,0.8544608,-0.8031797,1.021121,0.8417051,-0.8029047,1.015869,0.9031889,-0.8575548,0.04983651,
1528896047458,0.9897548,0.9086771,-0.8934197,0.9642164,0.8894067,-0.8719402,0.9490253,0.8754706,-0.8576083,0.9738752,0.9006771,-0.8196061,0.9593962,0.8804539,-0.8074622,0.9521409,0.864749,-0.8104008,0.9928251,0.8928505,-0.812716,0.975967,0.8711318,-0.7970227,0.9649966,0.8544031,-0.7989931,1.016243,0.8857856,-0.8149059,1.003198,0.8648078,-0.7978648,0.992241,0.8483796,-0.7977231,1.03722,0.876747,-0.8238949,1.030342,0.8593081,-0.8108197,1.021165,0.8466276,-0.810545,1.01454,0.9080433,-0.8644624,0.04850986,
1528896047498,0.9887931,0.9077311,-0.897037,0.9641204,0.8881087,-0.8748929,0.9498634,0.8736587,-0.8601449,0.9753366,0.8989269,-0.8231547,0.9612203,0.8782203,-0.8112614,0.9539506,0.8625122,-0.8142715,0.9943982,0.8909411,-0.8171186,0.9778922,0.8685089,-0.8019816,0.9669684,0.8517587,-0.8042375,1.017736,0.8840285,-0.8200037,1.005023,0.8624176,-0.8034359,0.9940972,0.8459432,-0.803478,1.038333,0.8753142,-0.8295811,1.031482,0.857561,-0.8168893,1.022212,0.844931,-0.8167379,1.014667,0.9071245,-0.8688315,0.04738472,
1528896047525,0.99042,0.91008,-0.8968151,0.9667033,0.8897836,-0.8742621,0.9534193,0.8745859,-0.8593748,0.9800526,0.899125,-0.8225762,0.9663057,0.878293,-0.8105665,0.9587371,0.8627633,-0.8137424,0.9992054,0.8907238,-0.817686,0.9831222,0.8680788,-0.8024675,0.9719152,0.8515431,-0.8048093,1.022282,0.8834922,-0.8219516,1.010024,0.8613896,-0.8057275,0.9989133,0.8450495,-0.8060288,1.0422,0.8749021,-0.8326962,1.035402,0.8567934,-0.8206226,1.025812,0.8444262,-0.8209794,1.017358,0.9083175,-0.8697813,0.04743801,
1528896047566,0.9890525,0.9098861,-0.9009295,0.9669024,0.8890218,-0.8773749,0.9552007,0.872943,-0.8621423,0.9837906,0.8962127,-0.8263423,0.9706601,0.8755174,-0.8135648,0.9625466,0.8602422,-0.8165293,1.002998,0.887302,-0.8232473,0.9876387,0.8647231,-0.8073239,0.9759496,0.8485358,-0.8094018,1.025526,0.8796902,-0.8296177,1.014005,0.8573431,-0.8132921,1.002549,0.8412801,-0.8135583,1.044202,0.871145,-0.8421943,1.03746,0.8528451,-0.8306008,1.027353,0.8409302,-0.8313103,1.017778,0.9063721,-0.8761061,0.04791474,
