time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528895993164,1.01111,1.18631,-0.7132642,0.9842919,1.194057,-0.6867512,0.9684072,1.197231,-0.6676046,1.010224,1.232562,-0.6506901,0.9946592,1.23364,-0.6271516,0.982823,1.226058,-0.6164816,1.026428,1.224172,-0.6401523,1.008077,1.225841,-0.6137621,0.9929245,1.21853,-0.6025317,1.045188,1.209675,-0.6368583,1.029798,1.210759,-0.6105295,1.015221,1.204365,-0.5986668,1.060929,1.191637,-0.6371287,1.051717,1.191504,-0.6158656,1.040025,1.186908,-0.606433,1.041156,1.195374,-0.6887378,0.06043486,
1528895993218,0.9991514,1.233176,-0.7007828,0.972034,1.242054,-0.6749315,0.9558965,1.246267,-0.6561907,0.9961083,1.284896,-0.6427383,0.9803792,1.287684,-0.6193901,0.9686133,1.281011,-0.6080235,1.012305,1.277737,-0.6312336,0.9937534,1.281162,-0.6050776,0.9787052,1.274697,-0.5931621,1.031145,1.263996,-0.6264985,1.015306,1.266735,-0.6005341,1.000718,1.260989,-0.5883412,1.047182,1.246335,-0.6249964,1.037445,1.247457,-0.6040035,1.025628,1.243217,-0.5945648,1.028335,1.245371,-0.6770552,0.06073637,
1528895993243,0.9942189,1.24671,-0.6967757,0.9670062,1.256188,-0.6712257,0.9507238,1.261071,-0.6527642,0.9900341,1.301434,-0.6416099,0.9744905,1.304975,-0.6182619,0.963052,1.298517,-0.6064452,1.006545,1.295453,-0.6298837,0.9881904,1.299755,-0.6037424,0.9734608,1.293444,-0.5913688,1.025825,1.282527,-0.6245738,1.010192,1.286162,-0.5986056,0.9959083,1.28064,-0.5859445,1.042325,1.265429,-0.6222835,1.032662,1.267277,-0.6013296,1.021006,1.2631,-0.5916643,1.023136,1.261112,-0.6740687,0.0608249,
1528895993284,0.9779178,1.269611,-0.6919002,0.9506038,1.279168,-0.6664721,0.9341982,1.284237,-0.6481748,0.9728901,1.325472,-0.6379347,0.9573822,1.329271,-0.6146405,0.9461268,1.322709,-0.6027517,0.9896008,1.320108,-0.6261692,0.9713198,1.324776,-0.6000733,0.9567627,1.318359,-0.5876153,1.00919,1.307545,-0.6206248,0.9937071,1.311419,-0.5946285,0.9796017,1.305808,-0.5818312,1.025875,1.29066,-0.6180809,1.016133,1.292499,-0.5972047,1.004499,1.288086,-0.5876179,1.006601,1.285063,-0.6697088,0.06070958,
1528895993324,0.9653774,1.283396,-0.6903755,0.9375622,1.292934,-0.665478,0.9207167,1.298066,-0.6476016,0.9596115,1.338996,-0.6360319,0.9442868,1.342924,-0.6125783,0.9330711,1.336569,-0.6005477,0.9762691,1.333699,-0.6240355,0.9582421,1.338483,-0.5977079,0.9437782,1.332296,-0.5850382,0.9957749,1.321303,-0.6183864,0.9804856,1.325447,-0.592208,0.9665294,1.320305,-0.5790163,1.012201,1.304152,-0.6157426,1.002175,1.305517,-0.5949454,0.9904945,1.300914,-0.5854695,0.9936845,1.298885,-0.6677102,0.06204228,
1528895993364,0.956987,1.288436,-0.6880373,0.9289751,1.297103,-0.6630389,0.9119666,1.301752,-0.6451797,0.9497896,1.343711,-0.6334434,0.9348953,1.347427,-0.6095704,0.924032,1.341254,-0.5970904,0.9665087,1.338738,-0.621435,0.9488202,1.342963,-0.5946749,0.934745,1.336729,-0.5815359,0.9862453,1.32707,-0.6159368,0.9711978,1.331017,-0.5894569,0.9576597,1.326087,-0.5756872,1.002972,1.31029,-0.6133808,0.9929197,1.31122,-0.5925155,0.9814796,1.30637,-0.5828314,0.9846879,1.304669,-0.6653668,0.06339224,
1528895993401,0.947577,1.290036,-0.6852344,0.9196191,1.297918,-0.6599251,0.902769,1.302008,-0.6417836,0.938725,1.345259,-0.6310294,0.9236593,1.348677,-0.6071445,0.9128462,1.342595,-0.5945272,0.9553484,1.340532,-0.6188936,0.9373671,1.344273,-0.5921727,0.9233535,1.338003,-0.5789202,0.9753129,1.329418,-0.6132433,0.9601146,1.333288,-0.5867266,0.9467338,1.328631,-0.5726541,0.9924173,1.313178,-0.6105409,0.9824467,1.314355,-0.5895483,0.9712807,1.309812,-0.5793574,0.9745989,1.306991,-0.6626724,0.06310327,
1528895993429,0.9428402,1.288465,-0.6849765,0.9151022,1.295807,-0.6592712,0.8984684,1.299502,-0.6408495,0.9340081,1.343291,-0.6303071,0.9191771,1.346507,-0.6062369,0.9085004,1.340352,-0.5935352,0.950633,1.338469,-0.6183143,0.9327903,1.341824,-0.5914462,0.9188903,1.335364,-0.5781579,0.9706801,1.327435,-0.6128694,0.9556437,1.331038,-0.5861945,0.9424153,1.32634,-0.5719723,0.9878464,1.311291,-0.6104121,0.9779599,1.312272,-0.5893573,0.9668858,1.307639,-0.5790991,0.9697968,1.305443,-0.6624995,0.06330849,
1528895993456,0.9393076,1.281884,-0.6856631,0.9118178,1.288317,-0.6594535,0.8954349,1.291409,-0.6407011,0.9300483,1.336198,-0.6305612,0.9154387,1.33883,-0.6062889,0.9050337,1.332313,-0.5935373,0.9467933,1.331542,-0.618825,0.9290624,1.334125,-0.5918118,0.9154,1.327132,-0.5785471,0.9671173,1.320909,-0.6136853,0.952213,1.323944,-0.5868607,0.9392008,1.318862,-0.5725655,0.9846011,1.305121,-0.6115414,0.9748278,1.305746,-0.5904193,0.9639078,1.300801,-0.5801497,0.9661931,1.299343,-0.6634496,0.06316435,
1528895993483,0.9373765,1.274469,-0.6855441,0.910182,1.279852,-0.6588025,0.8940951,1.282221,-0.6396927,0.9277272,1.327537,-0.6293423,0.9134979,1.329401,-0.6047634,0.90344,1.322476,-0.5919423,0.9445772,1.322919,-0.6179294,0.9270878,1.324415,-0.59068,0.9137414,1.316774,-0.5774496,0.96517,1.312692,-0.613239,0.950487,1.314841,-0.5861961,0.9377595,1.309236,-0.5718291,0.98285,1.297212,-0.6116312,0.9730549,1.297091,-0.5905106,0.9622605,1.291625,-0.5803735,0.9641051,1.292062,-0.6633688,0.06314985,
