time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528896083138,0.8521676,1.099035,-0.8156719,0.8227036,1.097827,-0.7908537,0.8046668,1.095399,-0.7735842,0.8367952,1.12383,-0.7472281,0.8168901,1.112325,-0.7315232,0.8058954,1.098662,-0.729946,0.8520274,1.114281,-0.737198,0.8282598,1.102806,-0.719435,0.8133606,1.089265,-0.71806,0.871883,1.100918,-0.7347081,0.8510028,1.08948,-0.7162017,0.835753,1.077013,-0.7136448,0.88953,1.086158,-0.7366675,0.8754285,1.077789,-0.7207499,0.8624316,1.069272,-0.718402,0.8773565,1.10371,-0.7867627,0.04377731,
1528896083180,0.8574653,1.046901,-0.834529,0.8282542,1.042222,-0.8098522,0.8106352,1.037166,-0.7927165,0.8433897,1.06168,-0.7622689,0.8251208,1.048071,-0.7455826,0.8141069,1.034475,-0.7427911,0.8589724,1.051777,-0.7539206,0.8366954,1.037693,-0.7355243,0.8220434,1.023872,-0.7332511,0.8793838,1.039526,-0.7533787,0.8600621,1.025927,-0.7341196,0.8453598,1.013045,-0.7302155,0.8974975,1.025697,-0.7576909,0.8846401,1.015139,-0.741784,0.8722762,1.005813,-0.7387826,0.8832247,1.048313,-0.8053638,0.05011827,
1528896083218,0.8678372,0.9834554,-0.8624061,0.8399382,0.9711921,-0.8388317,0.8233513,0.961176,-0.8228759,0.8538442,0.9834236,-0.7876747,0.8382565,0.9665312,-0.7707423,0.8281606,0.9523201,-0.7672515,0.8700494,0.9729596,-0.7815764,0.8504616,0.9544426,-0.7634698,0.8368948,0.9395339,-0.760749,0.8914289,0.9630325,-0.7830372,0.8751622,0.9458731,-0.7632213,0.8620439,0.931821,-0.7576482,0.9098304,0.9510142,-0.7908492,0.8987155,0.9367263,-0.7764983,0.8874083,0.9259183,-0.7744424,0.8931145,0.981327,-0.8336546,0.05652994,
1528896083259,0.8774953,0.9427384,-0.8880504,0.8519094,0.9258616,-0.8647497,0.8372636,0.9124787,-0.8493766,0.8664188,0.9346745,-0.8126889,0.8525885,0.9166955,-0.7951236,0.842808,0.9024636,-0.7908411,0.88283,0.9231372,-0.8087148,0.8652248,0.9029254,-0.7900269,0.8520774,0.88784,-0.7861663,0.9040622,0.9137203,-0.8122195,0.890132,0.8951402,-0.7915752,0.8780994,0.8808414,-0.784251,0.9211276,0.9019499,-0.8233185,0.910676,0.8856952,-0.8104656,0.8996367,0.8744787,-0.8086892,0.9028604,0.9379558,-0.8610823,0.0596443,
1528896083284,0.8816462,0.9271646,-0.8997306,0.8577232,0.9086773,-0.8759272,0.8446026,0.8939995,-0.8604062,0.8727779,0.9175124,-0.8241282,0.8605419,0.8990535,-0.8058582,0.8514854,0.8845289,-0.8009977,0.8894855,0.9061013,-0.8209739,0.8734681,0.884985,-0.8018336,0.8610362,0.8694083,-0.7976635,0.9106432,0.89748,-0.8252386,0.8980008,0.878284,-0.8043433,0.8866149,0.8635531,-0.7968994,0.9269887,0.8860785,-0.8376191,0.9165032,0.8691659,-0.8257815,0.9054846,0.8577911,-0.8247402,0.9075273,0.9224296,-0.8737199,0.06055102,
1528896083326,0.8892084,0.910496,-0.9223584,0.8670778,0.8893678,-0.8990721,0.8559415,0.8724828,-0.8843802,0.8835914,0.8956346,-0.8467601,0.8734463,0.8765421,-0.827795,0.8652925,0.8617445,-0.8222084,0.9009317,0.8842208,-0.8449583,0.8875994,0.8619872,-0.8248581,0.8763589,0.8458805,-0.8194633,0.9217685,0.8763456,-0.8509711,0.9112646,0.855775,-0.8301986,0.9008617,0.8403056,-0.8229568,0.9368503,0.8659286,-0.8654993,0.9263841,0.8480494,-0.8555779,0.9151823,0.8368465,-0.8563389,0.9158859,0.9044479,-0.8977925,0.06378157,
1528896083365,0.8948507,0.9035754,-0.9301972,0.8733643,0.8816447,-0.9071152,0.863059,0.8638613,-0.8929533,0.8905247,0.8869713,-0.8547004,0.8801053,0.8681723,-0.8356264,0.8715178,0.8536364,-0.8299648,0.9080247,0.8749651,-0.8536203,0.8950287,0.852953,-0.8330582,0.8836533,0.837097,-0.8271725,0.9285114,0.8665812,-0.8606618,0.9183733,0.8458424,-0.8399669,0.9078023,0.8304194,-0.8328675,0.9426603,0.8561376,-0.8760786,0.9319625,0.8383787,-0.8664842,0.92029,0.8277649,-0.8677841,0.921812,0.896135,-0.9066331,0.06437114,
1528896083420,0.9043976,0.9036295,-0.9375628,0.8839635,0.8817664,-0.913514,0.8742678,0.8639007,-0.8990093,0.9033729,0.887113,-0.8620098,0.8922236,0.8688742,-0.8430183,0.8827956,0.8546722,-0.8378763,0.9210252,0.8746817,-0.8618308,0.9079328,0.8534482,-0.8407218,0.8959098,0.8380971,-0.8348541,0.9410369,0.8653799,-0.8703682,0.9311534,0.8447825,-0.8496025,0.9200826,0.8296148,-0.842787,0.954016,0.8546481,-0.8866457,0.9433267,0.8372517,-0.876617,0.9311454,0.8272632,-0.87773,0.9324832,0.8953937,-0.9156782,0.06241102,
1528896083445,0.9078634,0.9047398,-0.9392304,0.8876559,0.8828031,-0.9150789,0.8781865,0.8648326,-0.9005516,0.9070606,0.8886676,-0.8636479,0.8955235,0.8705174,-0.8448881,0.8858577,0.8563503,-0.8401393,0.9247661,0.8762662,-0.8634733,0.9113423,0.8552158,-0.8424919,0.8990508,0.8399621,-0.8369718,0.9448004,0.8667941,-0.8721345,0.9346994,0.8462278,-0.8515325,0.9233673,0.8311119,-0.8450911,0.9577259,0.8560219,-0.8884131,0.946933,0.8387555,-0.8784109,0.9346172,0.8290334,-0.8798262,0.9361112,0.8966673,-0.9174374,0.06148525,
1528896083486,0.9320893,0.9052932,-0.9308976,0.9135227,0.884389,-0.9046185,0.9052362,0.8668815,-0.888898,0.9358489,0.8925707,-0.8549101,0.9250671,0.8749549,-0.835458,0.9153311,0.8608546,-0.8308502,0.9532099,0.8801053,-0.8553489,0.9401968,0.8598777,-0.8336228,0.927523,0.8449505,-0.8283111,0.9725324,0.8700107,-0.8648449,0.9626869,0.8501836,-0.8436511,0.950893,0.835463,-0.8372345,0.9845375,0.8585743,-0.8812912,0.9739031,0.8419988,-0.8702901,0.9612246,0.8327121,-0.871182,0.9615266,0.8980132,-0.9106063,0.05922646,
