time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529489476723,0.8260942,0.9950621,-0.7144184,0.7993683,1.002592,-0.68592,0.7855648,1.007061,-0.6634977,0.8051604,1.057947,-0.6737795,0.7878988,1.057462,-0.6500815,0.781692,1.044682,-0.6379651,0.8246309,1.063421,-0.6641424,0.8044322,1.069957,-0.6368811,0.7921304,1.061941,-0.6210062,0.8485948,1.05879,-0.6586004,0.8325115,1.066134,-0.6308975,0.8205369,1.060191,-0.6142839,0.8705706,1.048552,-0.6550708,0.8613663,1.055192,-0.6326808,0.8517824,1.051844,-0.6190939,0.8500729,1.023382,-0.7011766,0.04563142,
1529489476752,0.8358126,0.982028,-0.7442571,0.8099518,0.9923596,-0.7158602,0.7966738,0.9980977,-0.6933887,0.820208,1.045916,-0.7043476,0.8018186,1.045249,-0.6820774,0.7945919,1.031602,-0.6716387,0.8391715,1.047141,-0.6931489,0.8177115,1.050228,-0.6670238,0.8046214,1.039071,-0.6538863,0.8618423,1.039704,-0.68678,0.8437029,1.043128,-0.6603782,0.8302569,1.033397,-0.6470533,0.8820338,1.027711,-0.6827763,0.870246,1.031899,-0.6615146,0.8585089,1.026132,-0.650731,0.8622974,1.007188,-0.730161,0.03999913,
1529489476778,0.8421164,0.972376,-0.7626985,0.8169576,0.9835551,-0.7339698,0.8040736,0.9896559,-0.711402,0.827891,1.036071,-0.7232698,0.8092713,1.034296,-0.7018653,0.8026245,1.019455,-0.6929418,0.8466333,1.036025,-0.711638,0.824581,1.037695,-0.6861055,0.8112468,1.025583,-0.6740526,0.8688607,1.027994,-0.7051389,0.8499106,1.030371,-0.6794397,0.8359596,1.019855,-0.6672305,0.8883911,1.015603,-0.7010803,0.8756191,1.019357,-0.6804817,0.8632416,1.013165,-0.6706746,0.8689994,0.9964195,-0.7486388,0.035084,
1529489476804,0.8494674,0.9599871,-0.7822882,0.8243196,0.972617,-0.754109,0.8109227,0.9796538,-0.7321385,0.8364488,1.023797,-0.7441623,0.81735,1.021089,-0.7241292,0.8113676,1.005227,-0.716839,0.85467,1.02216,-0.7317514,0.8316082,1.022037,-0.7074649,0.8181466,1.008534,-0.697199,0.8762583,1.013674,-0.7247412,0.8559975,1.01511,-0.7002394,0.8414255,1.00381,-0.6895755,0.8949009,1.000957,-0.7202737,0.8806715,1.004475,-0.7007706,0.8675326,0.9979358,-0.6922691,0.876792,0.9828652,-0.7680084,0.02980352,
1529489476830,0.8628874,0.9363788,-0.8088359,0.8375471,0.9512682,-0.7819549,0.8237129,0.9600267,-0.7608309,0.8515975,1.001001,-0.773373,0.8327398,0.9978583,-0.753341,0.8271856,0.9817859,-0.7460067,0.8694,0.9986265,-0.7608729,0.8463089,0.9963017,-0.7372707,0.8338085,0.9810629,-0.7283592,0.8904669,0.9901313,-0.753579,0.8695395,0.9893057,-0.7301828,0.8554588,0.9760147,-0.7213476,0.9084541,0.9779723,-0.7488008,0.8928177,0.98017,-0.7306469,0.8796031,0.9718447,-0.7242086,0.8910974,0.9590737,-0.7952389,0.02655703,
1529489476856,0.8731371,0.9185128,-0.8237875,0.8456146,0.9342511,-0.7997253,0.830086,0.9438232,-0.7800664,0.8598195,0.9815635,-0.7890816,0.8409309,0.9760667,-0.7693012,0.8358935,0.959488,-0.7623736,0.876701,0.9799978,-0.7762731,0.8531226,0.9746078,-0.7540351,0.8418298,0.9576339,-0.7468591,0.897339,0.9723706,-0.7680299,0.8753381,0.9687064,-0.7461799,0.8619635,0.9537032,-0.7391598,0.9151982,0.9614884,-0.7623188,0.8981586,0.961845,-0.745587,0.8852414,0.9520555,-0.7408608,0.9009417,0.9419767,-0.8088905,0.0243341,
1529489476884,0.887013,0.8896736,-0.8504077,0.8577211,0.9060281,-0.8290458,0.8404462,0.9162575,-0.8110997,0.8725306,0.9500337,-0.8134424,0.8540132,0.942606,-0.793324,0.8487759,0.9258395,-0.786759,0.8884697,0.9485828,-0.8008635,0.8650954,0.9400635,-0.7796659,0.8551407,0.9216927,-0.774359,0.9088581,0.9415236,-0.7922979,0.8865656,0.9349543,-0.7715154,0.8740419,0.9186221,-0.7661685,0.9266726,0.9315891,-0.786291,0.9089761,0.9299693,-0.7703588,0.8964815,0.9191803,-0.7668805,0.9144982,0.9129778,-0.8333247,0.027453,
1529489476918,0.8971005,0.8614658,-0.8765928,0.8665901,0.8794647,-0.8586837,0.8479004,0.8902243,-0.8424784,0.8839365,0.9165844,-0.8319799,0.8632694,0.907971,-0.8140955,0.8556036,0.8912724,-0.8101166,0.8977747,0.9120681,-0.8186644,0.8721278,0.9016649,-0.8015209,0.8611456,0.883173,-0.8006105,0.9163773,0.9021482,-0.8091498,0.891776,0.8931768,-0.7924774,0.8783966,0.8766788,-0.7919328,0.9324297,0.8902817,-0.8026965,0.9128308,0.8865612,-0.7898217,0.8998107,0.8758132,-0.7904044,0.9243447,0.8793656,-0.8526061,0.03328244,
1529489476951,0.9079853,0.8325786,-0.8990154,0.8762146,0.8512293,-0.8844647,0.8561178,0.8614293,-0.869698,0.8914689,0.882172,-0.8485506,0.8679465,0.8733273,-0.834568,0.8585275,0.8571354,-0.8338313,0.9027996,0.8749995,-0.8341453,0.8743922,0.8647065,-0.8219553,0.8621563,0.8472952,-0.8249991,0.9191697,0.8623323,-0.8235146,0.8921407,0.8529273,-0.8118001,0.8781712,0.8375193,-0.8158385,0.9331922,0.8481932,-0.8166853,0.9118516,0.8435401,-0.8077947,0.8990111,0.8338228,-0.812699,0.9322137,0.8446897,-0.8681828,0.03620309,
1529489476978,0.9167884,0.8101841,-0.9094967,0.8849696,0.8288437,-0.895227,0.8647888,0.8384304,-0.8802292,0.8993486,0.8570322,-0.8568004,0.8753719,0.8476519,-0.8440737,0.8656914,0.8316143,-0.8447478,0.909921,0.848955,-0.8424448,0.880996,0.8384303,-0.8317771,0.8684822,0.8215109,-0.8362485,0.9256122,0.835415,-0.8319383,0.8981675,0.8256754,-0.8218533,0.884172,0.810769,-0.8274781,0.93901,0.8205868,-0.8254566,0.9174078,0.8154987,-0.8180279,0.9049356,0.8062625,-0.8245374,0.9399019,0.8199781,-0.8769834,0.03614144,
1529489477004,0.9236325,0.7872285,-0.9186646,0.8921801,0.8056597,-0.903459,0.8722245,0.8142985,-0.887664,0.9062699,0.8302643,-0.8631721,0.8819354,0.8201946,-0.8520083,0.8721703,0.8044112,-0.8545947,0.9161576,0.8208351,-0.8492596,0.8868549,0.8099951,-0.8404301,0.8743159,0.7937672,-0.8469183,0.9311305,0.80612,-0.8394059,0.9033073,0.7961566,-0.8310889,0.8892925,0.782123,-0.8386158,0.9438404,0.7904533,-0.8337486,0.9220072,0.785198,-0.8276502,0.9097576,0.7769083,-0.8356792,0.9461226,0.7938502,-0.8850482,0.03451582,
1529489477031,0.9337511,0.7474481,-0.9297457,0.9027231,0.764289,-0.9120613,0.8831699,0.7710192,-0.8949063,0.916798,0.7851683,-0.8708928,0.8923129,0.7741743,-0.8612413,0.8825803,0.7588252,-0.865831,0.9263847,0.7740434,-0.8579397,0.8970522,0.7624617,-0.8509095,0.8848221,0.7471461,-0.8597371,0.9408998,0.7581446,-0.849618,0.9130219,0.7475212,-0.8432263,0.8994352,0.7345366,-0.853041,0.9532113,0.7418426,-0.8454558,0.9313238,0.7362114,-0.8406371,0.9195398,0.7290479,-0.8502543,0.9560732,0.7508057,-0.8961878,0.03153432,
1529489477057,0.9402936,0.7204856,-0.9374726,0.909633,0.7349512,-0.9172406,0.8903852,0.7393324,-0.8990232,0.9237514,0.7506995,-0.8746653,0.8993014,0.7385935,-0.8667299,0.8896963,0.7240244,-0.8735882,0.9332184,0.7380654,-0.8631272,0.9038565,0.7259891,-0.8576454,0.8916898,0.7120888,-0.8685677,0.9475721,0.7210978,-0.8568165,0.9195943,0.7101209,-0.8515909,0.9059054,0.6987255,-0.862987,0.9597301,0.7042047,-0.8546866,0.9377636,0.6982775,-0.8501364,0.9256576,0.692623,-0.8602756,0.9625804,0.719399,-0.9040411,0.02969424,
1529489477084,0.9468249,0.6803081,-0.9493333,0.9163734,0.6915517,-0.9267464,0.8973235,0.6935744,-0.90791,0.9309576,0.7025429,-0.88344,0.9069437,0.6891046,-0.8771603,0.8979534,0.6754074,-0.8861903,0.9407232,0.6888653,-0.8736133,0.9116731,0.6759287,-0.8694521,0.8998086,0.6633301,-0.8821067,0.9554121,0.6714442,-0.8694906,0.9276356,0.6597236,-0.8650213,0.9138827,0.6496691,-0.8774873,0.9678809,0.6545584,-0.8694578,0.9460614,0.6479729,-0.8646274,0.9334934,0.6433712,-0.8746896,0.9696572,0.6759627,-0.9170409,0.02832279,
1529489477116,0.9517995,0.6404206,-0.9606895,0.9217707,0.6460643,-0.93551,0.9034732,0.6437088,-0.9160581,0.9363755,0.6546223,-0.8935316,0.9126173,0.6403545,-0.890311,0.9048301,0.6281,-0.902018,0.946304,0.6397837,-0.8856299,0.9173684,0.626479,-0.8839117,0.9060503,0.6157458,-0.8986198,0.9610924,0.6221472,-0.8837316,0.933176,0.6102134,-0.8805826,0.9192433,0.6018451,-0.8940459,0.9736997,0.6053925,-0.8859098,0.9518504,0.5984152,-0.8811517,0.9387735,0.5949563,-0.891035,0.9749411,0.6327862,-0.9302503,0.02103811,
1529489477136,0.9521825,0.6297948,-0.9639441,0.9224093,0.632143,-0.9379451,0.9046127,0.6274129,-0.9185041,0.9370078,0.640072,-0.8964515,0.9137154,0.6251932,-0.8946829,0.9068121,0.6137176,-0.9076045,0.9472555,0.6248865,-0.8896165,0.9187326,0.6109866,-0.8892484,0.908105,0.601167,-0.9050373,0.9623369,0.6075312,-0.8888173,0.9346526,0.5950429,-0.8866031,0.921043,0.5873833,-0.900776,0.9752496,0.5912067,-0.8920017,0.9535164,0.5836733,-0.8875111,0.9404073,0.5805826,-0.8974733,0.9757101,0.6210586,-0.934433,0.01764087,
1529489477150,0.9579977,0.6054655,-0.9738448,0.9289494,0.6027422,-0.9470184,0.9120942,0.5945071,-0.9279155,0.9437718,0.6088716,-0.9058608,0.9213969,0.5931741,-0.9061688,0.915724,0.5833104,-0.9208425,0.9546138,0.5933783,-0.9008517,0.9267355,0.5786258,-0.9021523,0.9167194,0.5704151,-0.9191904,0.9703226,0.5767083,-0.9016892,0.943078,0.5632843,-0.9001433,0.9294689,0.5566973,-0.9148115,0.98379,0.561133,-0.9066706,0.96252,0.5524899,-0.9022293,0.9492437,0.5499873,-0.912122,0.9822919,0.5954416,-0.9460166,0.01373209,
1529489477176,0.9661906,0.5792067,-0.9864563,0.9390283,0.5680976,-0.9598522,0.9247344,0.5540535,-0.9422789,0.9532499,0.5738989,-0.9182928,0.932466,0.5569741,-0.9205189,0.9280188,0.5492927,-0.9367015,0.9653977,0.558669,-0.9157229,0.9388942,0.5422187,-0.9186789,0.9295809,0.535955,-0.9368073,0.9825321,0.543644,-0.9184765,0.95656,0.5280123,-0.917327,0.9428158,0.5221748,-0.9321625,0.9971721,0.5299242,-0.9257196,0.9770344,0.5188383,-0.9207757,0.9631882,0.5159951,-0.929747,0.9915837,0.5688077,-0.960738,0.008034966,
