time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529583255296,0.924365,0.7359719,-0.8593792,0.8943518,0.7554917,-0.8418928,0.8752156,0.767198,-0.8245916,0.9154,0.7828419,-0.8039908,0.8947721,0.7733606,-0.7840517,0.8859701,0.7560559,-0.7808507,0.9293749,0.7774812,-0.7924537,0.9034714,0.7671047,-0.7730162,0.8910756,0.7482406,-0.772838,0.9481294,0.7656618,-0.7856897,0.9236128,0.7559332,-0.7666575,0.9089388,0.7392035,-0.7666708,0.9652199,0.7535604,-0.7815366,0.9469659,0.7502826,-0.7648982,0.9325622,0.7401565,-0.7645372,0.9533604,0.7475304,-0.8328353,0.04640121,
1529583255325,0.9379088,0.6908524,-0.8896732,0.90812,0.7113861,-0.8732554,0.8888755,0.7225943,-0.8558366,0.9268433,0.7319217,-0.8300909,0.9044089,0.7213507,-0.8136077,0.8951533,0.7040839,-0.8143588,0.9389271,0.7242957,-0.8183391,0.9109188,0.7131667,-0.8033093,0.8984007,0.6949418,-0.8074026,0.9561164,0.7103612,-0.8112103,0.9294307,0.6996893,-0.7965583,0.914569,0.683815,-0.8010384,0.9714018,0.6966107,-0.8071316,0.9509198,0.6920323,-0.7940637,0.9364741,0.6825562,-0.7975901,0.9648878,0.6973324,-0.8592288,0.04585251,
1529583255350,0.948324,0.6552278,-0.9092025,0.9193253,0.6764704,-0.8925002,0.9000461,0.6867379,-0.8746268,0.935665,0.6897756,-0.845443,0.9113724,0.679646,-0.8320719,0.9009976,0.6635942,-0.8362072,0.9458435,0.6796196,-0.8338509,0.9159745,0.6696948,-0.8223651,0.9025557,0.6534766,-0.8300264,0.9610068,0.6631035,-0.8272617,0.932638,0.6532451,-0.8163733,0.9174799,0.6395746,-0.8248457,0.9742502,0.6471701,-0.8241863,0.9522692,0.6426138,-0.8138797,0.9376055,0.6351467,-0.8201762,0.9725735,0.6552151,-0.8760553,0.04486201,
1529583255385,0.9543939,0.6025387,-0.9358416,0.9255861,0.6218615,-0.916703,0.9056065,0.6293063,-0.8982005,0.9405721,0.6258149,-0.8660012,0.9146665,0.6173131,-0.8550365,0.9025693,0.6039457,-0.862375,0.9488012,0.6123036,-0.8560655,0.9174281,0.6049941,-0.8466867,0.9022102,0.5926057,-0.8572605,0.9617217,0.5928472,-0.8522785,0.9321229,0.5849937,-0.8435734,0.9161949,0.5752795,-0.8549718,0.9727747,0.5745883,-0.8526148,0.9500153,0.5705143,-0.8441008,0.9352743,0.5662642,-0.8525291,0.9758933,0.5933965,-0.9020552,0.04399833,
1529583255416,0.9505823,0.5537557,-0.966539,0.9212363,0.5709834,-0.9465856,0.9003803,0.5748312,-0.9281357,0.9334556,0.5674788,-0.8936823,0.9066318,0.5603725,-0.8846614,0.8940572,0.5493825,-0.8944434,0.9394411,0.5510561,-0.886484,0.907639,0.5445526,-0.8814203,0.8942137,0.5351125,-0.8962524,0.9503031,0.5303848,-0.8859076,0.920378,0.5234401,-0.8832521,0.9079896,0.5170072,-0.8997649,0.9598604,0.5119099,-0.8889486,0.9364696,0.5086908,-0.8859884,0.9255899,0.5072328,-0.8993716,0.9688995,0.5376065,-0.9330208,0.04269416,
1529583255443,0.9490255,0.5205295,-0.9867565,0.9196705,0.5368109,-0.965987,0.8979728,0.5396032,-0.9483393,0.929486,0.5269313,-0.9129953,0.9016048,0.5222051,-0.9048406,0.8875769,0.5139788,-0.9154142,0.9332316,0.5086218,-0.9083914,0.9007265,0.5047601,-0.9054703,0.8873149,0.4987404,-0.9219412,0.9419321,0.4871297,-0.9107491,0.9118986,0.4829613,-0.9115295,0.9015078,0.4800447,-0.9301251,0.9498927,0.4685232,-0.9161654,0.9268285,0.4675876,-0.9163764,0.919474,0.4690904,-0.9316278,0.9640152,0.4986629,-0.9551191,0.04299711,
1529583255470,0.9408227,0.467996,-1.01939,0.9101568,0.4809437,-0.9978712,0.8875384,0.4818209,-0.9811638,0.9190227,0.4682867,-0.9460426,0.890545,0.4648417,-0.9383581,0.8757979,0.4584375,-0.9492071,0.9215505,0.448333,-0.9445697,0.8886811,0.4452033,-0.9440143,0.8759199,0.4416485,-0.9617026,0.9297499,0.4270819,-0.9493648,0.9001782,0.4241619,-0.9531485,0.891721,0.4239744,-0.9730331,0.9374708,0.4093082,-0.9566224,0.9152395,0.4096062,-0.9592132,0.9107333,0.4131772,-0.9752424,0.9545655,0.4434288,-0.9903319,0.04130199,
1529583255496,0.9346499,0.438261,-1.037526,0.9016801,0.4445918,-1.016085,0.8783913,0.4414718,-1.000633,0.9090568,0.4334647,-0.9665077,0.8804083,0.4285686,-0.9608786,0.8667974,0.4222117,-0.9731396,0.9125378,0.4123877,-0.967845,0.8804054,0.4069923,-0.9715061,0.8703595,0.4046491,-0.9910647,0.9224675,0.3924709,-0.9739521,0.8942809,0.3883816,-0.9815847,0.8885742,0.3900507,-1.002511,0.9317927,0.3763502,-0.9817904,0.9102242,0.3759473,-0.9866651,0.9074001,0.3807117,-1.002857,0.9486715,0.4140272,-1.010619,0.03551411,
1529583255523,0.9339045,0.4034407,-1.053774,0.899573,0.4010493,-1.033446,0.8765962,0.3924662,-1.019929,0.9060686,0.394812,-0.9849802,0.8776277,0.3884665,-0.9818012,0.8656018,0.3824782,-0.9957597,0.9110112,0.3737224,-0.9879771,0.8792467,0.3670154,-0.9935683,0.8695897,0.3657462,-1.013527,0.9224247,0.3550075,-0.994867,0.8943774,0.3499567,-1.003433,0.8883245,0.3527827,-1.024196,0.9330325,0.3400921,-1.003603,0.9111665,0.3386441,-1.0087,0.9072113,0.3442843,-1.024445,0.9485288,0.3809955,-1.028703,0.02836856,
1529583255550,0.9449137,0.3466904,-1.075015,0.911705,0.3354181,-1.05591,0.8905149,0.3206937,-1.045046,0.9181857,0.3313376,-1.0076,0.8895516,0.3249528,-1.005541,0.8772826,0.3213263,-1.020158,0.9232477,0.3108037,-1.012443,0.8902183,0.3048297,-1.016095,0.8770314,0.3058143,-1.034246,0.9343528,0.2928669,-1.021807,0.9045931,0.2882297,-1.027711,0.8944911,0.2930413,-1.046572,0.9445039,0.2789903,-1.033564,0.9215105,0.2772293,-1.036536,0.9141412,0.2846413,-1.050309,0.9596679,0.3241532,-1.053276,0.0281943,
1529583255584,0.9778733,0.2940866,-1.102762,0.9435235,0.2868386,-1.083518,0.9192659,0.2761798,-1.074165,0.9516239,0.2708924,-1.036487,0.922048,0.2728364,-1.029028,0.9057032,0.276867,-1.039318,0.9499617,0.251051,-1.044847,0.9148577,0.2542068,-1.037739,0.8949184,0.2617716,-1.046386,0.9541003,0.2326146,-1.059695,0.9202935,0.2334954,-1.053073,0.8988599,0.2406491,-1.058566,0.9582002,0.2190054,-1.077251,0.9328399,0.2192775,-1.072145,0.9169523,0.227552,-1.075969,0.9859176,0.2639511,-1.088704,0.03740022,
1529583255615,1.036165,0.2266155,-1.131034,1.007768,0.2375806,-1.104369,0.985239,0.2427853,-1.087334,0.9985271,0.2039607,-1.068001,0.973284,0.2128673,-1.05075,0.9562482,0.2221878,-1.052263,0.9909117,0.1833017,-1.07648,0.9600428,0.1896876,-1.057253,0.9402536,0.2001548,-1.05574,0.9895136,0.1636246,-1.093306,0.9588622,0.1633458,-1.076104,0.9380434,0.170268,-1.072221,0.9890519,0.150709,-1.114399,0.9646588,0.1474448,-1.104099,0.9480278,0.1528031,-1.101669,1.028561,0.190555,-1.124124,0.04994708,
1529583255631,1.054201,0.2095986,-1.141011,1.03264,0.2277703,-1.112756,1.012154,0.2357828,-1.095583,1.016984,0.1890126,-1.074513,0.9944903,0.1994054,-1.054269,0.9779835,0.2092346,-1.05354,1.008289,0.1676084,-1.080853,0.9803718,0.1748691,-1.057916,0.961318,0.1857616,-1.054467,1.005112,0.1471674,-1.096423,0.9771011,0.1476968,-1.075341,0.9572701,0.1554308,-1.06989,1.002847,0.1326002,-1.116793,0.9804397,0.128476,-1.102929,0.9643844,0.1336762,-1.098804,1.0419,0.1718224,-1.132267,0.06033275,
1529583255657,1.08164,0.1840563,-1.154537,1.065757,0.2076743,-1.126772,1.047218,0.218557,-1.109499,1.047427,0.168165,-1.083309,1.027739,0.1807855,-1.061375,1.011799,0.1916441,-1.058461,1.038136,0.1461202,-1.086582,1.014514,0.1547191,-1.059519,0.9966937,0.166191,-1.053057,1.032565,0.1249225,-1.10053,1.008238,0.1268079,-1.075476,0.9897773,0.1355703,-1.068057,1.027423,0.1092426,-1.120048,1.0073,0.1054488,-1.102964,0.9921248,0.1109716,-1.097068,1.066197,0.1461809,-1.141814,0.06770235,
1529583255684,1.111227,0.1945522,-1.176677,1.099897,0.225953,-1.155485,1.081765,0.2379532,-1.140891,1.081408,0.1845859,-1.097423,1.064972,0.1979703,-1.073309,1.048691,0.2070692,-1.069409,1.075637,0.1597432,-1.095569,1.056245,0.1674075,-1.06523,1.038199,0.1766104,-1.058805,1.072342,0.1358674,-1.105358,1.052561,0.136899,-1.076834,1.034306,0.1440263,-1.070261,1.068564,0.1159434,-1.121521,1.053197,0.1103194,-1.100717,1.038332,0.1144737,-1.094624,1.097513,0.1548456,-1.153856,0.08460152,
