time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528983762469,0.8358451,1.076636,-0.5699538,0.8051554,1.066821,-0.5461814,0.7880937,1.05972,-0.526772,0.8112181,1.123707,-0.503856,0.7985725,1.129333,-0.4756413,0.791376,1.128546,-0.4577077,0.8322769,1.128985,-0.4933667,0.8216103,1.134684,-0.4595668,0.8148825,1.133448,-0.4385246,0.8540589,1.12078,-0.4921617,0.8436539,1.108883,-0.4630997,0.8380173,1.092739,-0.4504314,0.8759626,1.111778,-0.496541,0.8682244,1.094228,-0.4827611,0.8635949,1.07846,-0.4858958,0.8572174,1.105901,-0.5445824,0.0975587,
1528983762539,0.8387875,1.078595,-0.5841431,0.8046626,1.073099,-0.5638255,0.7824581,1.069183,-0.5489055,0.8158735,1.123056,-0.516344,0.8023546,1.129155,-0.4886076,0.7946062,1.129089,-0.4708614,0.8377067,1.129355,-0.5061867,0.8272918,1.136491,-0.4725673,0.8207567,1.136403,-0.4514088,0.8602805,1.1229,-0.5047355,0.8511041,1.114405,-0.4740602,0.8457031,1.100337,-0.4587762,0.882128,1.11357,-0.5090172,0.8752654,1.09751,-0.4936983,0.8707931,1.081587,-0.4961393,0.862144,1.10561,-0.5575392,0.09913199,
1528983762562,0.8406435,1.078535,-0.5890968,0.8059366,1.074452,-0.5694456,0.7831931,1.071527,-0.555105,0.8175997,1.122282,-0.5212275,0.8032781,1.128388,-0.4938928,0.7950438,1.128502,-0.4763543,0.8399987,1.129198,-0.5110571,0.8296881,1.137089,-0.4775513,0.8232349,1.137846,-0.456359,0.8629876,1.124578,-0.5094727,0.8544225,1.119252,-0.477867,0.8491895,1.106811,-0.4612327,0.8851786,1.115294,-0.5130479,0.8790978,1.101234,-0.4956713,0.8744098,1.085155,-0.4960667,0.86435,1.105014,-0.5622909,0.09791954,
1528983762630,0.8485764,1.07918,-0.6001287,0.8127674,1.07743,-0.5821892,0.7890249,1.076144,-0.5692692,0.8235972,1.12113,-0.5325461,0.8070411,1.127268,-0.5064851,0.7973994,1.127809,-0.4896708,0.8468565,1.129597,-0.5219302,0.8359328,1.139608,-0.4891339,0.8291076,1.142619,-0.4682265,0.8711804,1.129057,-0.5201429,0.8640576,1.134505,-0.4874446,0.859172,1.133719,-0.4662347,0.894273,1.120262,-0.5219648,0.8904433,1.112848,-0.4993935,0.885832,1.098639,-0.4917424,0.8721594,1.10459,-0.5724587,0.09526436,
1528983762697,0.853327,1.082687,-0.6142548,0.817078,1.081611,-0.5971732,0.7926174,1.080878,-0.5856,0.8300683,1.12342,-0.5449779,0.8135703,1.130745,-0.5191314,0.8037635,1.132573,-0.5024918,0.8537272,1.131937,-0.5347217,0.8433217,1.143847,-0.5023458,0.8367586,1.148713,-0.4816927,0.8788194,1.131054,-0.5330863,0.8735393,1.139539,-0.500519,0.8698542,1.142048,-0.4792722,0.9019112,1.12254,-0.5353018,0.8997384,1.118018,-0.5110646,0.8958689,1.106324,-0.4995414,0.877909,1.106753,-0.5858557,0.09850636,
1528983762722,0.8547784,1.082978,-0.6190325,0.8182015,1.082073,-0.6026556,0.7934229,1.081488,-0.591761,0.8317482,1.123432,-0.5492517,0.8149321,1.131424,-0.5237845,0.8048544,1.133964,-0.5073945,0.8555744,1.132214,-0.5390813,0.8451277,1.145112,-0.5070871,0.8385311,1.150769,-0.4866433,0.8810604,1.131277,-0.5373846,0.8763748,1.140475,-0.5049204,0.8730923,1.143768,-0.4836746,0.9042852,1.122914,-0.5396664,0.9029129,1.119502,-0.5150266,0.8995275,1.108728,-0.502475,0.8797081,1.106698,-0.5901358,0.1000102,
1528983762763,0.8623421,1.081658,-0.6327469,0.8255389,1.079527,-0.6170154,0.8004621,1.078175,-0.6068952,0.8399624,1.123314,-0.5624717,0.8234637,1.13303,-0.5373744,0.8134813,1.136921,-0.5211977,0.8636117,1.132197,-0.5526431,0.8531982,1.146946,-0.521445,0.8465804,1.15385,-0.501399,0.8897104,1.131221,-0.5507935,0.8859076,1.141003,-0.5184838,0.8830656,1.14373,-0.4970657,0.9132348,1.121932,-0.55293,0.9135345,1.119864,-0.527737,0.9114041,1.111235,-0.5132639,0.8875904,1.105797,-0.6033609,0.1047124,
1528983762802,0.8650223,1.082278,-0.6433427,0.828246,1.079894,-0.6275948,0.8030156,1.078456,-0.6178795,0.8434618,1.124626,-0.5728799,0.8273951,1.135505,-0.5479791,0.8176297,1.140129,-0.5318674,0.8670646,1.1333,-0.563289,0.8569105,1.149058,-0.5325089,0.8504104,1.15652,-0.5126283,0.8934287,1.132434,-0.5615757,0.8902707,1.143497,-0.5296403,0.8877798,1.146854,-0.508268,0.9170723,1.122201,-0.5635721,0.9183328,1.120709,-0.5382429,0.9170153,1.113329,-0.5228875,0.8905618,1.106332,-0.6139162,0.1068423,
1528983762842,0.8686968,1.081333,-0.6615232,0.8322295,1.079073,-0.6450657,0.8070749,1.077796,-0.6351396,0.8491346,1.124418,-0.5907807,0.8338324,1.136296,-0.565861,0.8244798,1.141457,-0.5496677,0.8729988,1.132467,-0.5815528,0.8636982,1.148951,-0.5508916,0.8576638,1.156801,-0.5310109,0.8994438,1.130912,-0.580135,0.8972026,1.142393,-0.5482769,0.8952411,1.146133,-0.5268984,0.9232444,1.120447,-0.5825419,0.926035,1.120651,-0.5570653,0.9262946,1.116291,-0.5403775,0.8950862,1.104903,-0.6324666,0.1079869,
1528983762901,0.8741323,1.078014,-0.6838986,0.8387572,1.074414,-0.6654083,0.8146198,1.072077,-0.6533712,0.8545813,1.123816,-0.6149419,0.8398979,1.136716,-0.5901818,0.8309124,1.142231,-0.5739034,0.8785167,1.131699,-0.6058827,0.8698806,1.149067,-0.5755339,0.8642137,1.157274,-0.5556916,0.9045433,1.129255,-0.6041663,0.9023116,1.140558,-0.5722438,0.9003277,1.144091,-0.5508404,0.927886,1.118245,-0.6064752,0.9300026,1.117644,-0.5809432,0.9303671,1.1143,-0.5639458,0.9000591,1.102909,-0.6562805,0.107248,
