time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529494490906,1.085732,0.5392495,-0.6789142,1.066526,0.5280571,-0.646692,1.058689,0.5182549,-0.6243514,1.094422,0.5802549,-0.6054916,1.094166,0.5867246,-0.5764893,1.092352,0.5850701,-0.5582848,1.116162,0.5735653,-0.6001995,1.116424,0.5755484,-0.5664653,1.113418,0.5702797,-0.5463514,1.13601,0.56481,-0.6049991,1.135587,0.5658391,-0.5730412,1.131928,0.5606773,-0.5534059,1.153781,0.5474491,-0.6137319,1.15724,0.5427119,-0.5897987,1.157102,0.5371451,-0.5747321,1.117998,0.5550885,-0.6579952,0.09981105,
1529494490944,1.068531,0.5462223,-0.6929204,1.04916,0.5371467,-0.6601276,1.040849,0.5287168,-0.6373618,1.077812,0.589651,-0.621299,1.077587,0.5976745,-0.5925535,1.075776,0.5977381,-0.5742669,1.099618,0.5824507,-0.6156071,1.100393,0.5863131,-0.5819101,1.097703,0.5828334,-0.5613635,1.11968,0.5731795,-0.6199899,1.120518,0.5765513,-0.588139,1.117558,0.5732709,-0.5679799,1.137313,0.5556995,-0.6277409,1.141752,0.5532572,-0.6036642,1.142153,0.5491059,-0.5878953,1.100829,0.561507,-0.6725524,0.09982385,
1529494490971,1.060502,0.5500046,-0.6973009,1.040595,0.5426595,-0.6643794,1.032109,0.5351112,-0.6414357,1.070997,0.5951657,-0.6269608,1.071249,0.6042281,-0.5985231,1.069509,0.6049186,-0.5802652,1.092471,0.5874092,-0.6208915,1.093541,0.5925727,-0.5873692,1.090754,0.5899131,-0.5667435,1.112018,0.5771419,-0.6247841,1.112739,0.5813731,-0.5930685,1.109343,0.5785304,-0.5729378,1.129031,0.5593969,-0.6318524,1.132878,0.5581311,-0.6076326,1.132548,0.55457,-0.591679,1.093155,0.564669,-0.6771526,0.1000682,
1529494490999,1.047251,0.5573221,-0.7060317,1.027135,0.5515614,-0.6729419,1.018806,0.5447361,-0.6497691,1.05883,0.6047626,-0.6373329,1.059492,0.6152393,-0.6093944,1.057792,0.6168892,-0.5911978,1.079784,0.59639,-0.6307148,1.080858,0.6031255,-0.5974645,1.077878,0.6016154,-0.5767471,1.09872,0.5852354,-0.6340176,1.099024,0.5909134,-0.6025184,1.095155,0.5891265,-0.5823548,1.115257,0.5670858,-0.6402859,1.118038,0.5669059,-0.6160312,1.116092,0.5634287,-0.6001538,1.080025,0.5714461,-0.6860804,0.10078,
1529494491025,1.037053,0.5639772,-0.7128416,1.018278,0.5589277,-0.6789221,1.011637,0.5522173,-0.6552483,1.049967,0.6141061,-0.6463107,1.051332,0.625424,-0.6187339,1.050044,0.6276953,-0.6005585,1.070546,0.6057817,-0.6396622,1.071799,0.6136651,-0.6066625,1.068985,0.6130847,-0.585847,1.089,0.5944769,-0.6428381,1.089022,0.6016384,-0.611604,1.085128,0.6010969,-0.5913444,1.105071,0.5760523,-0.6485493,1.106479,0.5766124,-0.6243582,1.102852,0.5729666,-0.6088408,1.069965,0.5787844,-0.6940703,0.1008117,
1529494491073,1.022774,0.5720975,-0.7220583,1.004436,0.5676233,-0.6878313,0.9982616,0.5614794,-0.6638931,1.035682,0.6236328,-0.6567084,1.037361,0.6345255,-0.6289924,1.036491,0.6365505,-0.6107388,1.056104,0.6163261,-0.6503763,1.057088,0.6242836,-0.6173646,1.054505,0.6239485,-0.5964731,1.074558,0.6057828,-0.653701,1.07394,0.6134586,-0.6225276,1.070184,0.6135962,-0.6021972,1.091443,0.5885266,-0.6594157,1.092506,0.5902738,-0.6353177,1.088856,0.5872177,-0.6196429,1.055868,0.5885107,-0.7043106,0.09961193,
1529494491105,1.011203,0.5799891,-0.7276777,0.9923782,0.5757548,-0.6936593,0.9858134,0.5699458,-0.6697514,1.023646,0.6320627,-0.6625268,1.024649,0.6427605,-0.6347041,1.023475,0.6446311,-0.6164464,1.044391,0.6254067,-0.6564234,1.045046,0.6335868,-0.6234411,1.042432,0.6334188,-0.6025473,1.0631,0.615207,-0.6598215,1.06231,0.6231329,-0.6286857,1.058637,0.6234929,-0.6083419,1.080435,0.5979008,-0.6654674,1.081509,0.5992088,-0.6413596,1.077938,0.5958115,-0.6257232,1.044553,0.5971429,-0.7101305,0.09918511,
1529494491131,1.004648,0.5844178,-0.7384697,0.9851915,0.5804578,-0.7047536,0.9779364,0.5750191,-0.6809328,1.016975,0.6370421,-0.673502,1.017634,0.6480535,-0.6457723,1.016367,0.6502688,-0.6275511,1.037893,0.6307551,-0.6674821,1.038393,0.6394449,-0.634603,1.035834,0.6397149,-0.6136978,1.056922,0.6207643,-0.670915,1.056382,0.6292903,-0.6398931,1.053092,0.6302878,-0.6194912,1.074725,0.6033779,-0.6765032,1.076581,0.6048689,-0.6523965,1.073773,0.6018003,-0.6365296,1.038293,0.6019912,-0.7209502,0.099945,
1529494491158,0.9964083,0.589079,-0.7469319,0.9754145,0.5854729,-0.7140896,0.9666512,0.5805418,-0.6905925,1.007654,0.6423222,-0.6818523,1.007438,0.6539946,-0.6543291,1.005852,0.6570648,-0.6362336,1.02893,0.6364149,-0.675589,1.029083,0.645769,-0.6428281,1.026597,0.6468098,-0.6219191,1.048483,0.6267723,-0.678809,1.048213,0.636098,-0.6479445,1.045469,0.6381049,-0.6275089,1.066905,0.6094161,-0.6841269,1.069642,0.6112471,-0.6600446,1.067832,0.608754,-0.643917,1.030342,0.6071275,-0.7287734,0.1017219,
1529494491184,0.9907923,0.592442,-0.7498536,0.968636,0.5891411,-0.7177441,0.9588369,0.5846415,-0.6945395,1.000624,0.6468909,-0.6852002,0.9997138,0.6592545,-0.6579642,0.9978642,0.6630278,-0.640018,1.022102,0.6414587,-0.6785994,1.021811,0.6514484,-0.6459953,1.019271,0.653096,-0.6251216,1.042048,0.6322951,-0.6815267,1.041651,0.6424299,-0.6508842,1.039077,0.6452248,-0.6305087,1.060911,0.6149547,-0.6863462,1.063787,0.6170294,-0.6622547,1.062388,0.6149109,-0.6460193,1.024641,0.6114021,-0.7313021,0.1031511,
